DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280840,3.280839,-0.001641,0.000078,1.000000,-0.000953,0.000000,0.000953,1.000000,0.000032,-0.000000,-0.000032,1.000000
6.561680,6.561675,-0.006565,0.000311,0.999998,-0.001908,0.000000,0.001908,0.999998,0.000127,-0.000000,-0.000127,1.000000
9.842520,9.842505,-0.014779,0.000694,0.999996,-0.002867,0.000000,0.002867,0.999996,0.000283,-0.000001,-0.000283,1.000000
13.123360,13.123324,-0.026295,0.001226,0.999993,-0.003830,0.000000,0.003830,0.999993,0.000499,-0.000002,-0.000499,1.000000
16.404199,16.404131,-0.041128,0.001903,0.999988,-0.004800,0.000000,0.004800,0.999988,0.000775,-0.000004,-0.000775,1.000000
19.685039,19.684920,-0.059297,0.002721,0.999983,-0.005778,0.000000,0.005778,0.999983,0.001108,-0.000007,-0.001108,0.999999
22.965879,22.965689,-0.080827,0.003678,0.999977,-0.006765,0.000000,0.006765,0.999976,0.001498,-0.000011,-0.001498,0.999999
26.246719,26.246434,-0.105745,0.004771,0.999970,-0.007761,0.000000,0.007761,0.999968,0.001942,-0.000016,-0.001942,0.999998
29.527559,29.527152,-0.134084,0.005995,0.999962,-0.008769,0.000000,0.008769,0.999959,0.002441,-0.000022,-0.002441,0.999997
32.808399,32.807837,-0.165878,0.007349,0.999952,-0.009790,0.000000,0.009789,0.999948,0.002992,-0.000031,-0.002992,0.999996
36.089239,36.088487,-0.201167,0.008829,0.999941,-0.010823,0.000000,0.010823,0.999935,0.003595,-0.000041,-0.003595,0.999994
39.370079,39.369097,-0.239995,0.010431,0.999930,-0.011872,0.000000,0.011872,0.999921,0.004247,-0.000053,-0.004247,0.999991
42.650919,42.649663,-0.282409,0.012154,0.999916,-0.012936,0.000000,0.012936,0.999904,0.004949,-0.000067,-0.004948,0.999988
45.931759,45.930179,-0.328457,0.013993,0.999902,-0.014017,0.000000,0.014017,0.999886,0.005697,-0.000083,-0.005697,0.999984
49.212598,49.210642,-0.378194,0.015945,0.999886,-0.015116,0.000000,0.015116,0.999865,0.006492,-0.000102,-0.006492,0.999979
52.493438,52.491046,-0.431677,0.018007,0.999868,-0.016233,0.000000,0.016233,0.999841,0.007332,-0.000124,-0.007331,0.999973
55.774278,55.771385,-0.488966,0.020177,0.999849,-0.017371,0.000000,0.017370,0.999815,0.008215,-0.000148,-0.008214,0.999966
59.055118,59.051655,-0.550124,0.022450,0.999828,-0.018529,0.000000,0.018528,0.999787,0.009141,-0.000176,-0.009139,0.999958
62.335958,62.331849,-0.615216,0.024825,0.999806,-0.019708,0.000000,0.019707,0.999755,0.010108,-0.000207,-0.010106,0.999949
65.616798,65.611961,-0.684314,0.027297,0.999781,-0.020910,0.000000,0.020909,0.999720,0.011114,-0.000241,-0.011112,0.999938
68.897638,68.891984,-0.757487,0.029863,0.999755,-0.022136,0.000000,0.022134,0.999681,0.012159,-0.000279,-0.012156,0.999926
72.178478,72.171913,-0.834811,0.032521,0.999727,-0.023385,0.000000,0.023383,0.999639,0.013241,-0.000321,-0.013237,0.999912
75.459318,75.451738,-0.916364,0.035267,0.999696,-0.024660,0.000000,0.024657,0.999593,0.014359,-0.000366,-0.014355,0.999897
