DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,-0.001667,0.079976,0.999994,-0.003381,0.000000,0.003361,0.994293,-0.106635,0.000355,0.106634,0.994298
2.000000,1.999985,-0.006666,0.079905,0.999977,-0.006759,0.000000,0.006720,0.994286,-0.106541,0.000710,0.106538,0.994308
3.000000,2.999950,-0.014995,0.079788,0.999949,-0.010133,0.000000,0.010076,0.994274,-0.106385,0.001063,0.106380,0.994325
4.000000,3.999882,-0.026652,0.079626,0.999909,-0.013503,0.000000,0.013426,0.994257,-0.106170,0.001414,0.106161,0.994348
5.000000,4.999769,-0.041630,0.079420,0.999858,-0.016865,0.000000,0.016771,0.994236,-0.105896,0.001762,0.105882,0.994377
6.000000,5.999601,-0.059924,0.079171,0.999796,-0.020220,0.000000,0.020107,0.994209,-0.105565,0.002106,0.105544,0.994412
7.000000,6.999367,-0.081527,0.078879,0.999722,-0.023566,0.000000,0.023436,0.994177,-0.105177,0.002446,0.105149,0.994453
8.000000,7.999057,-0.106429,0.078546,0.999638,-0.026902,0.000000,0.026754,0.994140,-0.104735,0.002781,0.104698,0.994500
9.000000,8.998659,-0.134621,0.078173,0.999543,-0.030226,0.000000,0.030061,0.994098,-0.104239,0.003110,0.104193,0.994552
10.000000,9.998163,-0.166091,0.077760,0.999437,-0.033537,0.000000,0.033357,0.994050,-0.103691,0.003433,0.103634,0.994610
11.000000,10.997559,-0.200828,0.077309,0.999321,-0.036835,0.000000,0.036639,0.993997,-0.103092,0.003749,0.103023,0.994672
12.000000,11.996837,-0.238817,0.076820,0.999195,-0.040117,0.000000,0.039906,0.993938,-0.102442,0.004058,0.102362,0.994739
13.000000,12.995986,-0.280044,0.076296,0.999059,-0.043383,0.000000,0.043158,0.993874,-0.101745,0.004359,0.101651,0.994811
14.000000,13.994997,-0.324493,0.075735,0.998912,-0.046632,0.000000,0.046394,0.993804,-0.101000,0.004652,0.100893,0.994886
15.000000,14.993861,-0.372148,0.075140,0.998756,-0.049863,0.000000,0.049612,0.993729,-0.100209,0.004935,0.100088,0.994966
16.000000,15.992567,-0.422991,0.074511,0.998591,-0.053074,0.000000,0.052812,0.993648,-0.099374,0.005210,0.099237,0.995050
17.000000,16.991107,-0.477002,0.073850,0.998416,-0.056265,0.000000,0.055992,0.993561,-0.098494,0.005475,0.098342,0.995138
18.000000,17.989472,-0.534162,0.073157,0.998232,-0.059435,0.000000,0.059151,0.993469,-0.097573,0.005730,0.097405,0.995228
19.000000,18.987652,-0.594450,0.072433,0.998040,-0.062583,0.000000,0.062290,0.993371,-0.096611,0.005975,0.096426,0.995322
20.000000,19.985640,-0.657846,0.071680,0.997839,-0.065707,0.000000,0.065406,0.993268,-0.095609,0.006209,0.095407,0.995419
21.000000,20.983428,-0.724325,0.070898,0.997630,-0.068808,0.000000,0.068500,0.993159,-0.094569,0.006432,0.094350,0.995518
22.000000,21.981007,-0.793864,0.070088,0.997413,-0.071884,0.000000,0.071569,0.993044,-0.093492,0.006644,0.093255,0.995620
23.000000,22.978369,-0.866441,0.069251,0.997188,-0.074934,0.000000,0.074614,0.992924,-0.092378,0.006844,0.092125,0.995724
24.000000,23.975508,-0.942028,0.068388,0.996957,-0.077958,0.000000,0.077633,0.992799,-0.091231,0.007033,0.090959,0.995830
25.000000,24.972416,-1.020602,0.067500,0.996718,-0.080955,0.000000,0.080626,0.992668,-0.090049,0.007209,0.089760,0.995937
26.000000,25.969086,-1.102134,0.066588,0.996472,-0.083923,0.000000,0.083592,0.992532,-0.088836,0.007374,0.088530,0.996046
27.000000,26.965512,-1.186599,0.065653,0.996220,-0.086864,0.000000,0.086530,0.992391,-0.087592,0.007526,0.087268,0.996156
28.000000,27.961688,-1.273968,0.064696,0.995962,-0.089775,0.000000,0.089440,0.992245,-0.086319,0.007666,0.085978,0.996268
29.000000,28.957607,-1.364212,0.063718,0.995698,-0.092656,0.000000,0.092321,0.992093,-0.085017,0.007794,0.084659,0.996380
30.000000,29.953265,-1.457302,0.062720,0.995429,-0.095507,0.000000,0.095172,0.991937,-0.083688,0.007909,0.083314,0.996492
31.000000,30.948654,-1.553209,0.061703,0.995154,-0.098327,0.000000,0.097993,0.991775,-0.082334,0.008011,0.081943,0.996605
32.000000,31.943772,-1.651903,0.060667,0.994875,-0.101116,0.000000,0.100784,0.991609,-0.080955,0.008102,0.080548,0.996718
33.000000,32.938612,-1.753351,0.059614,0.994591,-0.103872,0.000000,0.103543,0.991439,-0.079553,0.008179,0.079131,0.996831
34.000000,33.933171,-1.857525,0.058545,0.994302,-0.106596,0.000000,0.106270,0.991263,-0.078129,0.008244,0.077692,0.996943
35.000000,34.927445,-1.964390,0.057460,0.994010,-0.109287,0.000000,0.108965,0.991083,-0.076684,0.008297,0.076234,0.997055
36.000000,35.921428,-2.073916,0.056361,0.993715,-0.111944,0.000000,0.111627,0.990899,-0.075220,0.008338,0.074757,0.997167
37.000000,36.915119,-2.186069,0.055248,0.993415,-0.114568,0.000000,0.114256,0.990711,-0.073738,0.008366,0.073262,0.997278
38.000000,37.908513,-2.300817,0.054124,0.993113,-0.117157,0.000000,0.116851,0.990519,-0.072239,0.008382,0.071751,0.997387
39.000000,38.901608,-2.418125,0.052987,0.992809,-0.119712,0.000000,0.119412,0.990323,-0.070725,0.008386,0.070226,0.997496
40.000000,39.894402,-2.537962,0.051840,0.992502,-0.122232,0.000000,0.121939,0.990123,-0.069196,0.008379,0.068687,0.997603
41.000000,40.886891,-2.660292,0.050683,0.992192,-0.124717,0.000000,0.124432,0.989919,-0.067655,0.008360,0.067136,0.997709
42.000000,41.879074,-2.785081,0.049518,0.991881,-0.127167,0.000000,0.126889,0.989712,-0.066102,0.008329,0.065575,0.997813
43.000000,42.870949,-2.912295,0.048345,0.991569,-0.129581,0.000000,0.129311,0.989502,-0.064538,0.008288,0.064004,0.997915
