DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262388,0.999994,-0.003381,0.000000,0.003361,0.994293,-0.106635,0.000355,0.106634,0.994298
6.561667,6.561618,-0.021869,0.262156,0.999977,-0.006759,0.000000,0.006720,0.994286,-0.106541,0.000710,0.106538,0.994308
9.842500,9.842336,-0.049197,0.261772,0.999949,-0.010133,0.000000,0.010076,0.994274,-0.106385,0.001063,0.106380,0.994325
13.123333,13.122945,-0.087439,0.261240,0.999909,-0.013503,0.000000,0.013426,0.994257,-0.106170,0.001414,0.106161,0.994348
16.404167,16.403409,-0.136581,0.260564,0.999858,-0.016865,0.000000,0.016771,0.994236,-0.105896,0.001762,0.105882,0.994377
19.685000,19.683692,-0.196601,0.259745,0.999796,-0.020220,0.000000,0.020107,0.994209,-0.105565,0.002106,0.105544,0.994412
22.965833,22.963758,-0.267476,0.258788,0.999722,-0.023566,0.000000,0.023436,0.994177,-0.105177,0.002446,0.105149,0.994453
26.246667,26.243572,-0.349176,0.257696,0.999638,-0.026902,0.000000,0.026754,0.994140,-0.104735,0.002781,0.104698,0.994500
29.527500,29.523100,-0.441669,0.256471,0.999543,-0.030226,0.000000,0.030061,0.994098,-0.104239,0.003110,0.104193,0.994552
32.808333,32.802307,-0.544918,0.255118,0.999437,-0.033537,0.000000,0.033357,0.994050,-0.103691,0.003433,0.103634,0.994610
36.089167,36.081159,-0.658883,0.253638,0.999321,-0.036835,0.000000,0.036639,0.993997,-0.103092,0.003749,0.103023,0.994672
39.370000,39.359622,-0.783519,0.252035,0.999195,-0.040117,0.000000,0.039906,0.993938,-0.102442,0.004058,0.102362,0.994739
42.650833,42.637665,-0.918778,0.250313,0.999059,-0.043383,0.000000,0.043158,0.993874,-0.101745,0.004359,0.101651,0.994811
45.931667,45.915254,-1.064609,0.248474,0.998912,-0.046632,0.000000,0.046394,0.993804,-0.101000,0.004652,0.100893,0.994886
49.212500,49.192359,-1.220956,0.246522,0.998756,-0.049863,0.000000,0.049612,0.993729,-0.100209,0.004935,0.100088,0.994966
52.493333,52.468947,-1.387762,0.244459,0.998591,-0.053074,0.000000,0.052812,0.993648,-0.099374,0.005210,0.099237,0.995050
55.774167,55.744990,-1.564963,0.242290,0.998416,-0.056265,0.000000,0.055992,0.993561,-0.098494,0.005475,0.098342,0.995138
59.055000,59.020458,-1.752496,0.240016,0.998232,-0.059435,0.000000,0.059151,0.993469,-0.097573,0.005730,0.097405,0.995228
62.335833,62.295322,-1.950293,0.237642,0.998040,-0.062583,0.000000,0.062290,0.993371,-0.096611,0.005975,0.096426,0.995322
65.616667,65.569555,-2.158282,0.235170,0.997839,-0.065707,0.000000,0.065406,0.993268,-0.095609,0.006209,0.095407,0.995419
68.897500,68.843129,-2.376388,0.232604,0.997630,-0.068808,0.000000,0.068500,0.993159,-0.094569,0.006432,0.094350,0.995518
72.178333,72.116019,-2.604537,0.229946,0.997413,-0.071884,0.000000,0.071569,0.993044,-0.093492,0.006644,0.093255,0.995620
75.459167,75.388199,-2.842648,0.227200,0.997188,-0.074934,0.000000,0.074614,0.992924,-0.092378,0.006844,0.092125,0.995724
78.740000,78.659645,-3.090638,0.224369,0.996957,-0.077958,0.000000,0.077633,0.992799,-0.091231,0.007033,0.090959,0.995830
82.020833,81.930334,-3.348425,0.221456,0.996718,-0.080955,0.000000,0.080626,0.992668,-0.090049,0.007209,0.089760,0.995937
85.301667,85.200243,-3.615919,0.218465,0.996472,-0.083923,0.000000,0.083592,0.992532,-0.088836,0.007374,0.088530,0.996046
88.582500,88.469351,-3.893033,0.215397,0.996220,-0.086864,0.000000,0.086530,0.992391,-0.087592,0.007526,0.087268,0.996156
91.863333,91.737638,-4.179675,0.212258,0.995962,-0.089775,0.000000,0.089440,0.992245,-0.086319,0.007666,0.085978,0.996268
95.144167,95.005083,-4.475751,0.209049,0.995698,-0.092656,0.000000,0.092321,0.992093,-0.085017,0.007794,0.084659,0.996380
98.425000,98.271669,-4.781165,0.205774,0.995429,-0.095507,0.000000,0.095172,0.991937,-0.083688,0.007909,0.083314,0.996492
101.705833,101.537377,-5.095820,0.202436,0.995154,-0.098327,0.000000,0.097993,0.991775,-0.082334,0.008011,0.081943,0.996605
104.986667,104.802192,-5.419617,0.199038,0.994875,-0.101116,0.000000,0.100784,0.991609,-0.080955,0.008102,0.080548,0.996718
108.267500,108.066098,-5.752454,0.195583,0.994591,-0.103872,0.000000,0.103543,0.991439,-0.079553,0.008179,0.079131,0.996831
111.548333,111.329080,-6.094228,0.192075,0.994302,-0.106596,0.000000,0.106270,0.991263,-0.078129,0.008244,0.077692,0.996943
114.829167,114.591124,-6.444836,0.188517,0.994010,-0.109287,0.000000,0.108965,0.991083,-0.076684,0.008297,0.076234,0.997055
118.110000,117.852219,-6.804172,0.184911,0.993715,-0.111944,0.000000,0.111627,0.990899,-0.075220,0.008338,0.074757,0.997167
121.390833,121.112352,-7.172128,0.181261,0.993415,-0.114568,0.000000,0.114256,0.990711,-0.073738,0.008366,0.073262,0.997278
124.671667,124.371514,-7.548596,0.177570,0.993113,-0.117157,0.000000,0.116851,0.990519,-0.072239,0.008382,0.071751,0.997387
127.952500,127.629693,-7.933467,0.173842,0.992809,-0.119712,0.000000,0.119412,0.990323,-0.070725,0.008386,0.070226,0.997496
131.233333,130.886883,-8.326630,0.170078,0.992502,-0.122232,0.000000,0.121939,0.990123,-0.069196,0.008379,0.068687,0.997603
134.514167,134.143075,-8.727974,0.166284,0.992192,-0.124717,0.000000,0.124432,0.989919,-0.067655,0.008360,0.067136,0.997709
137.795000,137.398262,-9.137386,0.162461,0.991881,-0.127167,0.000000,0.126889,0.989712,-0.066102,0.008329,0.065575,0.997813
141.075833,140.652439,-9.554753,0.158612,0.991569,-0.129581,0.000000,0.129311,0.989502,-0.064538,0.008288,0.064004,0.997915
144.356667,143.905600,-9.979962,0.154742,0.991255,-0.131960,0.000000,0.131698,0.989288,-0.062965,0.008235,0.062425,0.998016
147.637500,147.157742,-10.412899,0.150853,0.990940,-0.134303,0.000000,0.134049,0.989072,-0.061385,0.008172,0.060839,0.998114
150.918333,150.408862,-10.853447,0.146948,0.990625,-0.136609,0.000000,0.136365,0.988852,-0.059798,0.008098,0.059247,0.998211
154.199167,153.658957,-11.301493,0.143030,0.990309,-0.138880,0.000000,0.138644,0.988630,-0.058205,0.008015,0.057651,0.998305
157.480000,156.908026,-11.756920,0.139103,0.989993,-0.141114,0.000000,0.140888,0.988406,-0.056609,0.007921,0.056052,0.998396
160.760833,160.156068,-12.219613,0.135170,0.989678,-0.143312,0.000000,0.143095,0.988179,-0.055010,0.007818,0.054452,0.998486
164.041667,163.403084,-12.689456,0.131233,0.989362,-0.145474,0.000000,0.145266,0.987950,-0.053410,0.007706,0.052851,0.998573
167.322500,166.649074,-13.166332,0.127297,0.989047,-0.147599,0.000000,0.147401,0.987719,-0.051809,0.007585,0.051251,0.998657
170.603333,169.894041,-13.650128,0.123364,0.988733,-0.149688,0.000000,0.149500,0.987486,-0.050209,0.007456,0.049653,0.998739
173.884167,173.137985,-14.140726,0.119437,0.988420,-0.151742,0.000000,0.151562,0.987252,-0.048612,0.007319,0.048058,0.998818
177.165000,176.380912,-14.638011,0.115519,0.988108,-0.153759,0.000000,0.153589,0.987016,-0.047019,0.007174,0.046469,0.998894
180.445833,179.622823,-15.141869,0.111614,0.987798,-0.155740,0.000000,0.155579,0.986778,-0.045431,0.007022,0.044885,0.998967
183.726667,182.863725,-15.652184,0.107725,0.987489,-0.157685,0.000000,0.157533,0.986540,-0.043849,0.006863,0.043308,0.999038
187.007500,186.103621,-16.168843,0.103854,0.987183,-0.159595,0.000000,0.159452,0.986300,-0.042274,0.006698,0.041740,0.999106
190.288333,189.342517,-16.691732,0.100006,0.986878,-0.161469,0.000000,0.161335,0.986060,-0.040709,0.006526,0.040182,0.999171
193.569167,192.580420,-17.220739,0.096183,0.986575,-0.163308,0.000000,0.163183,0.985819,-0.039153,0.006349,0.038635,0.999233
196.850000,195.817336,-17.755752,0.092388,0.986275,-0.165112,0.000000,0.164996,0.985577,-0.037609,0.006167,0.037100,0.999293
200.130833,199.053273,-18.296659,0.088625,0.985977,-0.166882,0.000000,0.166773,0.985335,-0.036078,0.005980,0.035579,0.999349
203.411667,202.288237,-18.843351,0.084896,0.985682,-0.168617,0.000000,0.168517,0.985093,-0.034561,0.005789,0.034073,0.999403
206.692500,205.522237,-19.395718,0.081206,0.985389,-0.170319,0.000000,0.170226,0.984850,-0.033059,0.005594,0.032582,0.999453
209.973333,208.755280,-19.953654,0.077556,0.985099,-0.171986,0.000000,0.171901,0.984608,-0.031574,0.005396,0.031109,0.999501
213.254167,211.987377,-20.517051,0.073950,0.984813,-0.173621,0.000000,0.173542,0.984366,-0.030106,0.005195,0.029655,0.999547
216.535000,215.218535,-21.085804,0.070391,0.984529,-0.175223,0.000000,0.175151,0.984124,-0.028658,0.004991,0.028220,0.999589
219.815833,218.448765,-21.659810,0.066883,0.984248,-0.176792,0.000000,0.176727,0.983883,-0.027230,0.004786,0.026806,0.999629
223.096667,221.678075,-22.238966,0.063429,0.983971,-0.178330,0.000000,0.178270,0.983643,-0.025824,0.004579,0.025415,0.999667
226.377500,224.906475,-22.823172,0.060031,0.983697,-0.179836,0.000000,0.179782,0.983403,-0.024441,0.004371,0.024047,0.999701
229.658333,228.133976,-23.412329,0.056693,0.983426,-0.181311,0.000000,0.181263,0.983164,-0.023082,0.004162,0.022704,0.999734
232.939167,231.360587,-24.006339,0.053418,0.983158,-0.182756,0.000000,0.182713,0.982926,-0.021749,0.003954,0.021386,0.999763
236.220000,234.586318,-24.605108,0.050209,0.982894,-0.184172,0.000000,0.184133,0.982689,-0.020442,0.003745,0.020096,0.999791
239.500833,237.811179,-25.208542,0.047069,0.982633,-0.185558,0.000000,0.185524,0.982453,-0.019164,0.003538,0.018835,0.999816
242.781667,241.035182,-25.816549,0.044002,0.982376,-0.186916,0.000000,0.186886,0.982218,-0.017916,0.003332,0.017603,0.999840
246.062500,244.258335,-26.429042,0.041010,0.982122,-0.188247,0.000000,0.188220,0.981985,-0.016698,0.003129,0.016402,0.999861
249.343333,247.480650,-27.045932,0.038098,0.981871,-0.189550,0.000000,0.189527,0.981753,-0.015512,0.002927,0.015233,0.999880
252.624167,250.702136,-27.667136,0.035267,0.981624,-0.190827,0.000000,0.190807,0.981523,-0.014359,0.002728,0.014098,0.999897
255.905000,253.922803,-28.292570,0.032521,0.981380,-0.192078,0.000000,0.192061,0.981294,-0.013241,0.002533,0.012997,0.999912
259.185833,257.142662,-28.922157,0.029863,0.981139,-0.193304,0.000000,0.193290,0.981066,-0.012159,0.002341,0.011932,0.999926
262.466667,260.361720,-29.555817,0.027297,0.980901,-0.194507,0.000000,0.194495,0.980841,-0.011114,0.002153,0.010904,0.999938
265.747500,263.579989,-30.193478,0.024825,0.980667,-0.195686,0.000000,0.195676,0.980616,-0.010108,0.001971,0.009914,0.999949
269.028333,266.797477,-30.835067,0.022450,0.980435,-0.196843,0.000000,0.196835,0.980394,-0.009141,0.001793,0.008964,0.999958
272.309167,270.014194,-31.480515,0.020177,0.980206,-0.197978,0.000000,0.197972,0.980173,-0.008215,0.001621,0.008054,0.999966
