DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,-0.001667,0.079976,0.999994,-0.003381,0.000000,0.003361,0.994293,-0.106635,0.000355,0.106634,0.994298
2.000000,1.999985,-0.006665,0.079905,0.999977,-0.006758,0.000000,0.006720,0.994286,-0.106541,0.000710,0.106538,0.994308
3.000000,2.999950,-0.014993,0.079788,0.999949,-0.010131,0.000000,0.010073,0.994274,-0.106385,0.001063,0.106380,0.994325
4.000000,3.999882,-0.026645,0.079626,0.999909,-0.013496,0.000000,0.013420,0.994257,-0.106170,0.001413,0.106161,0.994348
5.000000,4.999769,-0.041615,0.079420,0.999858,-0.016853,0.000000,0.016758,0.994236,-0.105896,0.001761,0.105882,0.994377
6.000000,5.999602,-0.059893,0.079171,0.999796,-0.020200,0.000000,0.020087,0.994210,-0.105565,0.002104,0.105544,0.994412
7.000000,6.999368,-0.081469,0.078879,0.999723,-0.023533,0.000000,0.023403,0.994178,-0.105177,0.002442,0.105149,0.994453
8.000000,7.999059,-0.106330,0.078546,0.999639,-0.026853,0.000000,0.026705,0.994142,-0.104735,0.002775,0.104698,0.994500
9.000000,8.998663,-0.134463,0.078173,0.999545,-0.030156,0.000000,0.029992,0.994100,-0.104239,0.003103,0.104193,0.994552
10.000000,9.998169,-0.165852,0.077760,0.999441,-0.033442,0.000000,0.033262,0.994053,-0.103691,0.003423,0.103634,0.994610
11.000000,10.997569,-0.200478,0.077309,0.999326,-0.036709,0.000000,0.036513,0.994001,-0.103092,0.003736,0.103024,0.994672
12.000000,11.996852,-0.238324,0.076820,0.999201,-0.039955,0.000000,0.039745,0.993945,-0.102442,0.004041,0.102363,0.994739
13.000000,12.996009,-0.279368,0.076296,0.999067,-0.043178,0.000000,0.042954,0.993883,-0.101745,0.004338,0.101652,0.994811
14.000000,13.995031,-0.323587,0.075735,0.998924,-0.046377,0.000000,0.046140,0.993816,-0.101000,0.004626,0.100894,0.994886
15.000000,14.993908,-0.370959,0.075140,0.998772,-0.049551,0.000000,0.049302,0.993744,-0.100209,0.004904,0.100089,0.994966
16.000000,15.992631,-0.421458,0.074511,0.998610,-0.052698,0.000000,0.052437,0.993668,-0.099374,0.005173,0.099239,0.995050
17.000000,16.991194,-0.475058,0.073850,0.998441,-0.055816,0.000000,0.055545,0.993586,-0.098494,0.005431,0.098345,0.995138
18.000000,17.989586,-0.531729,0.073157,0.998264,-0.058905,0.000000,0.058624,0.993500,-0.097573,0.005679,0.097408,0.995228
19.000000,18.987801,-0.591444,0.072433,0.998078,-0.061963,0.000000,0.061673,0.993410,-0.096611,0.005915,0.096430,0.995322
20.000000,19.985831,-0.654171,0.071680,0.997886,-0.064989,0.000000,0.064691,0.993315,-0.095609,0.006140,0.095412,0.995419
21.000000,20.983670,-0.719878,0.070898,0.997687,-0.067981,0.000000,0.067676,0.993215,-0.094569,0.006354,0.094355,0.995518
22.000000,21.981310,-0.788532,0.070088,0.997481,-0.070938,0.000000,0.070628,0.993112,-0.093492,0.006555,0.093262,0.995620
23.000000,22.978746,-0.860100,0.069251,0.997269,-0.073860,0.000000,0.073544,0.993004,-0.092378,0.006745,0.092132,0.995724
24.000000,23.975970,-0.934545,0.068388,0.997051,-0.076745,0.000000,0.076425,0.992893,-0.091231,0.006922,0.090968,0.995830
25.000000,24.972979,-1.011832,0.067500,0.996828,-0.079592,0.000000,0.079268,0.992778,-0.090049,0.007086,0.089770,0.995937
26.000000,25.969766,-1.091922,0.066588,0.996599,-0.082400,0.000000,0.082074,0.992659,-0.088836,0.007238,0.088541,0.996046
27.000000,26.966328,-1.174777,0.065653,0.996367,-0.085168,0.000000,0.084840,0.992537,-0.087592,0.007377,0.087281,0.996156
28.000000,27.962658,-1.260358,0.064696,0.996130,-0.087895,0.000000,0.087566,0.992412,-0.086319,0.007504,0.085992,0.996268
29.000000,28.958755,-1.348625,0.063718,0.995889,-0.090580,0.000000,0.090252,0.992284,-0.085017,0.007617,0.084675,0.996380
30.000000,29.954614,-1.439535,0.062720,0.995645,-0.093222,0.000000,0.092895,0.992153,-0.083688,0.007718,0.083331,0.996492
31.000000,30.950232,-1.533048,0.061703,0.995399,-0.095822,0.000000,0.095496,0.992019,-0.082334,0.007805,0.081963,0.996605
32.000000,31.945606,-1.629120,0.060667,0.995149,-0.098377,0.000000,0.098054,0.991883,-0.080955,0.007880,0.080570,0.996718
33.000000,32.940734,-1.727708,0.059614,0.994898,-0.100887,0.000000,0.100567,0.991745,-0.079553,0.007942,0.079155,0.996831
34.000000,33.935614,-1.828767,0.058545,0.994645,-0.103351,0.000000,0.103036,0.991605,-0.078129,0.007991,0.077719,0.996943
35.000000,34.930245,-1.932253,0.057460,0.994391,-0.105770,0.000000,0.105458,0.991463,-0.076684,0.008028,0.076263,0.997055
36.000000,35.924625,-2.038120,0.056361,0.994136,-0.108141,0.000000,0.107835,0.991319,-0.075220,0.008052,0.074788,0.997167
37.000000,36.918753,-2.146321,0.055248,0.993880,-0.110466,0.000000,0.110165,0.991174,-0.073738,0.008064,0.073296,0.997278
38.000000,37.912630,-2.256811,0.054124,0.993624,-0.112742,0.000000,0.112447,0.991028,-0.072239,0.008063,0.071788,0.997387
39.000000,38.906256,-2.369542,0.052987,0.993369,-0.114970,0.000000,0.114682,0.990881,-0.070725,0.008051,0.070265,0.997496
40.000000,39.899630,-2.484466,0.051840,0.993114,-0.117149,0.000000,0.116868,0.990734,-0.069196,0.008027,0.068729,0.997603
41.000000,40.892753,-2.601535,0.050683,0.992861,-0.119279,0.000000,0.119006,0.990586,-0.067655,0.007992,0.067181,0.997709
42.000000,41.885627,-2.720702,0.049518,0.992609,-0.121360,0.000000,0.121094,0.990438,-0.066102,0.007945,0.065622,0.997813
43.000000,42.878254,-2.841917,0.048345,0.992358,-0.123390,0.000000,0.123133,0.990289,-0.064538,0.007888,0.064054,0.997915
