DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262388,0.999994,-0.003381,0.000000,0.003361,0.994293,-0.106635,0.000355,0.106634,0.994298
6.561667,6.561618,-0.021868,0.262156,0.999977,-0.006758,0.000000,0.006720,0.994286,-0.106541,0.000710,0.106538,0.994308
9.842500,9.842336,-0.049190,0.261772,0.999949,-0.010131,0.000000,0.010073,0.994274,-0.106385,0.001063,0.106380,0.994325
13.123333,13.122945,-0.087419,0.261240,0.999909,-0.013496,0.000000,0.013420,0.994257,-0.106170,0.001413,0.106161,0.994348
16.404167,16.403409,-0.136531,0.260564,0.999858,-0.016853,0.000000,0.016758,0.994236,-0.105896,0.001761,0.105882,0.994377
19.685000,19.683693,-0.196498,0.259745,0.999796,-0.020200,0.000000,0.020087,0.994210,-0.105565,0.002104,0.105544,0.994412
22.965833,22.963761,-0.267285,0.258788,0.999723,-0.023533,0.000000,0.023403,0.994178,-0.105177,0.002442,0.105149,0.994453
26.246667,26.243579,-0.348851,0.257696,0.999639,-0.026853,0.000000,0.026705,0.994142,-0.104735,0.002775,0.104698,0.994500
29.527500,29.523112,-0.441151,0.256471,0.999545,-0.030156,0.000000,0.029992,0.994100,-0.104239,0.003103,0.104193,0.994552
32.808333,32.802328,-0.544131,0.255118,0.999441,-0.033442,0.000000,0.033262,0.994053,-0.103691,0.003423,0.103634,0.994610
36.089167,36.081192,-0.657736,0.253638,0.999326,-0.036709,0.000000,0.036513,0.994001,-0.103092,0.003736,0.103024,0.994672
39.370000,39.359674,-0.781901,0.252035,0.999201,-0.039955,0.000000,0.039745,0.993945,-0.102442,0.004041,0.102363,0.994739
42.650833,42.637741,-0.916559,0.250313,0.999067,-0.043178,0.000000,0.042954,0.993883,-0.101745,0.004338,0.101652,0.994811
45.931667,45.915364,-1.061637,0.248474,0.998924,-0.046377,0.000000,0.046140,0.993816,-0.101000,0.004626,0.100894,0.994886
49.212500,49.192512,-1.217056,0.246522,0.998772,-0.049551,0.000000,0.049302,0.993744,-0.100209,0.004904,0.100089,0.994966
52.493333,52.469158,-1.382735,0.244459,0.998610,-0.052698,0.000000,0.052437,0.993668,-0.099374,0.005173,0.099239,0.995050
55.774167,55.745274,-1.558585,0.242290,0.998441,-0.055816,0.000000,0.055545,0.993586,-0.098494,0.005431,0.098345,0.995138
59.055000,59.020833,-1.744515,0.240016,0.998264,-0.058905,0.000000,0.058624,0.993500,-0.097573,0.005679,0.097408,0.995228
62.335833,62.295811,-1.940429,0.237642,0.998078,-0.061963,0.000000,0.061673,0.993410,-0.096611,0.005915,0.096430,0.995322
65.616667,65.570182,-2.146225,0.235170,0.997886,-0.064989,0.000000,0.064691,0.993315,-0.095609,0.006140,0.095412,0.995419
68.897500,68.843924,-2.361799,0.232604,0.997687,-0.067981,0.000000,0.067676,0.993215,-0.094569,0.006354,0.094355,0.995518
72.178333,72.117015,-2.587043,0.229946,0.997481,-0.070938,0.000000,0.070628,0.993112,-0.093492,0.006555,0.093262,0.995620
75.459167,75.389435,-2.821845,0.227200,0.997269,-0.073860,0.000000,0.073544,0.993004,-0.092378,0.006745,0.092132,0.995724
78.740000,78.661163,-3.066087,0.224369,0.997051,-0.076745,0.000000,0.076425,0.992893,-0.091231,0.006922,0.090968,0.995830
82.020833,81.932182,-3.319651,0.221456,0.996828,-0.079592,0.000000,0.079268,0.992778,-0.090049,0.007086,0.089770,0.995937
85.301667,85.202475,-3.582413,0.218465,0.996599,-0.082400,0.000000,0.082074,0.992659,-0.088836,0.007238,0.088541,0.996046
88.582500,88.472026,-3.854248,0.215397,0.996367,-0.085168,0.000000,0.084840,0.992537,-0.087592,0.007377,0.087281,0.996156
91.863333,91.740822,-4.135025,0.212258,0.996130,-0.087895,0.000000,0.087566,0.992412,-0.086319,0.007504,0.085992,0.996268
95.144167,95.008849,-4.424612,0.209049,0.995889,-0.090580,0.000000,0.090252,0.992284,-0.085017,0.007617,0.084675,0.996380
98.425000,98.276095,-4.722875,0.205774,0.995645,-0.093222,0.000000,0.092895,0.992153,-0.083688,0.007718,0.083331,0.996492
101.705833,101.542551,-5.029675,0.202436,0.995399,-0.095822,0.000000,0.095496,0.992019,-0.082334,0.007805,0.081963,0.996605
104.986667,104.808208,-5.344871,0.199038,0.995149,-0.098377,0.000000,0.098054,0.991883,-0.080955,0.007880,0.080570,0.996718
108.267500,108.073057,-5.668321,0.195583,0.994898,-0.100887,0.000000,0.100567,0.991745,-0.079553,0.007942,0.079155,0.996831
111.548333,111.337093,-5.999880,0.192075,0.994645,-0.103351,0.000000,0.103036,0.991605,-0.078129,0.007991,0.077719,0.996943
114.829167,114.600311,-6.339400,0.188517,0.994391,-0.105770,0.000000,0.105458,0.991463,-0.076684,0.008028,0.076263,0.997055
118.110000,117.862706,-6.686731,0.184911,0.994136,-0.108141,0.000000,0.107835,0.991319,-0.075220,0.008052,0.074788,0.997167
121.390833,121.124277,-7.041722,0.181261,0.993880,-0.110466,0.000000,0.110165,0.991174,-0.073738,0.008064,0.073296,0.997278
124.671667,124.385022,-7.404220,0.177570,0.993624,-0.112742,0.000000,0.112447,0.991028,-0.072239,0.008063,0.071788,0.997387
127.952500,127.644941,-7.774071,0.173842,0.993369,-0.114970,0.000000,0.114682,0.990881,-0.070725,0.008051,0.070265,0.997496
131.233333,130.904036,-8.151118,0.170078,0.993114,-0.117149,0.000000,0.116868,0.990734,-0.069196,0.008027,0.068729,0.997603
134.514167,134.162308,-8.535204,0.166284,0.992861,-0.119279,0.000000,0.119006,0.990586,-0.067655,0.007992,0.067181,0.997709
137.795000,137.419763,-8.926170,0.162461,0.992609,-0.121360,0.000000,0.121094,0.990438,-0.066102,0.007945,0.065622,0.997813
141.075833,140.676404,-9.323855,0.158612,0.992358,-0.123390,0.000000,0.123133,0.990289,-0.064538,0.007888,0.064054,0.997915
144.356667,143.932237,-9.728100,0.154742,0.992110,-0.125371,0.000000,0.125122,0.990141,-0.062965,0.007820,0.062478,0.998016
147.637500,147.187269,-10.138742,0.150853,0.991864,-0.127301,0.000000,0.127061,0.989994,-0.061385,0.007742,0.060895,0.998114
150.918333,150.441509,-10.555620,0.146948,0.991621,-0.129181,0.000000,0.128950,0.989847,-0.059798,0.007654,0.059306,0.998211
154.199167,153.694966,-10.978570,0.143030,0.991381,-0.131010,0.000000,0.130788,0.989700,-0.058205,0.007556,0.057713,0.998305
157.480000,156.947648,-11.407430,0.139103,0.991144,-0.132788,0.000000,0.132575,0.989555,-0.056609,0.007450,0.056117,0.998396
160.760833,160.199568,-11.842034,0.135170,0.990911,-0.134516,0.000000,0.134312,0.989411,-0.055010,0.007334,0.054519,0.998486
164.041667,163.450737,-12.282221,0.131233,0.990682,-0.136192,0.000000,0.135998,0.989268,-0.053410,0.007210,0.052921,0.998573
167.322500,166.701168,-12.727826,0.127297,0.990458,-0.137818,0.000000,0.137633,0.989127,-0.051809,0.007079,0.051323,0.998657
170.603333,169.950874,-13.178684,0.123364,0.990237,-0.139393,0.000000,0.139217,0.988988,-0.050209,0.006939,0.049728,0.998739
173.884167,173.199870,-13.634634,0.119437,0.990021,-0.140917,0.000000,0.140750,0.988851,-0.048612,0.006793,0.048136,0.998818
177.165000,176.448171,-14.095512,0.115519,0.989811,-0.142390,0.000000,0.142233,0.988716,-0.047019,0.006640,0.046548,0.998894
180.445833,179.695792,-14.561154,0.111614,0.989605,-0.143814,0.000000,0.143665,0.988583,-0.045431,0.006480,0.044966,0.998967
183.726667,182.942750,-15.031400,0.107725,0.989404,-0.145187,0.000000,0.145047,0.988453,-0.043849,0.006315,0.043392,0.999038
187.007500,186.189061,-15.506088,0.103854,0.989209,-0.146510,0.000000,0.146379,0.988325,-0.042274,0.006144,0.041825,0.999106
190.288333,189.434744,-15.985056,0.100006,0.989020,-0.147783,0.000000,0.147660,0.988200,-0.040709,0.005969,0.040269,0.999171
193.569167,192.679815,-16.468147,0.096183,0.988836,-0.149007,0.000000,0.148892,0.988078,-0.039153,0.005789,0.038723,0.999233
196.850000,195.924294,-16.955202,0.092388,0.988658,-0.150182,0.000000,0.150075,0.987959,-0.037609,0.005605,0.037189,0.999293
200.130833,199.168199,-17.446063,0.088625,0.988487,-0.151308,0.000000,0.151209,0.987843,-0.036078,0.005418,0.035669,0.999349
203.411667,202.411550,-17.940575,0.084896,0.988321,-0.152386,0.000000,0.152295,0.987731,-0.034561,0.005228,0.034163,0.999403
206.692500,205.654366,-18.438584,0.081206,0.988162,-0.153417,0.000000,0.153333,0.987621,-0.033059,0.005035,0.032673,0.999453
209.973333,208.896666,-18.939937,0.077556,0.988008,-0.154400,0.000000,0.154323,0.987516,-0.031574,0.004840,0.031200,0.999501
213.254167,212.138471,-19.444484,0.073950,0.987862,-0.155336,0.000000,0.155266,0.987414,-0.030106,0.004644,0.029746,0.999547
216.535000,215.379801,-19.952075,0.070391,0.987721,-0.156227,0.000000,0.156163,0.987315,-0.028658,0.004447,0.028311,0.999589
219.815833,218.620675,-20.462564,0.066883,0.987587,-0.157072,0.000000,0.157014,0.987221,-0.027230,0.004249,0.026896,0.999629
223.096667,221.861115,-20.975805,0.063429,0.987459,-0.157873,0.000000,0.157820,0.987130,-0.025824,0.004050,0.025504,0.999667
226.377500,225.101140,-21.491657,0.060031,0.987338,-0.158629,0.000000,0.158582,0.987043,-0.024441,0.003852,0.024135,0.999701
229.658333,228.340771,-22.009980,0.056693,0.987223,-0.159343,0.000000,0.159300,0.986960,-0.023082,0.003655,0.022791,0.999734
232.939167,231.580028,-22.530635,0.053418,0.987115,-0.160013,0.000000,0.159975,0.986881,-0.021749,0.003459,0.021472,0.999763
236.220000,234.818931,-23.053487,0.050209,0.987013,-0.160642,0.000000,0.160609,0.986806,-0.020442,0.003264,0.020180,0.999791
239.500833,238.057500,-23.578405,0.047069,0.986917,-0.161231,0.000000,0.161201,0.986736,-0.019164,0.003072,0.018916,0.999816
242.781667,241.295755,-24.105259,0.044002,0.986827,-0.161779,0.000000,0.161753,0.986669,-0.017916,0.002882,0.017682,0.999840
246.062500,244.533714,-24.633923,0.041010,0.986743,-0.162288,0.000000,0.162266,0.986606,-0.016698,0.002695,0.016479,0.999861
249.343333,247.771398,-25.164273,0.038098,0.986666,-0.162760,0.000000,0.162740,0.986547,-0.015512,0.002511,0.015307,0.999880
252.624167,251.008824,-25.696190,0.035267,0.986594,-0.163194,0.000000,0.163177,0.986492,-0.014359,0.002331,0.014169,0.999897
255.905000,254.246012,-26.229558,0.032521,0.986528,-0.163593,0.000000,0.163578,0.986441,-0.013241,0.002155,0.013065,0.999912
259.185833,257.482980,-26.764262,0.029863,0.986468,-0.163957,0.000000,0.163944,0.986395,-0.012159,0.001984,0.011996,0.999926
262.466667,260.719744,-27.300195,0.027297,0.986413,-0.164287,0.000000,0.164276,0.986352,-0.011114,0.001818,0.010965,0.999938
265.747500,263.956323,-27.837250,0.024825,0.986363,-0.164584,0.000000,0.164576,0.986313,-0.010108,0.001656,0.009971,0.999949
269.028333,267.192730,-28.375326,0.022450,0.986319,-0.164850,0.000000,0.164843,0.986277,-0.009141,0.001501,0.009017,0.999958
272.309167,270.428986,-28.914325,0.020177,0.986279,-0.165086,0.000000,0.165081,0.986246,-0.008215,0.001351,0.008104,0.999966
