DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1.000000,1.000000,-0.000000,0.000024,1.000000,0.000047,0.000000,-0.000047,1.000000,0.000032,-0.000000,-0.000032,1.000000
2.000000,2.000000,-0.000001,0.000095,1.000000,0.000091,0.000000,-0.000091,1.000000,0.000127,-0.000000,-0.000127,1.000000
3.000000,3.000000,-0.000007,0.000212,1.000000,0.000131,0.000000,-0.000131,1.000000,0.000283,-0.000000,-0.000283,1.000000
4.000000,4.000000,-0.000021,0.000374,1.000000,0.000163,0.000000,-0.000163,1.000000,0.000499,-0.000000,-0.000499,1.000000
5.000000,5.000000,-0.000051,0.000580,1.000000,0.000187,0.000000,-0.000187,1.000000,0.000775,-0.000000,-0.000775,1.000000
6.000000,6.000000,-0.000105,0.000829,1.000000,0.000201,0.000000,-0.000201,0.999999,0.001108,-0.000000,-0.001108,0.999999
7.000000,7.000000,-0.000194,0.001121,1.000000,0.000202,0.000000,-0.000202,0.999999,0.001498,-0.000000,-0.001498,0.999999
8.000000,8.000000,-0.000330,0.001454,1.000000,0.000189,0.000000,-0.000189,0.999998,0.001942,-0.000000,-0.001942,0.999998
9.000000,9.000000,-0.000527,0.001827,1.000000,0.000161,0.000000,-0.000161,0.999997,0.002441,-0.000001,-0.002441,0.999997
10.000000,10.000000,-0.000800,0.002240,1.000000,0.000115,0.000000,-0.000115,0.999996,0.002992,-0.000001,-0.002992,0.999996
11.000000,11.000000,-0.001166,0.002691,1.000000,0.000051,0.000000,-0.000051,0.999994,0.003595,-0.000002,-0.003595,0.999994
12.000000,12.000000,-0.001645,0.003180,1.000000,-0.000035,0.000000,0.000035,0.999991,0.004247,-0.000002,-0.004247,0.999991
13.000000,13.000000,-0.002256,0.003704,1.000000,-0.000142,0.000000,0.000142,0.999988,0.004949,-0.000003,-0.004949,0.999988
14.000000,13.999999,-0.003022,0.004265,1.000000,-0.000273,0.000000,0.000273,0.999984,0.005697,-0.000005,-0.005697,0.999984
15.000000,14.999999,-0.003966,0.004860,1.000000,-0.000429,0.000000,0.000429,0.999979,0.006492,-0.000007,-0.006492,0.999979
16.000000,15.999998,-0.005112,0.005489,1.000000,-0.000611,0.000000,0.000611,0.999973,0.007332,-0.000009,-0.007332,0.999973
17.000000,16.999997,-0.006487,0.006150,1.000000,-0.000821,0.000000,0.000821,0.999966,0.008215,-0.000012,-0.008215,0.999966
18.000000,17.999996,-0.008118,0.006843,0.999999,-0.001061,0.000000,0.001061,0.999958,0.009141,-0.000016,-0.009141,0.999958
19.000000,18.999994,-0.010035,0.007567,0.999999,-0.001330,0.000000,0.001330,0.999948,0.010108,-0.000021,-0.010108,0.999949
20.000000,19.999992,-0.012267,0.008320,0.999999,-0.001632,0.000000,0.001632,0.999937,0.011114,-0.000027,-0.011114,0.999938
21.000000,20.999988,-0.014845,0.009102,0.999998,-0.001967,0.000000,0.001966,0.999924,0.012159,-0.000034,-0.012159,0.999926
22.000000,21.999984,-0.017803,0.009912,0.999997,-0.002335,0.000000,0.002335,0.999910,0.013241,-0.000042,-0.013241,0.999912
23.000000,22.999978,-0.021175,0.010749,0.999996,-0.002739,0.000000,0.002739,0.999893,0.014359,-0.000052,-0.014359,0.999897
24.000000,23.999971,-0.024994,0.011612,0.999995,-0.003180,0.000000,0.003179,0.999875,0.015512,-0.000063,-0.015512,0.999880
25.000000,24.999961,-0.029297,0.012500,0.999993,-0.003657,0.000000,0.003657,0.999854,0.016698,-0.000076,-0.016697,0.999861
26.000000,25.999950,-0.034121,0.013412,0.999991,-0.004174,0.000000,0.004173,0.999831,0.017916,-0.000091,-0.017915,0.999840
27.000000,26.999935,-0.039504,0.014347,0.999989,-0.004729,0.000000,0.004728,0.999805,0.019164,-0.000109,-0.019164,0.999816
28.000000,27.999917,-0.045484,0.015304,0.999986,-0.005325,0.000000,0.005324,0.999777,0.020442,-0.000129,-0.020442,0.999791
29.000000,28.999896,-0.052103,0.016282,0.999982,-0.005963,0.000000,0.005961,0.999746,0.021749,-0.000151,-0.021748,0.999763
30.000000,29.999869,-0.059400,0.017280,0.999978,-0.006642,0.000000,0.006640,0.999712,0.023082,-0.000177,-0.023081,0.999734
31.000000,30.999837,-0.067417,0.018297,0.999973,-0.007364,0.000000,0.007362,0.999674,0.024441,-0.000205,-0.024440,0.999701
32.000000,31.999798,-0.076196,0.019333,0.999967,-0.008130,0.000000,0.008128,0.999633,0.025824,-0.000237,-0.025823,0.999667
33.000000,32.999752,-0.085781,0.020386,0.999960,-0.008941,0.000000,0.008938,0.999589,0.027230,-0.000272,-0.027229,0.999629
34.000000,33.999698,-0.096215,0.021455,0.999952,-0.009797,0.000000,0.009793,0.999541,0.028658,-0.000312,-0.028656,0.999589
35.000000,34.999634,-0.107544,0.022540,0.999943,-0.010698,0.000000,0.010694,0.999490,0.030106,-0.000355,-0.030104,0.999547
36.000000,35.999558,-0.119811,0.023639,0.999932,-0.011646,0.000000,0.011641,0.999434,0.031574,-0.000403,-0.031571,0.999501
