DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079976,0.999995,0.003286,0.000000,-0.003267,0.994293,-0.106635,-0.000355,0.106634,0.994298
2.000000,1.999985,0.006666,0.079905,0.999978,0.006571,0.000000,-0.006533,0.994287,-0.106541,-0.000710,0.106538,0.994308
3.000000,2.999950,0.014995,0.079788,0.999951,0.009854,0.000000,-0.009798,0.994277,-0.106385,-0.001063,0.106380,0.994325
4.000000,3.999882,0.026652,0.079626,0.999914,0.013134,0.000000,-0.013060,0.994262,-0.106170,-0.001414,0.106161,0.994348
5.000000,4.999769,0.041630,0.079420,0.999865,0.016409,0.000000,-0.016317,0.994243,-0.105896,-0.001762,0.105882,0.994377
6.000000,5.999601,0.059924,0.079171,0.999806,0.019679,0.000000,-0.019569,0.994220,-0.105565,-0.002106,0.105544,0.994412
7.000000,6.999367,0.081527,0.078879,0.999737,0.022942,0.000000,-0.022814,0.994192,-0.105177,-0.002446,0.105149,0.994453
8.000000,7.999057,0.106429,0.078546,0.999657,0.026196,0.000000,-0.026052,0.994159,-0.104735,-0.002781,0.104698,0.994500
9.000000,8.998659,0.134621,0.078173,0.999567,0.029440,0.000000,-0.029280,0.994121,-0.104239,-0.003110,0.104193,0.994552
10.000000,9.998163,0.166091,0.077760,0.999466,0.032674,0.000000,-0.032498,0.994079,-0.103691,-0.003433,0.103634,0.994610
11.000000,10.997559,0.200828,0.077309,0.999356,0.035896,0.000000,-0.035704,0.994031,-0.103092,-0.003749,0.103023,0.994672
12.000000,11.996837,0.238817,0.076820,0.999235,0.039104,0.000000,-0.038898,0.993978,-0.102442,-0.004058,0.102362,0.994739
13.000000,12.995986,0.280044,0.076296,0.999105,0.042299,0.000000,-0.042079,0.993920,-0.101745,-0.004359,0.101651,0.994811
14.000000,13.994997,0.324493,0.075735,0.998965,0.045478,0.000000,-0.045245,0.993857,-0.101000,-0.004652,0.100893,0.994886
15.000000,14.993861,0.372148,0.075140,0.998816,0.048640,0.000000,-0.048396,0.993789,-0.100209,-0.004935,0.100088,0.994966
16.000000,15.992567,0.422991,0.074511,0.998658,0.051786,0.000000,-0.051529,0.993715,-0.099374,-0.005210,0.099237,0.995050
17.000000,16.991107,0.477002,0.073850,0.998491,0.054913,0.000000,-0.054646,0.993636,-0.098494,-0.005475,0.098342,0.995138
18.000000,17.989472,0.534162,0.073157,0.998315,0.058021,0.000000,-0.057744,0.993552,-0.097573,-0.005730,0.097405,0.995228
19.000000,18.987652,0.594450,0.072433,0.998131,0.061108,0.000000,-0.060822,0.993462,-0.096611,-0.005975,0.096426,0.995322
20.000000,19.985640,0.657846,0.071680,0.997939,0.064175,0.000000,-0.063881,0.993367,-0.095609,-0.006209,0.095407,0.995419
21.000000,20.983428,0.724325,0.070898,0.997738,0.067219,0.000000,-0.066918,0.993267,-0.094569,-0.006432,0.094350,0.995518
22.000000,21.981007,0.793864,0.070088,0.997530,0.070241,0.000000,-0.069933,0.993161,-0.093492,-0.006644,0.093255,0.995620
23.000000,22.978369,0.866441,0.069251,0.997314,0.073238,0.000000,-0.072925,0.993050,-0.092378,-0.006844,0.092125,0.995724
24.000000,23.975508,0.942028,0.068388,0.997092,0.076212,0.000000,-0.075894,0.992934,-0.091231,-0.007033,0.090959,0.995830
25.000000,24.972416,1.020602,0.067500,0.996862,0.079160,0.000000,-0.078839,0.992812,-0.090049,-0.007209,0.089760,0.995937
26.000000,25.969086,1.102134,0.066588,0.996626,0.082083,0.000000,-0.081758,0.992685,-0.088836,-0.007374,0.088530,0.996046
27.000000,26.965512,1.186599,0.065653,0.996383,0.084979,0.000000,-0.084652,0.992553,-0.087592,-0.007526,0.087268,0.996156
28.000000,27.961688,1.273968,0.064696,0.996134,0.087847,0.000000,-0.087519,0.992416,-0.086319,-0.007666,0.085978,0.996268
29.000000,28.957607,1.364212,0.063718,0.995879,0.090688,0.000000,-0.090360,0.992274,-0.085017,-0.007794,0.084659,0.996380
30.000000,29.953265,1.457302,0.062720,0.995619,0.093500,0.000000,-0.093172,0.992127,-0.083688,-0.007909,0.083314,0.996492
31.000000,30.948654,1.553209,0.061703,0.995354,0.096283,0.000000,-0.095957,0.991975,-0.082334,-0.008011,0.081943,0.996605
32.000000,31.943772,1.651903,0.060667,0.995084,0.099037,0.000000,-0.098712,0.991818,-0.080955,-0.008102,0.080548,0.996718
33.000000,32.938612,1.753351,0.059614,0.994809,0.101761,0.000000,-0.101438,0.991656,-0.079553,-0.008179,0.079131,0.996831
34.000000,33.933171,1.857525,0.058545,0.994530,0.104453,0.000000,-0.104134,0.991490,-0.078129,-0.008244,0.077692,0.996943
35.000000,34.927445,1.964390,0.057460,0.994247,0.107115,0.000000,-0.106800,0.991319,-0.076684,-0.008297,0.076234,0.997055
36.000000,35.921428,2.073916,0.056361,0.993960,0.109746,0.000000,-0.109435,0.991144,-0.075220,-0.008338,0.074757,0.997167
37.000000,36.915119,2.186069,0.055248,0.993669,0.112344,0.000000,-0.112038,0.990964,-0.073738,-0.008366,0.073262,0.997278
38.000000,37.908513,2.300817,0.054124,0.993376,0.114911,0.000000,-0.114610,0.990780,-0.072239,-0.008382,0.071751,0.997387
39.000000,38.901608,2.418125,0.052987,0.993079,0.117444,0.000000,-0.117150,0.990593,-0.070725,-0.008386,0.070226,0.997496
40.000000,39.894402,2.537962,0.051840,0.992781,0.119945,0.000000,-0.119658,0.990401,-0.069196,-0.008379,0.068687,0.997603
41.000000,40.886891,2.660292,0.050683,0.992479,0.122413,0.000000,-0.122132,0.990205,-0.067655,-0.008360,0.067136,0.997709
42.000000,41.879074,2.785081,0.049518,0.992176,0.124847,0.000000,-0.124574,0.990006,-0.066102,-0.008329,0.065575,0.997813
43.000000,42.870949,2.912295,0.048345,0.991871,0.127248,0.000000,-0.126983,0.989803,-0.064538,-0.008288,0.064004,0.997915
44.000000,43.862515,3.041899,0.047165,0.991564,0.129615,0.000000,-0.129358,0.989597,-0.062965,-0.008235,0.062425,0.998016
45.000000,44.853770,3.173858,0.045980,0.991257,0.131948,0.000000,-0.131699,0.989387,-0.061385,-0.008172,0.060839,0.998114
46.000000,45.844713,3.308137,0.044790,0.990948,0.134246,0.000000,-0.134006,0.989175,-0.059798,-0.008098,0.059247,0.998211
47.000000,46.835344,3.444702,0.043596,0.990639,0.136511,0.000000,-0.136280,0.988959,-0.058205,-0.008015,0.057651,0.998305
48.000000,47.825662,3.583516,0.042399,0.990329,0.138741,0.000000,-0.138519,0.988741,-0.056609,-0.007921,0.056052,0.998396
49.000000,48.815667,3.724545,0.041200,0.990019,0.140937,0.000000,-0.140724,0.988519,-0.055010,-0.007818,0.054452,0.998486
50.000000,49.805360,3.867754,0.040000,0.989708,0.143099,0.000000,-0.142894,0.988296,-0.053410,-0.007706,0.052851,0.998573
51.000000,50.794739,4.013106,0.038800,0.989399,0.145226,0.000000,-0.145031,0.988070,-0.051809,-0.007585,0.051251,0.998657
52.000000,51.783807,4.160567,0.037601,0.989089,0.147319,0.000000,-0.147133,0.987842,-0.050209,-0.007456,0.049653,0.998739
53.000000,52.772563,4.310102,0.036404,0.988780,0.149377,0.000000,-0.149201,0.987611,-0.048612,-0.007319,0.048058,0.998818
54.000000,53.761009,4.461675,0.035210,0.988472,0.151402,0.000000,-0.151234,0.987379,-0.047019,-0.007174,0.046469,0.998894
55.000000,54.749146,4.615251,0.034020,0.988165,0.153392,0.000000,-0.153234,0.987145,-0.045431,-0.007022,0.044885,0.998967
56.000000,55.736975,4.770795,0.032835,0.987860,0.155349,0.000000,-0.155199,0.986910,-0.043849,-0.006863,0.043308,0.999038
57.000000,56.724497,4.928273,0.031655,0.987555,0.157271,0.000000,-0.157131,0.986673,-0.042274,-0.006698,0.041740,0.999106
58.000000,57.711715,5.087650,0.030482,0.987253,0.159161,0.000000,-0.159029,0.986434,-0.040709,-0.006526,0.040182,0.999171
59.000000,58.698630,5.248892,0.029317,0.986952,0.161017,0.000000,-0.160893,0.986195,-0.039153,-0.006349,0.038635,0.999233
60.000000,59.685244,5.411964,0.028160,0.986653,0.162840,0.000000,-0.162724,0.985955,-0.037609,-0.006167,0.037100,0.999293
61.000000,60.671559,5.576833,0.027013,0.986355,0.164630,0.000000,-0.164523,0.985713,-0.036078,-0.005980,0.035579,0.999349
62.000000,61.657578,5.743465,0.025876,0.986060,0.166388,0.000000,-0.166288,0.985471,-0.034561,-0.005789,0.034073,0.999403
63.000000,62.643303,5.911827,0.024752,0.985768,0.168113,0.000000,-0.168021,0.985229,-0.033059,-0.005594,0.032582,0.999453
64.000000,63.628737,6.081886,0.023639,0.985477,0.169807,0.000000,-0.169722,0.984986,-0.031574,-0.005396,0.031109,0.999501
65.000000,64.613882,6.253610,0.022540,0.985189,0.171470,0.000000,-0.171392,0.984743,-0.030106,-0.005195,0.029655,0.999547
66.000000,65.598741,6.426966,0.021455,0.984904,0.173101,0.000000,-0.173030,0.984500,-0.028658,-0.004991,0.028220,0.999589
67.000000,66.583317,6.601923,0.020386,0.984621,0.174703,0.000000,-0.174638,0.984256,-0.027230,-0.004786,0.026806,0.999629
68.000000,67.567612,6.778451,0.019333,0.984341,0.176274,0.000000,-0.176215,0.984013,-0.025824,-0.004579,0.025415,0.999667
69.000000,68.551631,6.956517,0.018297,0.984064,0.177816,0.000000,-0.177762,0.983770,-0.024441,-0.004371,0.024047,0.999701
70.000000,69.535375,7.136092,0.017280,0.983789,0.179328,0.000000,-0.179281,0.983527,-0.023082,-0.004162,0.022704,0.999734
71.000000,70.518848,7.317147,0.016282,0.983518,0.180813,0.000000,-0.180770,0.983285,-0.021749,-0.003954,0.021386,0.999763
72.000000,71.502053,7.499652,0.015304,0.983249,0.182269,0.000000,-0.182231,0.983043,-0.020442,-0.003745,0.020096,0.999791
73.000000,72.484992,7.683579,0.014347,0.982983,0.183699,0.000000,-0.183665,0.982802,-0.019164,-0.003538,0.018835,0.999816
74.000000,73.467670,7.868900,0.013412,0.982719,0.185102,0.000000,-0.185072,0.982562,-0.017916,-0.003332,0.017603,0.999840
75.000000,74.450090,8.055588,0.012500,0.982459,0.186479,0.000000,-0.186453,0.982322,-0.016698,-0.003129,0.016402,0.999861
76.000000,75.432253,8.243617,0.011612,0.982202,0.187830,0.000000,-0.187808,0.982083,-0.015512,-0.002927,0.015233,0.999880
77.000000,76.414164,8.432960,0.010749,0.981947,0.189158,0.000000,-0.189138,0.981846,-0.014359,-0.002728,0.014098,0.999897
78.000000,77.395825,8.623593,0.009912,0.981695,0.190461,0.000000,-0.190444,0.981609,-0.013241,-0.002533,0.012997,0.999912
79.000000,78.377240,8.815491,0.009102,0.981445,0.191742,0.000000,-0.191727,0.981373,-0.012159,-0.002341,0.011932,0.999926
80.000000,79.358411,9.008631,0.008320,0.981199,0.193000,0.000000,-0.192988,0.981138,-0.011114,-0.002153,0.010904,0.999938
81.000000,80.339341,9.202990,0.007567,0.980955,0.194237,0.000000,-0.194227,0.980905,-0.010108,-0.001971,0.009914,0.999949
82.000000,81.320034,9.398547,0.006843,0.980713,0.195454,0.000000,-0.195445,0.980672,-0.009141,-0.001793,0.008964,0.999958
83.000000,82.300491,9.595280,0.006150,0.980474,0.196650,0.000000,-0.196644,0.980441,-0.008215,-0.001621,0.008054,0.999966
84.000000,83.280715,9.793169,0.005489,0.980237,0.197829,0.000000,-0.197823,0.980210,-0.007332,-0.001455,0.007186,0.999973
85.000000,84.260709,9.992196,0.004860,0.980002,0.198989,0.000000,-0.198985,0.979981,-0.006492,-0.001296,0.006362,0.999979
86.000000,85.240475,10.192341,0.004265,0.979769,0.200133,0.000000,-0.200129,0.979753,-0.005697,-0.001143,0.005581,0.999984
87.000000,86.220016,10.393588,0.003704,0.979538,0.201260,0.000000,-0.201258,0.979526,-0.004949,-0.000999,0.004847,0.999988
88.000000,87.199333,10.595920,0.003180,0.979308,0.202373,0.000000,-0.202371,0.979300,-0.004247,-0.000862,0.004159,0.999991
89.000000,88.178428,10.799322,0.002691,0.979081,0.203472,0.000000,-0.203471,0.979074,-0.003595,-0.000733,0.003519,0.999994
