DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,0.005468,0.262388,0.999995,0.003286,0.000000,-0.003267,0.994293,-0.106635,-0.000355,0.106634,0.994298
6.561667,6.561618,0.021869,0.262156,0.999978,0.006571,0.000000,-0.006533,0.994287,-0.106541,-0.000710,0.106538,0.994308
9.842500,9.842336,0.049197,0.261772,0.999951,0.009854,0.000000,-0.009798,0.994277,-0.106385,-0.001063,0.106380,0.994325
13.123333,13.122945,0.087439,0.261240,0.999914,0.013134,0.000000,-0.013060,0.994262,-0.106170,-0.001414,0.106161,0.994348
16.404167,16.403409,0.136581,0.260564,0.999865,0.016409,0.000000,-0.016317,0.994243,-0.105896,-0.001762,0.105882,0.994377
19.685000,19.683692,0.196601,0.259745,0.999806,0.019679,0.000000,-0.019569,0.994220,-0.105565,-0.002106,0.105544,0.994412
22.965833,22.963758,0.267476,0.258788,0.999737,0.022942,0.000000,-0.022814,0.994192,-0.105177,-0.002446,0.105149,0.994453
26.246667,26.243572,0.349176,0.257696,0.999657,0.026196,0.000000,-0.026052,0.994159,-0.104735,-0.002781,0.104698,0.994500
29.527500,29.523100,0.441669,0.256471,0.999567,0.029440,0.000000,-0.029280,0.994121,-0.104239,-0.003110,0.104193,0.994552
32.808333,32.802307,0.544918,0.255118,0.999466,0.032674,0.000000,-0.032498,0.994079,-0.103691,-0.003433,0.103634,0.994610
36.089167,36.081159,0.658883,0.253638,0.999356,0.035896,0.000000,-0.035704,0.994031,-0.103092,-0.003749,0.103023,0.994672
39.370000,39.359622,0.783519,0.252035,0.999235,0.039104,0.000000,-0.038898,0.993978,-0.102442,-0.004058,0.102362,0.994739
42.650833,42.637665,0.918778,0.250313,0.999105,0.042299,0.000000,-0.042079,0.993920,-0.101745,-0.004359,0.101651,0.994811
45.931667,45.915254,1.064609,0.248474,0.998965,0.045478,0.000000,-0.045245,0.993857,-0.101000,-0.004652,0.100893,0.994886
49.212500,49.192359,1.220956,0.246522,0.998816,0.048640,0.000000,-0.048396,0.993789,-0.100209,-0.004935,0.100088,0.994966
52.493333,52.468947,1.387762,0.244459,0.998658,0.051786,0.000000,-0.051529,0.993715,-0.099374,-0.005210,0.099237,0.995050
55.774167,55.744990,1.564963,0.242290,0.998491,0.054913,0.000000,-0.054646,0.993636,-0.098494,-0.005475,0.098342,0.995138
59.055000,59.020458,1.752496,0.240016,0.998315,0.058021,0.000000,-0.057744,0.993552,-0.097573,-0.005730,0.097405,0.995228
62.335833,62.295322,1.950293,0.237642,0.998131,0.061108,0.000000,-0.060822,0.993462,-0.096611,-0.005975,0.096426,0.995322
65.616667,65.569555,2.158282,0.235170,0.997939,0.064175,0.000000,-0.063881,0.993367,-0.095609,-0.006209,0.095407,0.995419
68.897500,68.843129,2.376388,0.232604,0.997738,0.067219,0.000000,-0.066918,0.993267,-0.094569,-0.006432,0.094350,0.995518
72.178333,72.116019,2.604537,0.229946,0.997530,0.070241,0.000000,-0.069933,0.993161,-0.093492,-0.006644,0.093255,0.995620
75.459167,75.388199,2.842648,0.227200,0.997314,0.073238,0.000000,-0.072925,0.993050,-0.092378,-0.006844,0.092125,0.995724
78.740000,78.659645,3.090638,0.224369,0.997092,0.076212,0.000000,-0.075894,0.992934,-0.091231,-0.007033,0.090959,0.995830
82.020833,81.930334,3.348425,0.221456,0.996862,0.079160,0.000000,-0.078839,0.992812,-0.090049,-0.007209,0.089760,0.995937
85.301667,85.200243,3.615919,0.218465,0.996626,0.082083,0.000000,-0.081758,0.992685,-0.088836,-0.007374,0.088530,0.996046
88.582500,88.469351,3.893033,0.215397,0.996383,0.084979,0.000000,-0.084652,0.992553,-0.087592,-0.007526,0.087268,0.996156
91.863333,91.737638,4.179675,0.212258,0.996134,0.087847,0.000000,-0.087519,0.992416,-0.086319,-0.007666,0.085978,0.996268
95.144167,95.005083,4.475751,0.209049,0.995879,0.090688,0.000000,-0.090360,0.992274,-0.085017,-0.007794,0.084659,0.996380
98.425000,98.271669,4.781165,0.205774,0.995619,0.093500,0.000000,-0.093172,0.992127,-0.083688,-0.007909,0.083314,0.996492
101.705833,101.537377,5.095820,0.202436,0.995354,0.096283,0.000000,-0.095957,0.991975,-0.082334,-0.008011,0.081943,0.996605
104.986667,104.802192,5.419617,0.199038,0.995084,0.099037,0.000000,-0.098712,0.991818,-0.080955,-0.008102,0.080548,0.996718
108.267500,108.066098,5.752454,0.195583,0.994809,0.101761,0.000000,-0.101438,0.991656,-0.079553,-0.008179,0.079131,0.996831
111.548333,111.329080,6.094228,0.192075,0.994530,0.104453,0.000000,-0.104134,0.991490,-0.078129,-0.008244,0.077692,0.996943
114.829167,114.591124,6.444836,0.188517,0.994247,0.107115,0.000000,-0.106800,0.991319,-0.076684,-0.008297,0.076234,0.997055
118.110000,117.852219,6.804172,0.184911,0.993960,0.109746,0.000000,-0.109435,0.991144,-0.075220,-0.008338,0.074757,0.997167
121.390833,121.112352,7.172128,0.181261,0.993669,0.112344,0.000000,-0.112038,0.990964,-0.073738,-0.008366,0.073262,0.997278
124.671667,124.371514,7.548596,0.177570,0.993376,0.114911,0.000000,-0.114610,0.990780,-0.072239,-0.008382,0.071751,0.997387
127.952500,127.629693,7.933467,0.173842,0.993079,0.117444,0.000000,-0.117150,0.990593,-0.070725,-0.008386,0.070226,0.997496
131.233333,130.886883,8.326630,0.170078,0.992781,0.119945,0.000000,-0.119658,0.990401,-0.069196,-0.008379,0.068687,0.997603
134.514167,134.143075,8.727974,0.166284,0.992479,0.122413,0.000000,-0.122132,0.990205,-0.067655,-0.008360,0.067136,0.997709
137.795000,137.398262,9.137386,0.162461,0.992176,0.124847,0.000000,-0.124574,0.990006,-0.066102,-0.008329,0.065575,0.997813
141.075833,140.652439,9.554753,0.158612,0.991871,0.127248,0.000000,-0.126983,0.989803,-0.064538,-0.008288,0.064004,0.997915
144.356667,143.905600,9.979962,0.154742,0.991564,0.129615,0.000000,-0.129358,0.989597,-0.062965,-0.008235,0.062425,0.998016
147.637500,147.157742,10.412899,0.150853,0.991257,0.131948,0.000000,-0.131699,0.989387,-0.061385,-0.008172,0.060839,0.998114
150.918333,150.408862,10.853447,0.146948,0.990948,0.134246,0.000000,-0.134006,0.989175,-0.059798,-0.008098,0.059247,0.998211
154.199167,153.658957,11.301493,0.143030,0.990639,0.136511,0.000000,-0.136280,0.988959,-0.058205,-0.008015,0.057651,0.998305
