DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280840,3.280834,0.005468,0.262389,0.999995,0.003285,0.000000,-0.003267,0.994293,-0.106635,-0.000355,0.106634,0.994298
6.561680,6.561631,0.021868,0.262156,0.999978,0.006570,0.000000,-0.006533,0.994287,-0.106541,-0.000710,0.106538,0.994308
9.842520,9.842356,0.049190,0.261773,0.999951,0.009851,0.000000,-0.009795,0.994277,-0.106385,-0.001063,0.106380,0.994325
13.123360,13.122971,0.087419,0.261241,0.999914,0.013128,0.000000,-0.013054,0.994262,-0.106170,-0.001413,0.106161,0.994348
16.404199,16.403442,0.136531,0.260564,0.999866,0.016397,0.000000,-0.016305,0.994243,-0.105896,-0.001761,0.105882,0.994377
19.685039,19.683733,0.196498,0.259746,0.999807,0.019658,0.000000,-0.019548,0.994220,-0.105565,-0.002104,0.105544,0.994412
22.965879,22.963807,0.267285,0.258789,0.999738,0.022909,0.000000,-0.022781,0.994192,-0.105177,-0.002442,0.105149,0.994453
26.246719,26.243631,0.348852,0.257697,0.999658,0.026147,0.000000,-0.026003,0.994160,-0.104735,-0.002775,0.104698,0.994500
29.527559,29.523171,0.441151,0.256472,0.999569,0.029371,0.000000,-0.029211,0.994123,-0.104239,-0.003103,0.104193,0.994552
32.808399,32.802393,0.544132,0.255118,0.999469,0.032579,0.000000,-0.032403,0.994082,-0.103691,-0.003423,0.103634,0.994610
36.089239,36.081264,0.657737,0.253638,0.999360,0.035770,0.000000,-0.035579,0.994035,-0.103092,-0.003736,0.103024,0.994672
39.370079,39.359752,0.781902,0.252036,0.999241,0.038942,0.000000,-0.038737,0.993984,-0.102442,-0.004041,0.102363,0.994739
42.650919,42.637826,0.916561,0.250313,0.999114,0.042093,0.000000,-0.041875,0.993929,-0.101745,-0.004338,0.101652,0.994811
45.931759,45.915455,1.061639,0.248475,0.998977,0.045223,0.000000,-0.044991,0.993869,-0.101000,-0.004626,0.100894,0.994886
49.212598,49.192611,1.217059,0.246522,0.998831,0.048329,0.000000,-0.048085,0.993804,-0.100209,-0.004904,0.100089,0.994966
52.493438,52.469263,1.382738,0.244460,0.998678,0.051409,0.000000,-0.051155,0.993734,-0.099374,-0.005173,0.099239,0.995050
55.774278,55.745386,1.558588,0.242290,0.998516,0.054464,0.000000,-0.054199,0.993661,-0.098494,-0.005431,0.098345,0.995138
59.055118,59.020951,1.744519,0.240017,0.998346,0.057491,0.000000,-0.057216,0.993582,-0.097573,-0.005679,0.097408,0.995228
62.335958,62.295935,1.940433,0.237643,0.998169,0.060489,0.000000,-0.060206,0.993500,-0.096611,-0.005915,0.096430,0.995322
65.616798,65.570313,2.146229,0.235171,0.997985,0.063456,0.000000,-0.063165,0.993413,-0.095609,-0.006140,0.095412,0.995419
68.897638,68.844062,2.361804,0.232604,0.997794,0.066392,0.000000,-0.066094,0.993322,-0.094569,-0.006354,0.094355,0.995518
72.178478,72.117160,2.587049,0.229946,0.997596,0.069295,0.000000,-0.068992,0.993227,-0.093492,-0.006555,0.093262,0.995620
75.459318,75.389585,2.821850,0.227201,0.997393,0.072165,0.000000,-0.071856,0.993128,-0.092378,-0.006745,0.092132,0.995724
78.740157,78.661320,3.066093,0.224370,0.997184,0.074999,0.000000,-0.074686,0.993025,-0.091231,-0.006922,0.090968,0.995830
82.020997,81.932346,3.319658,0.221457,0.996969,0.077797,0.000000,-0.077481,0.992919,-0.090049,-0.007086,0.089770,0.995937
85.301837,85.202645,3.582420,0.218465,0.996750,0.080559,0.000000,-0.080240,0.992809,-0.088836,-0.007238,0.088541,0.996046
88.582677,88.472203,3.854255,0.215398,0.996526,0.083282,0.000000,-0.082962,0.992696,-0.087592,-0.007377,0.087281,0.996156
