DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079976,0.999995,0.003285,0.000000,-0.003267,0.994293,-0.106635,-0.000355,0.106634,0.994298
2.000000,1.999985,0.006665,0.079905,0.999978,0.006570,0.000000,-0.006533,0.994287,-0.106541,-0.000710,0.106538,0.994308
3.000000,2.999950,0.014993,0.079788,0.999951,0.009851,0.000000,-0.009795,0.994277,-0.106385,-0.001063,0.106380,0.994325
4.000000,3.999882,0.026645,0.079626,0.999914,0.013128,0.000000,-0.013054,0.994262,-0.106170,-0.001413,0.106161,0.994348
5.000000,4.999769,0.041615,0.079420,0.999866,0.016397,0.000000,-0.016305,0.994243,-0.105896,-0.001761,0.105882,0.994377
6.000000,5.999602,0.059893,0.079171,0.999807,0.019658,0.000000,-0.019548,0.994220,-0.105565,-0.002104,0.105544,0.994412
7.000000,6.999368,0.081469,0.078879,0.999738,0.022909,0.000000,-0.022781,0.994192,-0.105177,-0.002442,0.105149,0.994453
8.000000,7.999059,0.106330,0.078546,0.999658,0.026147,0.000000,-0.026003,0.994160,-0.104735,-0.002775,0.104698,0.994500
9.000000,8.998663,0.134463,0.078173,0.999569,0.029371,0.000000,-0.029211,0.994123,-0.104239,-0.003103,0.104193,0.994552
10.000000,9.998169,0.165852,0.077760,0.999469,0.032579,0.000000,-0.032403,0.994082,-0.103691,-0.003423,0.103634,0.994610
11.000000,10.997569,0.200478,0.077309,0.999360,0.035770,0.000000,-0.035579,0.994035,-0.103092,-0.003736,0.103024,0.994672
12.000000,11.996852,0.238324,0.076820,0.999241,0.038942,0.000000,-0.038737,0.993984,-0.102442,-0.004041,0.102363,0.994739
13.000000,12.996009,0.279368,0.076296,0.999114,0.042093,0.000000,-0.041875,0.993929,-0.101745,-0.004338,0.101652,0.994811
14.000000,13.995031,0.323587,0.075735,0.998977,0.045223,0.000000,-0.044991,0.993869,-0.101000,-0.004626,0.100894,0.994886
15.000000,14.993908,0.370959,0.075140,0.998831,0.048329,0.000000,-0.048085,0.993804,-0.100209,-0.004904,0.100089,0.994966
16.000000,15.992631,0.421458,0.074511,0.998678,0.051409,0.000000,-0.051155,0.993734,-0.099374,-0.005173,0.099239,0.995050
17.000000,16.991194,0.475058,0.073850,0.998516,0.054464,0.000000,-0.054199,0.993661,-0.098494,-0.005431,0.098345,0.995138
18.000000,17.989586,0.531729,0.073157,0.998346,0.057491,0.000000,-0.057216,0.993582,-0.097573,-0.005679,0.097408,0.995228
19.000000,18.987801,0.591444,0.072433,0.998169,0.060489,0.000000,-0.060206,0.993500,-0.096611,-0.005915,0.096430,0.995322
20.000000,19.985831,0.654171,0.071680,0.997985,0.063456,0.000000,-0.063165,0.993413,-0.095609,-0.006140,0.095412,0.995419
21.000000,20.983670,0.719878,0.070898,0.997794,0.066392,0.000000,-0.066094,0.993322,-0.094569,-0.006354,0.094355,0.995518
22.000000,21.981310,0.788532,0.070088,0.997596,0.069295,0.000000,-0.068992,0.993227,-0.093492,-0.006555,0.093262,0.995620
23.000000,22.978746,0.860100,0.069251,0.997393,0.072165,0.000000,-0.071856,0.993128,-0.092378,-0.006745,0.092132,0.995724
24.000000,23.975970,0.934545,0.068388,0.997184,0.074999,0.000000,-0.074686,0.993025,-0.091231,-0.006922,0.090968,0.995830
25.000000,24.972979,1.011832,0.067500,0.996969,0.077797,0.000000,-0.077481,0.992919,-0.090049,-0.007086,0.089770,0.995937
26.000000,25.969766,1.091922,0.066588,0.996750,0.080559,0.000000,-0.080240,0.992809,-0.088836,-0.007238,0.088541,0.996046
27.000000,26.966328,1.174777,0.065653,0.996526,0.083282,0.000000,-0.082962,0.992696,-0.087592,-0.007377,0.087281,0.996156
