dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.080000,1.000000,0.000000,0.106667,0.994295
1.000000,0.079976,1.000000,-0.000048,0.106634,0.994298
2.000000,0.079905,1.000000,-0.000094,0.106536,0.994309
3.000000,0.079788,1.000000,-0.000140,0.106375,0.994326
4.000000,0.079626,1.000000,-0.000184,0.106152,0.994350
5.000000,0.079420,1.000000,-0.000228,0.105868,0.994380
6.000000,0.079171,1.000000,-0.000271,0.105524,0.994417
7.000000,0.078879,1.000000,-0.000312,0.105122,0.994459
8.000000,0.078546,1.000000,-0.000353,0.104663,0.994508
9.000000,0.078173,1.000000,-0.000393,0.104149,0.994562
10.000000,0.077760,1.000000,-0.000432,0.103580,0.994621
11.000000,0.077309,1.000000,-0.000470,0.102958,0.994686
12.000000,0.076820,1.000000,-0.000507,0.102285,0.994755
13.000000,0.076296,1.000000,-0.000543,0.101561,0.994829
14.000000,0.075735,1.000000,-0.000578,0.100789,0.994908
15.000000,0.075140,1.000000,-0.000612,0.099968,0.994991
16.000000,0.074511,1.000000,-0.000645,0.099102,0.995077
17.000000,0.073850,1.000000,-0.000677,0.098190,0.995168
18.000000,0.073157,1.000000,-0.000708,0.097234,0.995262
19.000000,0.072433,1.000000,-0.000739,0.096236,0.995359
20.000000,0.071680,1.000000,-0.000768,0.095197,0.995458
21.000000,0.070898,1.000000,-0.000796,0.094118,0.995561
22.000000,0.070088,1.000000,-0.000824,0.093000,0.995666
23.000000,0.069251,1.000000,-0.000850,0.091846,0.995773
24.000000,0.068388,1.000000,-0.000876,0.090655,0.995882
25.000000,0.067500,1.000000,-0.000900,0.089430,0.995993
26.000000,0.066588,1.000000,-0.000924,0.088171,0.996105
27.000000,0.065653,1.000000,-0.000946,0.086881,0.996219
28.000000,0.064696,1.000000,-0.000968,0.085560,0.996333
29.000000,0.063718,1.000000,-0.000988,0.084209,0.996448
30.000000,0.062720,0.999999,-0.001008,0.082831,0.996564
31.000000,0.061703,0.999999,-0.001027,0.081426,0.996679
32.000000,0.060667,0.999999,-0.001044,0.079995,0.996795
33.000000,0.059614,0.999999,-0.001061,0.078541,0.996911
34.000000,0.058545,0.999999,-0.001077,0.077064,0.997026
35.000000,0.057460,0.999999,-0.001092,0.075565,0.997141
36.000000,0.056361,0.999999,-0.001106,0.074047,0.997255
37.000000,0.055248,0.999999,-0.001119,0.072509,0.997368
38.000000,0.054124,0.999999,-0.001131,0.070954,0.997480
39.000000,0.052987,0.999999,-0.001142,0.069384,0.997590
40.000000,0.051840,0.999999,-0.001152,0.067798,0.997699
41.000000,0.050683,0.999999,-0.001161,0.066199,0.997806
42.000000,0.049518,0.999999,-0.001169,0.064588,0.997912
43.000000,0.048345,0.999999,-0.001176,0.062966,0.998016
44.000000,0.047165,0.999999,-0.001183,0.061334,0.998117
45.000000,0.045980,0.999999,-0.001188,0.059694,0.998217
46.000000,0.044790,0.999999,-0.001192,0.058048,0.998314
47.000000,0.043596,0.999999,-0.001196,0.056396,0.998408
48.000000,0.042399,0.999999,-0.001198,0.054740,0.998501
49.000000,0.041200,0.999999,-0.001200,0.053081,0.998590
50.000000,0.040000,0.999999,-0.001200,0.051421,0.998677
51.000000,0.038800,0.999999,-0.001200,0.049761,0.998761
52.000000,0.037601,0.999999,-0.001198,0.048101,0.998842
53.000000,0.036404,0.999999,-0.001196,0.046445,0.998921
54.000000,0.035210,0.999999,-0.001192,0.044792,0.998996
55.000000,0.034020,0.999999,-0.001188,0.043144,0.999069
56.000000,0.032835,0.999999,-0.001183,0.041503,0.999138
57.000000,0.031655,0.999999,-0.001176,0.039870,0.999205
58.000000,0.030482,0.999999,-0.001169,0.038246,0.999268
59.000000,0.029317,0.999999,-0.001161,0.036632,0.999329
60.000000,0.028160,0.999999,-0.001152,0.035031,0.999386
61.000000,0.027013,0.999999,-0.001142,0.033442,0.999441
62.000000,0.025876,0.999999,-0.001131,0.031868,0.999492
63.000000,0.024752,0.999999,-0.001119,0.030310,0.999541
64.000000,0.023639,0.999999,-0.001106,0.028769,0.999586
65.000000,0.022540,0.999999,-0.001092,0.027247,0.999629
66.000000,0.021455,0.999999,-0.001077,0.025745,0.999669
67.000000,0.020386,0.999999,-0.001061,0.024263,0.999706
68.000000,0.019333,0.999999,-0.001044,0.022805,0.999740
69.000000,0.018297,0.999999,-0.001027,0.021370,0.999772
70.000000,0.017280,0.999999,-0.001008,0.019960,0.999801
71.000000,0.016282,1.000000,-0.000988,0.018578,0.999827
72.000000,0.015304,1.000000,-0.000968,0.017222,0.999852
73.000000,0.014347,1.000000,-0.000946,0.015897,0.999874
74.000000,0.013412,1.000000,-0.000924,0.014601,0.999893
75.000000,0.012500,1.000000,-0.000900,0.013338,0.999911
76.000000,0.011612,1.000000,-0.000876,0.012108,0.999927
77.000000,0.010749,1.000000,-0.000850,0.010912,0.999940
78.000000,0.009912,1.000000,-0.000824,0.009753,0.999952
79.000000,0.009102,1.000000,-0.000796,0.008630,0.999963
80.000000,0.008320,1.000000,-0.000768,0.007546,0.999972
81.000000,0.007567,1.000000,-0.000739,0.006502,0.999979
82.000000,0.006843,1.000000,-0.000708,0.005500,0.999985
83.000000,0.006150,1.000000,-0.000677,0.004539,0.999990
84.000000,0.005489,1.000000,-0.000645,0.003623,0.999993
85.000000,0.004860,1.000000,-0.000612,0.002752,0.999996
86.000000,0.004265,1.000000,-0.000578,0.001928,0.999998
87.000000,0.003704,1.000000,-0.000543,0.001151,0.999999
88.000000,0.003180,1.000000,-0.000507,0.000423,1.000000
89.000000,0.002691,1.000000,-0.000470,-0.000253,1.000000
90.000000,0.002240,1.000000,-0.000432,-0.000878,1.000000
91.000000,0.001827,1.000000,-0.000393,-0.001450,0.999999
92.000000,0.001454,1.000000,-0.000353,-0.001967,0.999998
93.000000,0.001121,1.000000,-0.000312,-0.002429,0.999997
