dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,0.000000,0.106667,0.994295
3.280840,0.262389,1.000000,-0.000048,0.106634,0.994298
6.561680,0.262156,1.000000,-0.000094,0.106536,0.994309
9.842520,0.261773,1.000000,-0.000140,0.106375,0.994326
13.123360,0.261241,1.000000,-0.000184,0.106152,0.994350
16.404199,0.260564,1.000000,-0.000228,0.105868,0.994380
19.685039,0.259746,1.000000,-0.000271,0.105524,0.994417
22.965879,0.258789,1.000000,-0.000312,0.105122,0.994459
26.246719,0.257697,1.000000,-0.000353,0.104663,0.994508
29.527559,0.256472,1.000000,-0.000393,0.104149,0.994562
32.808399,0.255118,1.000000,-0.000432,0.103580,0.994621
36.089239,0.253638,1.000000,-0.000470,0.102958,0.994686
39.370079,0.252036,1.000000,-0.000507,0.102285,0.994755
42.650919,0.250313,1.000000,-0.000543,0.101561,0.994829
45.931759,0.248475,1.000000,-0.000578,0.100789,0.994908
49.212598,0.246522,1.000000,-0.000612,0.099968,0.994991
52.493438,0.244460,1.000000,-0.000645,0.099102,0.995077
55.774278,0.242290,1.000000,-0.000677,0.098190,0.995168
59.055118,0.240017,1.000000,-0.000708,0.097234,0.995262
62.335958,0.237643,1.000000,-0.000739,0.096236,0.995359
65.616798,0.235171,1.000000,-0.000768,0.095197,0.995458
68.897638,0.232604,1.000000,-0.000796,0.094118,0.995561
72.178478,0.229946,1.000000,-0.000824,0.093000,0.995666
75.459318,0.227201,1.000000,-0.000850,0.091846,0.995773
78.740157,0.224370,1.000000,-0.000876,0.090655,0.995882
82.020997,0.221457,1.000000,-0.000900,0.089430,0.995993
85.301837,0.218465,1.000000,-0.000924,0.088171,0.996105
88.582677,0.215398,1.000000,-0.000946,0.086881,0.996219
91.863517,0.212258,1.000000,-0.000968,0.085560,0.996333
95.144357,0.209049,1.000000,-0.000988,0.084209,0.996448
98.425197,0.205774,0.999999,-0.001008,0.082831,0.996564
101.706037,0.202436,0.999999,-0.001027,0.081426,0.996679
104.986877,0.199038,0.999999,-0.001044,0.079995,0.996795
108.267717,0.195584,0.999999,-0.001061,0.078541,0.996911
111.548556,0.192076,0.999999,-0.001077,0.077064,0.997026
114.829396,0.188517,0.999999,-0.001092,0.075565,0.997141
118.110236,0.184911,0.999999,-0.001106,0.074047,0.997255
121.391076,0.181261,0.999999,-0.001119,0.072509,0.997368
124.671916,0.177571,0.999999,-0.001131,0.070954,0.997480
127.952756,0.173842,0.999999,-0.001142,0.069384,0.997590
131.233596,0.170079,0.999999,-0.001152,0.067798,0.997699
134.514436,0.166284,0.999999,-0.001161,0.066199,0.997806
137.795276,0.162461,0.999999,-0.001169,0.064588,0.997912
141.076115,0.158613,0.999999,-0.001176,0.062966,0.998016
144.356955,0.154742,0.999999,-0.001183,0.061334,0.998117
147.637795,0.150853,0.999999,-0.001188,0.059694,0.998217
150.918635,0.146948,0.999999,-0.001192,0.058048,0.998314
154.199475,0.143030,0.999999,-0.001196,0.056396,0.998408
157.480315,0.139103,0.999999,-0.001198,0.054740,0.998501
160.761155,0.135170,0.999999,-0.001200,0.053081,0.998590
164.041995,0.131234,0.999999,-0.001200,0.051421,0.998677
167.322835,0.127297,0.999999,-0.001200,0.049761,0.998761
170.603675,0.123364,0.999999,-0.001198,0.048101,0.998842
173.884514,0.119437,0.999999,-0.001196,0.046445,0.998921
177.165354,0.115519,0.999999,-0.001192,0.044792,0.998996
180.446194,0.111614,0.999999,-0.001188,0.043144,0.999069
183.727034,0.107725,0.999999,-0.001183,0.041503,0.999138
187.007874,0.103855,0.999999,-0.001176,0.039870,0.999205
190.288714,0.100006,0.999999,-0.001169,0.038246,0.999268
193.569554,0.096183,0.999999,-0.001161,0.036632,0.999329
196.850394,0.092388,0.999999,-0.001152,0.035031,0.999386
200.131234,0.088625,0.999999,-0.001142,0.033442,0.999441
203.412073,0.084897,0.999999,-0.001131,0.031868,0.999492
206.692913,0.081206,0.999999,-0.001119,0.030310,0.999541
209.973753,0.077556,0.999999,-0.001106,0.028769,0.999586
213.254593,0.073950,0.999999,-0.001092,0.027247,0.999629
216.535433,0.070392,0.999999,-0.001077,0.025745,0.999669
219.816273,0.066883,0.999999,-0.001061,0.024263,0.999706
223.097113,0.063429,0.999999,-0.001044,0.022805,0.999740
226.377953,0.060031,0.999999,-0.001027,0.021370,0.999772
229.658793,0.056693,0.999999,-0.001008,0.019960,0.999801
232.939633,0.053418,1.000000,-0.000988,0.018578,0.999827
236.220472,0.050209,1.000000,-0.000968,0.017222,0.999852
239.501312,0.047069,1.000000,-0.000946,0.015897,0.999874
242.782152,0.044002,1.000000,-0.000924,0.014601,0.999893
246.062992,0.041010,1.000000,-0.000900,0.013338,0.999911
249.343832,0.038098,1.000000,-0.000876,0.012108,0.999927
252.624672,0.035267,1.000000,-0.000850,0.010912,0.999940
255.905512,0.032521,1.000000,-0.000824,0.009753,0.999952
259.186352,0.029863,1.000000,-0.000796,0.008630,0.999963
262.467192,0.027297,1.000000,-0.000768,0.007546,0.999972
265.748031,0.024825,1.000000,-0.000739,0.006502,0.999979
269.028871,0.022450,1.000000,-0.000708,0.005500,0.999985
272.309711,0.020177,1.000000,-0.000677,0.004539,0.999990
275.590551,0.018007,1.000000,-0.000645,0.003623,0.999993
278.871391,0.015945,1.000000,-0.000612,0.002752,0.999996
282.152231,0.013993,1.000000,-0.000578,0.001928,0.999998
285.433071,0.012154,1.000000,-0.000543,0.001151,0.999999
288.713911,0.010431,1.000000,-0.000507,0.000423,1.000000
291.994751,0.008829,1.000000,-0.000470,-0.000253,1.000000
295.275591,0.007349,1.000000,-0.000432,-0.000878,1.000000
298.556430,0.005995,1.000000,-0.000393,-0.001450,0.999999
301.837270,0.004771,1.000000,-0.000353,-0.001967,0.999998
305.118110,0.003678,1.000000,-0.000312,-0.002429,0.999997
308.398950,0.002721,1.000000,-0.000271,-0.002833,0.999996
311.679790,0.001903,1.000000,-0.000228,-0.003179,0.999995
314.960630,0.001226,1.000000,-0.000184,-0.003464,0.999994
318.241470,0.000694,1.000000,-0.000140,-0.003689,0.999993
321.522310,0.000311,1.000000,-0.000094,-0.003851,0.999993
324.803150,0.000078,1.000000,-0.000048,-0.003949,0.999992
328.083990,-0.000000,1.000000,-0.000000,-0.003982,0.999992
