dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
1.000000,0.000024,1.000000,0.000048,0.000032,1.000000
2.000000,0.000095,1.000000,0.000094,0.000127,1.000000
3.000000,0.000212,1.000000,0.000140,0.000283,1.000000
4.000000,0.000374,1.000000,0.000184,0.000499,1.000000
5.000000,0.000580,1.000000,0.000228,0.000775,1.000000
6.000000,0.000829,1.000000,0.000271,0.001108,0.999999
7.000000,0.001121,1.000000,0.000312,0.001498,0.999999
8.000000,0.001454,1.000000,0.000353,0.001942,0.999998
9.000000,0.001827,1.000000,0.000393,0.002441,0.999997
10.000000,0.002240,1.000000,0.000432,0.002992,0.999996
11.000000,0.002691,1.000000,0.000470,0.003595,0.999994
12.000000,0.003180,1.000000,0.000507,0.004247,0.999991
13.000000,0.003704,1.000000,0.000543,0.004949,0.999988
14.000000,0.004265,1.000000,0.000578,0.005697,0.999984
15.000000,0.004860,1.000000,0.000612,0.006492,0.999979
16.000000,0.005489,1.000000,0.000645,0.007332,0.999973
17.000000,0.006150,1.000000,0.000677,0.008215,0.999966
18.000000,0.006843,1.000000,0.000708,0.009141,0.999958
19.000000,0.007567,1.000000,0.000739,0.010108,0.999949
20.000000,0.008320,1.000000,0.000768,0.011114,0.999938
21.000000,0.009102,1.000000,0.000796,0.012159,0.999926
22.000000,0.009912,1.000000,0.000824,0.013241,0.999912
23.000000,0.010749,1.000000,0.000850,0.014359,0.999897
24.000000,0.011612,1.000000,0.000876,0.015512,0.999880
25.000000,0.012500,1.000000,0.000900,0.016698,0.999861
26.000000,0.013412,1.000000,0.000924,0.017916,0.999840
27.000000,0.014347,1.000000,0.000946,0.019164,0.999816
28.000000,0.015304,1.000000,0.000968,0.020442,0.999791
29.000000,0.016282,1.000000,0.000988,0.021749,0.999763
30.000000,0.017280,0.999999,0.001008,0.023082,0.999734
31.000000,0.018297,0.999999,0.001027,0.024441,0.999701
32.000000,0.019333,0.999999,0.001044,0.025824,0.999667
33.000000,0.020386,0.999999,0.001061,0.027230,0.999629
34.000000,0.021455,0.999999,0.001077,0.028658,0.999589
35.000000,0.022540,0.999999,0.001092,0.030106,0.999547
36.000000,0.023639,0.999999,0.001106,0.031574,0.999501
37.000000,0.024752,0.999999,0.001119,0.033059,0.999453
38.000000,0.025876,0.999999,0.001131,0.034561,0.999403
39.000000,0.027013,0.999999,0.001142,0.036078,0.999349
40.000000,0.028160,0.999999,0.001152,0.037609,0.999293
41.000000,0.029317,0.999999,0.001161,0.039153,0.999233
42.000000,0.030482,0.999999,0.001169,0.040709,0.999171
43.000000,0.031655,0.999999,0.001176,0.042274,0.999106
44.000000,0.032835,0.999999,0.001183,0.043849,0.999038
45.000000,0.034020,0.999999,0.001188,0.045431,0.998967
46.000000,0.035210,0.999999,0.001192,0.047019,0.998894
