dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,0.000000,0.106667,0.994295
3.280833,0.262388,1.000000,-0.000048,0.106634,0.994298
6.561667,0.262156,1.000000,-0.000094,0.106536,0.994309
9.842500,0.261772,1.000000,-0.000140,0.106375,0.994326
13.123333,0.261240,1.000000,-0.000184,0.106152,0.994350
16.404167,0.260564,1.000000,-0.000228,0.105868,0.994380
19.685000,0.259745,1.000000,-0.000271,0.105524,0.994417
22.965833,0.258788,1.000000,-0.000312,0.105122,0.994459
26.246667,0.257696,1.000000,-0.000353,0.104663,0.994508
29.527500,0.256471,1.000000,-0.000393,0.104149,0.994562
32.808333,0.255118,1.000000,-0.000432,0.103580,0.994621
36.089167,0.253638,1.000000,-0.000470,0.102958,0.994686
39.370000,0.252035,1.000000,-0.000507,0.102285,0.994755
42.650833,0.250313,1.000000,-0.000543,0.101561,0.994829
45.931667,0.248474,1.000000,-0.000578,0.100789,0.994908
49.212500,0.246522,1.000000,-0.000612,0.099968,0.994991
52.493333,0.244459,1.000000,-0.000645,0.099102,0.995077
55.774167,0.242290,1.000000,-0.000677,0.098190,0.995168
59.055000,0.240016,1.000000,-0.000708,0.097234,0.995262
62.335833,0.237642,1.000000,-0.000739,0.096236,0.995359
65.616667,0.235170,1.000000,-0.000768,0.095197,0.995458
68.897500,0.232604,1.000000,-0.000796,0.094118,0.995561
72.178333,0.229946,1.000000,-0.000824,0.093000,0.995666
75.459167,0.227200,1.000000,-0.000850,0.091846,0.995773
78.740000,0.224369,1.000000,-0.000876,0.090655,0.995882
82.020833,0.221456,1.000000,-0.000900,0.089430,0.995993
85.301667,0.218465,1.000000,-0.000924,0.088171,0.996105
88.582500,0.215397,1.000000,-0.000946,0.086881,0.996219
91.863333,0.212258,1.000000,-0.000968,0.085560,0.996333
95.144167,0.209049,1.000000,-0.000988,0.084209,0.996448
98.425000,0.205774,0.999999,-0.001008,0.082831,0.996564
101.705833,0.202436,0.999999,-0.001027,0.081426,0.996679
104.986667,0.199038,0.999999,-0.001044,0.079995,0.996795
108.267500,0.195583,0.999999,-0.001061,0.078541,0.996911
111.548333,0.192075,0.999999,-0.001077,0.077064,0.997026
114.829167,0.188517,0.999999,-0.001092,0.075565,0.997141
118.110000,0.184911,0.999999,-0.001106,0.074047,0.997255
121.390833,0.181261,0.999999,-0.001119,0.072509,0.997368
124.671667,0.177570,0.999999,-0.001131,0.070954,0.997480
127.952500,0.173842,0.999999,-0.001142,0.069384,0.997590
131.233333,0.170078,0.999999,-0.001152,0.067798,0.997699
