DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,0.106667,0.000000,-0.106667,0.994295
3.280840,3.280839,-0.001640,0.262467,1.000000,-0.001000,0.000000,0.000994,0.994294,0.106667,-0.000107,-0.106667,0.994295
6.561680,6.561675,-0.006562,0.262467,0.999998,-0.002000,0.000000,0.001989,0.994293,0.106667,-0.000213,-0.106666,0.994295
9.842520,9.842505,-0.014764,0.262467,0.999996,-0.003000,0.000000,0.002983,0.994290,0.106667,-0.000320,-0.106666,0.994295
13.123360,13.123325,-0.026247,0.262467,0.999992,-0.004000,0.000000,0.003977,0.994287,0.106667,-0.000427,-0.106666,0.994295
16.404199,16.404131,-0.041010,0.262467,0.999988,-0.005000,0.000000,0.004971,0.994282,0.106667,-0.000533,-0.106665,0.994295
19.685039,19.684921,-0.059055,0.262467,0.999982,-0.006000,0.000000,0.005966,0.994277,0.106667,-0.000640,-0.106665,0.994295
22.965879,22.965692,-0.080380,0.262467,0.999976,-0.007000,0.000000,0.006960,0.994270,0.106667,-0.000747,-0.106664,0.994295
26.246719,26.246439,-0.104986,0.262467,0.999968,-0.008000,0.000000,0.007954,0.994263,0.106667,-0.000853,-0.106663,0.994295
29.527559,29.527160,-0.132873,0.262467,0.999960,-0.009000,0.000000,0.008949,0.994255,0.106667,-0.000960,-0.106662,0.994295
32.808399,32.807852,-0.164041,0.262467,0.999950,-0.010000,0.000000,0.009943,0.994245,0.106667,-0.001067,-0.106661,0.994295
36.089239,36.088511,-0.198489,0.262467,0.999940,-0.011000,0.000000,0.010937,0.994235,0.106667,-0.001173,-0.106660,0.994295
39.370079,39.369134,-0.236218,0.262467,0.999928,-0.012000,0.000000,0.011931,0.994223,0.106667,-0.001280,-0.106659,0.994295
42.650919,42.649717,-0.277227,0.262467,0.999916,-0.013000,0.000000,0.012925,0.994211,0.106667,-0.001387,-0.106658,0.994295
45.931759,45.930258,-0.321517,0.262467,0.999902,-0.014000,0.000000,0.013920,0.994197,0.106667,-0.001493,-0.106656,0.994295
49.212598,49.210753,-0.369088,0.262467,0.999888,-0.014999,0.000000,0.014914,0.994183,0.106667,-0.001600,-0.106655,0.994295
52.493438,52.491199,-0.419939,0.262467,0.999872,-0.015999,0.000000,0.015908,0.994168,0.106667,-0.001707,-0.106653,0.994295
55.774278,55.771592,-0.474070,0.262467,0.999856,-0.016999,0.000000,0.016902,0.994151,0.106667,-0.001813,-0.106651,0.994295
59.055118,59.051929,-0.531482,0.262467,0.999838,-0.017999,0.000000,0.017896,0.994134,0.106667,-0.001920,-0.106649,0.994295
62.335958,62.332208,-0.592174,0.262467,0.999820,-0.018999,0.000000,0.018890,0.994115,0.106667,-0.002027,-0.106647,0.994295
65.616798,65.612424,-0.656146,0.262467,0.999800,-0.019999,0.000000,0.019885,0.994096,0.106667,-0.002133,-0.106645,0.994295
68.897638,68.892574,-0.723399,0.262467,0.999780,-0.020998,0.000000,0.020879,0.994076,0.106667,-0.002240,-0.106643,0.994295
72.178478,72.172655,-0.793931,0.262467,0.999758,-0.021998,0.000000,0.021873,0.994054,0.106667,-0.002346,-0.106641,0.994295
75.459318,75.452665,-0.867744,0.262467,0.999736,-0.022998,0.000000,0.022867,0.994032,0.106667,-0.002453,-0.106638,0.994295
78.740157,78.732599,-0.944837,0.262467,0.999712,-0.023998,0.000000,0.023861,0.994008,0.106667,-0.002560,-0.106636,0.994295
82.020997,82.012454,-1.025209,0.262467,0.999688,-0.024997,0.000000,0.024855,0.993984,0.106667,-0.002666,-0.106633,0.994295
85.301837,85.292227,-1.108861,0.262467,0.999662,-0.025997,0.000000,0.025849,0.993959,0.106667,-0.002773,-0.106631,0.994295
88.582677,88.571915,-1.195793,0.262467,0.999636,-0.026997,0.000000,0.026843,0.993932,0.106667,-0.002880,-0.106628,0.994295
91.863517,91.851514,-1.286005,0.262467,0.999608,-0.027996,0.000000,0.027837,0.993905,0.106667,-0.002986,-0.106625,0.994295
95.144357,95.131021,-1.379496,0.262467,0.999580,-0.028996,0.000000,0.028831,0.993877,0.106667,-0.003093,-0.106622,0.994295
98.425197,98.410434,-1.476267,0.262467,0.999550,-0.029996,0.000000,0.029824,0.993847,0.106667,-0.003200,-0.106619,0.994295
101.706037,101.689748,-1.576317,0.262467,0.999520,-0.030995,0.000000,0.030818,0.993817,0.106667,-0.003306,-0.106615,0.994295
