DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,0.106667,0.000000,-0.106667,0.994295
1.000000,0.999998,-0.001667,0.080000,0.999994,-0.003333,0.000000,0.003314,0.994289,0.106667,-0.000356,-0.106666,0.994295
2.000000,1.999985,-0.006667,0.080000,0.999978,-0.006667,0.000000,0.006629,0.994273,0.106667,-0.000711,-0.106664,0.994295
3.000000,2.999950,-0.015000,0.080000,0.999950,-0.010000,0.000000,0.009943,0.994245,0.106667,-0.001067,-0.106661,0.994295
4.000000,3.999881,-0.026666,0.080000,0.999911,-0.013333,0.000000,0.013257,0.994206,0.106667,-0.001422,-0.106657,0.994295
5.000000,4.999769,-0.041666,0.080000,0.999861,-0.016666,0.000000,0.016571,0.994157,0.106667,-0.001778,-0.106652,0.994295
6.000000,5.999600,-0.059998,0.080000,0.999800,-0.019999,0.000000,0.019885,0.994096,0.106667,-0.002133,-0.106645,0.994295
7.000000,6.999365,-0.081663,0.080000,0.999728,-0.023331,0.000000,0.023198,0.994024,0.106667,-0.002489,-0.106638,0.994295
8.000000,7.999052,-0.106660,0.080000,0.999644,-0.026664,0.000000,0.026511,0.993941,0.106667,-0.002844,-0.106629,0.994295
9.000000,8.998650,-0.134990,0.080000,0.999550,-0.029996,0.000000,0.029824,0.993847,0.106667,-0.003200,-0.106619,0.994295
10.000000,9.998148,-0.166651,0.080000,0.999444,-0.033327,0.000000,0.033137,0.993743,0.106667,-0.003555,-0.106607,0.994295
11.000000,10.997535,-0.201644,0.080000,0.999328,-0.036658,0.000000,0.036449,0.993627,0.106667,-0.003910,-0.106595,0.994295
12.000000,11.996800,-0.239968,0.080000,0.999200,-0.039989,0.000000,0.039761,0.993500,0.106667,-0.004266,-0.106581,0.994295
13.000000,12.995932,-0.281623,0.080000,0.999061,-0.043320,0.000000,0.043073,0.993361,0.106667,-0.004621,-0.106567,0.994295
14.000000,13.994919,-0.326607,0.080000,0.998911,-0.046650,0.000000,0.046384,0.993212,0.106667,-0.004976,-0.106551,0.994295
15.000000,14.993751,-0.374922,0.080000,0.998750,-0.049979,0.000000,0.049694,0.993052,0.106667,-0.005331,-0.106533,0.994295
16.000000,15.992416,-0.426566,0.080000,0.998578,-0.053308,0.000000,0.053004,0.992881,0.106667,-0.005686,-0.106515,0.994295
17.000000,16.990903,-0.481538,0.080000,0.998395,-0.056636,0.000000,0.056313,0.992699,0.106667,-0.006041,-0.106495,0.994295
18.000000,17.989202,-0.539838,0.080000,0.998201,-0.059964,0.000000,0.059622,0.992506,0.106667,-0.006396,-0.106475,0.994295
19.000000,18.987301,-0.601466,0.080000,0.997995,-0.063291,0.000000,0.062930,0.992301,0.106667,-0.006751,-0.106453,0.994295
20.000000,19.985188,-0.666420,0.080000,0.997779,-0.066617,0.000000,0.066237,0.992086,0.106667,-0.007106,-0.106430,0.994295
21.000000,20.982854,-0.734700,0.080000,0.997551,-0.069943,0.000000,0.069544,0.991860,0.106667,-0.007461,-0.106405,0.994295
22.000000,21.980287,-0.806305,0.080000,0.997312,-0.073268,0.000000,0.072850,0.991622,0.106667,-0.007815,-0.106380,0.994295
23.000000,22.977475,-0.881235,0.080000,0.997063,-0.076592,0.000000,0.076155,0.991374,0.106667,-0.008170,-0.106353,0.994295
24.000000,23.974408,-0.959488,0.080000,0.996802,-0.079915,0.000000,0.079459,0.991115,0.106667,-0.008524,-0.106326,0.994295
25.000000,24.971075,-1.041064,0.080000,0.996530,-0.083237,0.000000,0.082762,0.990844,0.106667,-0.008879,-0.106297,0.994295
26.000000,25.967464,-1.125962,0.080000,0.996247,-0.086558,0.000000,0.086064,0.990563,0.106667,-0.009233,-0.106266,0.994295
27.000000,26.963565,-1.214180,0.080000,0.995953,-0.089879,0.000000,0.089366,0.990271,0.106667,-0.009587,-0.106235,0.994295
28.000000,27.959366,-1.305718,0.080000,0.995648,-0.093198,0.000000,0.092666,0.989967,0.106667,-0.009941,-0.106202,0.994295
29.000000,28.954856,-1.400576,0.080000,0.995331,-0.096516,0.000000,0.095966,0.989653,0.106667,-0.010295,-0.106169,0.994295
30.000000,29.950025,-1.498750,0.080000,0.995004,-0.099833,0.000000,0.099264,0.989328,0.106667,-0.010649,-0.106134,0.994295
31.000000,30.944861,-1.600242,0.080000,0.994666,-0.103150,0.000000,0.102561,0.988991,0.106667,-0.011003,-0.106098,0.994295
32.000000,31.939353,-1.705049,0.080000,0.994317,-0.106465,0.000000,0.105857,0.988644,0.106667,-0.011356,-0.106060,0.994295
33.000000,32.933490,-1.813171,0.080000,0.993956,-0.109778,0.000000,0.109152,0.988285,0.106667,-0.011710,-0.106022,0.994295
34.000000,33.927262,-1.924605,0.080000,0.993585,-0.113091,0.000000,0.112446,0.987916,0.106667,-0.012063,-0.105982,0.994295
35.000000,34.920656,-2.039352,0.080000,0.993202,-0.116402,0.000000,0.115738,0.987536,0.106667,-0.012416,-0.105942,0.994295
36.000000,35.913662,-2.157409,0.080000,0.992809,-0.119712,0.000000,0.119029,0.987145,0.106667,-0.012769,-0.105900,0.994295
37.000000,36.906269,-2.278776,0.080000,0.992404,-0.123021,0.000000,0.122319,0.986742,0.106667,-0.013122,-0.105856,0.994295
38.000000,37.898467,-2.403451,0.080000,0.991988,-0.126328,0.000000,0.125607,0.986329,0.106667,-0.013475,-0.105812,0.994295
39.000000,38.890243,-2.531432,0.080000,0.991562,-0.129634,0.000000,0.128895,0.985905,0.106667,-0.013828,-0.105767,0.994295
40.000000,39.881587,-2.662718,0.080000,0.991124,-0.132939,0.000000,0.132180,0.985470,0.106667,-0.014180,-0.105720,0.994295
41.000000,40.872488,-2.797309,0.080000,0.990676,-0.136242,0.000000,0.135464,0.985024,0.106667,-0.014532,-0.105672,0.994295
42.000000,41.862934,-2.935201,0.080000,0.990216,-0.139543,0.000000,0.138747,0.984567,0.106667,-0.014885,-0.105623,0.994295
