DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,1.000000,0.000500,0.080000,1.000000,0.001000,0.000000,-0.000994,0.994294,-0.106667,-0.000107,0.106667,0.994295
2.000000,1.999999,0.002000,0.080000,0.999998,0.002000,0.000000,-0.001989,0.994293,-0.106667,-0.000213,0.106666,0.994295
3.000000,2.999996,0.004500,0.080000,0.999996,0.003000,0.000000,-0.002983,0.994290,-0.106667,-0.000320,0.106666,0.994295
4.000000,3.999989,0.008000,0.080000,0.999992,0.004000,0.000000,-0.003977,0.994287,-0.106667,-0.000427,0.106666,0.994295
5.000000,4.999979,0.012500,0.080000,0.999988,0.005000,0.000000,-0.004971,0.994282,-0.106667,-0.000533,0.106665,0.994295
6.000000,5.999964,0.018000,0.080000,0.999982,0.006000,0.000000,-0.005966,0.994277,-0.106667,-0.000640,0.106665,0.994295
7.000000,6.999943,0.024500,0.080000,0.999976,0.007000,0.000000,-0.006960,0.994270,-0.106667,-0.000747,0.106664,0.994295
8.000000,7.999915,0.032000,0.080000,0.999968,0.008000,0.000000,-0.007954,0.994263,-0.106667,-0.000853,0.106663,0.994295
9.000000,8.999879,0.040500,0.080000,0.999960,0.009000,0.000000,-0.008949,0.994255,-0.106667,-0.000960,0.106662,0.994295
10.000000,9.999833,0.050000,0.080000,0.999950,0.010000,0.000000,-0.009943,0.994245,-0.106667,-0.001067,0.106661,0.994295
11.000000,10.999778,0.060499,0.080000,0.999940,0.011000,0.000000,-0.010937,0.994235,-0.106667,-0.001173,0.106660,0.994295
12.000000,11.999712,0.071999,0.080000,0.999928,0.012000,0.000000,-0.011931,0.994223,-0.106667,-0.001280,0.106659,0.994295
13.000000,12.999634,0.084499,0.080000,0.999916,0.013000,0.000000,-0.012925,0.994211,-0.106667,-0.001387,0.106658,0.994295
14.000000,13.999543,0.097998,0.080000,0.999902,0.014000,0.000000,-0.013920,0.994197,-0.106667,-0.001493,0.106656,0.994295
15.000000,14.999438,0.112498,0.080000,0.999888,0.014999,0.000000,-0.014914,0.994183,-0.106667,-0.001600,0.106655,0.994295
16.000000,15.999317,0.127997,0.080000,0.999872,0.015999,0.000000,-0.015908,0.994168,-0.106667,-0.001707,0.106653,0.994295
17.000000,16.999181,0.144497,0.080000,0.999856,0.016999,0.000000,-0.016902,0.994151,-0.106667,-0.001813,0.106651,0.994295
18.000000,17.999028,0.161996,0.080000,0.999838,0.017999,0.000000,-0.017896,0.994134,-0.106667,-0.001920,0.106649,0.994295
19.000000,18.998857,0.180495,0.080000,0.999820,0.018999,0.000000,-0.018890,0.994115,-0.106667,-0.002027,0.106647,0.994295
20.000000,19.998667,0.199993,0.080000,0.999800,0.019999,0.000000,-0.019885,0.994096,-0.106667,-0.002133,0.106645,0.994295
21.000000,20.998457,0.220492,0.080000,0.999780,0.020998,0.000000,-0.020879,0.994076,-0.106667,-0.002240,0.106643,0.994295
22.000000,21.998225,0.241990,0.080000,0.999758,0.021998,0.000000,-0.021873,0.994054,-0.106667,-0.002346,0.106641,0.994295
23.000000,22.997972,0.264488,0.080000,0.999736,0.022998,0.000000,-0.022867,0.994032,-0.106667,-0.002453,0.106638,0.994295
24.000000,23.997696,0.287986,0.080000,0.999712,0.023998,0.000000,-0.023861,0.994008,-0.106667,-0.002560,0.106636,0.994295
25.000000,24.997396,0.312484,0.080000,0.999688,0.024997,0.000000,-0.024855,0.993984,-0.106667,-0.002666,0.106633,0.994295
26.000000,25.997071,0.337981,0.080000,0.999662,0.025997,0.000000,-0.025849,0.993959,-0.106667,-0.002773,0.106631,0.994295
27.000000,26.996720,0.364478,0.080000,0.999636,0.026997,0.000000,-0.026843,0.993932,-0.106667,-0.002880,0.106628,0.994295
28.000000,27.996341,0.391974,0.080000,0.999608,0.027996,0.000000,-0.027837,0.993905,-0.106667,-0.002986,0.106625,0.994295
29.000000,28.995935,0.420471,0.080000,0.999580,0.028996,0.000000,-0.028831,0.993877,-0.106667,-0.003093,0.106622,0.994295
30.000000,29.995500,0.449966,0.080000,0.999550,0.029996,0.000000,-0.029824,0.993847,-0.106667,-0.003200,0.106619,0.994295
31.000000,30.995035,0.480462,0.080000,0.999520,0.030995,0.000000,-0.030818,0.993817,-0.106667,-0.003306,0.106615,0.994295
32.000000,31.994539,0.511956,0.080000,0.999488,0.031995,0.000000,-0.031812,0.993786,-0.106667,-0.003413,0.106612,0.994295
33.000000,32.994011,0.544451,0.080000,0.999456,0.032994,0.000000,-0.032806,0.993753,-0.106667,-0.003519,0.106609,0.994295
34.000000,33.993450,0.577944,0.080000,0.999422,0.033993,0.000000,-0.033800,0.993720,-0.106667,-0.003626,0.106605,0.994295
35.000000,34.992855,0.612437,0.080000,0.999388,0.034993,0.000000,-0.034793,0.993686,-0.106667,-0.003733,0.106601,0.994295
36.000000,35.992225,0.647930,0.080000,0.999352,0.035992,0.000000,-0.035787,0.993651,-0.106667,-0.003839,0.106598,0.994295
37.000000,36.991558,0.684422,0.080000,0.999316,0.036992,0.000000,-0.036781,0.993614,-0.106667,-0.003946,0.106594,0.994295
38.000000,37.990855,0.721913,0.080000,0.999278,0.037991,0.000000,-0.037774,0.993577,-0.106667,-0.004052,0.106590,0.994295
