DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,0.005468,0.262467,0.999994,0.003333,0.000000,-0.003314,0.994289,-0.106667,-0.000356,0.106666,0.994295
6.561667,6.561618,0.021872,0.262467,0.999978,0.006667,0.000000,-0.006629,0.994273,-0.106667,-0.000711,0.106664,0.994295
9.842500,9.842336,0.049212,0.262467,0.999950,0.010000,0.000000,-0.009943,0.994245,-0.106667,-0.001067,0.106661,0.994295
13.123333,13.122944,0.087488,0.262467,0.999911,0.013333,0.000000,-0.013257,0.994206,-0.106667,-0.001422,0.106657,0.994295
16.404167,16.403407,0.136698,0.262467,0.999861,0.016666,0.000000,-0.016571,0.994157,-0.106667,-0.001778,0.106652,0.994295
19.685000,19.683688,0.196843,0.262467,0.999800,0.019999,0.000000,-0.019885,0.994096,-0.106667,-0.002133,0.106645,0.994295
22.965833,22.963749,0.267923,0.262467,0.999728,0.023331,0.000000,-0.023198,0.994024,-0.106667,-0.002489,0.106638,0.994295
26.246667,26.243556,0.349935,0.262467,0.999644,0.026664,0.000000,-0.026511,0.993941,-0.106667,-0.002844,0.106629,0.994295
29.527500,29.523071,0.442879,0.262467,0.999550,0.029996,0.000000,-0.029824,0.993847,-0.106667,-0.003200,0.106619,0.994295
32.808333,32.802258,0.546755,0.262467,0.999444,0.033327,0.000000,-0.033137,0.993743,-0.106667,-0.003555,0.106607,0.994295
36.089167,36.081081,0.661561,0.262467,0.999328,0.036658,0.000000,-0.036449,0.993627,-0.106667,-0.003910,0.106595,0.994295
39.370000,39.359502,0.787295,0.262467,0.999200,0.039989,0.000000,-0.039761,0.993500,-0.106667,-0.004266,0.106581,0.994295
42.650833,42.637486,0.923957,0.262467,0.999061,0.043320,0.000000,-0.043073,0.993361,-0.106667,-0.004621,0.106567,0.994295
45.931667,45.914997,1.071544,0.262467,0.998911,0.046650,0.000000,-0.046384,0.993212,-0.106667,-0.004976,0.106551,0.994295
49.212500,49.191997,1.230056,0.262467,0.998750,0.049979,0.000000,-0.049694,0.993052,-0.106667,-0.005331,0.106533,0.994295
52.493333,52.468451,1.399490,0.262467,0.998578,0.053308,0.000000,-0.053004,0.992881,-0.106667,-0.005686,0.106515,0.994295
55.774167,55.744322,1.579845,0.262467,0.998395,0.056636,0.000000,-0.056313,0.992699,-0.106667,-0.006041,0.106495,0.994295
59.055000,59.019573,1.771119,0.262467,0.998201,0.059964,0.000000,-0.059622,0.992506,-0.106667,-0.006396,0.106475,0.994295
62.335833,62.294169,1.973308,0.262467,0.997995,0.063291,0.000000,-0.062930,0.992301,-0.106667,-0.006751,0.106453,0.994295
65.616667,65.568073,2.186412,0.262467,0.997779,0.066617,0.000000,-0.066237,0.992086,-0.106667,-0.007106,0.106430,0.994295
68.897500,68.841247,2.410428,0.262467,0.997551,0.069943,0.000000,-0.069544,0.991860,-0.106667,-0.007461,0.106405,0.994295
72.178333,72.113658,2.645353,0.262467,0.997312,0.073268,0.000000,-0.072850,0.991622,-0.106667,-0.007815,0.106380,0.994295
75.459167,75.385266,2.891185,0.262467,0.997063,0.076592,0.000000,-0.076155,0.991374,-0.106667,-0.008170,0.106353,0.994295
78.740000,78.656038,3.147921,0.262467,0.996802,0.079915,0.000000,-0.079459,0.991115,-0.106667,-0.008524,0.106326,0.994295
82.020833,81.925935,3.415557,0.262467,0.996530,0.083237,0.000000,-0.082762,0.990844,-0.106667,-0.008879,0.106297,0.994295
85.301667,85.194922,3.694092,0.262467,0.996247,0.086558,0.000000,-0.086064,0.990563,-0.106667,-0.009233,0.106266,0.994295
88.582500,88.462962,3.983523,0.262467,0.995953,0.089879,0.000000,-0.089366,0.990271,-0.106667,-0.009587,0.106235,0.994295
91.863333,91.730019,4.283844,0.262467,0.995648,0.093198,0.000000,-0.092666,0.989967,-0.106667,-0.009941,0.106202,0.994295
95.144167,94.996058,4.595055,0.262467,0.995331,0.096516,0.000000,-0.095966,0.989653,-0.106667,-0.010295,0.106169,0.994295
98.425000,98.261040,4.917150,0.262467,0.995004,0.099833,0.000000,-0.099264,0.989328,-0.106667,-0.010649,0.106134,0.994295
101.705833,101.524931,5.250127,0.262467,0.994666,0.103150,0.000000,-0.102561,0.988991,-0.106667,-0.011003,0.106098,0.994295
104.986667,104.787694,5.593982,0.262467,0.994317,0.106465,0.000000,-0.105857,0.988644,-0.106667,-0.011356,0.106060,0.994295
108.267500,108.049293,5.948711,0.262467,0.993956,0.109778,0.000000,-0.109152,0.988285,-0.106667,-0.011710,0.106022,0.994295
111.548333,111.309691,6.314309,0.262467,0.993585,0.113091,0.000000,-0.112446,0.987916,-0.106667,-0.012063,0.105982,0.994295
