DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1.000000,1.000000,-0.000500,0.000020,1.000000,-0.001000,0.000000,0.001000,0.999999,0.000026,-0.000000,-0.000026,1.000000
2.000000,1.999999,-0.002001,0.000079,0.999998,-0.002001,0.000000,0.002001,0.999998,0.000105,-0.000000,-0.000105,1.000000
3.000000,2.999995,-0.004504,0.000178,0.999995,-0.003004,0.000000,0.003004,0.999995,0.000237,-0.000001,-0.000237,1.000000
4.000000,3.999989,-0.008012,0.000315,0.999992,-0.004011,0.000000,0.004011,0.999992,0.000421,-0.000002,-0.000421,1.000000
5.000000,4.999979,-0.012530,0.000492,0.999987,-0.005022,0.000000,0.005022,0.999987,0.000658,-0.000003,-0.000658,1.000000
6.000000,5.999964,-0.018062,0.000709,0.999982,-0.006039,0.000000,0.006039,0.999981,0.000946,-0.000006,-0.000946,1.000000
7.000000,6.999942,-0.024615,0.000963,0.999975,-0.007063,0.000000,0.007063,0.999974,0.001287,-0.000009,-0.001287,0.999999
8.000000,7.999913,-0.032196,0.001257,0.999967,-0.008095,0.000000,0.008095,0.999966,0.001679,-0.000014,-0.001679,0.999999
9.000000,8.999876,-0.040814,0.001588,0.999958,-0.009136,0.000000,0.009136,0.999956,0.002122,-0.000019,-0.002122,0.999998
10.000000,9.999829,-0.050478,0.001958,0.999948,-0.010187,0.000000,0.010187,0.999945,0.002615,-0.000027,-0.002615,0.999997
11.000000,10.999772,-0.061199,0.002365,0.999937,-0.011249,0.000000,0.011249,0.999932,0.003159,-0.000036,-0.003159,0.999995
12.000000,11.999702,-0.072989,0.002809,0.999924,-0.012324,0.000000,0.012324,0.999917,0.003752,-0.000046,-0.003752,0.999993
13.000000,12.999619,-0.085861,0.003290,0.999910,-0.013413,0.000000,0.013413,0.999900,0.004395,-0.000059,-0.004394,0.999990
14.000000,13.999522,-0.099830,0.003807,0.999895,-0.014516,0.000000,0.014515,0.999882,0.005086,-0.000074,-0.005085,0.999987
15.000000,14.999408,-0.114909,0.004360,0.999878,-0.015634,0.000000,0.015634,0.999861,0.005824,-0.000091,-0.005823,0.999983
16.000000,15.999277,-0.131115,0.004948,0.999859,-0.016769,0.000000,0.016769,0.999838,0.006610,-0.000111,-0.006609,0.999978
17.000000,16.999126,-0.148465,0.005570,0.999839,-0.017922,0.000000,0.017922,0.999812,0.007441,-0.000133,-0.007440,0.999972
18.000000,17.998955,-0.166978,0.006227,0.999818,-0.019094,0.000000,0.019093,0.999783,0.008318,-0.000159,-0.008317,0.999965
19.000000,18.998761,-0.186672,0.006917,0.999794,-0.020285,0.000000,0.020284,0.999752,0.009240,-0.000187,-0.009238,0.999957
20.000000,19.998542,-0.207568,0.007639,0.999769,-0.021496,0.000000,0.021495,0.999717,0.010205,-0.000219,-0.010203,0.999948
21.000000,20.998298,-0.229687,0.008394,0.999742,-0.022729,0.000000,0.022728,0.999679,0.011213,-0.000255,-0.011210,0.999937
22.000000,21.998025,-0.253050,0.009179,0.999712,-0.023985,0.000000,0.023983,0.999637,0.012262,-0.000294,-0.012259,0.999925
23.000000,22.997721,-0.277680,0.009996,0.999681,-0.025264,0.000000,0.025262,0.999592,0.013352,-0.000337,-0.013348,0.999911
24.000000,23.997385,-0.303602,0.010841,0.999647,-0.026567,0.000000,0.026564,0.999542,0.014482,-0.000385,-0.014477,0.999895
25.000000,24.997014,-0.330840,0.011716,0.999611,-0.027895,0.000000,0.027892,0.999488,0.015650,-0.000437,-0.015644,0.999878
26.000000,25.996605,-0.359418,0.012618,0.999572,-0.029249,0.000000,0.029245,0.999430,0.016855,-0.000493,-0.016848,0.999858
27.000000,26.996157,-0.389365,0.013548,0.999531,-0.030630,0.000000,0.030625,0.999367,0.018097,-0.000554,-0.018088,0.999836
28.000000,27.995666,-0.420705,0.014503,0.999487,-0.032038,0.000000,0.032032,0.999299,0.019373,-0.000621,-0.019363,0.999812
29.000000,28.995129,-0.453469,0.015484,0.999440,-0.033474,0.000000,0.033467,0.999226,0.020683,-0.000693,-0.020671,0.999786
30.000000,29.994543,-0.487683,0.016489,0.999389,-0.034939,0.000000,0.034930,0.999147,0.022025,-0.000770,-0.022011,0.999757
31.000000,30.993906,-0.523377,0.017517,0.999336,-0.036434,0.000000,0.036424,0.999062,0.023398,-0.000853,-0.023382,0.999726
32.000000,31.993213,-0.560581,0.018567,0.999279,-0.037959,0.000000,0.037947,0.998972,0.024801,-0.000942,-0.024783,0.999692
33.000000,32.992462,-0.599325,0.019638,0.999219,-0.039514,0.000000,0.039501,0.998875,0.026231,-0.001037,-0.026211,0.999656
34.000000,33.991649,-0.639641,0.020730,0.999155,-0.041101,0.000000,0.041086,0.998772,0.027689,-0.001138,-0.027666,0.999617
35.000000,34.990770,-0.681561,0.021840,0.999087,-0.042721,0.000000,0.042702,0.998662,0.029172,-0.001247,-0.029145,0.999574
36.000000,35.989821,-0.725116,0.022969,0.999015,-0.044372,0.000000,0.044351,0.998545,0.030679,-0.001362,-0.030648,0.999529
37.000000,36.988798,-0.770339,0.024114,0.998939,-0.046057,0.000000,0.046033,0.998421,0.032208,-0.001484,-0.032174,0.999481
38.000000,37.987696,-0.817264,0.025275,0.998858,-0.047775,0.000000,0.047748,0.998289,0.033758,-0.001613,-0.033719,0.999430
39.000000,38.986511,-0.865924,0.026450,0.998773,-0.049527,0.000000,0.049496,0.998149,0.035327,-0.001750,-0.035284,0.999376
40.000000,39.985239,-0.916353,0.027639,0.998683,-0.051314,0.000000,0.051279,0.998002,0.036914,-0.001895,-0.036866,0.999318
41.000000,40.983874,-0.968586,0.028840,0.998587,-0.053135,0.000000,0.053095,0.997846,0.038518,-0.002047,-0.038463,0.999258
42.000000,41.982411,-1.022658,0.030052,0.998487,-0.054991,0.000000,0.054946,0.997682,0.040135,-0.002208,-0.040075,0.999194
43.000000,42.980844,-1.078604,0.031274,0.998381,-0.056882,0.000000,0.056832,0.997510,0.041766,-0.002376,-0.041699,0.999127
44.000000,43.979169,-1.136458,0.032505,0.998269,-0.058809,0.000000,0.058753,0.997328,0.043409,-0.002553,-0.043333,0.999057
