DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262402,0.999994,-0.003333,0.000000,0.003314,0.994292,-0.106640,0.000355,0.106640,0.994298
6.561667,6.561618,-0.021869,0.262208,0.999978,-0.006665,0.000000,0.006627,0.994284,-0.106562,0.000710,0.106559,0.994306
9.842500,9.842336,-0.049194,0.261884,0.999950,-0.009994,0.000000,0.009937,0.994270,-0.106431,0.001064,0.106426,0.994320
13.123333,13.122945,-0.087430,0.261432,0.999911,-0.013317,0.000000,0.013242,0.994252,-0.106248,0.001415,0.106238,0.994340
16.404167,16.403409,-0.136558,0.260851,0.999862,-0.016634,0.000000,0.016540,0.994227,-0.106013,0.001763,0.105998,0.994365
19.685000,19.683692,-0.196552,0.260142,0.999801,-0.019942,0.000000,0.019830,0.994198,-0.105726,0.002108,0.105705,0.994395
22.965833,22.963759,-0.267384,0.259306,0.999730,-0.023240,0.000000,0.023111,0.994163,-0.105387,0.002449,0.105359,0.994431
26.246667,26.243576,-0.349016,0.258344,0.999648,-0.026527,0.000000,0.026380,0.994123,-0.104997,0.002785,0.104960,0.994473
29.527500,29.523106,-0.441408,0.257256,0.999556,-0.029800,0.000000,0.029637,0.994077,-0.104557,0.003115,0.104510,0.994519
32.808333,32.802318,-0.544514,0.256044,0.999453,-0.033058,0.000000,0.032879,0.994027,-0.104066,0.003440,0.104009,0.994570
36.089167,36.081176,-0.658283,0.254708,0.999341,-0.036300,0.000000,0.036105,0.993971,-0.103525,0.003758,0.103457,0.994627
39.370000,39.359650,-0.782657,0.253251,0.999219,-0.039524,0.000000,0.039314,0.993911,-0.102935,0.004068,0.102855,0.994688
42.650833,42.637707,-0.917574,0.251673,0.999087,-0.042728,0.000000,0.042504,0.993846,-0.102296,0.004370,0.102203,0.994754
45.931667,45.915315,-1.062968,0.249977,0.998946,-0.045911,0.000000,0.045673,0.993775,-0.101609,0.004664,0.101502,0.994824
49.212500,49.192446,-1.218766,0.248163,0.998795,-0.049071,0.000000,0.048821,0.993701,-0.100874,0.004949,0.100753,0.994899
52.493333,52.469069,-1.384891,0.246234,0.998636,-0.052207,0.000000,0.051945,0.993621,-0.100093,0.005225,0.099956,0.994978
55.774167,55.745157,-1.561261,0.244191,0.998469,-0.055317,0.000000,0.055044,0.993537,-0.099265,0.005490,0.099113,0.995061
59.055000,59.020682,-1.747791,0.242037,0.998293,-0.058400,0.000000,0.058117,0.993449,-0.098392,0.005745,0.098224,0.995148
62.335833,62.295619,-1.944387,0.239774,0.998110,-0.061454,0.000000,0.061162,0.993357,-0.097475,0.005990,0.097291,0.995238
65.616667,65.569941,-2.150955,0.237403,0.997919,-0.064479,0.000000,0.064178,0.993260,-0.096514,0.006222,0.096314,0.995332
68.897500,68.843627,-2.367394,0.234928,0.997721,-0.067472,0.000000,0.067164,0.993160,-0.095511,0.006444,0.095293,0.995428
72.178333,72.116651,-2.593599,0.232350,0.997517,-0.070433,0.000000,0.070118,0.993056,-0.094466,0.006653,0.094232,0.995528
75.459167,75.388994,-2.829460,0.229673,0.997306,-0.073359,0.000000,0.073039,0.992948,-0.093381,0.006850,0.093129,0.995630
78.740000,78.660636,-3.074866,0.226898,0.997089,-0.076251,0.000000,0.075926,0.992836,-0.092256,0.007034,0.091988,0.995735
82.020833,81.931556,-3.329697,0.224029,0.996866,-0.079106,0.000000,0.078777,0.992722,-0.091093,0.007205,0.090807,0.995842
85.301667,85.201738,-3.593834,0.221069,0.996639,-0.081924,0.000000,0.081592,0.992604,-0.089892,0.007363,0.089590,0.995951
88.582500,88.471166,-3.867150,0.218019,0.996406,-0.084702,0.000000,0.084369,0.992483,-0.088656,0.007509,0.088337,0.996062
91.863333,91.739825,-4.149518,0.214885,0.996170,-0.087442,0.000000,0.087107,0.992359,-0.087384,0.007640,0.087050,0.996175
95.144167,95.007701,-4.440804,0.211667,0.995929,-0.090140,0.000000,0.089805,0.992233,-0.086079,0.007758,0.085729,0.996288
98.425000,98.274782,-4.740874,0.208370,0.995685,-0.092796,0.000000,0.092462,0.992104,-0.084742,0.007863,0.084376,0.996403
101.705833,101.541057,-5.049588,0.204997,0.995438,-0.095410,0.000000,0.095078,0.991972,-0.083373,0.007954,0.082993,0.996518
104.986667,104.806518,-5.366805,0.201552,0.995188,-0.097979,0.000000,0.097650,0.991839,-0.081975,0.008031,0.081580,0.996634
108.267500,108.071156,-5.692379,0.198037,0.994937,-0.100505,0.000000,0.100178,0.991704,-0.080548,0.008095,0.080140,0.996751
111.548333,111.334966,-6.026163,0.194455,0.994683,-0.102984,0.000000,0.102662,0.991567,-0.079095,0.008145,0.078674,0.996867
114.829167,114.597941,-6.368005,0.190812,0.994428,-0.105418,0.000000,0.105100,0.991428,-0.077616,0.008181,0.077183,0.996983
118.110000,117.860078,-6.717754,0.187110,0.994172,-0.107804,0.000000,0.107491,0.991288,-0.076113,0.008204,0.075669,0.997099
121.390833,121.121374,-7.075253,0.183352,0.993916,-0.110143,0.000000,0.109836,0.991147,-0.074587,0.008214,0.074134,0.997214
124.671667,124.381830,-7.440345,0.179544,0.993659,-0.112433,0.000000,0.112133,0.991005,-0.073041,0.008211,0.072578,0.997329
127.952500,127.641445,-7.812871,0.175687,0.993403,-0.114674,0.000000,0.114381,0.990862,-0.071474,0.008195,0.071003,0.997442
131.233333,130.900220,-8.192668,0.171787,0.993148,-0.116866,0.000000,0.116580,0.990719,-0.069890,0.008167,0.069411,0.997555
134.514167,134.158159,-8.579574,0.167846,0.992893,-0.119008,0.000000,0.118730,0.990575,-0.068290,0.008126,0.067804,0.997666
137.795000,137.415266,-8.973424,0.163870,0.992640,-0.121099,0.000000,0.120830,0.990432,-0.066674,0.008073,0.066184,0.997775
141.075833,140.671546,-9.374052,0.159861,0.992389,-0.123140,0.000000,0.122879,0.990288,-0.065046,0.008009,0.064551,0.997882
144.356667,143.927006,-9.781289,0.155824,0.992141,-0.125129,0.000000,0.124877,0.990144,-0.063405,0.007933,0.062907,0.997988
147.637500,147.181654,-10.194968,0.151763,0.991894,-0.127066,0.000000,0.126824,0.990001,-0.061755,0.007846,0.061254,0.998091
150.918333,150.435499,-10.614919,0.147681,0.991651,-0.128952,0.000000,0.128719,0.989858,-0.060096,0.007749,0.059594,0.998193
154.199167,153.688550,-11.040973,0.143583,0.991411,-0.130786,0.000000,0.130563,0.989717,-0.058430,0.007641,0.057929,0.998291
157.480000,156.940819,-11.472957,0.139474,0.991174,-0.132568,0.000000,0.132354,0.989576,-0.056760,0.007524,0.056259,0.998388
