DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280840,3.280840,-0.000000,0.000065,1.000000,0.000000,0.000000,-0.000000,1.000000,0.000026,-0.000000,-0.000026,1.000000
6.561680,6.561680,-0.000004,0.000259,1.000000,-0.000001,0.000000,0.000001,1.000000,0.000105,-0.000000,-0.000105,1.000000
9.842520,9.842520,-0.000018,0.000582,1.000000,-0.000006,0.000000,0.000006,1.000000,0.000237,-0.000000,-0.000237,1.000000
13.123360,13.123360,-0.000058,0.001035,1.000000,-0.000016,0.000000,0.000016,1.000000,0.000421,-0.000000,-0.000421,1.000000
16.404199,16.404199,-0.000140,0.001616,1.000000,-0.000032,0.000000,0.000032,1.000000,0.000658,-0.000000,-0.000658,1.000000
19.685039,19.685039,-0.000291,0.002325,1.000000,-0.000057,0.000000,0.000057,1.000000,0.000946,-0.000000,-0.000946,1.000000
22.965879,22.965879,-0.000539,0.003161,1.000000,-0.000091,0.000000,0.000091,0.999999,0.001287,-0.000000,-0.001287,0.999999
26.246719,26.246719,-0.000919,0.004123,1.000000,-0.000137,0.000000,0.000137,0.999999,0.001679,-0.000000,-0.001679,0.999999
29.527559,29.527559,-0.001471,0.005211,1.000000,-0.000196,0.000000,0.000196,0.999998,0.002122,-0.000000,-0.002122,0.999998
32.808399,32.808399,-0.002241,0.006423,1.000000,-0.000269,0.000000,0.000269,0.999997,0.002615,-0.000001,-0.002615,0.999997
36.089239,36.089239,-0.003279,0.007758,1.000000,-0.000358,0.000000,0.000358,0.999995,0.003159,-0.000001,-0.003159,0.999995
39.370079,39.370078,-0.004641,0.009216,1.000000,-0.000466,0.000000,0.000466,0.999993,0.003752,-0.000002,-0.003752,0.999993
42.650919,42.650918,-0.006387,0.010793,1.000000,-0.000592,0.000000,0.000592,0.999990,0.004395,-0.000003,-0.004395,0.999990
45.931759,45.931757,-0.008583,0.012490,1.000000,-0.000740,0.000000,0.000740,0.999987,0.005086,-0.000004,-0.005086,0.999987
49.212598,49.212595,-0.011300,0.014304,1.000000,-0.000909,0.000000,0.000909,0.999983,0.005824,-0.000005,-0.005824,0.999983
52.493438,52.493434,-0.014613,0.016233,0.999999,-0.001103,0.000000,0.001103,0.999978,0.006610,-0.000007,-0.006609,0.999978
55.774278,55.774271,-0.018603,0.018275,0.999999,-0.001321,0.000000,0.001321,0.999971,0.007441,-0.000010,-0.007441,0.999972
59.055118,59.055107,-0.023355,0.020429,0.999999,-0.001567,0.000000,0.001567,0.999964,0.008318,-0.000013,-0.008318,0.999965
62.335958,62.335942,-0.028959,0.022693,0.999998,-0.001840,0.000000,0.001840,0.999956,0.009240,-0.000017,-0.009240,0.999957
65.616798,65.616776,-0.035508,0.025063,0.999998,-0.002143,0.000000,0.002143,0.999946,0.010205,-0.000022,-0.010205,0.999948
68.897638,68.897607,-0.043102,0.027539,0.999997,-0.002477,0.000000,0.002476,0.999934,0.011213,-0.000028,-0.011213,0.999937
72.178478,72.178435,-0.051844,0.030116,0.999996,-0.002842,0.000000,0.002842,0.999921,0.012262,-0.000035,-0.012262,0.999925
75.459318,75.459260,-0.061841,0.032794,0.999995,-0.003241,0.000000,0.003241,0.999906,0.013352,-0.000043,-0.013352,0.999911
78.740157,78.740080,-0.073205,0.035568,0.999993,-0.003675,0.000000,0.003675,0.999888,0.014482,-0.000053,-0.014482,0.999895
82.020997,82.020895,-0.086052,0.038437,0.999991,-0.004145,0.000000,0.004144,0.999869,0.015650,-0.000065,-0.015650,0.999878
85.301837,85.301703,-0.100500,0.041398,0.999989,-0.004651,0.000000,0.004651,0.999847,0.016855,-0.000079,-0.016855,0.999858
88.582677,88.582503,-0.116673,0.044447,0.999987,-0.005196,0.000000,0.005195,0.999823,0.018097,-0.000094,-0.018097,0.999836
91.863517,91.863293,-0.134698,0.047582,0.999983,-0.005780,0.000000,0.005779,0.999796,0.019373,-0.000112,-0.019373,0.999812
95.144357,95.144072,-0.154707,0.050800,0.999979,-0.006404,0.000000,0.006403,0.999766,0.020683,-0.000133,-0.020682,0.999786
98.425197,98.424837,-0.176832,0.054096,0.999975,-0.007070,0.000000,0.007068,0.999732,0.022025,-0.000156,-0.022024,0.999757
101.706037,101.705586,-0.201211,0.057469,0.999970,-0.007778,0.000000,0.007776,0.999696,0.023398,-0.000182,-0.023397,0.999726
104.986877,104.986317,-0.227986,0.060915,0.999964,-0.008530,0.000000,0.008527,0.999656,0.024801,-0.000212,-0.024800,0.999692
108.267717,108.267026,-0.257298,0.064430,0.999957,-0.009325,0.000000,0.009322,0.999612,0.026231,-0.000245,-0.026230,0.999656
111.548556,111.547710,-0.289295,0.068011,0.999948,-0.010166,0.000000,0.010162,0.999565,0.027689,-0.000282,-0.027688,0.999617
114.829396,114.828364,-0.324126,0.071655,0.999939,-0.011053,0.000000,0.011048,0.999513,0.029172,-0.000323,-0.029170,0.999574
118.110236,118.108986,-0.361943,0.075357,0.999928,-0.011986,0.000000,0.011980,0.999458,0.030679,-0.000368,-0.030676,0.999529
121.391076,121.389570,-0.402900,0.079114,0.999916,-0.012966,0.000000,0.012960,0.999397,0.032208,-0.000418,-0.032205,0.999481
124.671916,124.670112,-0.447153,0.082923,0.999902,-0.013995,0.000000,0.013987,0.999332,0.033758,-0.000473,-0.033755,0.999430
127.952756,127.950604,-0.494860,0.086780,0.999886,-0.015072,0.000000,0.015063,0.999262,0.035327,-0.000533,-0.035323,0.999376
131.233596,131.231042,-0.546184,0.090680,0.999869,-0.016199,0.000000,0.016188,0.999187,0.036914,-0.000598,-0.036909,0.999318
134.514436,134.511419,-0.601285,0.094621,0.999849,-0.017375,0.000000,0.017362,0.999107,0.038518,-0.000670,-0.038512,0.999258
137.795276,137.791728,-0.660329,0.098597,0.999827,-0.018602,0.000000,0.018587,0.999021,0.040135,-0.000747,-0.040129,0.999194
141.076115,141.071960,-0.723480,0.102606,0.999802,-0.019879,0.000000,0.019862,0.998930,0.041766,-0.000831,-0.041758,0.999127
144.356955,144.352107,-0.790905,0.106643,0.999775,-0.021207,0.000000,0.021187,0.998833,0.043409,-0.000921,-0.043399,0.999057
147.637795,147.632159,-0.862773,0.110704,0.999745,-0.022587,0.000000,0.022564,0.998729,0.045061,-0.001018,-0.045049,0.998984
150.918635,150.912107,-0.939253,0.114786,0.999712,-0.024019,0.000000,0.023992,0.998620,0.046721,-0.001123,-0.046707,0.998908
154.199475,154.191940,-1.020514,0.118883,0.999675,-0.025502,0.000000,0.025472,0.998504,0.048387,-0.001235,-0.048372,0.998829
157.480315,157.471647,-1.106727,0.122993,0.999634,-0.027037,0.000000,0.027003,0.998381,0.050059,-0.001354,-0.050041,0.998746
160.761155,160.751215,-1.198063,0.127111,0.999590,-0.028625,0.000000,0.028586,0.998252,0.051733,-0.001482,-0.051712,0.998661
164.041995,164.030631,-1.294693,0.131234,0.999542,-0.030264,0.000000,0.030221,0.998115,0.053410,-0.001617,-0.053385,0.998573
167.322835,167.309881,-1.396788,0.135356,0.999489,-0.031957,0.000000,0.031908,0.997972,0.055086,-0.001761,-0.055057,0.998482
170.603675,170.588951,-1.504521,0.139474,0.999432,-0.033701,0.000000,0.033646,0.997821,0.056760,-0.001914,-0.056727,0.998388
173.884514,173.867825,-1.618061,0.143584,0.999370,-0.035497,0.000000,0.035437,0.997662,0.058430,-0.002075,-0.058394,0.998291
177.165354,177.146487,-1.737581,0.147682,0.999302,-0.037346,0.000000,0.037278,0.997496,0.060096,-0.002245,-0.060054,0.998193
180.446194,180.424919,-1.863249,0.151763,0.999230,-0.039246,0.000000,0.039171,0.997322,0.061755,-0.002424,-0.061707,0.998091
183.727034,183.703103,-1.995236,0.155824,0.999151,-0.041197,0.000000,0.041114,0.997141,0.063405,-0.002613,-0.063351,0.997988
187.007874,186.981019,-2.133710,0.159861,0.999066,-0.043200,0.000000,0.043109,0.996951,0.065046,-0.002811,-0.064985,0.997882
190.288714,190.258646,-2.278839,0.163870,0.998976,-0.045254,0.000000,0.045153,0.996753,0.066674,-0.003018,-0.066606,0.997775
193.569554,193.535965,-2.430788,0.167847,0.998878,-0.047358,0.000000,0.047248,0.996546,0.068290,-0.003235,-0.068213,0.997666
196.850394,196.812952,-2.589723,0.171787,0.998773,-0.049513,0.000000,0.049392,0.996331,0.069890,-0.003461,-0.069805,0.997555
200.131234,200.089585,-2.755807,0.175687,0.998662,-0.051716,0.000000,0.051584,0.996108,0.071474,-0.003697,-0.071379,0.997442
203.412073,203.365839,-2.929201,0.179544,0.998543,-0.053969,0.000000,0.053825,0.995875,0.073041,-0.003943,-0.072934,0.997329
206.692913,206.641689,-3.110065,0.183353,0.998416,-0.056270,0.000000,0.056114,0.995634,0.074587,-0.004198,-0.074469,0.997214
209.973753,209.917109,-3.298557,0.187110,0.998280,-0.058619,0.000000,0.058449,0.995385,0.076113,-0.004463,-0.075982,0.997099
213.254593,213.192072,-3.494831,0.190812,0.998137,-0.061015,0.000000,0.060831,0.995126,0.077616,-0.004737,-0.077471,0.996983
216.535433,216.466549,-3.699041,0.194456,0.997985,-0.063457,0.000000,0.063258,0.994858,0.079095,-0.005020,-0.078935,0.996867
219.816273,219.740513,-3.911336,0.198037,0.997823,-0.065944,0.000000,0.065730,0.994581,0.080548,-0.005313,-0.080373,0.996751
223.097113,223.013931,-4.131865,0.201552,0.997653,-0.068476,0.000000,0.068246,0.994295,0.081975,-0.005614,-0.081782,0.996634
