DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280840,3.280839,0.001641,0.000065,0.999999,0.001001,0.000000,-0.001001,0.999999,-0.000026,-0.000000,0.000026,1.000000
6.561680,6.561675,0.006564,0.000259,0.999998,0.002002,0.000000,-0.002002,0.999998,-0.000105,-0.000000,0.000105,1.000000
9.842520,9.842505,0.014777,0.000582,0.999995,0.003006,0.000000,-0.003006,0.999995,-0.000237,-0.000001,0.000237,1.000000
13.123360,13.123324,0.026287,0.001035,0.999992,0.004014,0.000000,-0.004014,0.999992,-0.000421,-0.000002,0.000421,1.000000
16.404199,16.404131,0.041109,0.001616,0.999987,0.005026,0.000000,-0.005026,0.999987,-0.000658,-0.000003,0.000658,1.000000
19.685039,19.684920,0.059259,0.002325,0.999982,0.006044,0.000000,-0.006044,0.999981,-0.000946,-0.000006,0.000946,1.000000
22.965879,22.965689,0.080758,0.003161,0.999975,0.007068,0.000000,-0.007068,0.999974,-0.001287,-0.000009,0.001287,0.999999
26.246719,26.246435,0.105630,0.004123,0.999967,0.008101,0.000000,-0.008101,0.999966,-0.001679,-0.000014,0.001679,0.999999
29.527559,29.527153,0.133903,0.005211,0.999958,0.009143,0.000000,-0.009143,0.999956,-0.002122,-0.000019,0.002122,0.999998
32.808399,32.807839,0.165609,0.006423,0.999948,0.010195,0.000000,-0.010195,0.999945,-0.002615,-0.000027,0.002615,0.999997
36.089239,36.088491,0.200784,0.007758,0.999937,0.011258,0.000000,-0.011258,0.999932,-0.003159,-0.000036,0.003159,0.999995
39.370079,39.369102,0.239466,0.009216,0.999924,0.012334,0.000000,-0.012333,0.999917,-0.003752,-0.000046,0.003752,0.999993
42.650919,42.649670,0.281698,0.010793,0.999910,0.013423,0.000000,-0.013423,0.999900,-0.004395,-0.000059,0.004394,0.999990
45.931759,45.930190,0.327525,0.012490,0.999894,0.014526,0.000000,-0.014526,0.999882,-0.005086,-0.000074,0.005085,0.999987
49.212598,49.210657,0.376997,0.014304,0.999878,0.015646,0.000000,-0.015645,0.999861,-0.005824,-0.000091,0.005823,0.999983
52.493438,52.491065,0.430167,0.016233,0.999859,0.016781,0.000000,-0.016781,0.999837,-0.006610,-0.000111,0.006609,0.999978
55.774278,55.771411,0.487091,0.018275,0.999839,0.017935,0.000000,-0.017934,0.999811,-0.007441,-0.000133,0.007440,0.999972
59.055118,59.051689,0.547829,0.020429,0.999817,0.019107,0.000000,-0.019106,0.999783,-0.008318,-0.000159,0.008317,0.999965
62.335958,62.331892,0.612442,0.022693,0.999794,0.020299,0.000000,-0.020298,0.999751,-0.009240,-0.000187,0.009238,0.999957
65.616798,65.612015,0.680998,0.025063,0.999769,0.021511,0.000000,-0.021510,0.999717,-0.010205,-0.000219,0.010203,0.999948
68.897638,68.892052,0.753566,0.027539,0.999741,0.022745,0.000000,-0.022743,0.999678,-0.011213,-0.000255,0.011210,0.999937
