DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079980,0.999994,0.003333,0.000000,-0.003314,0.994292,-0.106640,-0.000355,0.106640,0.994298
2.000000,1.999985,0.006666,0.079921,0.999978,0.006664,0.000000,-0.006626,0.994284,-0.106562,-0.000710,0.106559,0.994306
3.000000,2.999950,0.014996,0.079822,0.999950,0.009993,0.000000,-0.009937,0.994270,-0.106431,-0.001064,0.106426,0.994320
4.000000,3.999882,0.026654,0.079685,0.999911,0.013319,0.000000,-0.013244,0.994251,-0.106248,-0.001415,0.106238,0.994340
5.000000,4.999769,0.041636,0.079508,0.999862,0.016640,0.000000,-0.016546,0.994227,-0.106013,-0.001764,0.105998,0.994365
6.000000,5.999601,0.059936,0.079291,0.999801,0.019955,0.000000,-0.019843,0.994197,-0.105726,-0.002110,0.105704,0.994395
7.000000,6.999367,0.081548,0.079037,0.999729,0.023263,0.000000,-0.023133,0.994162,-0.105387,-0.002452,0.105359,0.994431
8.000000,7.999056,0.106464,0.078743,0.999647,0.026562,0.000000,-0.026416,0.994122,-0.104997,-0.002789,0.104960,0.994473
9.000000,8.998658,0.134676,0.078412,0.999554,0.029853,0.000000,-0.029689,0.994076,-0.104557,-0.003122,0.104510,0.994519
10.000000,9.998161,0.166173,0.078042,0.999451,0.033132,0.000000,-0.032953,0.994024,-0.104066,-0.003448,0.104009,0.994570
11.000000,10.997556,0.200945,0.077635,0.999337,0.036400,0.000000,-0.036205,0.993968,-0.103525,-0.003769,0.103457,0.994627
12.000000,11.996832,0.238978,0.077191,0.999213,0.039656,0.000000,-0.039445,0.993906,-0.102935,-0.004082,0.102854,0.994688
13.000000,12.995979,0.280261,0.076710,0.999079,0.042897,0.000000,-0.042672,0.993838,-0.102296,-0.004389,0.102202,0.994754
14.000000,13.994987,0.324777,0.076193,0.998936,0.046123,0.000000,-0.045885,0.993766,-0.101609,-0.004687,0.101501,0.994824
15.000000,14.993847,0.372513,0.075640,0.998782,0.049334,0.000000,-0.049082,0.993688,-0.100874,-0.004977,0.100751,0.994899
16.000000,15.992548,0.423451,0.075052,0.998620,0.052527,0.000000,-0.052263,0.993605,-0.100093,-0.005258,0.099954,0.994978
17.000000,16.991082,0.477573,0.074430,0.998447,0.055702,0.000000,-0.055427,0.993516,-0.099265,-0.005530,0.099111,0.995061
18.000000,17.989439,0.534861,0.073773,0.998266,0.058858,0.000000,-0.058572,0.993423,-0.098392,-0.005792,0.098222,0.995148
19.000000,18.987611,0.595295,0.073083,0.998077,0.061993,0.000000,-0.061698,0.993324,-0.097475,-0.006043,0.097287,0.995238
20.000000,19.985589,0.658855,0.072361,0.997878,0.065108,0.000000,-0.064804,0.993220,-0.096514,-0.006285,0.096310,0.995332
21.000000,20.983364,0.725518,0.071606,0.997672,0.068200,0.000000,-0.067889,0.993111,-0.095511,-0.006515,0.095289,0.995428
22.000000,21.980928,0.795263,0.070821,0.997457,0.071270,0.000000,-0.070951,0.992997,-0.094466,-0.006733,0.094226,0.995528
23.000000,22.978274,0.868066,0.070004,0.997235,0.074315,0.000000,-0.073990,0.992877,-0.093381,-0.006940,0.093123,0.995630
24.000000,23.975394,0.943901,0.069159,0.997005,0.077336,0.000000,-0.077006,0.992753,-0.092256,-0.007135,0.091980,0.995735
25.000000,24.972281,1.022745,0.068284,0.996768,0.080330,0.000000,-0.079996,0.992624,-0.091093,-0.007318,0.090798,0.995842
26.000000,25.968927,1.104571,0.067382,0.996525,0.083299,0.000000,-0.082961,0.992490,-0.089892,-0.007489,0.089580,0.995951
27.000000,26.965326,1.189352,0.066452,0.996274,0.086240,0.000000,-0.085900,0.992351,-0.088656,-0.007646,0.088325,0.996062
28.000000,27.961472,1.277060,0.065497,0.996018,0.089152,0.000000,-0.088811,0.992208,-0.087384,-0.007791,0.087036,0.996175
29.000000,28.957359,1.367666,0.064516,0.995756,0.092036,0.000000,-0.091695,0.992060,-0.086079,-0.007923,0.085714,0.996288
30.000000,29.952980,1.461142,0.063511,0.995488,0.094891,0.000000,-0.094549,0.991907,-0.084742,-0.008042,0.084359,0.996403
31.000000,30.948330,1.557457,0.062483,0.995214,0.097715,0.000000,-0.097374,0.991750,-0.083373,-0.008148,0.082974,0.996518
32.000000,31.943405,1.656582,0.061433,0.994936,0.100508,0.000000,-0.100170,0.991588,-0.081975,-0.008240,0.081560,0.996634
33.000000,32.938199,1.758484,0.060362,0.994653,0.103269,0.000000,-0.102934,0.991422,-0.080548,-0.008319,0.080118,0.996751
34.000000,33.932708,1.863131,0.059270,0.994366,0.105999,0.000000,-0.105667,0.991251,-0.079095,-0.008385,0.078649,0.996867
35.000000,34.926928,1.970492,0.058160,0.994075,0.108696,0.000000,-0.108368,0.991076,-0.077616,-0.008437,0.077156,0.996983
36.000000,35.920855,2.080534,0.057031,0.993780,0.111359,0.000000,-0.111036,0.990898,-0.076113,-0.008477,0.075639,0.997099
37.000000,36.914485,2.193222,0.055886,0.993482,0.113989,0.000000,-0.113671,0.990715,-0.074587,-0.008503,0.074101,0.997214
38.000000,37.907815,2.308522,0.054725,0.993181,0.116584,0.000000,-0.116273,0.990528,-0.073041,-0.008516,0.072542,0.997329
39.000000,38.900843,2.426402,0.053550,0.992877,0.119145,0.000000,-0.118840,0.990337,-0.071474,-0.008517,0.070965,0.997442
40.000000,39.893565,2.546825,0.052361,0.992570,0.121671,0.000000,-0.121374,0.990143,-0.069890,-0.008504,0.069371,0.997555
41.000000,40.885980,2.669756,0.051160,0.992262,0.124162,0.000000,-0.123872,0.989946,-0.068290,-0.008480,0.067761,0.997666
42.000000,41.878086,2.795160,0.049948,0.991952,0.126617,0.000000,-0.126335,0.989744,-0.066674,-0.008443,0.066138,0.997775
43.000000,42.869880,2.923001,0.048726,0.991640,0.129035,0.000000,-0.128762,0.989540,-0.065046,-0.008394,0.064502,0.997882
44.000000,43.861362,3.053243,0.047495,0.991327,0.131418,0.000000,-0.131154,0.989332,-0.063405,-0.008333,0.062855,0.997988
