DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280840,3.280834,0.005468,0.262402,0.999994,0.003333,0.000000,-0.003314,0.994292,-0.106640,-0.000355,0.106640,0.994298
6.561680,6.561631,0.021869,0.262208,0.999978,0.006664,0.000000,-0.006626,0.994284,-0.106562,-0.000710,0.106559,0.994306
9.842520,9.842356,0.049194,0.261885,0.999950,0.009991,0.000000,-0.009935,0.994270,-0.106431,-0.001064,0.106426,0.994320
13.123360,13.122971,0.087430,0.261432,0.999911,0.013314,0.000000,-0.013238,0.994252,-0.106248,-0.001415,0.106238,0.994340
16.404199,16.403442,0.136558,0.260851,0.999862,0.016630,0.000000,-0.016536,0.994227,-0.106013,-0.001763,0.105998,0.994365
19.685039,19.683732,0.196553,0.260143,0.999801,0.019937,0.000000,-0.019825,0.994198,-0.105726,-0.002108,0.105705,0.994395
22.965879,22.963805,0.267384,0.259307,0.999730,0.023235,0.000000,-0.023105,0.994163,-0.105387,-0.002449,0.105359,0.994431
26.246719,26.243628,0.349017,0.258344,0.999648,0.026521,0.000000,-0.026374,0.994123,-0.104997,-0.002785,0.104960,0.994473
29.527559,29.523165,0.441409,0.257256,0.999556,0.029793,0.000000,-0.029630,0.994077,-0.104557,-0.003115,0.104510,0.994519
32.808399,32.802383,0.544516,0.256044,0.999454,0.033051,0.000000,-0.032871,0.994027,-0.104066,-0.003440,0.104009,0.994570
36.089239,36.081248,0.658284,0.254709,0.999341,0.036292,0.000000,-0.036097,0.993972,-0.103525,-0.003758,0.103457,0.994627
39.370079,39.359729,0.782658,0.253252,0.999219,0.039515,0.000000,-0.039305,0.993911,-0.102935,-0.004068,0.102855,0.994688
42.650919,42.637792,0.917576,0.251674,0.999087,0.042718,0.000000,-0.042494,0.993846,-0.102296,-0.004370,0.102203,0.994754
45.931759,45.915407,1.062970,0.249977,0.998946,0.045900,0.000000,-0.045663,0.993776,-0.101609,-0.004664,0.101502,0.994824
49.212598,49.192544,1.218768,0.248164,0.998796,0.049060,0.000000,-0.048809,0.993701,-0.100874,-0.004949,0.100753,0.994899
52.493438,52.469174,1.384894,0.246234,0.998637,0.052195,0.000000,-0.051933,0.993622,-0.100093,-0.005225,0.099956,0.994978
55.774278,55.745269,1.561265,0.244192,0.998470,0.055304,0.000000,-0.055031,0.993538,-0.099265,-0.005490,0.099113,0.995061
59.055118,59.020800,1.747794,0.242038,0.998294,0.058387,0.000000,-0.058103,0.993450,-0.098392,-0.005745,0.098224,0.995148
62.335958,62.295743,1.944391,0.239774,0.998111,0.061440,0.000000,-0.061148,0.993358,-0.097475,-0.005990,0.097291,0.995238
65.616798,65.570073,2.150960,0.237404,0.997920,0.064464,0.000000,-0.064163,0.993261,-0.096514,-0.006222,0.096314,0.995332
68.897638,68.843764,2.367399,0.234928,0.997722,0.067457,0.000000,-0.067148,0.993161,-0.095511,-0.006444,0.095293,0.995428
72.178478,72.116796,2.593604,0.232351,0.997518,0.070417,0.000000,-0.070102,0.993057,-0.094466,-0.006653,0.094232,0.995528
75.459318,75.389145,2.829466,0.229673,0.997307,0.073343,0.000000,-0.073022,0.992949,-0.093381,-0.006850,0.093129,0.995630
78.740157,78.660793,3.074872,0.226899,0.997090,0.076234,0.000000,-0.075909,0.992838,-0.092256,-0.007034,0.091988,0.995735
82.020997,81.931720,3.329704,0.224030,0.996868,0.079088,0.000000,-0.078759,0.992723,-0.091093,-0.007205,0.090807,0.995842
85.301837,85.201909,3.593841,0.221069,0.996640,0.081905,0.000000,-0.081574,0.992605,-0.089892,-0.007363,0.089590,0.995951
88.582677,88.471343,3.867158,0.218020,0.996408,0.084684,0.000000,-0.084350,0.992484,-0.088656,-0.007509,0.088337,0.996062
91.863517,91.740008,4.149526,0.214885,0.996171,0.087422,0.000000,-0.087088,0.992361,-0.087384,-0.007640,0.087050,0.996175
95.144357,95.007891,4.440813,0.211668,0.995931,0.090120,0.000000,-0.089785,0.992234,-0.086079,-0.007758,0.085729,0.996288
98.425197,98.274978,4.740884,0.208371,0.995687,0.092776,0.000000,-0.092442,0.992105,-0.084742,-0.007863,0.084376,0.996403
101.706037,101.541260,5.049599,0.204998,0.995440,0.095389,0.000000,-0.095057,0.991974,-0.083373,-0.007954,0.082993,0.996518
104.986877,104.806728,5.366816,0.201552,0.995191,0.097958,0.000000,-0.097629,0.991841,-0.081975,-0.008031,0.081580,0.996634
108.267717,108.071373,5.692390,0.198037,0.994939,0.100483,0.000000,-0.100157,0.991706,-0.080548,-0.008095,0.080140,0.996751
111.548556,111.335188,6.026175,0.194456,0.994685,0.102962,0.000000,-0.102640,0.991569,-0.079095,-0.008145,0.078674,0.996867
114.829396,114.598170,6.368018,0.190812,0.994430,0.105395,0.000000,-0.105077,0.991431,-0.077616,-0.008181,0.077183,0.996983
118.110236,117.860313,6.717767,0.187110,0.994175,0.107781,0.000000,-0.107469,0.991291,-0.076113,-0.008204,0.075669,0.997099
121.391076,121.121617,7.075267,0.183353,0.993918,0.110120,0.000000,-0.109813,0.991150,-0.074587,-0.008214,0.074134,0.997214
124.671916,124.382079,7.440360,0.179544,0.993662,0.112410,0.000000,-0.112109,0.991008,-0.073041,-0.008211,0.072578,0.997329
127.952756,127.641700,7.812886,0.175687,0.993406,0.114651,0.000000,-0.114358,0.990865,-0.071474,-0.008195,0.071003,0.997442
131.233596,130.900482,8.192685,0.171787,0.993150,0.116842,0.000000,-0.116557,0.990722,-0.069890,-0.008167,0.069411,0.997555
134.514436,134.158427,8.579591,0.167847,0.992896,0.118984,0.000000,-0.118706,0.990578,-0.068290,-0.008126,0.067804,0.997666
137.795276,137.415541,8.973442,0.163870,0.992643,0.121075,0.000000,-0.120806,0.990435,-0.066674,-0.008073,0.066184,0.997775
141.076115,140.671827,9.374070,0.159861,0.992392,0.123115,0.000000,-0.122855,0.990291,-0.065046,-0.008009,0.064551,0.997882
144.356955,143.927294,9.781309,0.155824,0.992144,0.125104,0.000000,-0.124853,0.990147,-0.063405,-0.007933,0.062907,0.997988
147.637795,147.181949,10.194989,0.151763,0.991897,0.127042,0.000000,-0.126799,0.990004,-0.061755,-0.007846,0.061254,0.998091
150.918635,150.435800,10.614941,0.147682,0.991654,0.128928,0.000000,-0.128695,0.989862,-0.060096,-0.007749,0.059594,0.998193
154.199475,153.688858,11.040995,0.143584,0.991414,0.130761,0.000000,-0.130538,0.989720,-0.058430,-0.007641,0.057929,0.998291
157.480315,156.941133,11.472980,0.139474,0.991177,0.132543,0.000000,-0.132330,0.989579,-0.056760,-0.007524,0.056259,0.998388
160.761155,160.192638,11.910725,0.135356,0.990944,0.134273,0.000000,-0.134069,0.989440,-0.055086,-0.007397,0.054587,0.998482
164.041995,163.443386,12.354060,0.131234,0.990716,0.135950,0.000000,-0.135756,0.989302,-0.053410,-0.007262,0.052914,0.998573
167.322835,166.693391,12.802811,0.127111,0.990491,0.137575,0.000000,-0.137391,0.989165,-0.051733,-0.007118,0.051241,0.998661
170.603675,169.942667,13.256808,0.122993,0.990272,0.139148,0.000000,-0.138974,0.989030,-0.050059,-0.006966,0.049572,0.998746
173.884514,173.191230,13.715881,0.118883,0.990057,0.140669,0.000000,-0.140504,0.988897,-0.048387,-0.006807,0.047906,0.998829
177.165354,176.439096,14.179857,0.114786,0.989847,0.142138,0.000000,-0.141983,0.988766,-0.046721,-0.006641,0.046246,0.998908
180.446194,179.686282,14.648568,0.110704,0.989642,0.143555,0.000000,-0.143409,0.988637,-0.045061,-0.006469,0.044594,0.998984
183.727034,182.932806,15.121844,0.106643,0.989443,0.144921,0.000000,-0.144784,0.988511,-0.043409,-0.006291,0.042950,0.999057
187.007874,186.178686,15.599516,0.102606,0.989250,0.146235,0.000000,-0.146108,0.988387,-0.041766,-0.006108,0.041317,0.999127
190.288714,189.423941,16.081418,0.098597,0.989062,0.147499,0.000000,-0.147380,0.988265,-0.040135,-0.005920,0.039696,0.999194
193.569554,192.668590,16.567383,0.094621,0.988880,0.148713,0.000000,-0.148602,0.988147,-0.038518,-0.005729,0.038089,0.999258
196.850394,195.912653,17.057247,0.090680,0.988705,0.149876,0.000000,-0.149774,0.988031,-0.036914,-0.005533,0.036497,0.999318
200.131234,199.156149,17.550847,0.086780,0.988535,0.150990,0.000000,-0.150896,0.987918,-0.035327,-0.005334,0.034922,0.999376
203.412073,202.399100,18.048021,0.082923,0.988372,0.152056,0.000000,-0.151969,0.987809,-0.033758,-0.005133,0.033365,0.999430
206.692913,205.641525,18.548611,0.079114,0.988215,0.153073,0.000000,-0.152993,0.987702,-0.032208,-0.004931,0.031828,0.999481
209.973753,208.883445,19.052458,0.075357,0.988064,0.154042,0.000000,-0.153970,0.987599,-0.030679,-0.004726,0.030312,0.999529
