DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079980,0.999994,0.003333,0.000000,-0.003314,0.994292,-0.106640,-0.000355,0.106640,0.994298
2.000000,1.999985,0.006666,0.079921,0.999978,0.006664,0.000000,-0.006626,0.994284,-0.106562,-0.000710,0.106559,0.994306
3.000000,2.999950,0.014994,0.079822,0.999950,0.009991,0.000000,-0.009935,0.994270,-0.106431,-0.001064,0.106426,0.994320
4.000000,3.999882,0.026649,0.079685,0.999911,0.013314,0.000000,-0.013238,0.994252,-0.106248,-0.001415,0.106238,0.994340
5.000000,4.999769,0.041623,0.079508,0.999862,0.016630,0.000000,-0.016536,0.994227,-0.106013,-0.001763,0.105998,0.994365
6.000000,5.999601,0.059909,0.079291,0.999801,0.019937,0.000000,-0.019825,0.994198,-0.105726,-0.002108,0.105705,0.994395
7.000000,6.999368,0.081499,0.079037,0.999730,0.023235,0.000000,-0.023105,0.994163,-0.105387,-0.002449,0.105359,0.994431
8.000000,7.999058,0.106380,0.078743,0.999648,0.026521,0.000000,-0.026374,0.994123,-0.104997,-0.002785,0.104960,0.994473
9.000000,8.998661,0.134542,0.078412,0.999556,0.029793,0.000000,-0.029630,0.994077,-0.104557,-0.003115,0.104510,0.994519
10.000000,9.998166,0.165968,0.078042,0.999454,0.033051,0.000000,-0.032871,0.994027,-0.104066,-0.003440,0.104009,0.994570
11.000000,10.997565,0.200645,0.077635,0.999341,0.036292,0.000000,-0.036097,0.993972,-0.103525,-0.003758,0.103457,0.994627
12.000000,11.996845,0.238554,0.077191,0.999219,0.039515,0.000000,-0.039305,0.993911,-0.102935,-0.004068,0.102855,0.994688
13.000000,12.995999,0.279677,0.076710,0.999087,0.042718,0.000000,-0.042494,0.993846,-0.102296,-0.004370,0.102203,0.994754
14.000000,13.995016,0.323993,0.076193,0.998946,0.045900,0.000000,-0.045663,0.993776,-0.101609,-0.004664,0.101502,0.994824
15.000000,14.993887,0.371481,0.075640,0.998796,0.049060,0.000000,-0.048809,0.993701,-0.100874,-0.004949,0.100753,0.994899
16.000000,15.992604,0.422116,0.075052,0.998637,0.052195,0.000000,-0.051933,0.993622,-0.100093,-0.005225,0.099956,0.994978
17.000000,16.991158,0.475873,0.074430,0.998470,0.055304,0.000000,-0.055031,0.993538,-0.099265,-0.005490,0.099113,0.995061
18.000000,17.989540,0.532728,0.073773,0.998294,0.058387,0.000000,-0.058103,0.993450,-0.098392,-0.005745,0.098224,0.995148
19.000000,18.987743,0.592650,0.073083,0.998111,0.061440,0.000000,-0.061148,0.993358,-0.097475,-0.005990,0.097291,0.995238
20.000000,19.985758,0.655612,0.072361,0.997920,0.064464,0.000000,-0.064163,0.993261,-0.096514,-0.006222,0.096314,0.995332
21.000000,20.983579,0.721583,0.071606,0.997722,0.067457,0.000000,-0.067148,0.993161,-0.095511,-0.006444,0.095293,0.995428
22.000000,21.981199,0.790530,0.070821,0.997518,0.070417,0.000000,-0.070102,0.993057,-0.094466,-0.006653,0.094232,0.995528
23.000000,22.978611,0.862421,0.070004,0.997307,0.073343,0.000000,-0.073022,0.992949,-0.093381,-0.006850,0.093129,0.995630
24.000000,23.975810,0.937221,0.069159,0.997090,0.076234,0.000000,-0.075909,0.992838,-0.092256,-0.007034,0.091988,0.995735
25.000000,24.972788,1.014894,0.068284,0.996868,0.079088,0.000000,-0.078759,0.992723,-0.091093,-0.007205,0.090807,0.995842
26.000000,25.969542,1.095403,0.067382,0.996640,0.081905,0.000000,-0.081574,0.992605,-0.089892,-0.007363,0.089590,0.995951
27.000000,26.966065,1.178710,0.066452,0.996408,0.084684,0.000000,-0.084350,0.992484,-0.088656,-0.007509,0.088337,0.996062
28.000000,27.962354,1.264776,0.065497,0.996171,0.087422,0.000000,-0.087088,0.992361,-0.087384,-0.007640,0.087050,0.996175
29.000000,28.958405,1.353560,0.064516,0.995931,0.090120,0.000000,-0.089785,0.992234,-0.086079,-0.007758,0.085729,0.996288
30.000000,29.954213,1.445021,0.063511,0.995687,0.092776,0.000000,-0.092442,0.992105,-0.084742,-0.007863,0.084376,0.996403
31.000000,30.949776,1.539118,0.062483,0.995440,0.095389,0.000000,-0.095057,0.991974,-0.083373,-0.007954,0.082993,0.996518
32.000000,31.945091,1.635805,0.061433,0.995191,0.097958,0.000000,-0.097629,0.991841,-0.081975,-0.008031,0.081580,0.996634
33.000000,32.940154,1.735041,0.060362,0.994939,0.100483,0.000000,-0.100157,0.991706,-0.080548,-0.008095,0.080140,0.996751
34.000000,33.934965,1.836778,0.059270,0.994685,0.102962,0.000000,-0.102640,0.991569,-0.079095,-0.008145,0.078674,0.996867
35.000000,34.929522,1.940972,0.058160,0.994430,0.105395,0.000000,-0.105077,0.991431,-0.077616,-0.008181,0.077183,0.996983
36.000000,35.923824,2.047575,0.057031,0.994175,0.107781,0.000000,-0.107469,0.991291,-0.076113,-0.008204,0.075669,0.997099
37.000000,36.917869,2.156541,0.055886,0.993918,0.110120,0.000000,-0.109813,0.991150,-0.074587,-0.008214,0.074134,0.997214
38.000000,37.911658,2.267822,0.054725,0.993662,0.112410,0.000000,-0.112109,0.991008,-0.073041,-0.008211,0.072578,0.997329
39.000000,38.905190,2.381368,0.053550,0.993406,0.114651,0.000000,-0.114358,0.990865,-0.071474,-0.008195,0.071003,0.997442
40.000000,39.898467,2.497130,0.052361,0.993150,0.116842,0.000000,-0.116557,0.990722,-0.069890,-0.008167,0.069411,0.997555
41.000000,40.891489,2.615059,0.051160,0.992896,0.118984,0.000000,-0.118706,0.990578,-0.068290,-0.008126,0.067804,0.997666
42.000000,41.884257,2.735105,0.049948,0.992643,0.121075,0.000000,-0.120806,0.990435,-0.066674,-0.008073,0.066184,0.997775
43.000000,42.876773,2.857217,0.048726,0.992392,0.123115,0.000000,-0.122855,0.990291,-0.065046,-0.008009,0.064551,0.997882
44.000000,43.869039,2.981343,0.047495,0.992144,0.125104,0.000000,-0.124853,0.990147,-0.063405,-0.007933,0.062907,0.997988
