DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,0.005468,0.262402,0.999994,0.003333,0.000000,-0.003314,0.994292,-0.106640,-0.000355,0.106640,0.994298
6.561667,6.561618,0.021869,0.262208,0.999978,0.006664,0.000000,-0.006626,0.994284,-0.106562,-0.000710,0.106559,0.994306
9.842500,9.842336,0.049194,0.261884,0.999950,0.009991,0.000000,-0.009935,0.994270,-0.106431,-0.001064,0.106426,0.994320
13.123333,13.122945,0.087430,0.261432,0.999911,0.013314,0.000000,-0.013238,0.994252,-0.106248,-0.001415,0.106238,0.994340
16.404167,16.403409,0.136558,0.260851,0.999862,0.016630,0.000000,-0.016536,0.994227,-0.106013,-0.001763,0.105998,0.994365
19.685000,19.683692,0.196552,0.260142,0.999801,0.019937,0.000000,-0.019825,0.994198,-0.105726,-0.002108,0.105705,0.994395
22.965833,22.963759,0.267384,0.259306,0.999730,0.023235,0.000000,-0.023105,0.994163,-0.105387,-0.002449,0.105359,0.994431
26.246667,26.243576,0.349016,0.258344,0.999648,0.026521,0.000000,-0.026374,0.994123,-0.104997,-0.002785,0.104960,0.994473
29.527500,29.523106,0.441408,0.257256,0.999556,0.029793,0.000000,-0.029630,0.994077,-0.104557,-0.003115,0.104510,0.994519
32.808333,32.802318,0.544514,0.256044,0.999454,0.033051,0.000000,-0.032871,0.994027,-0.104066,-0.003440,0.104009,0.994570
36.089167,36.081176,0.658283,0.254708,0.999341,0.036292,0.000000,-0.036097,0.993972,-0.103525,-0.003758,0.103457,0.994627
39.370000,39.359650,0.782657,0.253251,0.999219,0.039515,0.000000,-0.039305,0.993911,-0.102935,-0.004068,0.102855,0.994688
42.650833,42.637707,0.917574,0.251673,0.999087,0.042718,0.000000,-0.042494,0.993846,-0.102296,-0.004370,0.102203,0.994754
45.931667,45.915315,1.062968,0.249977,0.998946,0.045900,0.000000,-0.045663,0.993776,-0.101609,-0.004664,0.101502,0.994824
49.212500,49.192446,1.218766,0.248163,0.998796,0.049060,0.000000,-0.048809,0.993701,-0.100874,-0.004949,0.100753,0.994899
52.493333,52.469069,1.384891,0.246234,0.998637,0.052195,0.000000,-0.051933,0.993622,-0.100093,-0.005225,0.099956,0.994978
55.774167,55.745157,1.561261,0.244191,0.998470,0.055304,0.000000,-0.055031,0.993538,-0.099265,-0.005490,0.099113,0.995061
59.055000,59.020682,1.747791,0.242037,0.998294,0.058387,0.000000,-0.058103,0.993450,-0.098392,-0.005745,0.098224,0.995148
62.335833,62.295619,1.944387,0.239774,0.998111,0.061440,0.000000,-0.061148,0.993358,-0.097475,-0.005990,0.097291,0.995238
65.616667,65.569941,2.150955,0.237403,0.997920,0.064464,0.000000,-0.064163,0.993261,-0.096514,-0.006222,0.096314,0.995332
68.897500,68.843627,2.367394,0.234928,0.997722,0.067457,0.000000,-0.067148,0.993161,-0.095511,-0.006444,0.095293,0.995428
72.178333,72.116651,2.593599,0.232350,0.997518,0.070417,0.000000,-0.070102,0.993057,-0.094466,-0.006653,0.094232,0.995528
75.459167,75.388994,2.829460,0.229673,0.997307,0.073343,0.000000,-0.073022,0.992949,-0.093381,-0.006850,0.093129,0.995630
78.740000,78.660636,3.074866,0.226898,0.997090,0.076234,0.000000,-0.075909,0.992838,-0.092256,-0.007034,0.091988,0.995735
82.020833,81.931556,3.329697,0.224029,0.996868,0.079088,0.000000,-0.078759,0.992723,-0.091093,-0.007205,0.090807,0.995842
85.301667,85.201738,3.593834,0.221069,0.996640,0.081905,0.000000,-0.081574,0.992605,-0.089892,-0.007363,0.089590,0.995951
88.582500,88.471166,3.867150,0.218019,0.996408,0.084684,0.000000,-0.084350,0.992484,-0.088656,-0.007509,0.088337,0.996062
91.863333,91.739825,4.149518,0.214885,0.996171,0.087422,0.000000,-0.087088,0.992361,-0.087384,-0.007640,0.087050,0.996175
95.144167,95.007701,4.440804,0.211667,0.995931,0.090120,0.000000,-0.089785,0.992234,-0.086079,-0.007758,0.085729,0.996288
98.425000,98.274782,4.740874,0.208370,0.995687,0.092776,0.000000,-0.092442,0.992105,-0.084742,-0.007863,0.084376,0.996403
101.705833,101.541057,5.049588,0.204997,0.995440,0.095389,0.000000,-0.095057,0.991974,-0.083373,-0.007954,0.082993,0.996518
104.986667,104.806518,5.366805,0.201552,0.995191,0.097958,0.000000,-0.097629,0.991841,-0.081975,-0.008031,0.081580,0.996634
108.267500,108.071156,5.692379,0.198037,0.994939,0.100483,0.000000,-0.100157,0.991706,-0.080548,-0.008095,0.080140,0.996751
111.548333,111.334966,6.026163,0.194455,0.994685,0.102962,0.000000,-0.102640,0.991569,-0.079095,-0.008145,0.078674,0.996867
114.829167,114.597941,6.368005,0.190812,0.994430,0.105395,0.000000,-0.105077,0.991431,-0.077616,-0.008181,0.077183,0.996983
118.110000,117.860078,6.717754,0.187110,0.994175,0.107781,0.000000,-0.107469,0.991291,-0.076113,-0.008204,0.075669,0.997099
121.390833,121.121374,7.075253,0.183352,0.993918,0.110120,0.000000,-0.109813,0.991150,-0.074587,-0.008214,0.074134,0.997214
124.671667,124.381830,7.440345,0.179544,0.993662,0.112410,0.000000,-0.112109,0.991008,-0.073041,-0.008211,0.072578,0.997329
127.952500,127.641445,7.812871,0.175687,0.993406,0.114651,0.000000,-0.114358,0.990865,-0.071474,-0.008195,0.071003,0.997442
131.233333,130.900220,8.192668,0.171787,0.993150,0.116842,0.000000,-0.116557,0.990722,-0.069890,-0.008167,0.069411,0.997555
134.514167,134.158159,8.579574,0.167846,0.992896,0.118984,0.000000,-0.118706,0.990578,-0.068290,-0.008126,0.067804,0.997666
137.795000,137.415266,8.973424,0.163870,0.992643,0.121075,0.000000,-0.120806,0.990435,-0.066674,-0.008073,0.066184,0.997775
141.075833,140.671546,9.374052,0.159861,0.992392,0.123115,0.000000,-0.122855,0.990291,-0.065046,-0.008009,0.064551,0.997882
144.356667,143.927006,9.781289,0.155824,0.992144,0.125104,0.000000,-0.124853,0.990147,-0.063405,-0.007933,0.062907,0.997988
147.637500,147.181654,10.194968,0.151763,0.991897,0.127042,0.000000,-0.126799,0.990004,-0.061755,-0.007846,0.061254,0.998091
150.918333,150.435499,10.614919,0.147681,0.991654,0.128928,0.000000,-0.128695,0.989862,-0.060096,-0.007749,0.059594,0.998193
154.199167,153.688550,11.040973,0.143583,0.991414,0.130761,0.000000,-0.130538,0.989720,-0.058430,-0.007641,0.057929,0.998291
157.480000,156.940819,11.472957,0.139474,0.991177,0.132543,0.000000,-0.132330,0.989579,-0.056760,-0.007524,0.056259,0.998388
