DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280833,3.280833,0.000000,0.000065,1.000000,0.000001,0.000000,-0.000001,1.000000,-0.000026,-0.000000,0.000026,1.000000
6.561667,6.561667,0.000004,0.000259,1.000000,0.000003,0.000000,-0.000003,1.000000,-0.000105,-0.000000,0.000105,1.000000
9.842500,9.842500,0.000018,0.000582,1.000000,0.000009,0.000000,-0.000009,1.000000,-0.000237,-0.000000,0.000237,1.000000
13.123333,13.123333,0.000058,0.001035,1.000000,0.000019,0.000000,-0.000019,1.000000,-0.000421,-0.000000,0.000421,1.000000
16.404167,16.404167,0.000140,0.001616,1.000000,0.000036,0.000000,-0.000036,1.000000,-0.000658,-0.000000,0.000658,1.000000
19.685000,19.685000,0.000291,0.002325,1.000000,0.000061,0.000000,-0.000061,1.000000,-0.000946,-0.000000,0.000946,1.000000
22.965833,22.965833,0.000539,0.003161,1.000000,0.000097,0.000000,-0.000097,0.999999,-0.001287,-0.000000,0.001287,0.999999
26.246667,26.246667,0.000919,0.004123,1.000000,0.000143,0.000000,-0.000143,0.999999,-0.001679,-0.000000,0.001679,0.999999
29.527500,29.527500,0.001471,0.005211,1.000000,0.000203,0.000000,-0.000203,0.999998,-0.002122,-0.000000,0.002122,0.999998
32.808333,32.808333,0.002241,0.006423,1.000000,0.000277,0.000000,-0.000277,0.999997,-0.002615,-0.000001,0.002615,0.999997
36.089167,36.089166,0.003279,0.007758,1.000000,0.000367,0.000000,-0.000367,0.999995,-0.003159,-0.000001,0.003159,0.999995
39.370000,39.369999,0.004641,0.009216,1.000000,0.000475,0.000000,-0.000475,0.999993,-0.003752,-0.000002,0.003752,0.999993
42.650833,42.650832,0.006387,0.010793,1.000000,0.000602,0.000000,-0.000602,0.999990,-0.004395,-0.000003,0.004395,0.999990
45.931667,45.931665,0.008583,0.012490,1.000000,0.000750,0.000000,-0.000750,0.999987,-0.005086,-0.000004,0.005086,0.999987
49.212500,49.212497,0.011300,0.014304,1.000000,0.000921,0.000000,-0.000921,0.999983,-0.005824,-0.000005,0.005824,0.999983
52.493333,52.493329,0.014613,0.016233,0.999999,0.001115,0.000000,-0.001115,0.999978,-0.006610,-0.000007,0.006609,0.999978
55.774167,55.774160,0.018603,0.018275,0.999999,0.001334,0.000000,-0.001334,0.999971,-0.007441,-0.000010,0.007441,0.999972
59.055000,59.054989,0.023355,0.020429,0.999999,0.001580,0.000000,-0.001580,0.999964,-0.008318,-0.000013,0.008318,0.999965
62.335833,62.335818,0.028959,0.022693,0.999998,0.001854,0.000000,-0.001854,0.999956,-0.009240,-0.000017,0.009240,0.999957
65.616667,65.616645,0.035508,0.025063,0.999998,0.002158,0.000000,-0.002158,0.999946,-0.010205,-0.000022,0.010205,0.999948
68.897500,68.897469,0.043102,0.027539,0.999997,0.002492,0.000000,-0.002492,0.999934,-0.011213,-0.000028,0.011213,0.999937
72.178333,72.178291,0.051844,0.030116,0.999996,0.002858,0.000000,-0.002858,0.999921,-0.012262,-0.000035,0.012262,0.999925
75.459167,75.459109,0.061841,0.032794,0.999995,0.003258,0.000000,-0.003258,0.999906,-0.013352,-0.000043,0.013352,0.999911
78.740000,78.739922,0.073205,0.035568,0.999993,0.003692,0.000000,-0.003692,0.999888,-0.014482,-0.000053,0.014482,0.999895
82.020833,82.020731,0.086051,0.038437,0.999991,0.004162,0.000000,-0.004162,0.999869,-0.015650,-0.000065,0.015650,0.999878
85.301667,85.301532,0.100499,0.041398,0.999989,0.004669,0.000000,-0.004669,0.999847,-0.016855,-0.000079,0.016855,0.999858
88.582500,88.582326,0.116673,0.044447,0.999986,0.005215,0.000000,-0.005214,0.999823,-0.018097,-0.000094,0.018097,0.999836
91.863333,91.863109,0.134698,0.047582,0.999983,0.005799,0.000000,-0.005798,0.999796,-0.019373,-0.000112,0.019373,0.999812
95.144167,95.143882,0.154706,0.050799,0.999979,0.006424,0.000000,-0.006423,0.999765,-0.020683,-0.000133,0.020682,0.999786
98.425000,98.424640,0.176832,0.054096,0.999975,0.007090,0.000000,-0.007089,0.999732,-0.022025,-0.000156,0.022024,0.999757
101.705833,101.705383,0.201211,0.057469,0.999970,0.007799,0.000000,-0.007797,0.999696,-0.023398,-0.000182,0.023397,0.999726
104.986667,104.986107,0.227985,0.060915,0.999963,0.008551,0.000000,-0.008548,0.999656,-0.024801,-0.000212,0.024800,0.999692
108.267500,108.266809,0.257298,0.064430,0.999956,0.009347,0.000000,-0.009344,0.999612,-0.026231,-0.000245,0.026230,0.999656
111.548333,111.547487,0.289295,0.068011,0.999948,0.010188,0.000000,-0.010184,0.999565,-0.027689,-0.000282,0.027688,0.999617
114.829167,114.828135,0.324126,0.071655,0.999939,0.011075,0.000000,-0.011070,0.999513,-0.029172,-0.000323,0.029170,0.999574
118.110000,118.108750,0.361942,0.075357,0.999928,0.012009,0.000000,-0.012003,0.999457,-0.030679,-0.000368,0.030676,0.999529
121.390833,121.389328,0.402899,0.079114,0.999916,0.012989,0.000000,-0.012983,0.999397,-0.032208,-0.000418,0.032205,0.999481
124.671667,124.669862,0.447152,0.082923,0.999902,0.014018,0.000000,-0.014010,0.999332,-0.033758,-0.000473,0.033755,0.999430
127.952500,127.950348,0.494859,0.086780,0.999886,0.015096,0.000000,-0.015087,0.999262,-0.035327,-0.000533,0.035323,0.999376
131.233333,131.230780,0.546183,0.090680,0.999868,0.016223,0.000000,-0.016212,0.999187,-0.036914,-0.000598,0.036909,0.999318
134.514167,134.511150,0.601284,0.094620,0.999849,0.017399,0.000000,-0.017386,0.999107,-0.038518,-0.000670,0.038512,0.999258
137.795000,137.791453,0.660327,0.098597,0.999827,0.018626,0.000000,-0.018611,0.999021,-0.040135,-0.000747,0.040129,0.999194
141.075833,141.071678,0.723478,0.102606,0.999802,0.019904,0.000000,-0.019886,0.998929,-0.041766,-0.000831,0.041758,0.999127
144.356667,144.351818,0.790904,0.106643,0.999775,0.021232,0.000000,-0.021212,0.998832,-0.043409,-0.000921,0.043399,0.999057
147.637500,147.631864,0.862772,0.110704,0.999744,0.022612,0.000000,-0.022589,0.998729,-0.045061,-0.001018,0.045049,0.998984
150.918333,150.911805,0.939251,0.114785,0.999711,0.024043,0.000000,-0.024017,0.998619,-0.046721,-0.001123,0.046707,0.998908
154.199167,154.191632,1.020512,0.118883,0.999674,0.025527,0.000000,-0.025497,0.998503,-0.048387,-0.001235,0.048372,0.998829
157.480000,157.471332,1.106725,0.122993,0.999634,0.027062,0.000000,-0.027028,0.998380,-0.050059,-0.001354,0.050041,0.998746
160.760833,160.750893,1.198060,0.127111,0.999590,0.028650,0.000000,-0.028611,0.998251,-0.051733,-0.001482,0.051712,0.998661
164.041667,164.030303,1.294690,0.131233,0.999541,0.030290,0.000000,-0.030246,0.998115,-0.053410,-0.001617,0.053385,0.998573
167.322500,167.309547,1.396786,0.135355,0.999488,0.031982,0.000000,-0.031933,0.997971,-0.055086,-0.001761,0.055057,0.998482
170.603333,170.588610,1.504518,0.139474,0.999431,0.033726,0.000000,-0.033671,0.997820,-0.056760,-0.001914,0.056727,0.998388
173.884167,173.867478,1.618058,0.143583,0.999369,0.035522,0.000000,-0.035461,0.997661,-0.058430,-0.002075,0.058394,0.998291
177.165000,177.146133,1.737577,0.147681,0.999301,0.037370,0.000000,-0.037303,0.997495,-0.060096,-0.002245,0.060054,0.998193
180.445833,180.424559,1.863245,0.151763,0.999229,0.039270,0.000000,-0.039196,0.997321,-0.061755,-0.002424,0.061707,0.998091
183.726667,183.702735,1.995232,0.155824,0.999150,0.041222,0.000000,-0.041139,0.997140,-0.063405,-0.002613,0.063351,0.997988
187.007500,186.980645,2.133706,0.159861,0.999065,0.043225,0.000000,-0.043133,0.996950,-0.065046,-0.002811,0.064985,0.997882
190.288333,190.258266,2.278834,0.163870,0.998974,0.045278,0.000000,-0.045178,0.996751,-0.066674,-0.003018,0.066606,0.997775
193.569167,193.535578,2.430783,0.167846,0.998877,0.047382,0.000000,-0.047272,0.996545,-0.068290,-0.003235,0.068213,0.997666
196.850000,196.812559,2.589718,0.171787,0.998772,0.049537,0.000000,-0.049415,0.996330,-0.069890,-0.003461,0.069805,0.997555
200.130833,200.089185,2.755801,0.175687,0.998661,0.051740,0.000000,-0.051608,0.996106,-0.071474,-0.003697,0.071379,0.997442
203.411667,203.365432,2.929195,0.179544,0.998541,0.053993,0.000000,-0.053848,0.995874,-0.073041,-0.003943,0.072934,0.997329
206.692500,206.641276,3.110059,0.183352,0.998414,0.056293,0.000000,-0.056137,0.995633,-0.074587,-0.004198,0.074469,0.997214
209.973333,209.916689,3.298550,0.187110,0.998279,0.058642,0.000000,-0.058472,0.995383,-0.076113,-0.004463,0.075982,0.997099
213.254167,213.191645,3.494824,0.190812,0.998135,0.061037,0.000000,-0.060853,0.995124,-0.077616,-0.004737,0.077471,0.996983
216.535000,216.466116,3.699033,0.194455,0.997983,0.063479,0.000000,-0.063280,0.994857,-0.079095,-0.005020,0.078935,0.996867
219.815833,219.740073,3.911328,0.198037,0.997822,0.065966,0.000000,-0.065751,0.994580,-0.080548,-0.005313,0.080373,0.996751
223.096667,223.013485,4.131857,0.201552,0.997651,0.068497,0.000000,-0.068267,0.994294,-0.081975,-0.005614,0.081782,0.996634
226.377500,226.286323,4.360763,0.204997,0.997471,0.071072,0.000000,-0.070825,0.993998,-0.083373,-0.005925,0.083162,0.996518
229.658333,229.558553,4.598189,0.208370,0.997281,0.073690,0.000000,-0.073425,0.993694,-0.084742,-0.006244,0.084511,0.996403
232.939167,232.830143,4.844273,0.211667,0.997081,0.076350,0.000000,-0.076066,0.993380,-0.086079,-0.006571,0.085828,0.996288
236.220000,236.101060,5.099151,0.214885,0.996871,0.079050,0.000000,-0.078748,0.993057,-0.087384,-0.006907,0.087111,0.996175
239.500833,239.371270,5.362954,0.218019,0.996650,0.081790,0.000000,-0.081468,0.992725,-0.088656,-0.007250,0.088359,0.996062
242.781667,242.640736,5.635810,0.221069,0.996418,0.084568,0.000000,-0.084226,0.992384,-0.089892,-0.007601,0.089570,0.995951
246.062500,245.909423,5.917844,0.224029,0.996175,0.087384,0.000000,-0.087021,0.992033,-0.091093,-0.007959,0.090744,0.995842
249.343333,249.177295,6.209177,0.226898,0.995920,0.090236,0.000000,-0.089851,0.991673,-0.092256,-0.008324,0.091880,0.995735
252.624167,252.444314,6.509925,0.229673,0.995655,0.093123,0.000000,-0.092716,0.991304,-0.093381,-0.008695,0.092975,0.995630
255.905000,255.710441,6.820201,0.232350,0.995377,0.096043,0.000000,-0.095614,0.990926,-0.094466,-0.009072,0.094030,0.995528
259.185833,258.975639,7.140113,0.234928,0.995088,0.098996,0.000000,-0.098544,0.990539,-0.095511,-0.009455,0.095042,0.995428
262.466667,262.239867,7.469765,0.237403,0.994786,0.101980,0.000000,-0.101504,0.990142,-0.096514,-0.009842,0.096011,0.995332
265.747500,265.503087,7.809257,0.239774,0.994473,0.104994,0.000000,-0.104494,0.989737,-0.097475,-0.010234,0.096936,0.995238
269.028333,268.765258,8.158684,0.242037,0.994147,0.108036,0.000000,-0.107511,0.989323,-0.098392,-0.010629,0.097816,0.995148
272.309167,272.026340,8.518136,0.244191,0.993809,0.111104,0.000000,-0.110556,0.988900,-0.099265,-0.011028,0.098650,0.995061
275.590000,275.286291,8.887700,0.246234,0.993458,0.114199,0.000000,-0.113625,0.988469,-0.100093,-0.011430,0.099438,0.994978
278.870833,278.545070,9.267456,0.248163,0.993095,0.117317,0.000000,-0.116718,0.988029,-0.100874,-0.011834,0.100178,0.994899
282.151667,281.802637,9.657480,0.249977,0.992719,0.120457,0.000000,-0.119834,0.987581,-0.101609,-0.012239,0.100869,0.994824
285.432500,285.058949,10.057844,0.251673,0.992330,0.123619,0.000000,-0.122970,0.987124,-0.102296,-0.012645,0.101511,0.994754
288.713333,288.313964,10.468613,0.253251,0.991928,0.126799,0.000000,-0.126126,0.986659,-0.102935,-0.013052,0.102104,0.994688
291.994167,291.567642,10.889849,0.254708,0.991514,0.129998,0.000000,-0.129300,0.986187,-0.103525,-0.013458,0.102647,0.994627
295.275000,294.819940,11.321607,0.256044,0.991087,0.133213,0.000000,-0.132490,0.985706,-0.104066,-0.013863,0.103138,0.994570
298.555833,298.070817,11.763938,0.257256,0.990648,0.136442,0.000000,-0.135694,0.985218,-0.104557,-0.014266,0.103579,0.994519
301.836667,301.320231,12.216887,0.258344,0.990196,0.139685,0.000000,-0.138913,0.984723,-0.104997,-0.014666,0.103968,0.994473
305.117500,304.568142,12.680495,0.259306,0.989732,0.142939,0.000000,-0.142143,0.984220,-0.105387,-0.015064,0.104305,0.994431
308.398333,307.814509,13.154796,0.260142,0.989255,0.146202,0.000000,-0.145383,0.983710,-0.105726,-0.015457,0.104590,0.994395
311.679167,311.059291,13.639819,0.260851,0.988766,0.149474,0.000000,-0.148632,0.983194,-0.106013,-0.015846,0.104822,0.994365
314.960000,314.302448,14.135588,0.261432,0.988265,0.152752,0.000000,-0.151887,0.982671,-0.106248,-0.016229,0.105001,0.994340
318.240833,317.543942,14.642122,0.261884,0.987752,0.156035,0.000000,-0.155149,0.982141,-0.106431,-0.016607,0.105127,0.994320
321.521667,320.783733,15.159434,0.262208,0.987227,0.159321,0.000000,-0.158414,0.981606,-0.106562,-0.016977,0.105201,0.994306
324.802500,324.021783,15.687531,0.262402,0.986691,0.162609,0.000000,-0.161681,0.981064,-0.106640,-0.017341,0.105221,0.994298
328.083333,327.258056,16.226416,0.262467,0.986143,0.165896,0.000000,-0.164950,0.980517,-0.106667,-0.017696,0.105189,0.994295
