dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.080000,1.000000,0.000000,0.106667,0.994295
1.000000,0.079980,1.000000,-0.000000,0.106640,0.994298
2.000000,0.079921,1.000000,-0.000001,0.106562,0.994306
3.000000,0.079822,1.000000,-0.000001,0.106431,0.994320
4.000000,0.079685,1.000000,-0.000002,0.106248,0.994340
5.000000,0.079508,1.000000,-0.000002,0.106013,0.994365
6.000000,0.079291,1.000000,-0.000002,0.105726,0.994395
7.000000,0.079037,1.000000,-0.000003,0.105387,0.994431
8.000000,0.078743,1.000000,-0.000003,0.104997,0.994473
9.000000,0.078412,1.000000,-0.000004,0.104557,0.994519
10.000000,0.078042,1.000000,-0.000004,0.104066,0.994570
11.000000,0.077635,1.000000,-0.000004,0.103525,0.994627
12.000000,0.077191,1.000000,-0.000005,0.102935,0.994688
13.000000,0.076710,1.000000,-0.000005,0.102296,0.994754
14.000000,0.076193,1.000000,-0.000005,0.101609,0.994824
15.000000,0.075640,1.000000,-0.000006,0.100874,0.994899
16.000000,0.075052,1.000000,-0.000006,0.100093,0.994978
17.000000,0.074430,1.000000,-0.000006,0.099265,0.995061
18.000000,0.073773,1.000000,-0.000007,0.098392,0.995148
19.000000,0.073083,1.000000,-0.000007,0.097475,0.995238
20.000000,0.072361,1.000000,-0.000007,0.096514,0.995332
21.000000,0.071606,1.000000,-0.000008,0.095511,0.995428
22.000000,0.070821,1.000000,-0.000008,0.094466,0.995528
23.000000,0.070004,1.000000,-0.000008,0.093381,0.995630
24.000000,0.069159,1.000000,-0.000009,0.092256,0.995735
25.000000,0.068284,1.000000,-0.000009,0.091093,0.995842
26.000000,0.067382,1.000000,-0.000009,0.089892,0.995951
27.000000,0.066452,1.000000,-0.000009,0.088656,0.996062
28.000000,0.065497,1.000000,-0.000010,0.087384,0.996175
29.000000,0.064516,1.000000,-0.000010,0.086079,0.996288
30.000000,0.063511,1.000000,-0.000010,0.084742,0.996403
31.000000,0.062483,1.000000,-0.000010,0.083373,0.996518
32.000000,0.061433,1.000000,-0.000011,0.081975,0.996634
33.000000,0.060362,1.000000,-0.000011,0.080548,0.996751
34.000000,0.059270,1.000000,-0.000011,0.079095,0.996867
35.000000,0.058160,1.000000,-0.000011,0.077616,0.996983
36.000000,0.057031,1.000000,-0.000011,0.076113,0.997099
37.000000,0.055886,1.000000,-0.000012,0.074587,0.997214
38.000000,0.054725,1.000000,-0.000012,0.073041,0.997329
39.000000,0.053550,1.000000,-0.000012,0.071474,0.997442
40.000000,0.052361,1.000000,-0.000012,0.069890,0.997555
41.000000,0.051160,1.000000,-0.000012,0.068290,0.997666
42.000000,0.049948,1.000000,-0.000012,0.066674,0.997775
43.000000,0.048726,1.000000,-0.000012,0.065046,0.997882
44.000000,0.047495,1.000000,-0.000012,0.063405,0.997988
45.000000,0.046257,1.000000,-0.000012,0.061755,0.998091
46.000000,0.045013,1.000000,-0.000012,0.060096,0.998193
47.000000,0.043764,1.000000,-0.000013,0.058430,0.998291
48.000000,0.042512,1.000000,-0.000013,0.056760,0.998388
49.000000,0.041256,1.000000,-0.000013,0.055086,0.998482
50.000000,0.040000,1.000000,-0.000013,0.053410,0.998573
51.000000,0.038744,1.000000,-0.000013,0.051733,0.998661
52.000000,0.037488,1.000000,-0.000013,0.050059,0.998746
53.000000,0.036236,1.000000,-0.000013,0.048387,0.998829
54.000000,0.034987,1.000000,-0.000012,0.046721,0.998908
55.000000,0.033743,1.000000,-0.000012,0.045061,0.998984
56.000000,0.032505,1.000000,-0.000012,0.043409,0.999057
57.000000,0.031274,1.000000,-0.000012,0.041766,0.999127
58.000000,0.030052,1.000000,-0.000012,0.040135,0.999194
59.000000,0.028840,1.000000,-0.000012,0.038518,0.999258
60.000000,0.027639,1.000000,-0.000012,0.036914,0.999318
61.000000,0.026450,1.000000,-0.000012,0.035327,0.999376
62.000000,0.025275,1.000000,-0.000012,0.033758,0.999430
63.000000,0.024114,1.000000,-0.000012,0.032208,0.999481
64.000000,0.022969,1.000000,-0.000011,0.030679,0.999529
65.000000,0.021840,1.000000,-0.000011,0.029172,0.999574
66.000000,0.020730,1.000000,-0.000011,0.027689,0.999617
67.000000,0.019638,1.000000,-0.000011,0.026231,0.999656
68.000000,0.018567,1.000000,-0.000011,0.024801,0.999692
69.000000,0.017517,1.000000,-0.000010,0.023398,0.999726
70.000000,0.016489,1.000000,-0.000010,0.022025,0.999757
71.000000,0.015484,1.000000,-0.000010,0.020683,0.999786
72.000000,0.014503,1.000000,-0.000010,0.019373,0.999812
73.000000,0.013548,1.000000,-0.000009,0.018097,0.999836
74.000000,0.012618,1.000000,-0.000009,0.016855,0.999858
75.000000,0.011716,1.000000,-0.000009,0.015650,0.999878
76.000000,0.010841,1.000000,-0.000009,0.014482,0.999895
77.000000,0.009996,1.000000,-0.000008,0.013352,0.999911
78.000000,0.009179,1.000000,-0.000008,0.012262,0.999925
79.000000,0.008394,1.000000,-0.000008,0.011213,0.999937
80.000000,0.007639,1.000000,-0.000007,0.010205,0.999948
81.000000,0.006917,1.000000,-0.000007,0.009240,0.999957
82.000000,0.006227,1.000000,-0.000007,0.008318,0.999965
83.000000,0.005570,1.000000,-0.000006,0.007441,0.999972
84.000000,0.004948,1.000000,-0.000006,0.006610,0.999978
85.000000,0.004360,1.000000,-0.000006,0.005824,0.999983
86.000000,0.003807,1.000000,-0.000005,0.005086,0.999987
87.000000,0.003290,1.000000,-0.000005,0.004395,0.999990
88.000000,0.002809,1.000000,-0.000005,0.003752,0.999993
89.000000,0.002365,1.000000,-0.000004,0.003159,0.999995
90.000000,0.001958,1.000000,-0.000004,0.002615,0.999997
91.000000,0.001588,1.000000,-0.000004,0.002122,0.999998
92.000000,0.001257,1.000000,-0.000003,0.001679,0.999999
93.000000,0.000963,1.000000,-0.000003,0.001287,0.999999
94.000000,0.000709,1.000000,-0.000002,0.000946,1.000000
95.000000,0.000492,1.000000,-0.000002,0.000658,1.000000
96.000000,0.000315,1.000000,-0.000002,0.000421,1.000000
97.000000,0.000178,1.000000,-0.000001,0.000237,1.000000
98.000000,0.000079,1.000000,-0.000001,0.000105,1.000000
99.000000,0.000020,1.000000,-0.000000,0.000026,1.000000
100.000000,0.000000,1.000000,-0.000000,0.000000,1.000000
