dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3.280840,0.000065,1.000000,0.000000,-0.000026,1.000000
6.561680,0.000259,1.000000,0.000001,-0.000105,1.000000
9.842520,0.000582,1.000000,0.000001,-0.000237,1.000000
13.123360,0.001035,1.000000,0.000002,-0.000421,1.000000
16.404199,0.001616,1.000000,0.000002,-0.000658,1.000000
19.685039,0.002325,1.000000,0.000002,-0.000946,1.000000
22.965879,0.003161,1.000000,0.000003,-0.001287,0.999999
26.246719,0.004123,1.000000,0.000003,-0.001679,0.999999
29.527559,0.005211,1.000000,0.000004,-0.002122,0.999998
32.808399,0.006423,1.000000,0.000004,-0.002615,0.999997
36.089239,0.007758,1.000000,0.000004,-0.003159,0.999995
39.370079,0.009216,1.000000,0.000005,-0.003752,0.999993
42.650919,0.010793,1.000000,0.000005,-0.004395,0.999990
45.931759,0.012490,1.000000,0.000005,-0.005086,0.999987
49.212598,0.014304,1.000000,0.000006,-0.005824,0.999983
52.493438,0.016233,1.000000,0.000006,-0.006610,0.999978
55.774278,0.018275,1.000000,0.000006,-0.007441,0.999972
59.055118,0.020429,1.000000,0.000007,-0.008318,0.999965
62.335958,0.022693,1.000000,0.000007,-0.009240,0.999957
65.616798,0.025063,1.000000,0.000007,-0.010205,0.999948
68.897638,0.027539,1.000000,0.000008,-0.011213,0.999937
72.178478,0.030116,1.000000,0.000008,-0.012262,0.999925
75.459318,0.032794,1.000000,0.000008,-0.013352,0.999911
78.740157,0.035568,1.000000,0.000009,-0.014482,0.999895
82.020997,0.038437,1.000000,0.000009,-0.015650,0.999878
85.301837,0.041398,1.000000,0.000009,-0.016855,0.999858
88.582677,0.044447,1.000000,0.000009,-0.018097,0.999836
91.863517,0.047582,1.000000,0.000010,-0.019373,0.999812
95.144357,0.050800,1.000000,0.000010,-0.020683,0.999786
98.425197,0.054096,1.000000,0.000010,-0.022025,0.999757
101.706037,0.057469,1.000000,0.000010,-0.023398,0.999726
104.986877,0.060915,1.000000,0.000011,-0.024801,0.999692
108.267717,0.064430,1.000000,0.000011,-0.026231,0.999656
111.548556,0.068011,1.000000,0.000011,-0.027689,0.999617
114.829396,0.071655,1.000000,0.000011,-0.029172,0.999574
118.110236,0.075357,1.000000,0.000011,-0.030679,0.999529
121.391076,0.079114,1.000000,0.000012,-0.032208,0.999481
124.671916,0.082923,1.000000,0.000012,-0.033758,0.999430
127.952756,0.086780,1.000000,0.000012,-0.035327,0.999376
