dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.080000,1.000000,0.000000,0.106667,0.994295
1.000000,0.079980,1.000000,-0.000000,0.106639,0.994298
2.000000,0.079921,1.000000,-0.000001,0.106558,0.994306
3.000000,0.079822,1.000000,-0.000001,0.106422,0.994321
4.000000,0.079685,1.000000,-0.000002,0.106232,0.994341
5.000000,0.079508,1.000000,-0.000002,0.105988,0.994367
6.000000,0.079291,1.000000,-0.000002,0.105690,0.994399
7.000000,0.079037,1.000000,-0.000003,0.105339,0.994436
8.000000,0.078743,1.000000,-0.000003,0.104935,0.994479
9.000000,0.078412,1.000000,-0.000004,0.104478,0.994527
10.000000,0.078042,1.000000,-0.000004,0.103969,0.994581
11.000000,0.077635,1.000000,-0.000004,0.103408,0.994639
12.000000,0.077191,1.000000,-0.000005,0.102795,0.994703
13.000000,0.076710,1.000000,-0.000005,0.102132,0.994771
14.000000,0.076193,1.000000,-0.000005,0.101420,0.994844
15.000000,0.075640,1.000000,-0.000006,0.100657,0.994921
16.000000,0.075052,1.000000,-0.000006,0.099847,0.995003
17.000000,0.074430,1.000000,-0.000006,0.098988,0.995089
18.000000,0.073773,1.000000,-0.000007,0.098083,0.995178
19.000000,0.073083,1.000000,-0.000007,0.097131,0.995272
20.000000,0.072361,1.000000,-0.000007,0.096134,0.995368
21.000000,0.071606,1.000000,-0.000008,0.095094,0.995468
22.000000,0.070821,1.000000,-0.000008,0.094010,0.995571
23.000000,0.070004,1.000000,-0.000008,0.092884,0.995677
24.000000,0.069159,1.000000,-0.000009,0.091717,0.995785
25.000000,0.068284,1.000000,-0.000009,0.090510,0.995896
26.000000,0.067382,1.000000,-0.000009,0.089264,0.996008
27.000000,0.066452,1.000000,-0.000009,0.087981,0.996122
28.000000,0.065497,1.000000,-0.000010,0.086662,0.996238
29.000000,0.064516,1.000000,-0.000010,0.085308,0.996355
30.000000,0.063511,1.000000,-0.000010,0.083921,0.996472
31.000000,0.062483,1.000000,-0.000010,0.082501,0.996591
32.000000,0.061433,1.000000,-0.000011,0.081050,0.996710
33.000000,0.060362,1.000000,-0.000011,0.079570,0.996829
34.000000,0.059270,1.000000,-0.000011,0.078062,0.996948
35.000000,0.058160,1.000000,-0.000011,0.076528,0.997067
36.000000,0.057031,1.000000,-0.000011,0.074968,0.997186
37.000000,0.055886,1.000000,-0.000012,0.073386,0.997304
38.000000,0.054725,1.000000,-0.000012,0.071781,0.997420
39.000000,0.053550,1.000000,-0.000012,0.070156,0.997536
