dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,0.000000,0.106667,0.994295
3.280833,0.262402,1.000000,-0.000000,0.106639,0.994298
6.561667,0.262208,1.000000,-0.000001,0.106558,0.994306
9.842500,0.261884,1.000000,-0.000001,0.106422,0.994321
13.123333,0.261432,1.000000,-0.000002,0.106232,0.994341
16.404167,0.260851,1.000000,-0.000002,0.105988,0.994367
19.685000,0.260142,1.000000,-0.000002,0.105690,0.994399
22.965833,0.259306,1.000000,-0.000003,0.105339,0.994436
26.246667,0.258344,1.000000,-0.000003,0.104935,0.994479
29.527500,0.257256,1.000000,-0.000004,0.104478,0.994527
32.808333,0.256044,1.000000,-0.000004,0.103969,0.994581
36.089167,0.254708,1.000000,-0.000004,0.103408,0.994639
39.370000,0.253251,1.000000,-0.000005,0.102795,0.994703
42.650833,0.251673,1.000000,-0.000005,0.102132,0.994771
45.931667,0.249977,1.000000,-0.000005,0.101420,0.994844
49.212500,0.248163,1.000000,-0.000006,0.100657,0.994921
52.493333,0.246234,1.000000,-0.000006,0.099847,0.995003
55.774167,0.244191,1.000000,-0.000006,0.098988,0.995089
59.055000,0.242037,1.000000,-0.000007,0.098083,0.995178
62.335833,0.239774,1.000000,-0.000007,0.097131,0.995272
65.616667,0.237403,1.000000,-0.000007,0.096134,0.995368
68.897500,0.234928,1.000000,-0.000008,0.095094,0.995468
72.178333,0.232350,1.000000,-0.000008,0.094010,0.995571
75.459167,0.229673,1.000000,-0.000008,0.092884,0.995677
78.740000,0.226898,1.000000,-0.000009,0.091717,0.995785
82.020833,0.224029,1.000000,-0.000009,0.090510,0.995896
85.301667,0.221069,1.000000,-0.000009,0.089264,0.996008
88.582500,0.218019,1.000000,-0.000009,0.087981,0.996122
91.863333,0.214885,1.000000,-0.000010,0.086662,0.996238
95.144167,0.211667,1.000000,-0.000010,0.085308,0.996355
98.425000,0.208370,1.000000,-0.000010,0.083921,0.996472
101.705833,0.204997,1.000000,-0.000010,0.082501,0.996591
104.986667,0.201552,1.000000,-0.000011,0.081050,0.996710
108.267500,0.198037,1.000000,-0.000011,0.079570,0.996829
111.548333,0.194455,1.000000,-0.000011,0.078062,0.996948
114.829167,0.190812,1.000000,-0.000011,0.076528,0.997067
118.110000,0.187110,1.000000,-0.000011,0.074968,0.997186
121.390833,0.183352,1.000000,-0.000012,0.073386,0.997304
124.671667,0.179544,1.000000,-0.000012,0.071781,0.997420
127.952500,0.175687,1.000000,-0.000012,0.070156,0.997536
131.233333,0.171787,1.000000,-0.000012,0.068513,0.997650
134.514167,0.167846,1.000000,-0.000012,0.066852,0.997763
137.795000,0.163870,1.000000,-0.000012,0.065176,0.997874
141.075833,0.159861,1.000000,-0.000012,0.063486,0.997983
144.356667,0.155824,1.000000,-0.000012,0.061784,0.998090
147.637500,0.151763,1.000000,-0.000012,0.060072,0.998194
150.918333,0.147681,1.000000,-0.000012,0.058351,0.998296
154.199167,0.143583,1.000000,-0.000013,0.056623,0.998396
157.480000,0.139474,1.000000,-0.000013,0.054889,0.998492
160.760833,0.135355,1.000000,-0.000013,0.053153,0.998586
164.041667,0.131233,1.000000,-0.000013,0.051414,0.998677
167.322500,0.127111,1.000000,-0.000013,0.049675,0.998765
170.603333,0.122993,1.000000,-0.000013,0.047937,0.998850
173.884167,0.118883,1.000000,-0.000013,0.046203,0.998932
177.165000,0.114785,1.000000,-0.000012,0.044474,0.999011
180.445833,0.110704,1.000000,-0.000012,0.042752,0.999086
183.726667,0.106643,1.000000,-0.000012,0.041038,0.999158
187.007500,0.102606,1.000000,-0.000012,0.039334,0.999226
190.288333,0.098597,1.000000,-0.000012,0.037642,0.999291
193.569167,0.094620,1.000000,-0.000012,0.035963,0.999353
196.850000,0.090680,1.000000,-0.000012,0.034300,0.999412
200.130833,0.086780,1.000000,-0.000012,0.032653,0.999467
203.411667,0.082923,1.000000,-0.000012,0.031025,0.999519
206.692500,0.079114,1.000000,-0.000012,0.029417,0.999567
209.973333,0.075357,1.000000,-0.000011,0.027830,0.999613
213.254167,0.071655,1.000000,-0.000011,0.026267,0.999655
216.535000,0.068011,1.000000,-0.000011,0.024728,0.999694
219.815833,0.064430,1.000000,-0.000011,0.023216,0.999730
223.096667,0.060915,1.000000,-0.000011,0.021732,0.999764
226.377500,0.057469,1.000000,-0.000010,0.020277,0.999794
229.658333,0.054096,1.000000,-0.000010,0.018852,0.999822
232.939167,0.050799,1.000000,-0.000010,0.017460,0.999848
236.220000,0.047582,1.000000,-0.000010,0.016101,0.999870
239.500833,0.044447,1.000000,-0.000009,0.014777,0.999891
242.781667,0.041398,1.000000,-0.000009,0.013489,0.999909
246.062500,0.038437,1.000000,-0.000009,0.012239,0.999925
249.343333,0.035568,1.000000,-0.000009,0.011027,0.999939
252.624167,0.032794,1.000000,-0.000008,0.009855,0.999951
255.905000,0.030116,1.000000,-0.000008,0.008724,0.999962
259.185833,0.027539,1.000000,-0.000008,0.007635,0.999971
262.466667,0.025063,1.000000,-0.000007,0.006590,0.999978
265.747500,0.022693,1.000000,-0.000007,0.005588,0.999984
269.028333,0.020429,1.000000,-0.000007,0.004632,0.999989
272.309167,0.018275,1.000000,-0.000006,0.003722,0.999993
275.590000,0.016233,1.000000,-0.000006,0.002860,0.999996
278.870833,0.014304,1.000000,-0.000006,0.002045,0.999998
282.151667,0.012490,1.000000,-0.000005,0.001279,0.999999
285.432500,0.010793,1.000000,-0.000005,0.000562,1.000000
288.713333,0.009216,1.000000,-0.000005,-0.000105,1.000000
291.994167,0.007758,1.000000,-0.000004,-0.000720,1.000000
295.275000,0.006423,1.000000,-0.000004,-0.001284,0.999999
298.555833,0.005211,1.000000,-0.000004,-0.001796,0.999998
301.836667,0.004123,1.000000,-0.000003,-0.002256,0.999997
305.117500,0.003161,1.000000,-0.000003,-0.002662,0.999996
308.398333,0.002325,1.000000,-0.000002,-0.003015,0.999995
311.679167,0.001616,1.000000,-0.000002,-0.003315,0.999995
314.960000,0.001035,1.000000,-0.000002,-0.003560,0.999994
318.240833,0.000582,1.000000,-0.000001,-0.003751,0.999993
