dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3.280833,0.000065,1.000000,0.000000,0.000026,1.000000
6.561667,0.000259,1.000000,0.000001,0.000105,1.000000
9.842500,0.000582,1.000000,0.000001,0.000237,1.000000
13.123333,0.001035,1.000000,0.000002,0.000421,1.000000
16.404167,0.001616,1.000000,0.000002,0.000658,1.000000
19.685000,0.002325,1.000000,0.000002,0.000946,1.000000
22.965833,0.003161,1.000000,0.000003,0.001287,0.999999
26.246667,0.004123,1.000000,0.000003,0.001679,0.999999
29.527500,0.005211,1.000000,0.000004,0.002122,0.999998
32.808333,0.006423,1.000000,0.000004,0.002615,0.999997
36.089167,0.007758,1.000000,0.000004,0.003159,0.999995
39.370000,0.009216,1.000000,0.000005,0.003752,0.999993
42.650833,0.010793,1.000000,0.000005,0.004395,0.999990
45.931667,0.012490,1.000000,0.000005,0.005086,0.999987
49.212500,0.014304,1.000000,0.000006,0.005824,0.999983
52.493333,0.016233,1.000000,0.000006,0.006610,0.999978
55.774167,0.018275,1.000000,0.000006,0.007441,0.999972
59.055000,0.020429,1.000000,0.000007,0.008318,0.999965
62.335833,0.022693,1.000000,0.000007,0.009240,0.999957
65.616667,0.025063,1.000000,0.000007,0.010205,0.999948
68.897500,0.027539,1.000000,0.000008,0.011213,0.999937
72.178333,0.030116,1.000000,0.000008,0.012262,0.999925
75.459167,0.032794,1.000000,0.000008,0.013352,0.999911
78.740000,0.035568,1.000000,0.000009,0.014482,0.999895
82.020833,0.038437,1.000000,0.000009,0.015650,0.999878
85.301667,0.041398,1.000000,0.000009,0.016855,0.999858
88.582500,0.044447,1.000000,0.000009,0.018097,0.999836
91.863333,0.047582,1.000000,0.000010,0.019373,0.999812
95.144167,0.050799,1.000000,0.000010,0.020683,0.999786
98.425000,0.054096,1.000000,0.000010,0.022025,0.999757
101.705833,0.057469,1.000000,0.000010,0.023398,0.999726
104.986667,0.060915,1.000000,0.000011,0.024801,0.999692
108.267500,0.064430,1.000000,0.000011,0.026231,0.999656
111.548333,0.068011,1.000000,0.000011,0.027689,0.999617
114.829167,0.071655,1.000000,0.000011,0.029172,0.999574
118.110000,0.075357,1.000000,0.000011,0.030679,0.999529
121.390833,0.079114,1.000000,0.000012,0.032208,0.999481
124.671667,0.082923,1.000000,0.000012,0.033758,0.999430
127.952500,0.086780,1.000000,0.000012,0.035327,0.999376
131.233333,0.090680,1.000000,0.000012,0.036914,0.999318
134.514167,0.094620,1.000000,0.000012,0.038518,0.999258
137.795000,0.098597,1.000000,0.000012,0.040135,0.999194
141.075833,0.102606,1.000000,0.000012,0.041766,0.999127
144.356667,0.106643,1.000000,0.000012,0.043409,0.999057
147.637500,0.110704,1.000000,0.000012,0.045061,0.998984
150.918333,0.114785,1.000000,0.000012,0.046721,0.998908
154.199167,0.118883,1.000000,0.000013,0.048387,0.998829
157.480000,0.122993,1.000000,0.000013,0.050059,0.998746
160.760833,0.127111,1.000000,0.000013,0.051733,0.998661
164.041667,0.131233,1.000000,0.000013,0.053410,0.998573
167.322500,0.135355,1.000000,0.000013,0.055086,0.998482
170.603333,0.139474,1.000000,0.000013,0.056760,0.998388
173.884167,0.143583,1.000000,0.000013,0.058430,0.998291
177.165000,0.147681,1.000000,0.000012,0.060096,0.998193
180.445833,0.151763,1.000000,0.000012,0.061755,0.998091
183.726667,0.155824,1.000000,0.000012,0.063405,0.997988
187.007500,0.159861,1.000000,0.000012,0.065046,0.997882
