DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,-0.001667,0.079984,0.999994,-0.003365,0.000000,0.003346,0.994291,-0.106645,0.000355,0.106645,0.994297
2.000000,1.999985,-0.006666,0.079936,0.999977,-0.006729,0.000000,0.006691,0.994281,-0.106582,0.000710,0.106579,0.994304
3.000000,2.999950,-0.014997,0.079856,0.999949,-0.010092,0.000000,0.010034,0.994265,-0.106475,0.001064,0.106470,0.994315
4.000000,3.999882,-0.026656,0.079744,0.999910,-0.013451,0.000000,0.013375,0.994241,-0.106326,0.001417,0.106317,0.994331
5.000000,4.999769,-0.041641,0.079600,0.999859,-0.016806,0.000000,0.016712,0.994211,-0.106135,0.001767,0.106120,0.994352
6.000000,5.999601,-0.059948,0.079424,0.999797,-0.020157,0.000000,0.020044,0.994175,-0.105900,0.002114,0.105879,0.994377
7.000000,6.999367,-0.081570,0.079216,0.999724,-0.023502,0.000000,0.023370,0.994132,-0.105624,0.002459,0.105595,0.994406
8.000000,7.999055,-0.106501,0.078976,0.999640,-0.026840,0.000000,0.026691,0.994082,-0.105304,0.002799,0.105267,0.994440
9.000000,8.998656,-0.134735,0.078704,0.999545,-0.030170,0.000000,0.030003,0.994026,-0.104943,0.003136,0.104896,0.994478
10.000000,9.998159,-0.166262,0.078400,0.999439,-0.033492,0.000000,0.033308,0.993963,-0.104538,0.003468,0.104481,0.994521
11.000000,10.997552,-0.201075,0.078064,0.999323,-0.036803,0.000000,0.036603,0.993894,-0.104091,0.003794,0.104022,0.994568
12.000000,11.996826,-0.239162,0.077696,0.999195,-0.040104,0.000000,0.039889,0.993819,-0.103601,0.004115,0.103520,0.994619
13.000000,12.995970,-0.280513,0.077296,0.999058,-0.043394,0.000000,0.043163,0.993737,-0.103069,0.004430,0.102974,0.994674
14.000000,13.994975,-0.325115,0.076864,0.998910,-0.046671,0.000000,0.046425,0.993650,-0.102494,0.004738,0.102385,0.994734
15.000000,14.993829,-0.372955,0.076400,0.998753,-0.049934,0.000000,0.049674,0.993556,-0.101877,0.005038,0.101752,0.994797
16.000000,15.992524,-0.424019,0.075904,0.998585,-0.053183,0.000000,0.052910,0.993456,-0.101217,0.005331,0.101076,0.994864
17.000000,16.991050,-0.478293,0.075376,0.998407,-0.056416,0.000000,0.056131,0.993351,-0.100514,0.005616,0.100357,0.994936
18.000000,17.989397,-0.535760,0.074816,0.998220,-0.059633,0.000000,0.059336,0.993240,-0.099769,0.005892,0.099595,0.995011
19.000000,18.987556,-0.596404,0.074224,0.998024,-0.062833,0.000000,0.062524,0.993123,-0.098981,0.006159,0.098789,0.995089
20.000000,19.985518,-0.660207,0.073600,0.997819,-0.066014,0.000000,0.065695,0.993001,-0.098150,0.006417,0.097940,0.995172
21.000000,20.983274,-0.727149,0.072944,0.997604,-0.069176,0.000000,0.068848,0.992873,-0.097276,0.006664,0.097048,0.995257
22.000000,21.980817,-0.797211,0.072256,0.997382,-0.072318,0.000000,0.071981,0.992740,-0.096360,0.006901,0.096113,0.995347
23.000000,22.978136,-0.870373,0.071536,0.997150,-0.075438,0.000000,0.075094,0.992602,-0.095402,0.007127,0.095135,0.995439
24.000000,23.975225,-0.946613,0.070784,0.996911,-0.078537,0.000000,0.078186,0.992459,-0.094400,0.007342,0.094114,0.995534
25.000000,24.972076,-1.025907,0.070000,0.996664,-0.081612,0.000000,0.081255,0.992312,-0.093356,0.007545,0.093051,0.995633
26.000000,25.968681,-1.108234,0.069184,0.996410,-0.084663,0.000000,0.084302,0.992159,-0.092269,0.007735,0.091944,0.995734
27.000000,26.965033,-1.193567,0.068336,0.996148,-0.087689,0.000000,0.087324,0.992002,-0.091139,0.007914,0.090795,0.995838
28.000000,27.961125,-1.281883,0.067456,0.995879,-0.090690,0.000000,0.090322,0.991841,-0.089967,0.008079,0.089604,0.995945
29.000000,28.956951,-1.373153,0.066544,0.995604,-0.093663,0.000000,0.093294,0.991675,-0.088752,0.008231,0.088369,0.996054
30.000000,29.952504,-1.467352,0.065600,0.995322,-0.096609,0.000000,0.096239,0.991505,-0.087494,0.008369,0.087093,0.996165
31.000000,30.947779,-1.564451,0.064624,0.995035,-0.099526,0.000000,0.099156,0.991332,-0.086193,0.008493,0.085774,0.996278
32.000000,31.942769,-1.664420,0.063616,0.994742,-0.102414,0.000000,0.102044,0.991155,-0.084850,0.008603,0.084412,0.996394
33.000000,32.937469,-1.767230,0.062576,0.994444,-0.105270,0.000000,0.104903,0.990974,-0.083463,0.008699,0.083009,0.996511
34.000000,33.931876,-1.872850,0.061504,0.994140,-0.108096,0.000000,0.107731,0.990790,-0.082034,0.008779,0.081563,0.996630
35.000000,34.925983,-1.981248,0.060400,0.993833,-0.110889,0.000000,0.110528,0.990602,-0.080562,0.008844,0.080075,0.996750
36.000000,35.919787,-2.092390,0.059264,0.993521,-0.113648,0.000000,0.113293,0.990412,-0.079047,0.008893,0.078545,0.996871
37.000000,36.913284,-2.206244,0.058096,0.993205,-0.116374,0.000000,0.116024,0.990219,-0.077489,0.008927,0.076974,0.996993
38.000000,37.906471,-2.322774,0.056896,0.992887,-0.119064,0.000000,0.118721,0.990023,-0.075889,0.008944,0.075360,0.997116
39.000000,38.899345,-2.441945,0.055664,0.992565,-0.121718,0.000000,0.121382,0.989825,-0.074245,0.008945,0.073704,0.997240
40.000000,39.891902,-2.563720,0.054400,0.992240,-0.124335,0.000000,0.124007,0.989625,-0.072559,0.008929,0.072007,0.997364
41.000000,40.884141,-2.688062,0.053104,0.991914,-0.126914,0.000000,0.126596,0.989422,-0.070830,0.008897,0.070269,0.997488
42.000000,41.876060,-2.814933,0.051776,0.991585,-0.129455,0.000000,0.129146,0.989218,-0.069057,0.008848,0.068488,0.997613
43.000000,42.867658,-2.944293,0.050416,0.991256,-0.131956,0.000000,0.131657,0.989012,-0.067242,0.008781,0.066666,0.997737
44.000000,43.858932,-3.076102,0.049024,0.990925,-0.134416,0.000000,0.134128,0.988805,-0.065384,0.008697,0.064803,0.997860
45.000000,44.849884,-3.210320,0.047600,0.990594,-0.136834,0.000000,0.136558,0.988596,-0.063483,0.008596,0.062898,0.997983
46.000000,45.840512,-3.346904,0.046144,0.990263,-0.139211,0.000000,0.138947,0.988386,-0.061539,0.008477,0.060952,0.998105
47.000000,46.830818,-3.485811,0.044656,0.989932,-0.141543,0.000000,0.141292,0.988175,-0.059552,0.008341,0.058965,0.998225
48.000000,47.820800,-3.626998,0.043136,0.989602,-0.143832,0.000000,0.143594,0.987964,-0.057522,0.008186,0.056937,0.998344
49.000000,48.810462,-3.770420,0.041584,0.989273,-0.146076,0.000000,0.145851,0.987751,-0.055449,0.008014,0.054867,0.998462
50.000000,49.799803,-3.916031,0.040000,0.988946,-0.148273,0.000000,0.148062,0.987539,-0.053333,0.007824,0.052756,0.998577
51.000000,50.788891,-4.063356,0.038416,0.988696,-0.149932,0.000000,0.149735,0.987398,-0.051223,0.007516,0.050669,0.998687
52.000000,51.777665,-4.212778,0.036864,0.988385,-0.151974,0.000000,0.151790,0.987190,-0.049155,0.007311,0.048609,0.998791
53.000000,52.766126,-4.364252,0.035344,0.988075,-0.153971,0.000000,0.153800,0.986977,-0.047130,0.007102,0.046592,0.998889
54.000000,53.754277,-4.517733,0.033856,0.987769,-0.155924,0.000000,0.155765,0.986762,-0.045147,0.006890,0.044619,0.998980
55.000000,54.742122,-4.673177,0.032400,0.987466,-0.157834,0.000000,0.157687,0.986543,-0.043207,0.006674,0.042689,0.999066
56.000000,55.729662,-4.830543,0.030976,0.987165,-0.159702,0.000000,0.159566,0.986323,-0.041309,0.006456,0.040802,0.999146
57.000000,56.716901,-4.989788,0.029584,0.986868,-0.161529,0.000000,0.161404,0.986100,-0.039454,0.006235,0.038958,0.999221
58.000000,57.703841,-5.150872,0.028224,0.986574,-0.163316,0.000000,0.163201,0.985875,-0.037641,0.006013,0.037158,0.999291
59.000000,58.690487,-5.313755,0.026896,0.986283,-0.165064,0.000000,0.164958,0.985648,-0.035871,0.005790,0.035400,0.999356
