DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262414,0.999994,-0.003365,0.000000,0.003346,0.994291,-0.106645,0.000355,0.106645,0.994297
6.561667,6.561618,-0.021870,0.262257,0.999977,-0.006729,0.000000,0.006691,0.994281,-0.106582,0.000710,0.106579,0.994304
9.842500,9.842336,-0.049202,0.261994,0.999949,-0.010092,0.000000,0.010034,0.994265,-0.106475,0.001064,0.106470,0.994315
13.123333,13.122945,-0.087455,0.261627,0.999910,-0.013451,0.000000,0.013375,0.994241,-0.106326,0.001417,0.106317,0.994331
16.404167,16.403408,-0.136618,0.261154,0.999859,-0.016806,0.000000,0.016712,0.994211,-0.106135,0.001767,0.106120,0.994352
19.685000,19.683690,-0.196678,0.260577,0.999797,-0.020157,0.000000,0.020044,0.994175,-0.105900,0.002114,0.105879,0.994377
22.965833,22.963755,-0.267616,0.259894,0.999724,-0.023502,0.000000,0.023370,0.994132,-0.105624,0.002459,0.105595,0.994406
26.246667,26.243567,-0.349412,0.259107,0.999640,-0.026840,0.000000,0.026691,0.994082,-0.105304,0.002799,0.105267,0.994440
29.527500,29.523091,-0.442042,0.258215,0.999545,-0.030170,0.000000,0.030003,0.994026,-0.104943,0.003136,0.104896,0.994478
32.808333,32.802292,-0.545480,0.257217,0.999439,-0.033492,0.000000,0.033308,0.993963,-0.104538,0.003468,0.104481,0.994521
36.089167,36.081135,-0.659693,0.256115,0.999323,-0.036803,0.000000,0.036603,0.993894,-0.104091,0.003794,0.104022,0.994568
39.370000,39.359587,-0.784651,0.254908,0.999195,-0.040104,0.000000,0.039889,0.993819,-0.103601,0.004115,0.103520,0.994619
42.650833,42.637612,-0.920315,0.253595,0.999058,-0.043394,0.000000,0.043163,0.993737,-0.103069,0.004430,0.102974,0.994674
45.931667,45.915179,-1.066647,0.252178,0.998910,-0.046671,0.000000,0.046425,0.993650,-0.102494,0.004738,0.102385,0.994734
49.212500,49.192255,-1.223602,0.250656,0.998753,-0.049934,0.000000,0.049674,0.993556,-0.101877,0.005038,0.101752,0.994797
52.493333,52.468806,-1.391137,0.249028,0.998585,-0.053183,0.000000,0.052910,0.993456,-0.101217,0.005331,0.101076,0.994864
55.774167,55.744802,-1.569200,0.247296,0.998407,-0.056416,0.000000,0.056131,0.993351,-0.100514,0.005616,0.100357,0.994936
59.055000,59.020212,-1.757741,0.245459,0.998220,-0.059633,0.000000,0.059336,0.993240,-0.099769,0.005892,0.099595,0.995011
62.335833,62.295006,-1.956703,0.243517,0.998024,-0.062833,0.000000,0.062524,0.993123,-0.098981,0.006159,0.098789,0.995089
65.616667,65.569153,-2.166028,0.241469,0.997819,-0.066014,0.000000,0.065695,0.993001,-0.098150,0.006417,0.097940,0.995172
68.897500,68.842626,-2.385654,0.239317,0.997604,-0.069176,0.000000,0.068848,0.992873,-0.097276,0.006664,0.097048,0.995257
72.178333,72.115396,-2.615517,0.237060,0.997382,-0.072318,0.000000,0.071981,0.992740,-0.096360,0.006901,0.096113,0.995347
75.459167,75.387435,-2.855549,0.234698,0.997150,-0.075438,0.000000,0.075094,0.992602,-0.095402,0.007127,0.095135,0.995439
78.740000,78.658719,-3.105678,0.232231,0.996911,-0.078537,0.000000,0.078186,0.992459,-0.094400,0.007342,0.094114,0.995534
82.020833,81.929220,-3.365831,0.229658,0.996664,-0.081612,0.000000,0.081255,0.992312,-0.093356,0.007545,0.093051,0.995633
85.301667,85.198915,-3.635930,0.226981,0.996410,-0.084663,0.000000,0.084302,0.992159,-0.092269,0.007735,0.091944,0.995734
88.582500,88.467780,-3.915895,0.224199,0.996148,-0.087689,0.000000,0.087324,0.992002,-0.091139,0.007914,0.090795,0.995838
91.863333,91.735792,-4.205643,0.221312,0.995879,-0.090690,0.000000,0.090322,0.991841,-0.089967,0.008079,0.089604,0.995945
95.144167,95.002931,-4.505087,0.218320,0.995604,-0.093663,0.000000,0.093294,0.991675,-0.088752,0.008231,0.088369,0.996054
98.425000,98.269174,-4.814138,0.215223,0.995322,-0.096609,0.000000,0.096239,0.991505,-0.087494,0.008369,0.087093,0.996165
101.705833,101.534504,-5.132702,0.212021,0.995035,-0.099526,0.000000,0.099156,0.991332,-0.086193,0.008493,0.085774,0.996278
104.986667,104.798901,-5.460685,0.208713,0.994742,-0.102414,0.000000,0.102044,0.991155,-0.084850,0.008603,0.084412,0.996394
108.267500,108.062348,-5.797988,0.205301,0.994444,-0.105270,0.000000,0.104903,0.990974,-0.083463,0.008699,0.083009,0.996511
111.548333,111.324829,-6.144509,0.201784,0.994140,-0.108096,0.000000,0.107731,0.990790,-0.082034,0.008779,0.081563,0.996630
114.829167,114.586329,-6.500143,0.198162,0.993833,-0.110889,0.000000,0.110528,0.990602,-0.080562,0.008844,0.080075,0.996750
118.110000,117.846835,-6.864783,0.194435,0.993521,-0.113648,0.000000,0.113293,0.990412,-0.079047,0.008893,0.078545,0.996871
121.390833,121.106334,-7.238318,0.190603,0.993205,-0.116374,0.000000,0.116024,0.990219,-0.077489,0.008927,0.076974,0.996993
124.671667,124.364814,-7.620633,0.186666,0.992887,-0.119064,0.000000,0.118721,0.990023,-0.075889,0.008944,0.075360,0.997116
127.952500,127.622267,-8.011613,0.182624,0.992565,-0.121718,0.000000,0.121382,0.989825,-0.074245,0.008945,0.073704,0.997240
131.233333,130.878682,-8.411137,0.178477,0.992240,-0.124335,0.000000,0.124007,0.989625,-0.072559,0.008929,0.072007,0.997364
134.514167,134.134053,-8.819083,0.174225,0.991914,-0.126914,0.000000,0.126596,0.989422,-0.070830,0.008897,0.070269,0.997488
137.795000,137.388374,-9.235325,0.169868,0.991585,-0.129455,0.000000,0.129146,0.989218,-0.069057,0.008848,0.068488,0.997613
141.075833,140.641640,-9.659734,0.165406,0.991256,-0.131956,0.000000,0.131657,0.989012,-0.067242,0.008781,0.066666,0.997737
144.356667,143.893848,-10.092179,0.160840,0.990925,-0.134416,0.000000,0.134128,0.988805,-0.065384,0.008697,0.064803,0.997860
147.637500,147.144995,-10.532524,0.156168,0.990594,-0.136834,0.000000,0.136558,0.988596,-0.063483,0.008596,0.062898,0.997983
150.918333,150.395081,-10.980633,0.151391,0.990263,-0.139211,0.000000,0.138947,0.988386,-0.061539,0.008477,0.060952,0.998105
154.199167,153.644107,-11.436364,0.146509,0.989932,-0.141543,0.000000,0.141292,0.988175,-0.059552,0.008341,0.058965,0.998225
157.480000,156.892075,-11.899575,0.141522,0.989602,-0.143832,0.000000,0.143594,0.987964,-0.057522,0.008186,0.056937,0.998344
160.760833,160.138990,-12.370119,0.136430,0.989273,-0.146076,0.000000,0.145851,0.987751,-0.055449,0.008014,0.054867,0.998462
164.041667,163.384855,-12.847846,0.131233,0.988946,-0.148273,0.000000,0.148062,0.987539,-0.053333,0.007824,0.052756,0.998577
167.322500,166.629888,-13.331195,0.126036,0.988696,-0.149932,0.000000,0.149735,0.987398,-0.051223,0.007516,0.050669,0.998687
170.603333,169.873888,-13.821423,0.120945,0.988385,-0.151974,0.000000,0.151790,0.987190,-0.049155,0.007311,0.048609,0.998791
173.884167,173.116865,-14.318383,0.115958,0.988075,-0.153971,0.000000,0.153800,0.986977,-0.047130,0.007102,0.046592,0.998889
177.165000,176.358825,-14.821928,0.111076,0.987769,-0.155924,0.000000,0.155765,0.986762,-0.045147,0.006890,0.044619,0.998980
180.445833,179.599778,-15.331915,0.106299,0.987466,-0.157834,0.000000,0.157687,0.986543,-0.043207,0.006674,0.042689,0.999066
183.726667,182.839733,-15.848206,0.101627,0.987165,-0.159702,0.000000,0.159566,0.986323,-0.041309,0.006456,0.040802,0.999146
187.007500,186.078699,-16.370663,0.097060,0.986868,-0.161529,0.000000,0.161404,0.986100,-0.039454,0.006235,0.038958,0.999221
190.288333,189.316687,-16.899152,0.092598,0.986574,-0.163316,0.000000,0.163201,0.985875,-0.037641,0.006013,0.037158,0.999291
