DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280840,3.280834,-0.005468,0.262415,0.999994,-0.003365,0.000000,0.003346,0.994291,-0.106645,0.000355,0.106645,0.994297
6.561680,6.561631,-0.021869,0.262257,0.999977,-0.006729,0.000000,0.006691,0.994281,-0.106582,0.000710,0.106579,0.994304
9.842520,9.842356,-0.049197,0.261995,0.999949,-0.010090,0.000000,0.010032,0.994265,-0.106475,0.001064,0.106470,0.994315
13.123360,13.122971,-0.087441,0.261627,0.999910,-0.013447,0.000000,0.013370,0.994241,-0.106326,0.001416,0.106317,0.994331
16.404199,16.403442,-0.136585,0.261155,0.999859,-0.016798,0.000000,0.016703,0.994211,-0.106135,0.001766,0.106120,0.994352
19.685039,19.683731,-0.196608,0.260577,0.999797,-0.020143,0.000000,0.020029,0.994175,-0.105900,0.002113,0.105879,0.994377
22.965879,22.963803,-0.267486,0.259895,0.999724,-0.023479,0.000000,0.023348,0.994132,-0.105624,0.002456,0.105595,0.994406
26.246719,26.243624,-0.349189,0.259108,0.999641,-0.026806,0.000000,0.026657,0.994083,-0.105304,0.002796,0.105267,0.994440
29.527559,29.523159,-0.441685,0.258215,0.999546,-0.030121,0.000000,0.029955,0.994027,-0.104943,0.003131,0.104896,0.994478
32.808399,32.802372,-0.544934,0.257218,0.999441,-0.033425,0.000000,0.033242,0.993965,-0.104538,0.003461,0.104481,0.994521
36.089239,36.081231,-0.658895,0.256115,0.999326,-0.036715,0.000000,0.036515,0.993897,-0.104091,0.003785,0.104022,0.994568
39.370079,39.359701,-0.783519,0.254908,0.999200,-0.039989,0.000000,0.039774,0.993823,-0.103601,0.004103,0.103520,0.994619
42.650919,42.637751,-0.918756,0.253596,0.999064,-0.043248,0.000000,0.043017,0.993744,-0.103069,0.004415,0.102975,0.994674
45.931759,45.915349,-1.064550,0.252178,0.998919,-0.046488,0.000000,0.046243,0.993658,-0.102494,0.004719,0.102386,0.994734
49.212598,49.192463,-1.220839,0.250656,0.998764,-0.049710,0.000000,0.049451,0.993567,-0.101877,0.005015,0.101753,0.994797
52.493438,52.469062,-1.387559,0.249029,0.998599,-0.052910,0.000000,0.052639,0.993471,-0.101217,0.005304,0.101078,0.994864
55.774278,55.745118,-1.564641,0.247297,0.998426,-0.056089,0.000000,0.055805,0.993369,-0.100514,0.005583,0.100359,0.994936
59.055118,59.020602,-1.752011,0.245459,0.998243,-0.059245,0.000000,0.058950,0.993263,-0.099769,0.005853,0.099597,0.995011
62.335958,62.295486,-1.949590,0.243517,0.998053,-0.062377,0.000000,0.062070,0.993152,-0.098981,0.006114,0.098792,0.995089
65.616798,65.569743,-2.157296,0.241470,0.997854,-0.065482,0.000000,0.065166,0.993036,-0.098150,0.006364,0.097943,0.995172
68.897638,68.843348,-2.375042,0.239318,0.997647,-0.068560,0.000000,0.068235,0.992916,-0.097276,0.006604,0.097052,0.995257
72.178478,72.116276,-2.602735,0.237060,0.997433,-0.071610,0.000000,0.071277,0.992791,-0.096360,0.006833,0.096118,0.995347
75.459318,75.388504,-2.840282,0.234698,0.997211,-0.074629,0.000000,0.074289,0.992663,-0.095402,0.007050,0.095141,0.995439
78.740157,78.660009,-3.087580,0.232231,0.996983,-0.077618,0.000000,0.077271,0.992531,-0.094400,0.007255,0.094121,0.995534
