DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262414,0.999994,-0.003365,0.000000,0.003346,0.994291,-0.106645,0.000355,0.106645,0.994297
6.561667,6.561618,-0.021869,0.262257,0.999977,-0.006729,0.000000,0.006691,0.994281,-0.106582,0.000710,0.106579,0.994304
9.842500,9.842336,-0.049197,0.261994,0.999949,-0.010090,0.000000,0.010032,0.994265,-0.106475,0.001064,0.106470,0.994315
13.123333,13.122945,-0.087441,0.261627,0.999910,-0.013447,0.000000,0.013370,0.994241,-0.106326,0.001416,0.106317,0.994331
16.404167,16.403409,-0.136584,0.261154,0.999859,-0.016798,0.000000,0.016703,0.994211,-0.106135,0.001766,0.106120,0.994352
19.685000,19.683691,-0.196607,0.260577,0.999797,-0.020143,0.000000,0.020029,0.994175,-0.105900,0.002113,0.105879,0.994377
22.965833,22.963758,-0.267485,0.259894,0.999724,-0.023479,0.000000,0.023348,0.994132,-0.105624,0.002456,0.105595,0.994406
26.246667,26.243572,-0.349188,0.259107,0.999641,-0.026806,0.000000,0.026657,0.994083,-0.105304,0.002796,0.105267,0.994440
29.527500,29.523100,-0.441684,0.258215,0.999546,-0.030121,0.000000,0.029955,0.994027,-0.104943,0.003131,0.104896,0.994478
32.808333,32.802306,-0.544933,0.257217,0.999441,-0.033425,0.000000,0.033242,0.993965,-0.104538,0.003461,0.104481,0.994521
36.089167,36.081159,-0.658893,0.256115,0.999326,-0.036715,0.000000,0.036515,0.993897,-0.104091,0.003785,0.104022,0.994568
39.370000,39.359623,-0.783517,0.254908,0.999200,-0.039989,0.000000,0.039774,0.993823,-0.103601,0.004103,0.103520,0.994619
42.650833,42.637666,-0.918754,0.253595,0.999064,-0.043248,0.000000,0.043017,0.993744,-0.103069,0.004415,0.102975,0.994674
45.931667,45.915257,-1.064547,0.252178,0.998919,-0.046488,0.000000,0.046243,0.993658,-0.102494,0.004719,0.102386,0.994734
49.212500,49.192364,-1.220836,0.250656,0.998764,-0.049710,0.000000,0.049451,0.993567,-0.101877,0.005015,0.101753,0.994797
52.493333,52.468957,-1.387556,0.249028,0.998599,-0.052910,0.000000,0.052639,0.993471,-0.101217,0.005304,0.101078,0.994864
55.774167,55.745007,-1.564638,0.247296,0.998426,-0.056089,0.000000,0.055805,0.993369,-0.100514,0.005583,0.100359,0.994936
59.055000,59.020484,-1.752007,0.245459,0.998243,-0.059245,0.000000,0.058950,0.993263,-0.099769,0.005853,0.099597,0.995011
62.335833,62.295361,-1.949586,0.243517,0.998053,-0.062377,0.000000,0.062070,0.993152,-0.098981,0.006114,0.098792,0.995089
65.616667,65.569612,-2.157292,0.241469,0.997854,-0.065482,0.000000,0.065166,0.993036,-0.098150,0.006364,0.097943,0.995172
68.897500,68.843211,-2.375037,0.239317,0.997647,-0.068560,0.000000,0.068235,0.992916,-0.097276,0.006604,0.097052,0.995257
72.178333,72.116132,-2.602730,0.237060,0.997433,-0.071610,0.000000,0.071277,0.992791,-0.096360,0.006833,0.096118,0.995347
75.459167,75.388353,-2.840276,0.234698,0.997211,-0.074629,0.000000,0.074289,0.992663,-0.095402,0.007050,0.095141,0.995439
78.740000,78.659852,-3.087574,0.232231,0.996983,-0.077618,0.000000,0.077271,0.992531,-0.094400,0.007255,0.094121,0.995534
82.020833,81.930607,-3.344518,0.229658,0.996749,-0.080574,0.000000,0.080222,0.992396,-0.093356,0.007448,0.093058,0.995633
85.301667,85.200599,-3.611002,0.226981,0.996508,-0.083496,0.000000,0.083139,0.992257,-0.092269,0.007628,0.091953,0.995734
88.582500,88.469809,-3.886910,0.224199,0.996262,-0.086382,0.000000,0.086023,0.992116,-0.091139,0.007794,0.090806,0.995838
91.863333,91.738220,-4.172125,0.221312,0.996011,-0.089232,0.000000,0.088870,0.991972,-0.089967,0.007948,0.089615,0.995945
95.144167,95.005817,-4.466524,0.218320,0.995755,-0.092044,0.000000,0.091681,0.991825,-0.088752,0.008087,0.088383,0.996054
98.425000,98.272585,-4.769983,0.215223,0.995495,-0.094817,0.000000,0.094454,0.991677,-0.087494,0.008212,0.087108,0.996165
101.705833,101.538511,-5.082369,0.212021,0.995231,-0.097550,0.000000,0.097187,0.991527,-0.086193,0.008323,0.085790,0.996278
104.986667,104.803585,-5.403547,0.208713,0.994963,-0.100240,0.000000,0.099879,0.991375,-0.084850,0.008419,0.084431,0.996394
108.267500,108.067796,-5.733379,0.205301,0.994693,-0.102888,0.000000,0.102529,0.991222,-0.083463,0.008500,0.083029,0.996511
111.548333,111.331135,-6.071720,0.201784,0.994420,-0.105490,0.000000,0.105135,0.991069,-0.082034,0.008565,0.081586,0.996630
114.829167,114.593598,-6.418423,0.198162,0.994146,-0.108048,0.000000,0.107696,0.990914,-0.080562,0.008615,0.080100,0.996750
118.110000,117.855177,-6.773334,0.194435,0.993870,-0.110558,0.000000,0.110212,0.990760,-0.079047,0.008649,0.078573,0.996871
121.390833,121.115870,-7.136298,0.190603,0.993593,-0.113019,0.000000,0.112679,0.990605,-0.077489,0.008667,0.077003,0.996993
124.671667,124.375675,-7.507154,0.186666,0.993316,-0.115431,0.000000,0.115098,0.990451,-0.075889,0.008668,0.075392,0.997116
127.952500,127.634591,-7.885736,0.182624,0.993038,-0.117792,0.000000,0.117467,0.990298,-0.074245,0.008653,0.073739,0.997240
131.233333,130.892621,-8.271875,0.178477,0.992762,-0.120100,0.000000,0.119784,0.990145,-0.072559,0.008622,0.072045,0.997364
134.514167,134.149768,-8.665398,0.174225,0.992486,-0.122356,0.000000,0.122048,0.989994,-0.070830,0.008574,0.070309,0.997488
137.795000,137.406035,-9.066127,0.169868,0.992213,-0.124556,0.000000,0.124258,0.989844,-0.069057,0.008509,0.068531,0.997613
141.075833,140.661431,-9.473878,0.165406,0.991941,-0.126700,0.000000,0.126413,0.989696,-0.067242,0.008428,0.066712,0.997737
144.356667,143.915963,-9.888468,0.160840,0.991672,-0.128786,0.000000,0.128511,0.989550,-0.065384,0.008329,0.064851,0.997860
147.637500,147.169642,-10.309704,0.156168,0.991407,-0.130814,0.000000,0.130550,0.989407,-0.063483,0.008214,0.062949,0.997983
150.918333,150.422479,-10.737391,0.151391,0.991145,-0.132782,0.000000,0.132530,0.989267,-0.061539,0.008081,0.061006,0.998105
154.199167,153.674487,-11.171332,0.146509,0.990888,-0.134688,0.000000,0.134449,0.989129,-0.059552,0.007932,0.059021,0.998225
157.480000,156.925683,-11.611323,0.141522,0.990636,-0.136532,0.000000,0.136306,0.988995,-0.057522,0.007766,0.056996,0.998344
160.760833,160.176082,-12.057156,0.136430,0.990389,-0.138312,0.000000,0.138099,0.988865,-0.055449,0.007583,0.054928,0.998462
164.041667,163.425705,-12.508620,0.131233,0.990148,-0.140027,0.000000,0.139828,0.988738,-0.053333,0.007384,0.052820,0.998577
167.322500,166.674713,-12.964479,0.126036,0.989967,-0.141302,0.000000,0.141116,0.988667,-0.051223,0.007074,0.050733,0.998687
170.603333,169.922988,-13.425538,0.120945,0.989748,-0.142823,0.000000,0.142650,0.988552,-0.049155,0.006861,0.048675,0.998791
173.884167,173.170550,-13.891586,0.115958,0.989537,-0.144279,0.000000,0.144119,0.988437,-0.047130,0.006645,0.046660,0.998889
177.165000,176.417423,-14.362417,0.111076,0.989333,-0.145674,0.000000,0.145526,0.988324,-0.045147,0.006427,0.044688,0.998980
180.445833,179.663629,-14.837828,0.106299,0.989135,-0.147008,0.000000,0.146871,0.988212,-0.043207,0.006206,0.042759,0.999066
183.726667,182.909189,-15.317621,0.101627,0.988945,-0.148282,0.000000,0.148155,0.988101,-0.041309,0.005983,0.040874,0.999146
187.007500,186.154128,-15.801603,0.097060,0.988762,-0.149498,0.000000,0.149381,0.987992,-0.039454,0.005760,0.039031,0.999221
190.288333,189.398468,-16.289585,0.092598,0.988586,-0.150657,0.000000,0.150550,0.987886,-0.037641,0.005536,0.037232,0.999291
