DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280840,3.280839,0.001641,0.000052,0.999999,0.001032,0.000000,-0.001032,0.999999,-0.000021,-0.000000,0.000021,1.000000
6.561680,6.561675,0.006564,0.000210,0.999998,0.002065,0.000000,-0.002065,0.999998,-0.000085,-0.000000,0.000085,1.000000
9.842520,9.842505,0.014774,0.000472,0.999995,0.003100,0.000000,-0.003100,0.999995,-0.000192,-0.000001,0.000192,1.000000
13.123360,13.123324,0.026279,0.000840,0.999991,0.004138,0.000000,-0.004138,0.999991,-0.000341,-0.000001,0.000341,1.000000
16.404199,16.404131,0.041090,0.001312,0.999987,0.005179,0.000000,-0.005179,0.999986,-0.000534,-0.000003,0.000534,1.000000
19.685039,19.684920,0.059220,0.001890,0.999981,0.006226,0.000000,-0.006226,0.999980,-0.000768,-0.000005,0.000768,1.000000
22.965879,22.965690,0.080687,0.002572,0.999974,0.007277,0.000000,-0.007277,0.999973,-0.001046,-0.000007,0.001046,0.999999
26.246719,26.246436,0.105509,0.003360,0.999965,0.008336,0.000000,-0.008336,0.999964,-0.001366,-0.000011,0.001366,0.999999
29.527559,29.527154,0.133710,0.004252,0.999956,0.009401,0.000000,-0.009401,0.999954,-0.001729,-0.000016,0.001729,0.999999
32.808399,32.807842,0.165316,0.005249,0.999945,0.010475,0.000000,-0.010475,0.999943,-0.002134,-0.000022,0.002134,0.999998
36.089239,36.088494,0.200357,0.006352,0.999933,0.011559,0.000000,-0.011559,0.999930,-0.002583,-0.000029,0.002582,0.999997
39.370079,39.369108,0.238863,0.007559,0.999920,0.012652,0.000000,-0.012652,0.999915,-0.003073,-0.000038,0.003073,0.999995
42.650919,42.649679,0.280871,0.008871,0.999905,0.013757,0.000000,-0.013757,0.999899,-0.003607,-0.000048,0.003607,0.999993
45.931759,45.930202,0.326418,0.010289,0.999889,0.014874,0.000000,-0.014874,0.999881,-0.004183,-0.000060,0.004183,0.999991
49.212598,49.210674,0.375546,0.011811,0.999872,0.016004,0.000000,-0.016004,0.999860,-0.004802,-0.000075,0.004802,0.999988
52.493438,52.491090,0.428299,0.013438,0.999853,0.017148,0.000000,-0.017148,0.999838,-0.005464,-0.000091,0.005463,0.999985
55.774278,55.771444,0.484725,0.015171,0.999832,0.018307,0.000000,-0.018307,0.999813,-0.006168,-0.000110,0.006167,0.999981
59.055118,59.051733,0.544874,0.017008,0.999810,0.019482,0.000000,-0.019482,0.999786,-0.006915,-0.000131,0.006914,0.999976
62.335958,62.331950,0.608799,0.018950,0.999786,0.020673,0.000000,-0.020673,0.999757,-0.007705,-0.000155,0.007703,0.999970
65.616798,65.612089,0.676557,0.020997,0.999761,0.021883,0.000000,-0.021882,0.999724,-0.008537,-0.000181,0.008535,0.999964
68.897638,68.892147,0.748208,0.023150,0.999733,0.023111,0.000000,-0.023110,0.999689,-0.009412,-0.000211,0.009410,0.999956
72.178478,72.172115,0.823814,0.025407,0.999703,0.024358,0.000000,-0.024357,0.999650,-0.010330,-0.000244,0.010327,0.999947
75.459318,75.451988,0.903442,0.027769,0.999672,0.025626,0.000000,-0.025624,0.999608,-0.011290,-0.000281,0.011287,0.999936
78.740157,78.731760,0.987159,0.030236,0.999638,0.026915,0.000000,-0.026913,0.999562,-0.012294,-0.000321,0.012289,0.999924
82.020997,82.011422,1.075037,0.032808,0.999602,0.028227,0.000000,-0.028224,0.999513,-0.013339,-0.000366,0.013334,0.999911
85.301837,85.290969,1.167152,0.035486,0.999563,0.029562,0.000000,-0.029559,0.999459,-0.014428,-0.000415,0.014422,0.999896
88.582677,88.570391,1.263581,0.038268,0.999522,0.030921,0.000000,-0.030917,0.999401,-0.015559,-0.000468,0.015552,0.999879
91.863517,91.849681,1.364406,0.041155,0.999478,0.032305,0.000000,-0.032301,0.999338,-0.016732,-0.000526,0.016724,0.999860
95.144357,95.128830,1.469709,0.044147,0.999431,0.033715,0.000000,-0.033710,0.999270,-0.017949,-0.000589,0.017939,0.999839
98.425197,98.407830,1.579579,0.047244,0.999382,0.035153,0.000000,-0.035146,0.999198,-0.019208,-0.000657,0.019197,0.999816
101.706037,101.686670,1.694106,0.050446,0.999329,0.036618,0.000000,-0.036610,0.999119,-0.020510,-0.000731,0.020497,0.999790
104.986877,104.965340,1.813381,0.053753,0.999273,0.038112,0.000000,-0.038103,0.999035,-0.021854,-0.000811,0.021839,0.999761
108.267717,108.243831,1.937503,0.057165,0.999214,0.039636,0.000000,-0.039625,0.998944,-0.023241,-0.000897,0.023224,0.999730
