DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079984,0.999995,0.003301,0.000000,-0.003282,0.994292,-0.106645,-0.000355,0.106645,0.994297
2.000000,1.999985,0.006666,0.079936,0.999978,0.006601,0.000000,-0.006564,0.994282,-0.106582,-0.000710,0.106579,0.994304
3.000000,2.999950,0.014997,0.079856,0.999951,0.009900,0.000000,-0.009843,0.994267,-0.106475,-0.001064,0.106470,0.994315
4.000000,3.999882,0.026656,0.079744,0.999913,0.013195,0.000000,-0.013120,0.994245,-0.106326,-0.001417,0.106317,0.994331
5.000000,4.999769,0.041641,0.079600,0.999864,0.016486,0.000000,-0.016393,0.994217,-0.106135,-0.001767,0.106120,0.994352
6.000000,5.999601,0.059948,0.079424,0.999804,0.019773,0.000000,-0.019662,0.994182,-0.105900,-0.002114,0.105879,0.994377
7.000000,6.999367,0.081570,0.079216,0.999734,0.023054,0.000000,-0.022925,0.994142,-0.105624,-0.002459,0.105595,0.994406
8.000000,7.999055,0.106501,0.078976,0.999653,0.026328,0.000000,-0.026182,0.994095,-0.105304,-0.002799,0.105267,0.994440
9.000000,8.998656,0.134735,0.078704,0.999562,0.029594,0.000000,-0.029431,0.994043,-0.104943,-0.003136,0.104896,0.994478
10.000000,9.998159,0.166262,0.078400,0.999460,0.032852,0.000000,-0.032672,0.993984,-0.104538,-0.003468,0.104481,0.994521
11.000000,10.997552,0.201075,0.078064,0.999348,0.036100,0.000000,-0.035904,0.993919,-0.104091,-0.003794,0.104022,0.994568
12.000000,11.996826,0.239162,0.077696,0.999226,0.039337,0.000000,-0.039125,0.993849,-0.103601,-0.004115,0.103520,0.994619
13.000000,12.995970,0.280513,0.077296,0.999094,0.042563,0.000000,-0.042336,0.993773,-0.103069,-0.004430,0.102974,0.994674
14.000000,13.994975,0.325115,0.076864,0.998952,0.045776,0.000000,-0.045535,0.993691,-0.102494,-0.004738,0.102385,0.994734
15.000000,14.993829,0.372955,0.076400,0.998800,0.048975,0.000000,-0.048721,0.993603,-0.101877,-0.005038,0.101752,0.994797
16.000000,15.992524,0.424019,0.075904,0.998639,0.052160,0.000000,-0.051893,0.993510,-0.101217,-0.005331,0.101076,0.994864
17.000000,16.991050,0.478293,0.075376,0.998468,0.055330,0.000000,-0.055050,0.993412,-0.100514,-0.005616,0.100357,0.994936
18.000000,17.989397,0.535760,0.074816,0.998288,0.058483,0.000000,-0.058192,0.993308,-0.099769,-0.005892,0.099595,0.995011
19.000000,18.987556,0.596404,0.074224,0.998100,0.061619,0.000000,-0.061317,0.993198,-0.098981,-0.006159,0.098789,0.995089
20.000000,19.985518,0.660207,0.073600,0.997902,0.064737,0.000000,-0.064424,0.993084,-0.098150,-0.006417,0.097940,0.995172
21.000000,20.983274,0.727149,0.072944,0.997697,0.067835,0.000000,-0.067514,0.992965,-0.097276,-0.006664,0.097048,0.995257
22.000000,21.980817,0.797211,0.072256,0.997482,0.070913,0.000000,-0.070583,0.992841,-0.096360,-0.006901,0.096113,0.995347
23.000000,22.978136,0.870373,0.071536,0.997260,0.073970,0.000000,-0.073633,0.992712,-0.095402,-0.007127,0.095135,0.995439
24.000000,23.975225,0.946613,0.070784,0.997031,0.077005,0.000000,-0.076661,0.992578,-0.094400,-0.007342,0.094114,0.995534
25.000000,24.972076,1.025907,0.070000,0.996793,0.080017,0.000000,-0.079668,0.992440,-0.093356,-0.007545,0.093051,0.995633
26.000000,25.968681,1.108234,0.069184,0.996549,0.083005,0.000000,-0.082651,0.992298,-0.092269,-0.007735,0.091944,0.995734
27.000000,26.965033,1.193567,0.068336,0.996298,0.085968,0.000000,-0.085610,0.992151,-0.091139,-0.007914,0.090795,0.995838
28.000000,27.961125,1.281883,0.067456,0.996040,0.088905,0.000000,-0.088545,0.992001,-0.089967,-0.008079,0.089604,0.995945
29.000000,28.956951,1.373153,0.066544,0.995776,0.091815,0.000000,-0.091453,0.991846,-0.088752,-0.008231,0.088369,0.996054
30.000000,29.952504,1.467352,0.065600,0.995506,0.094698,0.000000,-0.094335,0.991688,-0.087494,-0.008369,0.087093,0.996165
31.000000,30.947779,1.564451,0.064624,0.995230,0.097552,0.000000,-0.097189,0.991527,-0.086193,-0.008493,0.085774,0.996278
32.000000,31.942769,1.664420,0.063616,0.994950,0.100376,0.000000,-0.100014,0.991362,-0.084850,-0.008603,0.084412,0.996394
33.000000,32.937469,1.767230,0.062576,0.994664,0.103170,0.000000,-0.102810,0.991193,-0.083463,-0.008699,0.083009,0.996511
34.000000,33.931876,1.872850,0.061504,0.994373,0.105932,0.000000,-0.105575,0.991022,-0.082034,-0.008779,0.081563,0.996630
35.000000,34.925983,1.981248,0.060400,0.994079,0.108662,0.000000,-0.108309,0.990848,-0.080562,-0.008844,0.080075,0.996750
36.000000,35.919787,2.092390,0.059264,0.993780,0.111359,0.000000,-0.111010,0.990671,-0.079047,-0.008893,0.078545,0.996871
37.000000,36.913284,2.206244,0.058096,0.993478,0.114021,0.000000,-0.113679,0.990491,-0.077489,-0.008927,0.076974,0.996993
38.000000,37.906471,2.322774,0.056896,0.993173,0.116649,0.000000,-0.116312,0.990309,-0.075889,-0.008944,0.075360,0.997116
39.000000,38.899345,2.441945,0.055664,0.992865,0.119240,0.000000,-0.118911,0.990125,-0.074245,-0.008945,0.073704,0.997240
40.000000,39.891902,2.563720,0.054400,0.992555,0.121795,0.000000,-0.121474,0.989939,-0.072559,-0.008929,0.072007,0.997364
41.000000,40.884141,2.688062,0.053104,0.992243,0.124311,0.000000,-0.123999,0.989751,-0.070830,-0.008897,0.070269,0.997488
42.000000,41.876060,2.814933,0.051776,0.991930,0.126789,0.000000,-0.126486,0.989562,-0.069057,-0.008848,0.068488,0.997613
43.000000,42.867658,2.944293,0.050416,0.991615,0.129227,0.000000,-0.128935,0.989371,-0.067242,-0.008781,0.066666,0.997737
44.000000,43.858932,3.076102,0.049024,0.991300,0.131625,0.000000,-0.131343,0.989178,-0.065384,-0.008697,0.064803,0.997860
45.000000,44.849884,3.210320,0.047600,0.990984,0.133981,0.000000,-0.133711,0.988985,-0.063483,-0.008596,0.062898,0.997983
46.000000,45.840512,3.346904,0.046144,0.990668,0.136295,0.000000,-0.136036,0.988791,-0.061539,-0.008477,0.060952,0.998105
47.000000,46.830818,3.485811,0.044656,0.990353,0.138565,0.000000,-0.138319,0.988596,-0.059552,-0.008341,0.058965,0.998225
48.000000,47.820800,3.626998,0.043136,0.990039,0.140791,0.000000,-0.140558,0.988400,-0.057522,-0.008186,0.056937,0.998344
49.000000,48.810462,3.770420,0.041584,0.989727,0.142973,0.000000,-0.142753,0.988204,-0.055449,-0.008014,0.054867,0.998462
50.000000,49.799803,3.916031,0.040000,0.989416,0.145108,0.000000,-0.144902,0.988008,-0.053333,-0.007824,0.052756,0.998577
51.000000,50.788891,4.063356,0.038416,0.989162,0.146830,0.000000,-0.146637,0.987863,-0.051223,-0.007685,0.050644,0.998687
52.000000,51.777665,4.212778,0.036864,0.988847,0.148937,0.000000,-0.148757,0.987651,-0.049155,-0.007480,0.048583,0.998791
53.000000,52.766126,4.364252,0.035344,0.988534,0.150998,0.000000,-0.150830,0.987436,-0.047130,-0.007271,0.046566,0.998889
54.000000,53.754277,4.517733,0.033856,0.988224,0.153015,0.000000,-0.152859,0.987216,-0.045147,-0.007058,0.044592,0.998980
55.000000,54.742122,4.673177,0.032400,0.987916,0.154990,0.000000,-0.154845,0.986994,-0.043207,-0.006842,0.042662,0.999066
56.000000,55.729662,4.830543,0.030976,0.987611,0.156922,0.000000,-0.156788,0.986768,-0.041309,-0.006624,0.040775,0.999146
57.000000,56.716901,4.989788,0.029584,0.987309,0.158813,0.000000,-0.158689,0.986540,-0.039454,-0.006404,0.038931,0.999221
58.000000,57.703841,5.150872,0.028224,0.987009,0.160664,0.000000,-0.160550,0.986310,-0.037641,-0.006182,0.037130,0.999291
59.000000,58.690487,5.313755,0.026896,0.986713,0.162475,0.000000,-0.162371,0.986078,-0.035871,-0.005959,0.035372,0.999356
60.000000,59.676840,5.478399,0.025600,0.986419,0.164249,0.000000,-0.164153,0.985844,-0.034143,-0.005735,0.033658,0.999417
61.000000,60.662904,5.644765,0.024336,0.986128,0.165985,0.000000,-0.165897,0.985609,-0.032458,-0.005512,0.031987,0.999473
62.000000,61.648682,5.812818,0.023104,0.985841,0.167684,0.000000,-0.167605,0.985373,-0.030815,-0.005288,0.030358,0.999525
63.000000,62.634177,5.982520,0.021904,0.985556,0.169349,0.000000,-0.169276,0.985136,-0.029215,-0.005066,0.028773,0.999573
64.000000,63.619393,6.153837,0.020736,0.985275,0.170978,0.000000,-0.170913,0.984898,-0.027658,-0.004844,0.027230,0.999617
65.000000,64.604332,6.326735,0.019600,0.984997,0.172574,0.000000,-0.172515,0.984660,-0.026143,-0.004624,0.025731,0.999658
66.000000,65.588999,6.501180,0.018496,0.984721,0.174138,0.000000,-0.174085,0.984422,-0.024671,-0.004407,0.024274,0.999696
67.000000,66.573396,6.677142,0.017424,0.984449,0.175669,0.000000,-0.175622,0.984183,-0.023241,-0.004191,0.022860,0.999730
68.000000,67.557526,6.854588,0.016384,0.984180,0.177171,0.000000,-0.177128,0.983945,-0.021854,-0.003978,0.021489,0.999761
69.000000,68.541393,7.033488,0.015376,0.983914,0.178642,0.000000,-0.178604,0.983707,-0.020510,-0.003768,0.020161,0.999790
70.000000,69.525000,7.213814,0.014400,0.983651,0.180084,0.000000,-0.180051,0.983470,-0.019208,-0.003561,0.018875,0.999816
71.000000,70.508350,7.395536,0.013456,0.983391,0.181499,0.000000,-0.181469,0.983233,-0.017949,-0.003358,0.017632,0.999839
72.000000,71.491446,7.578627,0.012544,0.983134,0.182886,0.000000,-0.182860,0.982996,-0.016732,-0.003159,0.016432,0.999860
73.000000,72.474291,7.763061,0.011664,0.982880,0.184247,0.000000,-0.184225,0.982761,-0.015559,-0.002964,0.015274,0.999879
74.000000,73.456888,7.948812,0.010816,0.982628,0.185584,0.000000,-0.185564,0.982526,-0.014428,-0.002773,0.014159,0.999896
75.000000,74.439239,8.135855,0.010000,0.982380,0.186896,0.000000,-0.186879,0.982292,-0.013339,-0.002587,0.013086,0.999911
76.000000,75.421348,8.324168,0.009216,0.982134,0.188185,0.000000,-0.188171,0.982059,-0.012294,-0.002407,0.012056,0.999924
77.000000,76.403218,8.513726,0.008464,0.981890,0.189451,0.000000,-0.189439,0.981828,-0.011290,-0.002231,0.011068,0.999936
78.000000,77.384850,8.704508,0.007744,0.981649,0.190696,0.000000,-0.190686,0.981597,-0.010330,-0.002061,0.010123,0.999947
79.000000,78.366248,8.896494,0.007056,0.981410,0.191921,0.000000,-0.191913,0.981367,-0.009412,-0.001896,0.009220,0.999956
80.000000,79.347413,9.089663,0.006400,0.981174,0.193126,0.000000,-0.193119,0.981138,-0.008537,-0.001738,0.008359,0.999964
81.000000,80.328349,9.283996,0.005776,0.980940,0.194313,0.000000,-0.194307,0.980910,-0.007705,-0.001585,0.007541,0.999970
82.000000,81.309056,9.479476,0.005184,0.980707,0.195482,0.000000,-0.195477,0.980684,-0.006915,-0.001439,0.006764,0.999976
83.000000,82.289538,9.676084,0.004624,0.980477,0.196634,0.000000,-0.196630,0.980458,-0.006168,-0.001300,0.006030,0.999981
84.000000,83.269797,9.873805,0.004096,0.980248,0.197770,0.000000,-0.197767,0.980234,-0.005464,-0.001167,0.005339,0.999985
85.000000,84.249833,10.072624,0.003600,0.980021,0.198892,0.000000,-0.198889,0.980010,-0.004802,-0.001041,0.004689,0.999988
86.000000,85.229649,10.272525,0.003136,0.979796,0.199999,0.000000,-0.199997,0.979787,-0.004183,-0.000922,0.004081,0.999991
87.000000,86.209246,10.473496,0.002704,0.979572,0.201094,0.000000,-0.201092,0.979566,-0.003607,-0.000810,0.003516,0.999993
88.000000,87.188626,10.675523,0.002304,0.979349,0.202176,0.000000,-0.202175,0.979345,-0.003073,-0.000706,0.002992,0.999995
89.000000,88.167790,10.878596,0.001936,0.979128,0.203247,0.000000,-0.203246,0.979124,-0.002583,-0.000609,0.002511,0.999997
90.000000,89.146738,11.082703,0.001600,0.978907,0.204308,0.000000,-0.204307,0.978904,-0.002134,-0.000520,0.002072,0.999998
91.000000,90.125472,11.287834,0.001296,0.978687,0.205359,0.000000,-0.205359,0.978685,-0.001729,-0.000439,0.001674,0.999999
92.000000,91.103993,11.493982,0.001024,0.978467,0.206402,0.000000,-0.206402,0.978466,-0.001366,-0.000366,0.001319,0.999999
93.000000,92.082301,11.701137,0.000784,0.978248,0.207437,0.000000,-0.207437,0.978248,-0.001046,-0.000301,0.001005,0.999999
94.000000,93.060397,11.909292,0.000576,0.978030,0.208466,0.000000,-0.208466,0.978029,-0.000768,-0.000244,0.000734,1.000000
95.000000,94.038280,12.118443,0.000400,0.977811,0.209489,0.000000,-0.209489,0.977811,-0.000534,-0.000195,0.000504,1.000000
96.000000,95.015952,12.328582,0.000256,0.977592,0.210507,0.000000,-0.210507,0.977592,-0.000341,-0.000155,0.000316,1.000000
97.000000,95.993411,12.539706,0.000144,0.977373,0.211522,0.000000,-0.211522,0.977373,-0.000192,-0.000124,0.000170,1.000000
98.000000,96.970658,12.751812,0.000064,0.977154,0.212533,0.000000,-0.212533,0.977154,-0.000085,-0.000102,0.000065,1.000000
99.000000,97.947691,12.964897,0.000016,0.976934,0.213543,0.000000,-0.213543,0.976934,-0.000021,-0.000088,0.000003,1.000000
100.000000,98.924511,13.178960,0.000000,0.976713,0.214551,0.000000,-0.214551,0.976713,-0.000000,-0.000083,-0.000018,1.000000
