DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280840,3.280834,0.005468,0.262415,0.999995,0.003301,0.000000,-0.003282,0.994292,-0.106645,-0.000355,0.106645,0.994297
6.561680,6.561631,0.021869,0.262257,0.999978,0.006601,0.000000,-0.006563,0.994282,-0.106582,-0.000710,0.106579,0.994304
9.842520,9.842356,0.049197,0.261995,0.999951,0.009898,0.000000,-0.009842,0.994267,-0.106475,-0.001064,0.106470,0.994315
13.123360,13.122971,0.087441,0.261627,0.999913,0.013191,0.000000,-0.013116,0.994245,-0.106326,-0.001416,0.106317,0.994331
16.404199,16.403442,0.136585,0.261155,0.999864,0.016478,0.000000,-0.016385,0.994217,-0.106135,-0.001766,0.106120,0.994352
19.685039,19.683731,0.196608,0.260577,0.999805,0.019759,0.000000,-0.019648,0.994183,-0.105900,-0.002113,0.105879,0.994377
22.965879,22.963803,0.267486,0.259895,0.999735,0.023031,0.000000,-0.022902,0.994142,-0.105624,-0.002456,0.105595,0.994406
26.246719,26.243624,0.349189,0.259108,0.999654,0.026294,0.000000,-0.026148,0.994096,-0.105304,-0.002796,0.105267,0.994440
29.527559,29.523159,0.441685,0.258215,0.999563,0.029546,0.000000,-0.029383,0.994044,-0.104943,-0.003131,0.104896,0.994478
32.808399,32.802372,0.544934,0.257218,0.999462,0.032785,0.000000,-0.032606,0.993986,-0.104538,-0.003461,0.104481,0.994521
36.089239,36.081231,0.658895,0.256115,0.999351,0.036011,0.000000,-0.035815,0.993923,-0.104091,-0.003785,0.104022,0.994568
39.370079,39.359701,0.783519,0.254908,0.999231,0.039222,0.000000,-0.039011,0.993854,-0.103601,-0.004103,0.103520,0.994619
42.650919,42.637751,0.918756,0.253596,0.999100,0.042416,0.000000,-0.042190,0.993779,-0.103069,-0.004415,0.102975,0.994674
45.931759,45.915349,1.064550,0.252178,0.998960,0.045593,0.000000,-0.045353,0.993699,-0.102494,-0.004719,0.102386,0.994734
49.212598,49.192463,1.220839,0.250656,0.998811,0.048751,0.000000,-0.048497,0.993614,-0.101877,-0.005015,0.101753,0.994797
52.493438,52.469062,1.387559,0.249029,0.998653,0.051888,0.000000,-0.051621,0.993524,-0.101217,-0.005304,0.101078,0.994864
55.774278,55.745118,1.564641,0.247297,0.998486,0.055003,0.000000,-0.054725,0.993429,-0.100514,-0.005583,0.100359,0.994936
59.055118,59.020602,1.752011,0.245459,0.998311,0.058095,0.000000,-0.057805,0.993330,-0.099769,-0.005853,0.099597,0.995011
62.335958,62.295486,1.949590,0.243517,0.998128,0.061163,0.000000,-0.060863,0.993226,-0.098981,-0.006114,0.098792,0.995089
65.616798,65.569743,2.157296,0.241470,0.997937,0.064205,0.000000,-0.063895,0.993118,-0.098150,-0.006364,0.097943,0.995172
68.897638,68.843348,2.375042,0.239318,0.997738,0.067219,0.000000,-0.066900,0.993006,-0.097276,-0.006604,0.097052,0.995257
72.178478,72.116276,2.602735,0.237060,0.997533,0.070205,0.000000,-0.069879,0.992891,-0.096360,-0.006833,0.096118,0.995347
75.459318,75.388504,2.840282,0.234698,0.997320,0.073161,0.000000,-0.072828,0.992771,-0.095402,-0.007050,0.095141,0.995439
78.740157,78.660009,3.087580,0.232231,0.997101,0.076086,0.000000,-0.075747,0.992649,-0.094400,-0.007255,0.094121,0.995534
82.020997,81.930771,3.344525,0.229659,0.996876,0.078979,0.000000,-0.078634,0.992523,-0.093356,-0.007448,0.093058,0.995633
85.301837,85.200769,3.611009,0.226982,0.996646,0.081837,0.000000,-0.081488,0.992394,-0.092269,-0.007628,0.091953,0.995734
88.582677,88.469986,3.886917,0.224199,0.996410,0.084661,0.000000,-0.084308,0.992263,-0.091139,-0.007794,0.090806,0.995838
91.863517,91.738404,4.172133,0.221312,0.996169,0.087447,0.000000,-0.087093,0.992129,-0.089967,-0.007948,0.089615,0.995945
95.144357,95.006007,4.466533,0.218320,0.995924,0.090196,0.000000,-0.089840,0.991994,-0.088752,-0.008087,0.088383,0.996054
98.425197,98.272781,4.769992,0.215223,0.995675,0.092906,0.000000,-0.092550,0.991857,-0.087494,-0.008212,0.087108,0.996165
101.706037,101.538714,5.082379,0.212021,0.995422,0.095575,0.000000,-0.095219,0.991718,-0.086193,-0.008323,0.085790,0.996278
104.986877,104.803794,5.403558,0.208714,0.995166,0.098202,0.000000,-0.097848,0.991578,-0.084850,-0.008419,0.084431,0.996394
108.267717,108.068012,5.733391,0.205302,0.994908,0.100787,0.000000,-0.100435,0.991437,-0.083463,-0.008500,0.083029,0.996511
