DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079984,0.999995,0.003301,0.000000,-0.003282,0.994292,-0.106645,-0.000355,0.106645,0.994297
2.000000,1.999985,0.006666,0.079936,0.999978,0.006601,0.000000,-0.006563,0.994282,-0.106582,-0.000710,0.106579,0.994304
3.000000,2.999950,0.014995,0.079856,0.999951,0.009898,0.000000,-0.009842,0.994267,-0.106475,-0.001064,0.106470,0.994315
4.000000,3.999882,0.026652,0.079744,0.999913,0.013191,0.000000,-0.013116,0.994245,-0.106326,-0.001416,0.106317,0.994331
5.000000,4.999769,0.041631,0.079600,0.999864,0.016478,0.000000,-0.016385,0.994217,-0.106135,-0.001766,0.106120,0.994352
6.000000,5.999601,0.059926,0.079424,0.999805,0.019759,0.000000,-0.019648,0.994183,-0.105900,-0.002113,0.105879,0.994377
7.000000,6.999367,0.081530,0.079216,0.999735,0.023031,0.000000,-0.022902,0.994142,-0.105624,-0.002456,0.105595,0.994406
8.000000,7.999057,0.106433,0.078976,0.999654,0.026294,0.000000,-0.026148,0.994096,-0.105304,-0.002796,0.105267,0.994440
9.000000,8.998659,0.134625,0.078704,0.999563,0.029546,0.000000,-0.029383,0.994044,-0.104943,-0.003131,0.104896,0.994478
10.000000,9.998163,0.166096,0.078400,0.999462,0.032785,0.000000,-0.032606,0.993986,-0.104538,-0.003461,0.104481,0.994521
11.000000,10.997559,0.200831,0.078064,0.999351,0.036011,0.000000,-0.035815,0.993923,-0.104091,-0.003785,0.104022,0.994568
12.000000,11.996837,0.238817,0.077696,0.999231,0.039222,0.000000,-0.039011,0.993854,-0.103601,-0.004103,0.103520,0.994619
13.000000,12.995987,0.280037,0.077296,0.999100,0.042416,0.000000,-0.042190,0.993779,-0.103069,-0.004415,0.102975,0.994674
14.000000,13.994998,0.324475,0.076864,0.998960,0.045593,0.000000,-0.045353,0.993699,-0.102494,-0.004719,0.102386,0.994734
15.000000,14.993863,0.372112,0.076400,0.998811,0.048751,0.000000,-0.048497,0.993614,-0.101877,-0.005015,0.101753,0.994797
16.000000,15.992570,0.422928,0.075904,0.998653,0.051888,0.000000,-0.051621,0.993524,-0.101217,-0.005304,0.101078,0.994864
17.000000,16.991112,0.476903,0.075376,0.998486,0.055003,0.000000,-0.054725,0.993429,-0.100514,-0.005583,0.100359,0.994936
18.000000,17.989480,0.534013,0.074816,0.998311,0.058095,0.000000,-0.057805,0.993330,-0.099769,-0.005853,0.099597,0.995011
19.000000,18.987664,0.594235,0.074224,0.998128,0.061163,0.000000,-0.060863,0.993226,-0.098981,-0.006114,0.098792,0.995089
20.000000,19.985658,0.657544,0.073600,0.997937,0.064205,0.000000,-0.063895,0.993118,-0.098150,-0.006364,0.097943,0.995172
21.000000,20.983453,0.723913,0.072944,0.997738,0.067219,0.000000,-0.066900,0.993006,-0.097276,-0.006604,0.097052,0.995257
22.000000,21.981041,0.793314,0.072256,0.997533,0.070205,0.000000,-0.069879,0.992891,-0.096360,-0.006833,0.096118,0.995347
23.000000,22.978416,0.865718,0.071536,0.997320,0.073161,0.000000,-0.072828,0.992771,-0.095402,-0.007050,0.095141,0.995439
24.000000,23.975571,0.941094,0.070784,0.997101,0.076086,0.000000,-0.075747,0.992649,-0.094400,-0.007255,0.094121,0.995534
25.000000,24.972499,1.019411,0.070000,0.996876,0.078979,0.000000,-0.078634,0.992523,-0.093356,-0.007448,0.093058,0.995633
26.000000,25.969194,1.100635,0.069184,0.996646,0.081837,0.000000,-0.081488,0.992394,-0.092269,-0.007628,0.091953,0.995734
27.000000,26.965652,1.184732,0.068336,0.996410,0.084661,0.000000,-0.084308,0.992263,-0.091139,-0.007794,0.090806,0.995838
28.000000,27.961865,1.271666,0.067456,0.996169,0.087447,0.000000,-0.087093,0.992129,-0.089967,-0.007948,0.089615,0.995945
29.000000,28.957831,1.361399,0.066544,0.995924,0.090196,0.000000,-0.089840,0.991994,-0.088752,-0.008087,0.088383,0.996054
30.000000,29.953544,1.453894,0.065600,0.995675,0.092906,0.000000,-0.092550,0.991857,-0.087494,-0.008212,0.087108,0.996165
31.000000,30.949000,1.549109,0.064624,0.995422,0.095575,0.000000,-0.095219,0.991718,-0.086193,-0.008323,0.085790,0.996278
32.000000,31.944197,1.647005,0.063616,0.995166,0.098202,0.000000,-0.097848,0.991578,-0.084850,-0.008419,0.084431,0.996394
33.000000,32.939130,1.747537,0.062576,0.994908,0.100787,0.000000,-0.100435,0.991437,-0.083463,-0.008500,0.083029,0.996511
34.000000,33.933798,1.850664,0.061504,0.994648,0.103326,0.000000,-0.102978,0.991295,-0.082034,-0.008565,0.081586,0.996630
35.000000,34.928198,1.956339,0.060400,0.994385,0.105820,0.000000,-0.105476,0.991153,-0.080562,-0.008615,0.080100,0.996750
36.000000,35.922330,2.064516,0.059264,0.994122,0.108267,0.000000,-0.107929,0.991011,-0.079047,-0.008649,0.078573,0.996871
37.000000,36.916191,2.175148,0.058096,0.993858,0.110666,0.000000,-0.110333,0.990869,-0.077489,-0.008667,0.077003,0.996993
38.000000,37.909781,2.288185,0.056896,0.993593,0.113015,0.000000,-0.112689,0.990728,-0.075889,-0.008668,0.075392,0.997116
39.000000,38.903101,2.403577,0.055664,0.993329,0.115313,0.000000,-0.114995,0.990588,-0.074245,-0.008653,0.073739,0.997240
40.000000,39.896151,2.521273,0.054400,0.993066,0.117559,0.000000,-0.117249,0.990448,-0.072559,-0.008622,0.072045,0.997364
41.000000,40.888931,2.641219,0.053104,0.992804,0.119751,0.000000,-0.119450,0.990310,-0.070830,-0.008574,0.070309,0.997488
42.000000,41.881443,2.763361,0.051776,0.992544,0.121888,0.000000,-0.121597,0.990174,-0.069057,-0.008509,0.068531,0.997613
43.000000,42.873690,2.887644,0.050416,0.992286,0.123969,0.000000,-0.123689,0.990040,-0.067242,-0.008428,0.066712,0.997737
44.000000,43.865673,3.014011,0.049024,0.992031,0.125993,0.000000,-0.125724,0.989908,-0.065384,-0.008329,0.064851,0.997860
45.000000,44.857397,3.142404,0.047600,0.991780,0.127958,0.000000,-0.127700,0.989779,-0.063483,-0.008214,0.062949,0.997983
46.000000,45.848863,3.272763,0.046144,0.991532,0.129863,0.000000,-0.129617,0.989653,-0.061539,-0.008081,0.061006,0.998105
47.000000,46.840077,3.405029,0.044656,0.991289,0.131707,0.000000,-0.131473,0.989529,-0.059552,-0.007932,0.059021,0.998225
48.000000,47.831044,3.539138,0.043136,0.991050,0.133488,0.000000,-0.133267,0.989409,-0.057522,-0.007766,0.056996,0.998344
49.000000,48.821768,3.675028,0.041584,0.990818,0.135206,0.000000,-0.134998,0.989293,-0.055449,-0.007583,0.054928,0.998462
50.000000,49.812254,3.812635,0.040000,0.990591,0.136858,0.000000,-0.136663,0.989181,-0.053333,-0.007384,0.052820,0.998577
51.000000,50.802554,3.951581,0.038416,0.990405,0.138197,0.000000,-0.138015,0.989105,-0.051223,-0.007243,0.050709,0.998687
52.000000,51.792630,4.092112,0.036864,0.990182,0.139781,0.000000,-0.139612,0.988985,-0.049155,-0.007030,0.048650,0.998791
53.000000,52.782489,4.234164,0.035344,0.989966,0.141302,0.000000,-0.141145,0.988866,-0.047130,-0.006814,0.046635,0.998889
54.000000,53.772138,4.377673,0.033856,0.989757,0.142761,0.000000,-0.142615,0.988748,-0.045147,-0.006596,0.044663,0.998980
55.000000,54.761584,4.522579,0.032400,0.989555,0.144159,0.000000,-0.144024,0.988630,-0.043207,-0.006375,0.042734,0.999066
56.000000,55.750832,4.668820,0.030976,0.989359,0.145497,0.000000,-0.145372,0.988514,-0.041309,-0.006152,0.040849,0.999146
57.000000,56.739892,4.816338,0.029584,0.989170,0.146776,0.000000,-0.146662,0.988400,-0.039454,-0.005929,0.039006,0.999221
58.000000,57.728768,4.965076,0.028224,0.988988,0.147999,0.000000,-0.147894,0.988287,-0.037641,-0.005705,0.037206,0.999291
59.000000,58.717470,5.114976,0.026896,0.988812,0.149166,0.000000,-0.149070,0.988176,-0.035871,-0.005482,0.035450,0.999356
60.000000,59.706002,5.265984,0.025600,0.988644,0.150279,0.000000,-0.150191,0.988067,-0.034143,-0.005259,0.033736,0.999417
61.000000,60.694373,5.418046,0.024336,0.988482,0.151339,0.000000,-0.151259,0.987961,-0.032458,-0.005036,0.032065,0.999473
62.000000,61.682589,5.571111,0.023104,0.988327,0.152347,0.000000,-0.152275,0.987858,-0.030815,-0.004816,0.030437,0.999525
63.000000,62.670657,5.725128,0.021904,0.988179,0.153305,0.000000,-0.153240,0.987757,-0.029215,-0.004597,0.028851,0.999573
64.000000,63.658584,5.880046,0.020736,0.988037,0.154215,0.000000,-0.154156,0.987659,-0.027658,-0.004381,0.027309,0.999617
65.000000,64.646378,6.035817,0.019600,0.987902,0.155076,0.000000,-0.155023,0.987565,-0.026143,-0.004167,0.025809,0.999658
66.000000,65.634043,6.192396,0.018496,0.987774,0.155892,0.000000,-0.155844,0.987473,-0.024671,-0.003957,0.024351,0.999696
67.000000,66.621588,6.349735,0.017424,0.987652,0.156663,0.000000,-0.156620,0.987385,-0.023241,-0.003750,0.022937,0.999730
68.000000,67.609018,6.507792,0.016384,0.987537,0.157390,0.000000,-0.157352,0.987301,-0.021854,-0.003546,0.021565,0.999761
69.000000,68.596339,6.666523,0.015376,0.987427,0.158075,0.000000,-0.158041,0.987219,-0.020510,-0.003346,0.020235,0.999790
70.000000,69.583559,6.825886,0.014400,0.987324,0.158719,0.000000,-0.158689,0.987142,-0.019208,-0.003151,0.018948,0.999816
71.000000,70.570684,6.985842,0.013456,0.987227,0.159323,0.000000,-0.159297,0.987067,-0.017949,-0.002960,0.017703,0.999839
72.000000,71.557718,7.146352,0.012544,0.987135,0.159889,0.000000,-0.159867,0.986997,-0.016732,-0.002774,0.016501,0.999860
73.000000,72.544668,7.307377,0.011664,0.987049,0.160418,0.000000,-0.160399,0.986930,-0.015559,-0.002593,0.015341,0.999879
74.000000,73.531540,7.468882,0.010816,0.986969,0.160912,0.000000,-0.160895,0.986866,-0.014428,-0.002418,0.014224,0.999896
75.000000,74.518339,7.630832,0.010000,0.986894,0.161372,0.000000,-0.161357,0.986806,-0.013339,-0.002247,0.013149,0.999911
76.000000,75.505070,7.793193,0.009216,0.986824,0.161798,0.000000,-0.161786,0.986749,-0.012294,-0.002083,0.012116,0.999924
77.000000,76.491739,7.955934,0.008464,0.986759,0.162193,0.000000,-0.162183,0.986696,-0.011290,-0.001924,0.011126,0.999936
78.000000,77.478351,8.119022,0.007744,0.986699,0.162558,0.000000,-0.162549,0.986646,-0.010330,-0.001771,0.010178,0.999947
79.000000,78.464910,8.282429,0.007056,0.986644,0.162893,0.000000,-0.162886,0.986600,-0.009412,-0.001624,0.009272,0.999956
80.000000,79.451420,8.446126,0.006400,0.986593,0.163202,0.000000,-0.163196,0.986557,-0.008537,-0.001483,0.008408,0.999964
81.000000,80.437887,8.610086,0.005776,0.986546,0.163483,0.000000,-0.163478,0.986517,-0.007705,-0.001348,0.007587,0.999970
82.000000,81.424315,8.774283,0.005184,0.986504,0.163740,0.000000,-0.163736,0.986480,-0.006915,-0.001220,0.006807,0.999976
83.000000,82.410706,8.938694,0.004624,0.986465,0.163973,0.000000,-0.163970,0.986446,-0.006168,-0.001099,0.006070,0.999981
84.000000,83.397067,9.103295,0.004096,0.986430,0.164184,0.000000,-0.164181,0.986415,-0.005464,-0.000984,0.005375,0.999985
85.000000,84.383399,9.268064,0.003600,0.986398,0.164373,0.000000,-0.164371,0.986387,-0.004802,-0.000876,0.004723,0.999988
86.000000,85.369706,9.432982,0.003136,0.986370,0.164543,0.000000,-0.164542,0.986361,-0.004183,-0.000774,0.004112,0.999991
87.000000,86.355992,9.598028,0.002704,0.986345,0.164695,0.000000,-0.164694,0.986338,-0.003607,-0.000680,0.003543,0.999993
88.000000,87.342259,9.763186,0.002304,0.986322,0.164829,0.000000,-0.164828,0.986318,-0.003073,-0.000592,0.003017,0.999995
89.000000,88.328511,9.928438,0.001936,0.986302,0.164948,0.000000,-0.164947,0.986299,-0.002583,-0.000511,0.002533,0.999997
90.000000,89.314749,10.093770,0.001600,0.986285,0.165052,0.000000,-0.165051,0.986283,-0.002134,-0.000437,0.002091,0.999998
91.000000,90.300975,10.259168,0.001296,0.986270,0.165143,0.000000,-0.165142,0.986268,-0.001729,-0.000370,0.001691,0.999999
92.000000,91.287193,10.424619,0.001024,0.986256,0.165222,0.000000,-0.165222,0.986256,-0.001366,-0.000310,0.001333,0.999999
93.000000,92.273404,10.590113,0.000784,0.986245,0.165290,0.000000,-0.165290,0.986244,-0.001046,-0.000257,0.001017,0.999999
94.000000,93.259610,10.755639,0.000576,0.986235,0.165350,0.000000,-0.165350,0.986235,-0.000768,-0.000211,0.000744,1.000000
95.000000,94.245811,10.921188,0.000400,0.986226,0.165401,0.000000,-0.165401,0.986226,-0.000534,-0.000172,0.000512,1.000000
96.000000,95.232009,11.086755,0.000256,0.986219,0.165446,0.000000,-0.165446,0.986219,-0.000341,-0.000141,0.000323,1.000000
97.000000,96.218207,11.252331,0.000144,0.986212,0.165486,0.000000,-0.165486,0.986212,-0.000192,-0.000116,0.000175,1.000000
98.000000,97.204403,11.417914,0.000064,0.986206,0.165522,0.000000,-0.165522,0.986206,-0.000085,-0.000098,0.000070,1.000000
99.000000,98.190598,11.583500,0.000016,0.986201,0.165555,0.000000,-0.165555,0.986201,-0.000021,-0.000088,0.000007,1.000000
100.000000,99.176794,11.749086,0.000000,0.986195,0.165586,0.000000,-0.165586,0.986195,-0.000000,-0.000084,-0.000014,1.000000
