DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,0.005468,0.262414,0.999995,0.003301,0.000000,-0.003282,0.994292,-0.106645,-0.000355,0.106645,0.994297
6.561667,6.561618,0.021869,0.262257,0.999978,0.006601,0.000000,-0.006563,0.994282,-0.106582,-0.000710,0.106579,0.994304
9.842500,9.842336,0.049197,0.261994,0.999951,0.009898,0.000000,-0.009842,0.994267,-0.106475,-0.001064,0.106470,0.994315
13.123333,13.122945,0.087441,0.261627,0.999913,0.013191,0.000000,-0.013116,0.994245,-0.106326,-0.001416,0.106317,0.994331
16.404167,16.403409,0.136584,0.261154,0.999864,0.016478,0.000000,-0.016385,0.994217,-0.106135,-0.001766,0.106120,0.994352
19.685000,19.683691,0.196607,0.260577,0.999805,0.019759,0.000000,-0.019648,0.994183,-0.105900,-0.002113,0.105879,0.994377
22.965833,22.963758,0.267485,0.259894,0.999735,0.023031,0.000000,-0.022902,0.994142,-0.105624,-0.002456,0.105595,0.994406
26.246667,26.243572,0.349188,0.259107,0.999654,0.026294,0.000000,-0.026148,0.994096,-0.105304,-0.002796,0.105267,0.994440
29.527500,29.523100,0.441684,0.258215,0.999563,0.029546,0.000000,-0.029383,0.994044,-0.104943,-0.003131,0.104896,0.994478
32.808333,32.802306,0.544933,0.257217,0.999462,0.032785,0.000000,-0.032606,0.993986,-0.104538,-0.003461,0.104481,0.994521
36.089167,36.081159,0.658893,0.256115,0.999351,0.036011,0.000000,-0.035815,0.993923,-0.104091,-0.003785,0.104022,0.994568
39.370000,39.359623,0.783517,0.254908,0.999231,0.039222,0.000000,-0.039011,0.993854,-0.103601,-0.004103,0.103520,0.994619
42.650833,42.637666,0.918754,0.253595,0.999100,0.042416,0.000000,-0.042190,0.993779,-0.103069,-0.004415,0.102975,0.994674
45.931667,45.915257,1.064547,0.252178,0.998960,0.045593,0.000000,-0.045353,0.993699,-0.102494,-0.004719,0.102386,0.994734
