dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
1.000000,0.000016,1.000000,0.000032,0.000021,1.000000
2.000000,0.000064,1.000000,0.000064,0.000085,1.000000
3.000000,0.000144,1.000000,0.000096,0.000192,1.000000
4.000000,0.000256,1.000000,0.000128,0.000341,1.000000
5.000000,0.000400,1.000000,0.000160,0.000534,1.000000
6.000000,0.000576,1.000000,0.000192,0.000768,1.000000
7.000000,0.000784,1.000000,0.000224,0.001046,0.999999
8.000000,0.001024,1.000000,0.000256,0.001366,0.999999
9.000000,0.001296,1.000000,0.000288,0.001729,0.999999
10.000000,0.001600,1.000000,0.000320,0.002134,0.999998
11.000000,0.001936,1.000000,0.000352,0.002583,0.999997
12.000000,0.002304,1.000000,0.000384,0.003073,0.999995
13.000000,0.002704,1.000000,0.000416,0.003607,0.999993
14.000000,0.003136,1.000000,0.000448,0.004183,0.999991
15.000000,0.003600,1.000000,0.000480,0.004802,0.999988
16.000000,0.004096,1.000000,0.000512,0.005464,0.999985
17.000000,0.004624,1.000000,0.000544,0.006168,0.999981
18.000000,0.005184,1.000000,0.000576,0.006915,0.999976
19.000000,0.005776,1.000000,0.000608,0.007705,0.999970
20.000000,0.006400,1.000000,0.000640,0.008537,0.999964
21.000000,0.007056,1.000000,0.000672,0.009412,0.999956
22.000000,0.007744,1.000000,0.000704,0.010330,0.999947
23.000000,0.008464,1.000000,0.000736,0.011290,0.999936
24.000000,0.009216,1.000000,0.000768,0.012294,0.999924
25.000000,0.010000,1.000000,0.000800,0.013339,0.999911
26.000000,0.010816,1.000000,0.000832,0.014428,0.999896
27.000000,0.011664,1.000000,0.000864,0.015559,0.999879
28.000000,0.012544,1.000000,0.000896,0.016732,0.999860
29.000000,0.013456,1.000000,0.000928,0.017949,0.999839
30.000000,0.014400,1.000000,0.000960,0.019208,0.999816
31.000000,0.015376,1.000000,0.000992,0.020510,0.999790
32.000000,0.016384,0.999999,0.001024,0.021854,0.999761
33.000000,0.017424,0.999999,0.001056,0.023241,0.999730
34.000000,0.018496,0.999999,0.001088,0.024671,0.999696
35.000000,0.019600,0.999999,0.001120,0.026143,0.999658
36.000000,0.020736,0.999999,0.001152,0.027658,0.999617
37.000000,0.021904,0.999999,0.001184,0.029215,0.999573
38.000000,0.023104,0.999999,0.001216,0.030815,0.999525
39.000000,0.024336,0.999999,0.001248,0.032458,0.999473
40.000000,0.025600,0.999999,0.001280,0.034143,0.999417
41.000000,0.026896,0.999999,0.001312,0.035871,0.999356
42.000000,0.028224,0.999999,0.001344,0.037641,0.999291
