dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,0.000000,0.106667,0.994295
3.280840,0.262415,1.000000,-0.000032,0.106645,0.994297
6.561680,0.262257,1.000000,-0.000064,0.106582,0.994304
9.842520,0.261995,1.000000,-0.000096,0.106475,0.994315
13.123360,0.261627,1.000000,-0.000128,0.106326,0.994331
16.404199,0.261155,1.000000,-0.000160,0.106135,0.994352
19.685039,0.260577,1.000000,-0.000192,0.105900,0.994377
22.965879,0.259895,1.000000,-0.000224,0.105624,0.994406
26.246719,0.259108,1.000000,-0.000256,0.105304,0.994440
29.527559,0.258215,1.000000,-0.000288,0.104943,0.994478
32.808399,0.257218,1.000000,-0.000320,0.104538,0.994521
36.089239,0.256115,1.000000,-0.000352,0.104091,0.994568
39.370079,0.254908,1.000000,-0.000384,0.103601,0.994619
42.650919,0.253596,1.000000,-0.000416,0.103069,0.994674
45.931759,0.252178,1.000000,-0.000448,0.102494,0.994734
49.212598,0.250656,1.000000,-0.000480,0.101877,0.994797
52.493438,0.249029,1.000000,-0.000512,0.101217,0.994864
55.774278,0.247297,1.000000,-0.000544,0.100514,0.994936
59.055118,0.245459,1.000000,-0.000576,0.099769,0.995011
62.335958,0.243517,1.000000,-0.000608,0.098981,0.995089
65.616798,0.241470,1.000000,-0.000640,0.098150,0.995172
68.897638,0.239318,1.000000,-0.000672,0.097276,0.995257
72.178478,0.237060,1.000000,-0.000704,0.096360,0.995347
75.459318,0.234698,1.000000,-0.000736,0.095402,0.995439
78.740157,0.232231,1.000000,-0.000768,0.094400,0.995534
82.020997,0.229659,1.000000,-0.000800,0.093356,0.995633
85.301837,0.226982,1.000000,-0.000832,0.092269,0.995734
88.582677,0.224199,1.000000,-0.000864,0.091139,0.995838
91.863517,0.221312,1.000000,-0.000896,0.089967,0.995945
95.144357,0.218320,1.000000,-0.000928,0.088752,0.996054
98.425197,0.215223,1.000000,-0.000960,0.087494,0.996165
101.706037,0.212021,1.000000,-0.000992,0.086193,0.996278
104.986877,0.208714,0.999999,-0.001024,0.084850,0.996394
108.267717,0.205302,0.999999,-0.001056,0.083463,0.996511
111.548556,0.201785,0.999999,-0.001088,0.082034,0.996630
114.829396,0.198163,0.999999,-0.001120,0.080562,0.996750
118.110236,0.194436,0.999999,-0.001152,0.079047,0.996871
121.391076,0.190604,0.999999,-0.001184,0.077489,0.996993
124.671916,0.186667,0.999999,-0.001216,0.075889,0.997116
127.952756,0.182625,0.999999,-0.001248,0.074245,0.997240
131.233596,0.178478,0.999999,-0.001280,0.072559,0.997364
134.514436,0.174226,0.999999,-0.001312,0.070829,0.997488
137.795276,0.169869,0.999999,-0.001344,0.069057,0.997613
141.076115,0.165407,0.999999,-0.001376,0.067242,0.997737
144.356955,0.160840,0.999999,-0.001408,0.065384,0.997860
147.637795,0.156168,0.999999,-0.001440,0.063483,0.997983
150.918635,0.151391,0.999999,-0.001472,0.061539,0.998105
154.199475,0.146509,0.999999,-0.001504,0.059552,0.998225
157.480315,0.141522,0.999999,-0.001536,0.057522,0.998344
160.761155,0.136430,0.999999,-0.001568,0.055449,0.998462
164.041995,0.131234,0.999999,-0.001600,0.053333,0.998577
167.322835,0.126037,0.999999,-0.001564,0.051223,0.998687
170.603675,0.120945,0.999999,-0.001532,0.049156,0.998791
173.884514,0.115958,0.999999,-0.001500,0.047130,0.998889
177.165354,0.111076,0.999999,-0.001468,0.045147,0.998980
180.446194,0.106299,0.999999,-0.001436,0.043207,0.999066
183.727034,0.101627,0.999999,-0.001404,0.041309,0.999146
187.007874,0.097060,0.999999,-0.001373,0.039454,0.999221
190.288714,0.092598,0.999999,-0.001341,0.037641,0.999291
193.569554,0.088241,0.999999,-0.001309,0.035871,0.999356
196.850394,0.083990,0.999999,-0.001277,0.034143,0.999417
200.131234,0.079843,0.999999,-0.001245,0.032458,0.999473
203.412073,0.075801,0.999999,-0.001213,0.030815,0.999525
206.692913,0.071864,0.999999,-0.001182,0.029215,0.999573
209.973753,0.068031,0.999999,-0.001150,0.027658,0.999617
213.254593,0.064304,0.999999,-0.001118,0.026143,0.999658
216.535433,0.060682,0.999999,-0.001086,0.024671,0.999696
219.816273,0.057165,0.999999,-0.001054,0.023241,0.999730
223.097113,0.053753,0.999999,-0.001022,0.021854,0.999761
226.377953,0.050446,1.000000,-0.000990,0.020510,0.999790
229.658793,0.047244,1.000000,-0.000958,0.019208,0.999816
232.939633,0.044147,1.000000,-0.000926,0.017949,0.999839
236.220472,0.041155,1.000000,-0.000895,0.016733,0.999860
239.501312,0.038268,1.000000,-0.000863,0.015559,0.999879
242.782152,0.035486,1.000000,-0.000831,0.014428,0.999896
246.062992,0.032808,1.000000,-0.000799,0.013339,0.999911
249.343832,0.030236,1.000000,-0.000767,0.012294,0.999924
252.624672,0.027769,1.000000,-0.000735,0.011291,0.999936
255.905512,0.025407,1.000000,-0.000703,0.010330,0.999947
259.186352,0.023150,1.000000,-0.000671,0.009412,0.999956
262.467192,0.020997,1.000000,-0.000639,0.008537,0.999964
265.748031,0.018950,1.000000,-0.000607,0.007705,0.999970
269.028871,0.017008,1.000000,-0.000575,0.006915,0.999976
272.309711,0.015171,1.000000,-0.000543,0.006168,0.999981
275.590551,0.013438,1.000000,-0.000512,0.005464,0.999985
278.871391,0.011811,1.000000,-0.000480,0.004802,0.999988
282.152231,0.010289,1.000000,-0.000448,0.004183,0.999991
285.433071,0.008871,1.000000,-0.000416,0.003607,0.999993
288.713911,0.007559,1.000000,-0.000384,0.003073,0.999995
291.994751,0.006352,1.000000,-0.000352,0.002583,0.999997
295.275591,0.005249,1.000000,-0.000320,0.002134,0.999998
298.556430,0.004252,1.000000,-0.000288,0.001729,0.999998
301.837270,0.003360,1.000000,-0.000256,0.001366,0.999999
305.118110,0.002572,1.000000,-0.000224,0.001046,0.999999
308.398950,0.001890,1.000000,-0.000192,0.000768,1.000000
