DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
3.280840,3.280834,-0.005455,0.259843,0.999992,-0.004113,0.000083,0.004099,0.994400,-0.105604,0.000350,0.105603,0.994408
6.561680,6.561632,-0.021770,0.257218,0.999973,-0.007411,0.000082,0.007379,0.994493,-0.104541,0.000691,0.104539,0.994521
9.842520,9.842358,-0.048867,0.254593,0.999943,-0.010686,0.000081,0.010637,0.994575,-0.103478,0.001023,0.103473,0.994632
13.123360,13.122979,-0.086671,0.251969,0.999903,-0.013938,0.000081,0.013873,0.994645,-0.102415,0.001346,0.102406,0.994742
16.404199,16.403460,-0.135103,0.249344,0.999853,-0.017166,0.000080,0.017085,0.994704,-0.101352,0.001659,0.101339,0.994851
19.685039,19.683768,-0.194088,0.246719,0.999793,-0.020370,0.000079,0.020275,0.994752,-0.100289,0.001963,0.100270,0.994958
22.965879,22.963871,-0.263547,0.244094,0.999723,-0.023551,0.000078,0.023443,0.994789,-0.099226,0.002257,0.099200,0.995065
26.246719,26.243738,-0.343404,0.241470,0.999643,-0.026709,0.000077,0.026587,0.994815,-0.098162,0.002543,0.098129,0.995170
29.527559,29.523337,-0.433581,0.238845,0.999555,-0.029842,0.000076,0.029709,0.994831,-0.097098,0.002820,0.097057,0.995275
32.808399,32.802638,-0.534000,0.236220,0.999457,-0.032953,0.000076,0.032807,0.994837,-0.096035,0.003088,0.095985,0.995378
36.089239,36.081612,-0.644586,0.233596,0.999350,-0.036039,0.000075,0.035883,0.994833,-0.094971,0.003347,0.094912,0.995480
39.370079,39.360231,-0.765259,0.230971,0.999235,-0.039102,0.000074,0.038936,0.994819,-0.093907,0.003597,0.093838,0.995581
42.650919,42.638466,-0.895942,0.228346,0.999112,-0.042141,0.000073,0.041966,0.994796,-0.092843,0.003838,0.092764,0.995681
45.931759,45.916290,-1.036557,0.225722,0.998980,-0.045157,0.000072,0.044973,0.994763,-0.091779,0.004071,0.091689,0.995779
49.212598,49.193676,-1.187027,0.223097,0.998840,-0.048149,0.000071,0.047957,0.994722,-0.090715,0.004295,0.090613,0.995877
52.493438,52.470599,-1.347274,0.220472,0.998693,-0.051117,0.000071,0.050917,0.994671,-0.089650,0.004511,0.089537,0.995973
55.774278,55.747033,-1.517220,0.217848,0.998538,-0.054061,0.000070,0.053855,0.994612,-0.088586,0.004718,0.088460,0.996069
59.055118,59.022954,-1.696787,0.215223,0.998375,-0.056982,0.000069,0.056769,0.994544,-0.087521,0.004917,0.087383,0.996163
62.335958,62.298338,-1.885898,0.212598,0.998206,-0.059878,0.000068,0.059660,0.994468,-0.086457,0.005108,0.086306,0.996256
65.616798,65.573163,-2.084473,0.209974,0.998029,-0.062751,0.000067,0.062528,0.994383,-0.085392,0.005290,0.085228,0.996347
68.897638,68.847404,-2.292435,0.207349,0.997846,-0.065601,0.000066,0.065372,0.994291,-0.084327,0.005464,0.084150,0.996438
72.178478,72.121041,-2.509706,0.204724,0.997656,-0.068426,0.000066,0.068194,0.994192,-0.083262,0.005631,0.083071,0.996528
75.459318,75.394052,-2.736208,0.202100,0.997460,-0.071227,0.000065,0.070992,0.994084,-0.082197,0.005789,0.081993,0.996616
78.740157,78.666416,-2.971863,0.199475,0.997258,-0.074005,0.000064,0.073766,0.993970,-0.081132,0.005939,0.080914,0.996703
82.020997,81.938115,-3.216592,0.196850,0.997050,-0.076759,0.000063,0.076518,0.993848,-0.080067,0.006082,0.079835,0.996790
85.301837,85.209128,-3.470317,0.194226,0.996836,-0.079489,0.000062,0.079246,0.993720,-0.079001,0.006216,0.078756,0.996875
88.582677,88.479437,-3.732960,0.191601,0.996616,-0.082195,0.000061,0.081950,0.993585,-0.077936,0.006344,0.077677,0.996958
91.863517,91.749024,-4.004443,0.188976,0.996391,-0.084878,0.000061,0.084631,0.993443,-0.076870,0.006463,0.076598,0.997041
95.144357,95.017872,-4.284687,0.186352,0.996161,-0.087536,0.000060,0.087289,0.993295,-0.075805,0.006575,0.075519,0.997123
98.425197,98.285964,-4.573615,0.183727,0.995926,-0.090171,0.000059,0.089923,0.993140,-0.074739,0.006679,0.074440,0.997203
101.706037,101.553284,-4.871148,0.181102,0.995687,-0.092781,0.000058,0.092533,0.992980,-0.073673,0.006776,0.073361,0.997282
104.986877,104.819816,-5.177207,0.178478,0.995442,-0.095368,0.000057,0.095121,0.992814,-0.072608,0.006866,0.072282,0.997361
108.267717,108.085545,-5.491715,0.175853,0.995193,-0.097931,0.000056,0.097684,0.992643,-0.071542,0.006949,0.071203,0.997438
111.548556,111.350458,-5.814593,0.173228,0.994940,-0.100470,0.000055,0.100224,0.992466,-0.070476,0.007024,0.070125,0.997513
114.829396,114.614540,-6.145763,0.170604,0.994683,-0.102986,0.000055,0.102741,0.992284,-0.069410,0.007093,0.069046,0.997588
118.110236,117.877778,-6.485146,0.167979,0.994422,-0.105477,0.000054,0.105234,0.992096,-0.068343,0.007154,0.067968,0.997662
121.391076,121.140160,-6.832664,0.165354,0.994157,-0.107945,0.000053,0.107704,0.991904,-0.067277,0.007208,0.066890,0.997734
124.671916,124.401673,-7.188240,0.162730,0.993889,-0.110388,0.000052,0.110150,0.991707,-0.066211,0.007256,0.065812,0.997806
127.952756,127.662307,-7.551794,0.160105,0.993617,-0.112808,0.000051,0.112572,0.991506,-0.065145,0.007297,0.064735,0.997876
131.233596,130.922051,-7.923249,0.157480,0.993342,-0.115204,0.000050,0.114971,0.991300,-0.064078,0.007331,0.063657,0.997945
134.514436,134.180893,-8.302526,0.154856,0.993064,-0.117576,0.000050,0.117346,0.991090,-0.063011,0.007358,0.062580,0.998013
137.795276,137.438825,-8.689548,0.152231,0.992783,-0.119925,0.000049,0.119697,0.990876,-0.061945,0.007379,0.061504,0.998080
141.076115,140.695837,-9.084235,0.149606,0.992499,-0.122249,0.000048,0.122025,0.990658,-0.060878,0.007393,0.060428,0.998145
144.356955,143.951920,-9.486510,0.146982,0.992213,-0.124550,0.000047,0.124330,0.990437,-0.059811,0.007402,0.059352,0.998210
147.637795,147.207067,-9.896294,0.144357,0.991925,-0.126827,0.000046,0.126610,0.990212,-0.058745,0.007403,0.058276,0.998273
150.918635,150.461270,-10.313510,0.141732,0.991634,-0.129080,0.000045,0.128867,0.989983,-0.057678,0.007399,0.057201,0.998335
154.199475,153.714522,-10.738080,0.139108,0.991341,-0.131309,0.000045,0.131101,0.989751,-0.056611,0.007388,0.056127,0.998396
157.480315,156.966816,-11.169925,0.136483,0.991047,-0.133514,0.000044,0.133311,0.989517,-0.055544,0.007371,0.055052,0.998456
160.761155,160.218146,-11.608967,0.133858,0.990751,-0.135696,0.000043,0.135497,0.989279,-0.054477,0.007349,0.053979,0.998515
164.041995,163.468507,-12.055129,0.131234,0.990453,-0.137854,0.000042,0.137659,0.989039,-0.053410,0.007320,0.052906,0.998573
167.322835,166.717894,-12.508332,0.128609,0.990153,-0.139988,0.000041,0.139798,0.988796,-0.052342,0.007285,0.051833,0.998629
170.603675,169.966301,-12.968498,0.125984,0.989853,-0.142099,0.000040,0.141914,0.988550,-0.051275,0.007245,0.050761,0.998685
173.884514,173.213726,-13.435550,0.123360,0.989551,-0.144185,0.000040,0.144005,0.988302,-0.050208,0.007199,0.049689,0.998739
177.165354,176.460165,-13.909410,0.120735,0.989248,-0.146248,0.000039,0.146073,0.988053,-0.049140,0.007147,0.048618,0.998792
180.446194,179.705614,-14.390000,0.118110,0.988944,-0.148287,0.000038,0.148118,0.987801,-0.048073,0.007090,0.047547,0.998844
183.727034,182.950072,-14.877242,0.115486,0.988640,-0.150303,0.000037,0.150138,0.987547,-0.047005,0.007027,0.046477,0.998895
187.007874,186.193535,-15.371058,0.112861,0.988335,-0.152295,0.000036,0.152136,0.987291,-0.045938,0.006959,0.045408,0.998944
190.288714,189.436002,-15.871371,0.110236,0.988030,-0.154263,0.000035,0.154109,0.987034,-0.044870,0.006886,0.044339,0.998993
193.569554,192.677472,-16.378104,0.107612,0.987724,-0.156207,0.000034,0.156059,0.986776,-0.043803,0.006807,0.043271,0.999040
196.850394,195.917945,-16.891177,0.104987,0.987419,-0.158128,0.000034,0.157985,0.986516,-0.042735,0.006723,0.042203,0.999086
200.131234,199.157419,-17.410515,0.102362,0.987113,-0.160025,0.000033,0.159888,0.986255,-0.041667,0.006634,0.041136,0.999132
203.412073,202.395896,-17.936039,0.099738,0.986807,-0.161899,0.000032,0.161767,0.985993,-0.040599,0.006540,0.040069,0.999176
206.692913,205.633375,-18.467672,0.097113,0.986502,-0.163749,0.000031,0.163622,0.985731,-0.039532,0.006441,0.039003,0.999218
209.973753,208.869859,-19.005337,0.094488,0.986197,-0.165576,0.000030,0.165454,0.985467,-0.038464,0.006338,0.037938,0.999260
213.254593,212.105347,-19.548955,0.091864,0.985893,-0.167378,0.000029,0.167262,0.985203,-0.037396,0.006229,0.036873,0.999301
216.535433,215.339843,-20.098451,0.089239,0.985589,-0.169158,0.000029,0.169047,0.984938,-0.036328,0.006116,0.035809,0.999340
219.816273,218.573348,-20.653747,0.086614,0.985286,-0.170913,0.000028,0.170808,0.984673,-0.035260,0.005998,0.034746,0.999378
223.097113,221.805865,-21.214765,0.083990,0.984984,-0.172646,0.000027,0.172546,0.984408,-0.034192,0.005875,0.033683,0.999415
226.377953,225.037397,-21.781428,0.081365,0.984683,-0.174354,0.000026,0.174260,0.984142,-0.033124,0.005748,0.032621,0.999451
229.658793,228.267948,-22.353659,0.078740,0.984383,-0.176040,0.000025,0.175950,0.983877,-0.032055,0.005617,0.031560,0.999486
232.939633,231.497521,-22.931381,0.076115,0.984084,-0.177701,0.000024,0.177617,0.983612,-0.030987,0.005481,0.030499,0.999520
236.220472,234.726121,-23.514518,0.073491,0.983787,-0.179340,0.000024,0.179260,0.983347,-0.029919,0.005341,0.029438,0.999552
239.501312,237.953753,-24.102992,0.070866,0.983491,-0.180954,0.000023,0.180880,0.983082,-0.028851,0.005197,0.028379,0.999584
242.782152,241.180421,-24.696725,0.068241,0.983197,-0.182546,0.000022,0.182476,0.982818,-0.027783,0.005049,0.027320,0.999614
246.062992,244.406132,-25.295643,0.065617,0.982905,-0.184114,0.000021,0.184049,0.982554,-0.026714,0.004897,0.026262,0.999643
249.343832,247.630889,-25.899667,0.062992,0.982614,-0.185658,0.000020,0.185598,0.982291,-0.025646,0.004741,0.025204,0.999671
252.624672,250.854701,-26.508721,0.060367,0.982326,-0.187180,0.000019,0.187124,0.982029,-0.024578,0.004580,0.024147,0.999698
255.905512,254.077573,-27.122728,0.057743,0.982039,-0.188677,0.000019,0.188626,0.981768,-0.023509,0.004416,0.023091,0.999724
259.186352,257.299512,-27.741611,0.055118,0.981755,-0.190152,0.000018,0.190104,0.981507,-0.022441,0.004249,0.022035,0.999748
262.467192,260.520525,-28.365295,0.052493,0.981472,-0.191603,0.000017,0.191560,0.981248,-0.021372,0.004077,0.020980,0.999772
265.748031,263.740621,-28.993702,0.049869,0.981193,-0.193031,0.000016,0.192992,0.980990,-0.020304,0.003903,0.019925,0.999794
269.028871,266.959806,-29.626756,0.047244,0.980915,-0.194436,0.000015,0.194400,0.980734,-0.019235,0.003724,0.018871,0.999815
272.309711,270.178089,-30.264381,0.044619,0.980640,-0.195817,0.000014,0.195785,0.980479,-0.018167,0.003542,0.017818,0.999835
275.590551,273.395478,-30.906500,0.041995,0.980368,-0.197175,0.000013,0.197146,0.980225,-0.017098,0.003357,0.016766,0.999854
278.871391,276.611982,-31.553037,0.039370,0.980099,-0.198510,0.000013,0.198484,0.979973,-0.016030,0.003169,0.015713,0.999872
282.152231,279.827610,-32.203916,0.036745,0.979832,-0.199821,0.000012,0.199799,0.979723,-0.014961,0.002977,0.014662,0.999888
285.433071,283.042372,-32.859060,0.034121,0.979569,-0.201109,0.000011,0.201090,0.979474,-0.013893,0.002782,0.013611,0.999903
288.713911,286.256277,-33.518393,0.031496,0.979308,-0.202375,0.000010,0.202358,0.979228,-0.012824,0.002584,0.012561,0.999918
291.994751,289.469336,-34.181840,0.028871,0.979051,-0.203617,0.000009,0.203603,0.978983,-0.011755,0.002384,0.011511,0.999931
295.275591,292.681559,-34.849324,0.026247,0.978796,-0.204835,0.000008,0.204824,0.978741,-0.010687,0.002180,0.010462,0.999943
298.556430,295.892956,-35.520769,0.023622,0.978545,-0.206031,0.000008,0.206021,0.978500,-0.009618,0.001973,0.009414,0.999954
301.837270,299.103538,-36.196100,0.020997,0.978298,-0.207203,0.000007,0.207196,0.978262,-0.008549,0.001764,0.008366,0.999963
305.118110,302.313316,-36.875239,0.018373,0.978054,-0.208353,0.000006,0.208347,0.978026,-0.007481,0.001552,0.007318,0.999972
308.398950,305.522303,-37.558113,0.015748,0.977813,-0.209479,0.000005,0.209475,0.977793,-0.006412,0.001337,0.006271,0.999979
311.679790,308.730508,-38.244644,0.013123,0.977576,-0.210582,0.000004,0.210579,0.977562,-0.005343,0.001120,0.005225,0.999986
314.960630,311.937945,-38.934758,0.010499,0.977343,-0.211662,0.000003,0.211660,0.977334,-0.004275,0.000901,0.004179,0.999991
318.241470,315.144626,-39.628377,0.007874,0.977113,-0.212719,0.000003,0.212718,0.977108,-0.003206,0.000679,0.003133,0.999995
321.522310,318.350563,-40.325428,0.005249,0.976888,-0.213753,0.000002,0.213753,0.976885,-0.002137,0.000454,0.002089,0.999998
324.803150,321.555768,-41.025833,0.002625,0.976666,-0.214764,0.000001,0.214764,0.976665,-0.001069,0.000228,0.001044,0.999999
328.083990,324.760255,-41.729519,-0.000000,0.976448,-0.215752,0.000000,0.215752,0.976448,-0.000000,-0.000001,0.000000,1.000000
