DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
1.000000,0.999998,-0.001663,0.079200,0.999992,-0.004113,0.000083,0.004099,0.994400,-0.105604,0.000350,0.105603,0.994408
2.000000,1.999985,-0.006635,0.078400,0.999973,-0.007411,0.000082,0.007379,0.994493,-0.104541,0.000691,0.104539,0.994521
3.000000,2.999951,-0.014895,0.077600,0.999943,-0.010686,0.000081,0.010637,0.994575,-0.103478,0.001023,0.103473,0.994632
4.000000,3.999884,-0.026417,0.076800,0.999903,-0.013938,0.000081,0.013873,0.994645,-0.102415,0.001346,0.102406,0.994742
5.000000,4.999775,-0.041179,0.076000,0.999853,-0.017166,0.000080,0.017085,0.994704,-0.101352,0.001659,0.101339,0.994851
6.000000,5.999612,-0.059158,0.075200,0.999793,-0.020370,0.000079,0.020275,0.994752,-0.100289,0.001963,0.100270,0.994958
7.000000,6.999388,-0.080329,0.074400,0.999723,-0.023551,0.000078,0.023443,0.994789,-0.099226,0.002257,0.099200,0.995065
8.000000,7.999091,-0.104669,0.073600,0.999643,-0.026709,0.000077,0.026587,0.994815,-0.098162,0.002543,0.098129,0.995170
9.000000,8.998713,-0.132155,0.072800,0.999555,-0.029842,0.000076,0.029709,0.994831,-0.097098,0.002820,0.097057,0.995275
10.000000,9.998244,-0.162763,0.072000,0.999457,-0.032953,0.000076,0.032807,0.994837,-0.096035,0.003088,0.095985,0.995378
11.000000,10.997675,-0.196470,0.071200,0.999350,-0.036039,0.000075,0.035883,0.994833,-0.094971,0.003347,0.094912,0.995480
12.000000,11.996998,-0.233251,0.070400,0.999235,-0.039102,0.000074,0.038936,0.994819,-0.093907,0.003597,0.093838,0.995581
13.000000,12.996204,-0.273083,0.069600,0.999112,-0.042141,0.000073,0.041966,0.994796,-0.092843,0.003838,0.092764,0.995681
14.000000,13.995285,-0.315943,0.068800,0.998980,-0.045157,0.000072,0.044973,0.994763,-0.091779,0.004071,0.091689,0.995779
15.000000,14.994232,-0.361806,0.068000,0.998840,-0.048149,0.000071,0.047957,0.994722,-0.090715,0.004295,0.090613,0.995877
16.000000,15.993039,-0.410649,0.067200,0.998693,-0.051117,0.000071,0.050917,0.994671,-0.089650,0.004511,0.089537,0.995973
17.000000,16.991696,-0.462449,0.066400,0.998538,-0.054061,0.000070,0.053855,0.994612,-0.088586,0.004718,0.088460,0.996069
18.000000,17.990196,-0.517181,0.065600,0.998375,-0.056982,0.000069,0.056769,0.994544,-0.087521,0.004917,0.087383,0.996163
19.000000,18.988533,-0.574822,0.064800,0.998206,-0.059878,0.000068,0.059660,0.994468,-0.086457,0.005108,0.086306,0.996256
20.000000,19.986700,-0.635347,0.064000,0.998029,-0.062751,0.000067,0.062528,0.994383,-0.085392,0.005290,0.085228,0.996347
21.000000,20.984689,-0.698734,0.063200,0.997846,-0.065601,0.000066,0.065372,0.994291,-0.084327,0.005464,0.084150,0.996438
22.000000,21.982493,-0.764958,0.062400,0.997656,-0.068426,0.000066,0.068194,0.994192,-0.083262,0.005631,0.083071,0.996528
23.000000,22.980107,-0.833996,0.061600,0.997460,-0.071227,0.000065,0.070992,0.994084,-0.082197,0.005789,0.081993,0.996616
24.000000,23.977524,-0.905824,0.060800,0.997258,-0.074005,0.000064,0.073766,0.993970,-0.081132,0.005939,0.080914,0.996703
25.000000,24.974737,-0.980417,0.060000,0.997050,-0.076759,0.000063,0.076518,0.993848,-0.080067,0.006082,0.079835,0.996790
26.000000,25.971742,-1.057753,0.059200,0.996836,-0.079489,0.000062,0.079246,0.993720,-0.079001,0.006216,0.078756,0.996875
27.000000,26.968532,-1.137806,0.058400,0.996616,-0.082195,0.000061,0.081950,0.993585,-0.077936,0.006344,0.077677,0.996958
28.000000,27.965103,-1.220554,0.057600,0.996391,-0.084878,0.000061,0.084631,0.993443,-0.076870,0.006463,0.076598,0.997041
29.000000,28.961447,-1.305973,0.056800,0.996161,-0.087536,0.000060,0.087289,0.993295,-0.075805,0.006575,0.075519,0.997123
30.000000,29.957562,-1.394038,0.056000,0.995926,-0.090171,0.000059,0.089923,0.993140,-0.074739,0.006679,0.074440,0.997203
