DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
1.000000,0.999998,-0.001661,0.079200,0.999992,-0.004108,0.000083,0.004094,0.994400,-0.105604,0.000349,0.105603,0.994408
2.000000,1.999985,-0.006622,0.078400,0.999973,-0.007391,0.000082,0.007359,0.994493,-0.104541,0.000689,0.104539,0.994521
3.000000,2.999951,-0.014850,0.077600,0.999943,-0.010641,0.000081,0.010592,0.994575,-0.103478,0.001018,0.103473,0.994632
4.000000,3.999885,-0.026311,0.076800,0.999904,-0.013858,0.000081,0.013793,0.994646,-0.102415,0.001337,0.102407,0.994742
5.000000,4.999777,-0.040971,0.076000,0.999855,-0.017041,0.000080,0.016961,0.994706,-0.101352,0.001646,0.101339,0.994851
6.000000,5.999618,-0.058798,0.075200,0.999796,-0.020190,0.000079,0.020096,0.994755,-0.100289,0.001945,0.100270,0.994958
7.000000,6.999398,-0.079758,0.074400,0.999728,-0.023306,0.000078,0.023199,0.994795,-0.099226,0.002233,0.099200,0.995065
8.000000,7.999108,-0.103816,0.073600,0.999652,-0.026389,0.000077,0.026269,0.994824,-0.098162,0.002512,0.098130,0.995170
9.000000,8.998739,-0.130941,0.072800,0.999567,-0.029438,0.000076,0.029306,0.994843,-0.097098,0.002781,0.097059,0.995275
10.000000,9.998284,-0.161097,0.072000,0.999473,-0.032453,0.000076,0.032310,0.994853,-0.096035,0.003040,0.095987,0.995378
11.000000,10.997734,-0.194252,0.071200,0.999372,-0.035435,0.000075,0.035281,0.994855,-0.094971,0.003289,0.094914,0.995480
12.000000,11.997081,-0.230372,0.070400,0.999263,-0.038383,0.000074,0.038220,0.994847,-0.093907,0.003529,0.093841,0.995581
13.000000,12.996318,-0.269423,0.069600,0.999147,-0.041297,0.000073,0.041125,0.994831,-0.092843,0.003760,0.092767,0.995681
14.000000,13.995437,-0.311372,0.068800,0.999024,-0.044178,0.000072,0.043998,0.994807,-0.091779,0.003981,0.091692,0.995779
15.000000,14.994432,-0.356185,0.068000,0.998894,-0.047025,0.000071,0.046837,0.994775,-0.090715,0.004193,0.090618,0.995877
16.000000,15.993297,-0.403828,0.067200,0.998757,-0.049838,0.000071,0.049644,0.994735,-0.089650,0.004396,0.089542,0.995973
