DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000800,0.000000,-0.000800,1.000000,-0.000000,0.000000,0.000000,1.000000
3.280840,3.280840,-0.000018,0.002625,1.000000,0.000783,0.000001,-0.000783,0.999999,0.001069,-0.000000,-0.001069,0.999999
6.561680,6.561680,-0.000146,0.005249,1.000000,0.000733,0.000002,-0.000733,0.999997,0.002137,-0.000000,-0.002137,0.999998
9.842520,9.842520,-0.000492,0.007874,1.000000,0.000650,0.000003,-0.000650,0.999995,0.003206,-0.000000,-0.003206,0.999995
13.123360,13.123359,-0.001167,0.010499,1.000000,0.000533,0.000003,-0.000533,0.999991,0.004275,-0.000001,-0.004275,0.999991
16.404199,16.404199,-0.002278,0.013123,1.000000,0.000383,0.000004,-0.000383,0.999986,0.005343,-0.000002,-0.005343,0.999986
19.685039,19.685039,-0.003937,0.015748,1.000000,0.000200,0.000005,-0.000200,0.999979,0.006412,-0.000004,-0.006412,0.999979
22.965879,22.965878,-0.006252,0.018373,1.000000,-0.000017,0.000006,0.000017,0.999972,0.007481,-0.000006,-0.007481,0.999972
26.246719,26.246716,-0.009332,0.020997,1.000000,-0.000267,0.000007,0.000267,0.999963,0.008549,-0.000009,-0.008549,0.999963
29.527559,29.527554,-0.013287,0.023622,1.000000,-0.000550,0.000008,0.000550,0.999954,0.009618,-0.000013,-0.009618,0.999954
32.808399,32.808390,-0.018227,0.026247,1.000000,-0.000867,0.000008,0.000867,0.999943,0.010687,-0.000018,-0.010687,0.999943
36.089239,36.089224,-0.024260,0.028871,0.999999,-0.001217,0.000009,0.001217,0.999930,0.011755,-0.000024,-0.011755,0.999931
39.370079,39.370056,-0.031496,0.031496,0.999999,-0.001600,0.000010,0.001600,0.999916,0.012824,-0.000031,-0.012824,0.999918
42.650919,42.650885,-0.040044,0.034121,0.999998,-0.002017,0.000011,0.002016,0.999901,0.013893,-0.000039,-0.013893,0.999903
45.931759,45.931709,-0.050015,0.036745,0.999997,-0.002467,0.000012,0.002466,0.999885,0.014961,-0.000049,-0.014961,0.999888
49.212598,49.212529,-0.061516,0.039370,0.999996,-0.002950,0.000013,0.002950,0.999867,0.016030,-0.000060,-0.016030,0.999872
52.493438,52.493343,-0.074657,0.041995,0.999994,-0.003467,0.000014,0.003466,0.999848,0.017098,-0.000073,-0.017098,0.999854
55.774278,55.774149,-0.089549,0.044619,0.999992,-0.004017,0.000014,0.004016,0.999827,0.018167,-0.000088,-0.018167,0.999835
59.055118,59.054946,-0.106299,0.047244,0.999989,-0.004600,0.000015,0.004599,0.999804,0.019235,-0.000104,-0.019235,0.999815
62.335958,62.335732,-0.125018,0.049869,0.999986,-0.005217,0.000016,0.005215,0.999780,0.020304,-0.000122,-0.020304,0.999794
65.616798,65.616506,-0.145815,0.052493,0.999983,-0.005867,0.000017,0.005865,0.999754,0.021372,-0.000142,-0.021372,0.999772
68.897638,68.897265,-0.168799,0.055118,0.999979,-0.006550,0.000018,0.006548,0.999727,0.022441,-0.000165,-0.022440,0.999748
72.178478,72.178008,-0.194079,0.057743,0.999974,-0.007267,0.000019,0.007264,0.999697,0.023509,-0.000190,-0.023508,0.999724
75.459318,75.458731,-0.221765,0.060367,0.999968,-0.008017,0.000019,0.008014,0.999666,0.024578,-0.000217,-0.024577,0.999698
78.740157,78.739432,-0.251967,0.062992,0.999961,-0.008800,0.000020,0.008797,0.999632,0.025646,-0.000246,-0.025645,0.999671
