DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000800,0.000000,-0.000800,1.000000,-0.000000,0.000000,0.000000,1.000000
1.000000,1.000000,-0.000006,0.000800,1.000000,0.000783,0.000001,-0.000783,0.999999,0.001069,-0.000000,-0.001069,0.999999
2.000000,2.000000,-0.000044,0.001600,1.000000,0.000733,0.000002,-0.000733,0.999997,0.002137,-0.000000,-0.002137,0.999998
3.000000,3.000000,-0.000150,0.002400,1.000000,0.000650,0.000003,-0.000650,0.999995,0.003206,-0.000000,-0.003206,0.999995
4.000000,4.000000,-0.000356,0.003200,1.000000,0.000533,0.000003,-0.000533,0.999991,0.004275,-0.000001,-0.004275,0.999991
5.000000,5.000000,-0.000694,0.004000,1.000000,0.000383,0.000004,-0.000383,0.999986,0.005343,-0.000002,-0.005343,0.999986
6.000000,6.000000,-0.001200,0.004800,1.000000,0.000200,0.000005,-0.000200,0.999979,0.006412,-0.000004,-0.006412,0.999979
7.000000,7.000000,-0.001906,0.005600,1.000000,-0.000017,0.000006,0.000017,0.999972,0.007481,-0.000006,-0.007481,0.999972
8.000000,7.999999,-0.002844,0.006400,1.000000,-0.000267,0.000007,0.000267,0.999963,0.008549,-0.000009,-0.008549,0.999963
9.000000,8.999998,-0.004050,0.007200,1.000000,-0.000550,0.000008,0.000550,0.999954,0.009618,-0.000013,-0.009618,0.999954
10.000000,9.999997,-0.005556,0.008000,1.000000,-0.000867,0.000008,0.000867,0.999943,0.010687,-0.000018,-0.010687,0.999943
11.000000,10.999995,-0.007394,0.008800,0.999999,-0.001217,0.000009,0.001217,0.999930,0.011755,-0.000024,-0.011755,0.999931
12.000000,11.999993,-0.009600,0.009600,0.999999,-0.001600,0.000010,0.001600,0.999916,0.012824,-0.000031,-0.012824,0.999918
13.000000,12.999990,-0.012206,0.010400,0.999998,-0.002017,0.000011,0.002016,0.999901,0.013893,-0.000039,-0.013893,0.999903
14.000000,13.999985,-0.015244,0.011200,0.999997,-0.002467,0.000012,0.002466,0.999885,0.014961,-0.000049,-0.014961,0.999888
15.000000,14.999979,-0.018750,0.012000,0.999996,-0.002950,0.000013,0.002950,0.999867,0.016030,-0.000060,-0.016030,0.999872
16.000000,15.999971,-0.022756,0.012800,0.999994,-0.003467,0.000014,0.003466,0.999848,0.017098,-0.000073,-0.017098,0.999854
17.000000,16.999960,-0.027294,0.013600,0.999992,-0.004017,0.000014,0.004016,0.999827,0.018167,-0.000088,-0.018167,0.999835
18.000000,17.999947,-0.032400,0.014400,0.999989,-0.004600,0.000015,0.004599,0.999804,0.019235,-0.000104,-0.019235,0.999815
19.000000,18.999931,-0.038105,0.015200,0.999986,-0.005217,0.000016,0.005215,0.999780,0.020304,-0.000122,-0.020304,0.999794
20.000000,19.999911,-0.044444,0.016000,0.999983,-0.005867,0.000017,0.005865,0.999754,0.021372,-0.000142,-0.021372,0.999772
