DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000800,0.000000,-0.000800,1.000000,-0.000000,0.000000,0.000000,1.000000
3.280833,3.280833,0.001653,0.002625,0.999998,0.001812,-0.000001,-0.001812,0.999998,-0.001069,-0.000001,0.001069,0.999999
6.561667,6.561663,0.006664,0.005249,0.999996,0.002847,-0.000002,-0.002847,0.999994,-0.002137,-0.000004,0.002137,0.999998
9.842500,9.842485,0.015108,0.007874,0.999992,0.003905,-0.000003,-0.003905,0.999987,-0.003206,-0.000010,0.003206,0.999995
13.123333,13.123296,0.027063,0.010499,0.999988,0.004987,-0.000003,-0.004987,0.999978,-0.004275,-0.000018,0.004275,0.999991
16.404167,16.404093,0.042605,0.013123,0.999981,0.006092,-0.000004,-0.006092,0.999967,-0.005343,-0.000028,0.005343,0.999986
19.685000,19.684869,0.061811,0.015748,0.999974,0.007220,-0.000005,-0.007220,0.999953,-0.006412,-0.000041,0.006412,0.999979
22.965833,22.965622,0.084756,0.018373,0.999965,0.008372,-0.000006,-0.008371,0.999937,-0.007481,-0.000057,0.007481,0.999972
26.246667,26.246346,0.111519,0.020997,0.999954,0.009546,-0.000007,-0.009546,0.999918,-0.008549,-0.000075,0.008549,0.999963
29.527500,29.527036,0.142174,0.023622,0.999942,0.010745,-0.000008,-0.010744,0.999896,-0.009618,-0.000096,0.009618,0.999954
32.808333,32.807687,0.176799,0.026247,0.999928,0.011966,-0.000008,-0.011966,0.999871,-0.010687,-0.000119,0.010686,0.999943
36.089167,36.088292,0.215470,0.028871,0.999913,0.013211,-0.000009,-0.013210,0.999844,-0.011755,-0.000146,0.011755,0.999931
39.370000,39.368846,0.258263,0.031496,0.999895,0.014479,-0.000010,-0.014478,0.999813,-0.012824,-0.000175,0.012823,0.999918
42.650833,42.649342,0.305256,0.034121,0.999876,0.015771,-0.000011,-0.015770,0.999779,-0.013893,-0.000208,0.013891,0.999903
45.931667,45.929775,0.356524,0.036745,0.999854,0.017086,-0.000012,-0.017084,0.999742,-0.014961,-0.000244,0.014959,0.999888
49.212500,49.210136,0.412145,0.039370,0.999830,0.018424,-0.000013,-0.018422,0.999702,-0.016030,-0.000283,0.016027,0.999872
52.493333,52.490420,0.472193,0.041995,0.999804,0.019785,-0.000014,-0.019783,0.999658,-0.017098,-0.000325,0.017095,0.999854
55.774167,55.770617,0.536747,0.044619,0.999776,0.021170,-0.000014,-0.021167,0.999611,-0.018167,-0.000370,0.018163,0.999835
59.055000,59.050722,0.605882,0.047244,0.999745,0.022578,-0.000015,-0.022574,0.999560,-0.019235,-0.000419,0.019231,0.999815
62.335833,62.330726,0.679674,0.049869,0.999712,0.024009,-0.000016,-0.024005,0.999506,-0.020304,-0.000471,0.020298,0.999794
65.616667,65.610619,0.758201,0.052493,0.999676,0.025464,-0.000017,-0.025458,0.999447,-0.021372,-0.000527,0.021366,0.999772
68.897500,68.890393,0.841538,0.055118,0.999637,0.026942,-0.000018,-0.026935,0.999385,-0.022441,-0.000587,0.022433,0.999748
72.178333,72.170040,0.929761,0.057743,0.999595,0.028443,-0.000019,-0.028435,0.999319,-0.023509,-0.000650,0.023500,0.999724
75.459167,75.449549,1.022948,0.060367,0.999551,0.029967,-0.000019,-0.029958,0.999249,-0.024578,-0.000717,0.024567,0.999698
78.740000,78.728911,1.121174,0.062992,0.999503,0.031515,-0.000020,-0.031505,0.999175,-0.025646,-0.000788,0.025634,0.999671
82.020833,82.008116,1.224516,0.065617,0.999453,0.033085,-0.000021,-0.033074,0.999096,-0.026714,-0.000862,0.026700,0.999643
