DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
1.000000,0.999998,0.001663,0.079200,0.999997,0.002531,0.000083,-0.002508,0.994405,-0.105604,-0.000352,0.105603,0.994408
2.000000,1.999985,0.006635,0.078400,0.999983,0.005829,0.000082,-0.005788,0.994504,-0.104541,-0.000693,0.104539,0.994521
3.000000,2.999951,0.014895,0.077600,0.999959,0.009104,0.000081,-0.009046,0.994591,-0.103478,-0.001025,0.103473,0.994632
4.000000,3.999884,0.026417,0.076800,0.999924,0.012355,0.000081,-0.012282,0.994666,-0.102415,-0.001347,0.102406,0.994742
5.000000,4.999775,0.041179,0.076000,0.999879,0.015583,0.000080,-0.015495,0.994730,-0.101352,-0.001660,0.101339,0.994851
6.000000,5.999612,0.059158,0.075200,0.999823,0.018787,0.000079,-0.018685,0.994783,-0.100289,-0.001964,0.100270,0.994958
7.000000,6.999388,0.080329,0.074400,0.999759,0.021968,0.000078,-0.021852,0.994825,-0.099226,-0.002259,0.099200,0.995065
8.000000,7.999091,0.104669,0.073600,0.999684,0.025126,0.000077,-0.024997,0.994856,-0.098162,-0.002545,0.098129,0.995170
9.000000,8.998713,0.132155,0.072800,0.999601,0.028259,0.000076,-0.028119,0.994878,-0.097098,-0.002822,0.097057,0.995275
10.000000,9.998244,0.162763,0.072000,0.999508,0.031370,0.000076,-0.031217,0.994888,-0.096035,-0.003089,0.095985,0.995378
11.000000,10.997675,0.196470,0.071200,0.999406,0.034456,0.000075,-0.034293,0.994889,-0.094971,-0.003348,0.094912,0.995480
12.000000,11.996998,0.233251,0.070400,0.999296,0.037519,0.000074,-0.037346,0.994880,-0.093907,-0.003598,0.093838,0.995581
13.000000,12.996204,0.273083,0.069600,0.999177,0.040558,0.000073,-0.040376,0.994862,-0.092843,-0.003840,0.092764,0.995681
14.000000,13.995285,0.315943,0.068800,0.999050,0.043574,0.000072,-0.043384,0.994834,-0.091779,-0.004073,0.091688,0.995779
