DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
3.280840,3.280834,0.005450,0.259843,0.999997,0.002526,0.000083,-0.002503,0.994405,-0.105604,-0.000351,0.105603,0.994408
6.561680,6.561632,0.021726,0.257218,0.999983,0.005809,0.000082,-0.005768,0.994504,-0.104541,-0.000691,0.104539,0.994521
9.842520,9.842359,0.048720,0.254593,0.999959,0.009059,0.000081,-0.009002,0.994591,-0.103478,-0.001020,0.103473,0.994632
13.123360,13.122982,0.086321,0.251969,0.999925,0.012275,0.000081,-0.012202,0.994667,-0.102415,-0.001339,0.102407,0.994742
16.404199,16.403468,0.134420,0.249344,0.999881,0.015458,0.000080,-0.015370,0.994732,-0.101352,-0.001648,0.101339,0.994851
19.685039,19.683785,0.192907,0.246719,0.999827,0.018607,0.000079,-0.018506,0.994786,-0.100289,-0.001946,0.100270,0.994958
22.965879,22.963903,0.261672,0.244094,0.999764,0.021723,0.000078,-0.021608,0.994830,-0.099226,-0.002235,0.099200,0.995065
26.246719,26.243792,0.340605,0.241470,0.999692,0.024806,0.000077,-0.024678,0.994864,-0.098162,-0.002514,0.098130,0.995170
29.527559,29.523423,0.429596,0.238845,0.999612,0.027855,0.000076,-0.027716,0.994889,-0.097098,-0.002782,0.097059,0.995275
32.808399,32.802770,0.528534,0.236220,0.999523,0.030870,0.000076,-0.030720,0.994904,-0.096035,-0.003041,0.095987,0.995378
36.089239,36.081805,0.637311,0.233596,0.999427,0.033852,0.000075,-0.033692,0.994910,-0.094971,-0.003291,0.094914,0.995480
39.370079,39.360502,0.755814,0.230971,0.999323,0.036800,0.000074,-0.036630,0.994907,-0.093907,-0.003531,0.093841,0.995581
42.650919,42.638838,0.883935,0.228346,0.999211,0.039714,0.000073,-0.039536,0.994896,-0.092843,-0.003762,0.092767,0.995681
45.931759,45.916789,1.021562,0.225722,0.999092,0.042595,0.000072,-0.042409,0.994876,-0.091779,-0.003983,0.091692,0.995779
49.212598,49.194332,1.168585,0.223097,0.998967,0.045442,0.000071,-0.045248,0.994848,-0.090715,-0.004195,0.090618,0.995877
52.493438,52.471445,1.324894,0.220472,0.998835,0.048256,0.000071,-0.048055,0.994813,-0.089650,-0.004398,0.089542,0.995973
55.774278,55.748108,1.490379,0.217848,0.998697,0.051035,0.000070,-0.050829,0.994771,-0.088586,-0.004592,0.088467,0.996069
59.055118,59.024300,1.664928,0.215223,0.998553,0.053782,0.000069,-0.053569,0.994721,-0.087521,-0.004777,0.087391,0.996163
62.335958,62.300003,1.848432,0.212598,0.998403,0.056494,0.000068,-0.056277,0.994665,-0.086457,-0.004954,0.086315,0.996256
65.616798,65.575199,2.040779,0.209974,0.998248,0.059173,0.000067,-0.058951,0.994602,-0.085392,-0.005121,0.085238,0.996347
68.897638,68.849870,2.241859,0.207349,0.998087,0.061818,0.000066,-0.061592,0.994533,-0.084327,-0.005280,0.084162,0.996438
72.178478,72.124000,2.451562,0.204724,0.997922,0.064429,0.000066,-0.064200,0.994458,-0.083262,-0.005431,0.083085,0.996528
75.459318,75.397574,2.669777,0.202100,0.997753,0.067007,0.000065,-0.066775,0.994377,-0.082197,-0.005574,0.082008,0.996616
78.740157,78.670577,2.896394,0.199475,0.997578,0.069551,0.000064,-0.069316,0.994290,-0.081132,-0.005708,0.080931,0.996703
82.020997,81.942996,3.131301,0.196850,0.997400,0.072061,0.000063,-0.071825,0.994198,-0.080067,-0.005834,0.079854,0.996790
85.301837,85.214817,3.374389,0.194226,0.997218,0.074538,0.000062,-0.074300,0.994102,-0.079001,-0.005952,0.078777,0.996875
88.582677,88.486028,3.625546,0.191601,0.997033,0.076981,0.000061,-0.076742,0.994000,-0.077936,-0.006062,0.077700,0.996958
91.863517,91.756620,3.884663,0.188976,0.996844,0.079390,0.000061,-0.079150,0.993894,-0.076870,-0.006164,0.076623,0.997041
95.144357,95.026579,4.151628,0.186352,0.996652,0.081765,0.000060,-0.081526,0.993784,-0.075805,-0.006259,0.075546,0.997123
98.425197,98.295898,4.426332,0.183727,0.996457,0.084107,0.000059,-0.083868,0.993670,-0.074739,-0.006346,0.074469,0.997203
101.706037,101.564566,4.708663,0.181102,0.996259,0.086415,0.000058,-0.086176,0.993552,-0.073673,-0.006426,0.073393,0.997282
104.986877,104.832577,4.998511,0.178478,0.996059,0.088690,0.000057,-0.088452,0.993431,-0.072608,-0.006498,0.072316,0.997361
108.267717,108.099922,5.295766,0.175853,0.995857,0.090931,0.000056,-0.090694,0.993306,-0.071542,-0.006563,0.071240,0.997438
