DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,-0.000791,0.000084,0.000795,0.994295,-0.106667,-0.000001,0.106667,0.994295
1.000000,0.999998,0.001661,0.079200,0.999997,0.002526,0.000083,-0.002503,0.994405,-0.105604,-0.000351,0.105603,0.994408
2.000000,1.999985,0.006622,0.078400,0.999983,0.005809,0.000082,-0.005768,0.994504,-0.104541,-0.000691,0.104539,0.994521
3.000000,2.999951,0.014850,0.077600,0.999959,0.009059,0.000081,-0.009002,0.994591,-0.103478,-0.001020,0.103473,0.994632
4.000000,3.999885,0.026311,0.076800,0.999925,0.012275,0.000081,-0.012202,0.994667,-0.102415,-0.001339,0.102407,0.994742
5.000000,4.999777,0.040971,0.076000,0.999881,0.015458,0.000080,-0.015370,0.994732,-0.101352,-0.001648,0.101339,0.994851
6.000000,5.999618,0.058798,0.075200,0.999827,0.018607,0.000079,-0.018506,0.994786,-0.100289,-0.001946,0.100270,0.994958
7.000000,6.999398,0.079758,0.074400,0.999764,0.021723,0.000078,-0.021608,0.994830,-0.099226,-0.002235,0.099200,0.995065
8.000000,7.999108,0.103816,0.073600,0.999692,0.024806,0.000077,-0.024678,0.994864,-0.098162,-0.002514,0.098130,0.995170
9.000000,8.998739,0.130941,0.072800,0.999612,0.027855,0.000076,-0.027716,0.994889,-0.097098,-0.002782,0.097059,0.995275
10.000000,9.998284,0.161097,0.072000,0.999523,0.030870,0.000076,-0.030720,0.994904,-0.096035,-0.003041,0.095987,0.995378
11.000000,10.997734,0.194252,0.071200,0.999427,0.033852,0.000075,-0.033692,0.994910,-0.094971,-0.003291,0.094914,0.995480
12.000000,11.997081,0.230372,0.070400,0.999323,0.036800,0.000074,-0.036630,0.994907,-0.093907,-0.003531,0.093841,0.995581
13.000000,12.996318,0.269423,0.069600,0.999211,0.039714,0.000073,-0.039536,0.994896,-0.092843,-0.003762,0.092767,0.995681
14.000000,13.995437,0.311372,0.068800,0.999092,0.042595,0.000072,-0.042409,0.994876,-0.091779,-0.003983,0.091692,0.995779
15.000000,14.994432,0.356185,0.068000,0.998967,0.045442,0.000071,-0.045248,0.994848,-0.090715,-0.004195,0.090618,0.995877
16.000000,15.993297,0.403828,0.067200,0.998835,0.048256,0.000071,-0.048055,0.994813,-0.089650,-0.004398,0.089542,0.995973
17.000000,16.992023,0.454268,0.066400,0.998697,0.051035,0.000070,-0.050829,0.994771,-0.088586,-0.004592,0.088467,0.996069
18.000000,17.990607,0.507470,0.065600,0.998553,0.053782,0.000069,-0.053569,0.994721,-0.087521,-0.004777,0.087391,0.996163
19.000000,18.989041,0.563402,0.064800,0.998403,0.056494,0.000068,-0.056277,0.994665,-0.086457,-0.004954,0.086315,0.996256
20.000000,19.987321,0.622029,0.064000,0.998248,0.059173,0.000067,-0.058951,0.994602,-0.085392,-0.005121,0.085238,0.996347
21.000000,20.985440,0.683319,0.063200,0.998087,0.061818,0.000066,-0.061592,0.994533,-0.084327,-0.005280,0.084162,0.996438
22.000000,21.983395,0.747236,0.062400,0.997922,0.064429,0.000066,-0.064200,0.994458,-0.083262,-0.005431,0.083085,0.996528
23.000000,22.981181,0.813748,0.061600,0.997753,0.067007,0.000065,-0.066775,0.994377,-0.082197,-0.005574,0.082008,0.996616
