dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000800,0.000000,1.000000
3.280833,0.002625,1.000000,0.000800,0.001069,0.999999
6.561667,0.005249,1.000000,0.000800,0.002137,0.999998
9.842500,0.007874,1.000000,0.000800,0.003206,0.999995
13.123333,0.010499,1.000000,0.000800,0.004275,0.999991
16.404167,0.013123,1.000000,0.000800,0.005343,0.999986
19.685000,0.015748,1.000000,0.000800,0.006412,0.999979
22.965833,0.018373,1.000000,0.000800,0.007481,0.999972
26.246667,0.020997,1.000000,0.000800,0.008549,0.999963
29.527500,0.023622,1.000000,0.000800,0.009618,0.999954
32.808333,0.026247,1.000000,0.000800,0.010687,0.999943
36.089167,0.028871,1.000000,0.000800,0.011755,0.999931
39.370000,0.031496,1.000000,0.000800,0.012824,0.999918
42.650833,0.034121,1.000000,0.000800,0.013893,0.999903
45.931667,0.036745,1.000000,0.000800,0.014961,0.999888
49.212500,0.039370,1.000000,0.000800,0.016030,0.999872
52.493333,0.041995,1.000000,0.000800,0.017098,0.999854
55.774167,0.044619,1.000000,0.000800,0.018167,0.999835
59.055000,0.047244,1.000000,0.000800,0.019235,0.999815
62.335833,0.049869,1.000000,0.000800,0.020304,0.999794
65.616667,0.052493,1.000000,0.000800,0.021372,0.999772
68.897500,0.055118,1.000000,0.000800,0.022441,0.999748
72.178333,0.057743,1.000000,0.000800,0.023509,0.999724
75.459167,0.060367,1.000000,0.000800,0.024578,0.999698
78.740000,0.062992,1.000000,0.000800,0.025646,0.999671
82.020833,0.065617,1.000000,0.000800,0.026714,0.999643
85.301667,0.068241,1.000000,0.000800,0.027783,0.999614
88.582500,0.070866,1.000000,0.000800,0.028851,0.999584
91.863333,0.073491,1.000000,0.000800,0.029919,0.999552
95.144167,0.076115,1.000000,0.000800,0.030987,0.999520
98.425000,0.078740,1.000000,0.000800,0.032056,0.999486
101.705833,0.081365,1.000000,0.000800,0.033124,0.999451
104.986667,0.083989,1.000000,0.000800,0.034192,0.999415
108.267500,0.086614,1.000000,0.000800,0.035260,0.999378
111.548333,0.089239,1.000000,0.000799,0.036328,0.999340
114.829167,0.091863,1.000000,0.000799,0.037396,0.999301
118.110000,0.094488,1.000000,0.000799,0.038464,0.999260
121.390833,0.097113,1.000000,0.000799,0.039532,0.999218
124.671667,0.099737,1.000000,0.000799,0.040599,0.999176
127.952500,0.102362,1.000000,0.000799,0.041667,0.999132
131.233333,0.104987,1.000000,0.000799,0.042735,0.999086
134.514167,0.107611,1.000000,0.000799,0.043803,0.999040
137.795000,0.110236,1.000000,0.000799,0.044870,0.998993
141.075833,0.112861,1.000000,0.000799,0.045938,0.998944
144.356667,0.115485,1.000000,0.000799,0.047005,0.998895
147.637500,0.118110,1.000000,0.000799,0.048073,0.998844
150.918333,0.120735,1.000000,0.000799,0.049140,0.998792
154.199167,0.123359,1.000000,0.000799,0.050208,0.998739
157.480000,0.125984,1.000000,0.000799,0.051275,0.998685
160.760833,0.128609,1.000000,0.000799,0.052342,0.998629
164.041667,0.131233,1.000000,0.000799,0.053410,0.998573
167.322500,0.133858,1.000000,0.000799,0.054477,0.998515
170.603333,0.136483,1.000000,0.000799,0.055544,0.998456
173.884167,0.139107,1.000000,0.000799,0.056611,0.998396
177.165000,0.141732,1.000000,0.000799,0.057678,0.998335
180.445833,0.144357,1.000000,0.000799,0.058745,0.998273
183.726667,0.146981,1.000000,0.000799,0.059811,0.998210
187.007500,0.149606,1.000000,0.000799,0.060878,0.998145
190.288333,0.152231,1.000000,0.000798,0.061945,0.998080
193.569167,0.154855,1.000000,0.000798,0.063012,0.998013
196.850000,0.157480,1.000000,0.000798,0.064078,0.997945
