dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,-0.000791,0.106667,0.994295
3.280840,0.259843,1.000000,-0.000791,0.105735,0.994394
6.561680,0.257218,1.000000,-0.000791,0.104804,0.994493
9.842520,0.254593,1.000000,-0.000791,0.103872,0.994591
13.123360,0.251969,1.000000,-0.000791,0.102941,0.994687
16.404199,0.249344,1.000000,-0.000791,0.102009,0.994783
19.685039,0.246719,1.000000,-0.000791,0.101077,0.994879
22.965879,0.244094,1.000000,-0.000791,0.100146,0.994973
26.246719,0.241470,1.000000,-0.000792,0.099214,0.995066
29.527559,0.238845,1.000000,-0.000792,0.098282,0.995159
32.808399,0.236220,1.000000,-0.000792,0.097350,0.995250
36.089239,0.233596,1.000000,-0.000792,0.096417,0.995341
39.370079,0.230971,1.000000,-0.000792,0.095485,0.995431
42.650919,0.228346,1.000000,-0.000792,0.094553,0.995520
45.931759,0.225722,1.000000,-0.000792,0.093620,0.995608
49.212598,0.223097,1.000000,-0.000792,0.092688,0.995695
52.493438,0.220472,1.000000,-0.000792,0.091755,0.995782
55.774278,0.217848,1.000000,-0.000792,0.090822,0.995867
59.055118,0.215223,1.000000,-0.000792,0.089890,0.995952
62.335958,0.212598,1.000000,-0.000792,0.088957,0.996035
65.616798,0.209974,1.000000,-0.000792,0.088024,0.996118
68.897638,0.207349,1.000000,-0.000792,0.087091,0.996200
72.178478,0.204724,1.000000,-0.000792,0.086158,0.996282
75.459318,0.202100,1.000000,-0.000793,0.085225,0.996362
78.740157,0.199475,1.000000,-0.000793,0.084291,0.996441
82.020997,0.196850,1.000000,-0.000793,0.083358,0.996520
85.301837,0.194226,1.000000,-0.000793,0.082425,0.996597
88.582677,0.191601,1.000000,-0.000793,0.081491,0.996674
91.863517,0.188976,1.000000,-0.000793,0.080558,0.996750
95.144357,0.186352,1.000000,-0.000793,0.079624,0.996825
98.425197,0.183727,1.000000,-0.000793,0.078690,0.996899
101.706037,0.181102,1.000000,-0.000793,0.077757,0.996972
104.986877,0.178478,1.000000,-0.000793,0.076823,0.997045
108.267717,0.175853,1.000000,-0.000793,0.075889,0.997116
111.548556,0.173228,1.000000,-0.000793,0.074955,0.997187
114.829396,0.170604,1.000000,-0.000793,0.074021,0.997257
118.110236,0.167979,1.000000,-0.000793,0.073087,0.997326
121.391076,0.165354,1.000000,-0.000793,0.072153,0.997394
124.671916,0.162730,1.000000,-0.000793,0.071219,0.997461
127.952756,0.160105,1.000000,-0.000793,0.070284,0.997527
131.233596,0.157480,1.000000,-0.000794,0.069350,0.997592
134.514436,0.154856,1.000000,-0.000794,0.068416,0.997657
137.795276,0.152231,1.000000,-0.000794,0.067481,0.997721
141.076115,0.149606,1.000000,-0.000794,0.066547,0.997783
144.356955,0.146982,1.000000,-0.000794,0.065612,0.997845
147.637795,0.144357,1.000000,-0.000794,0.064678,0.997906
150.918635,0.141732,1.000000,-0.000794,0.063743,0.997966
154.199475,0.139108,1.000000,-0.000794,0.062808,0.998026
157.480315,0.136483,1.000000,-0.000794,0.061873,0.998084
160.761155,0.133858,1.000000,-0.000794,0.060939,0.998142
164.041995,0.131234,1.000000,-0.000794,0.060004,0.998198
167.322835,0.128609,1.000000,-0.000794,0.059069,0.998254
170.603675,0.125984,1.000000,-0.000794,0.058134,0.998309
173.884514,0.123360,1.000000,-0.000794,0.057199,0.998363
177.165354,0.120735,1.000000,-0.000794,0.056264,0.998416
180.446194,0.118110,1.000000,-0.000794,0.055328,0.998468
183.727034,0.115486,1.000000,-0.000794,0.054393,0.998520
187.007874,0.112861,1.000000,-0.000794,0.053458,0.998570
190.288714,0.110236,1.000000,-0.000794,0.052523,0.998620
193.569554,0.107612,1.000000,-0.000794,0.051587,0.998668
196.850394,0.104987,1.000000,-0.000794,0.050652,0.998716
200.131234,0.102362,1.000000,-0.000794,0.049717,0.998763
203.412073,0.099738,1.000000,-0.000795,0.048781,0.998809
206.692913,0.097113,1.000000,-0.000795,0.047846,0.998855
209.973753,0.094488,1.000000,-0.000795,0.046910,0.998899
213.254593,0.091864,1.000000,-0.000795,0.045974,0.998943
216.535433,0.089239,1.000000,-0.000795,0.045039,0.998985
219.816273,0.086614,1.000000,-0.000795,0.044103,0.999027
223.097113,0.083990,1.000000,-0.000795,0.043167,0.999068
226.377953,0.081365,1.000000,-0.000795,0.042232,0.999108
229.658793,0.078740,1.000000,-0.000795,0.041296,0.999147
232.939633,0.076115,1.000000,-0.000795,0.040360,0.999185
236.220472,0.073491,1.000000,-0.000795,0.039424,0.999223
239.501312,0.070866,1.000000,-0.000795,0.038488,0.999259
242.782152,0.068241,1.000000,-0.000795,0.037552,0.999295
246.062992,0.065617,1.000000,-0.000795,0.036616,0.999329
249.343832,0.062992,1.000000,-0.000795,0.035680,0.999363
252.624672,0.060367,1.000000,-0.000795,0.034744,0.999396
255.905512,0.057743,1.000000,-0.000795,0.033808,0.999428
259.186352,0.055118,1.000000,-0.000795,0.032872,0.999460
262.467192,0.052493,1.000000,-0.000795,0.031936,0.999490
265.748031,0.049869,1.000000,-0.000795,0.031000,0.999519
269.028871,0.047244,1.000000,-0.000795,0.030064,0.999548
272.309711,0.044619,1.000000,-0.000795,0.029128,0.999576
275.590551,0.041995,1.000000,-0.000795,0.028191,0.999603
278.871391,0.039370,1.000000,-0.000795,0.027255,0.999629
282.152231,0.036745,1.000000,-0.000795,0.026319,0.999654
285.433071,0.034121,1.000000,-0.000795,0.025383,0.999678
288.713911,0.031496,1.000000,-0.000795,0.024446,0.999701
291.994751,0.028871,1.000000,-0.000795,0.023510,0.999724
295.275591,0.026247,1.000000,-0.000795,0.022574,0.999745
298.556430,0.023622,1.000000,-0.000795,0.021637,0.999766
301.837270,0.020997,1.000000,-0.000795,0.020701,0.999786
305.118110,0.018373,1.000000,-0.000795,0.019764,0.999805
308.398950,0.015748,1.000000,-0.000795,0.018828,0.999823
311.679790,0.013123,1.000000,-0.000795,0.017892,0.999840
314.960630,0.010499,1.000000,-0.000795,0.016955,0.999856
318.241470,0.007874,1.000000,-0.000795,0.016019,0.999872
321.522310,0.005249,1.000000,-0.000795,0.015082,0.999886
324.803150,0.002625,1.000000,-0.000795,0.014146,0.999900
328.083990,-0.000000,1.000000,-0.000795,0.013209,0.999913
