dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,-0.000791,0.106667,0.994295
3.280833,0.259842,1.000000,-0.000791,0.105735,0.994394
6.561667,0.257217,1.000000,-0.000791,0.104804,0.994493
9.842500,0.254593,1.000000,-0.000791,0.103872,0.994591
13.123333,0.251968,1.000000,-0.000791,0.102941,0.994687
16.404167,0.249343,1.000000,-0.000791,0.102009,0.994783
19.685000,0.246719,1.000000,-0.000791,0.101077,0.994879
22.965833,0.244094,1.000000,-0.000791,0.100146,0.994973
26.246667,0.241469,1.000000,-0.000792,0.099214,0.995066
29.527500,0.238845,1.000000,-0.000792,0.098282,0.995159
32.808333,0.236220,1.000000,-0.000792,0.097350,0.995250
36.089167,0.233595,1.000000,-0.000792,0.096417,0.995341
39.370000,0.230971,1.000000,-0.000792,0.095485,0.995431
42.650833,0.228346,1.000000,-0.000792,0.094553,0.995520
45.931667,0.225721,1.000000,-0.000792,0.093620,0.995608
49.212500,0.223097,1.000000,-0.000792,0.092688,0.995695
52.493333,0.220472,1.000000,-0.000792,0.091755,0.995782
55.774167,0.217847,1.000000,-0.000792,0.090822,0.995867
59.055000,0.215223,1.000000,-0.000792,0.089890,0.995952
62.335833,0.212598,1.000000,-0.000792,0.088957,0.996035
65.616667,0.209973,1.000000,-0.000792,0.088024,0.996118
68.897500,0.207349,1.000000,-0.000792,0.087091,0.996200
72.178333,0.204724,1.000000,-0.000792,0.086158,0.996282
75.459167,0.202099,1.000000,-0.000793,0.085225,0.996362
78.740000,0.199475,1.000000,-0.000793,0.084291,0.996441
82.020833,0.196850,1.000000,-0.000793,0.083358,0.996520
85.301667,0.194225,1.000000,-0.000793,0.082425,0.996597
88.582500,0.191601,1.000000,-0.000793,0.081491,0.996674
91.863333,0.188976,1.000000,-0.000793,0.080558,0.996750
95.144167,0.186351,1.000000,-0.000793,0.079624,0.996825
98.425000,0.183727,1.000000,-0.000793,0.078690,0.996899
101.705833,0.181102,1.000000,-0.000793,0.077757,0.996972
104.986667,0.178477,1.000000,-0.000793,0.076823,0.997045
108.267500,0.175853,1.000000,-0.000793,0.075889,0.997116
111.548333,0.173228,1.000000,-0.000793,0.074955,0.997187
114.829167,0.170603,1.000000,-0.000793,0.074021,0.997257
118.110000,0.167979,1.000000,-0.000793,0.073087,0.997326
121.390833,0.165354,1.000000,-0.000793,0.072153,0.997394
124.671667,0.162729,1.000000,-0.000793,0.071219,0.997461
127.952500,0.160105,1.000000,-0.000793,0.070284,0.997527
131.233333,0.157480,1.000000,-0.000794,0.069350,0.997592
134.514167,0.154855,1.000000,-0.000794,0.068416,0.997657
137.795000,0.152231,1.000000,-0.000794,0.067481,0.997721
141.075833,0.149606,1.000000,-0.000794,0.066547,0.997783
144.356667,0.146981,1.000000,-0.000794,0.065612,0.997845
147.637500,0.144357,1.000000,-0.000794,0.064678,0.997906
150.918333,0.141732,1.000000,-0.000794,0.063743,0.997966
154.199167,0.139107,1.000000,-0.000794,0.062808,0.998026
157.480000,0.136483,1.000000,-0.000794,0.061873,0.998084
160.760833,0.133858,1.000000,-0.000794,0.060939,0.998142
164.041667,0.131233,1.000000,-0.000794,0.060004,0.998198
167.322500,0.128609,1.000000,-0.000794,0.059069,0.998254
170.603333,0.125984,1.000000,-0.000794,0.058134,0.998309
173.884167,0.123359,1.000000,-0.000794,0.057199,0.998363
177.165000,0.120735,1.000000,-0.000794,0.056264,0.998416
180.445833,0.118110,1.000000,-0.000794,0.055328,0.998468
183.726667,0.115485,1.000000,-0.000794,0.054393,0.998520
187.007500,0.112861,1.000000,-0.000794,0.053458,0.998570
190.288333,0.110236,1.000000,-0.000794,0.052523,0.998620
193.569167,0.107611,1.000000,-0.000794,0.051587,0.998668
196.850000,0.104987,1.000000,-0.000794,0.050652,0.998716
200.130833,0.102362,1.000000,-0.000794,0.049717,0.998763
203.411667,0.099737,1.000000,-0.000795,0.048781,0.998809
206.692500,0.097113,1.000000,-0.000795,0.047846,0.998855
209.973333,0.094488,1.000000,-0.000795,0.046910,0.998899
213.254167,0.091863,1.000000,-0.000795,0.045974,0.998943
216.535000,0.089239,1.000000,-0.000795,0.045039,0.998985
219.815833,0.086614,1.000000,-0.000795,0.044103,0.999027
223.096667,0.083989,1.000000,-0.000795,0.043167,0.999068
226.377500,0.081365,1.000000,-0.000795,0.042232,0.999108
229.658333,0.078740,1.000000,-0.000795,0.041296,0.999147
232.939167,0.076115,1.000000,-0.000795,0.040360,0.999185
236.220000,0.073491,1.000000,-0.000795,0.039424,0.999223
239.500833,0.070866,1.000000,-0.000795,0.038488,0.999259
242.781667,0.068241,1.000000,-0.000795,0.037552,0.999295
246.062500,0.065617,1.000000,-0.000795,0.036616,0.999329
249.343333,0.062992,1.000000,-0.000795,0.035680,0.999363
252.624167,0.060367,1.000000,-0.000795,0.034744,0.999396
255.905000,0.057743,1.000000,-0.000795,0.033808,0.999428
259.185833,0.055118,1.000000,-0.000795,0.032872,0.999460
