dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,-0.000791,0.106667,0.994295
3.280840,0.259843,1.000000,-0.000791,0.105604,0.994408
6.561680,0.257218,1.000000,-0.000791,0.104541,0.994521
9.842520,0.254593,1.000000,-0.000791,0.103478,0.994632
13.123360,0.251969,1.000000,-0.000791,0.102415,0.994742
16.404199,0.249344,1.000000,-0.000791,0.101352,0.994851
19.685039,0.246719,1.000000,-0.000791,0.100289,0.994958
22.965879,0.244094,1.000000,-0.000792,0.099226,0.995065
26.246719,0.241470,1.000000,-0.000792,0.098162,0.995170
29.527559,0.238845,1.000000,-0.000792,0.097098,0.995275
32.808399,0.236220,1.000000,-0.000792,0.096035,0.995378
36.089239,0.233596,1.000000,-0.000792,0.094971,0.995480
39.370079,0.230971,1.000000,-0.000792,0.093907,0.995581
42.650919,0.228346,1.000000,-0.000792,0.092843,0.995681
45.931759,0.225722,1.000000,-0.000792,0.091779,0.995779
49.212598,0.223097,1.000000,-0.000792,0.090715,0.995877
52.493438,0.220472,1.000000,-0.000792,0.089650,0.995973
55.774278,0.217848,1.000000,-0.000792,0.088586,0.996069
59.055118,0.215223,1.000000,-0.000792,0.087521,0.996163
62.335958,0.212598,1.000000,-0.000792,0.086457,0.996256
65.616798,0.209974,1.000000,-0.000793,0.085392,0.996347
68.897638,0.207349,1.000000,-0.000793,0.084327,0.996438
72.178478,0.204724,1.000000,-0.000793,0.083262,0.996528
75.459318,0.202100,1.000000,-0.000793,0.082197,0.996616
78.740157,0.199475,1.000000,-0.000793,0.081132,0.996703
82.020997,0.196850,1.000000,-0.000793,0.080067,0.996790
85.301837,0.194226,1.000000,-0.000793,0.079001,0.996875
88.582677,0.191601,1.000000,-0.000793,0.077936,0.996958
91.863517,0.188976,1.000000,-0.000793,0.076870,0.997041
95.144357,0.186352,1.000000,-0.000793,0.075805,0.997123
98.425197,0.183727,1.000000,-0.000793,0.074739,0.997203
101.706037,0.181102,1.000000,-0.000793,0.073673,0.997282
104.986877,0.178478,1.000000,-0.000793,0.072608,0.997361
108.267717,0.175853,1.000000,-0.000793,0.071542,0.997438
111.548556,0.173228,1.000000,-0.000793,0.070476,0.997513
114.829396,0.170604,1.000000,-0.000794,0.069410,0.997588
