DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
3.280840,3.280839,-0.001640,0.000002,1.000000,-0.001000,-0.000000,0.001000,1.000000,0.000001,-0.000000,-0.000001,1.000000
6.561680,6.561675,-0.006562,0.000014,0.999998,-0.002000,-0.000000,0.002000,0.999998,0.000006,-0.000000,-0.000006,1.000000
9.842520,9.842505,-0.014764,0.000047,0.999995,-0.003000,-0.000000,0.003000,0.999995,0.000019,-0.000000,-0.000019,1.000000
13.123360,13.123325,-0.026249,0.000110,0.999992,-0.004001,-0.000000,0.004001,0.999992,0.000045,-0.000000,-0.000045,1.000000
16.404199,16.404131,-0.041018,0.000215,0.999987,-0.005002,-0.000000,0.005002,0.999987,0.000087,-0.000000,-0.000087,1.000000
19.685039,19.684921,-0.059074,0.000370,0.999982,-0.006004,-0.000000,0.006004,0.999982,0.000151,-0.000001,-0.000151,1.000000
22.965879,22.965691,-0.080422,0.000587,0.999975,-0.007008,-0.000000,0.007008,0.999975,0.000239,-0.000002,-0.000239,1.000000
26.246719,26.246439,-0.105068,0.000873,0.999968,-0.008015,-0.000000,0.008015,0.999968,0.000356,-0.000003,-0.000355,1.000000
29.527559,29.527159,-0.133021,0.001239,0.999959,-0.009024,-0.000000,0.009024,0.999959,0.000504,-0.000005,-0.000504,1.000000
32.808399,32.807850,-0.164290,0.001693,0.999950,-0.010036,-0.000000,0.010036,0.999949,0.000689,-0.000007,-0.000689,1.000000
36.089239,36.088507,-0.198890,0.002244,0.999939,-0.011053,-0.000000,0.011053,0.999938,0.000914,-0.000010,-0.000914,1.000000
39.370079,39.369128,-0.236836,0.002901,0.999927,-0.012076,-0.000000,0.012076,0.999926,0.001181,-0.000014,-0.001181,0.999999
42.650919,42.649707,-0.278147,0.003670,0.999914,-0.013104,-0.000000,0.013104,0.999913,0.001494,-0.000020,-0.001494,0.999999
45.931759,45.930242,-0.322847,0.004559,0.999900,-0.014140,-0.000000,0.014140,0.999898,0.001856,-0.000026,-0.001856,0.999998
49.212598,49.210729,-0.370960,0.005575,0.999885,-0.015185,-0.000000,0.015185,0.999882,0.002270,-0.000034,-0.002270,0.999997
52.493438,52.491164,-0.422516,0.006725,0.999868,-0.016239,-0.000000,0.016239,0.999864,0.002738,-0.000044,-0.002738,0.999996
55.774278,55.771542,-0.477550,0.008014,0.999850,-0.017304,-0.000000,0.017304,0.999845,0.003263,-0.000056,-0.003262,0.999995
59.055118,59.051859,-0.536098,0.009447,0.999831,-0.018380,-0.000000,0.018380,0.999824,0.003846,-0.000071,-0.003846,0.999993
62.335958,62.332111,-0.598202,0.011029,0.999810,-0.019471,-0.000000,0.019471,0.999800,0.004491,-0.000087,-0.004490,0.999990
65.616798,65.612293,-0.663908,0.012765,0.999788,-0.020576,-0.000000,0.020575,0.999775,0.005198,-0.000107,-0.005196,0.999986
68.897638,68.892399,-0.733267,0.014658,0.999765,-0.021697,-0.000000,0.021696,0.999747,0.005968,-0.000130,-0.005967,0.999982
72.178478,72.172425,-0.806333,0.016710,0.999739,-0.022835,-0.000000,0.022835,0.999716,0.006804,-0.000155,-0.006802,0.999977
75.459318,75.452365,-0.883168,0.018924,0.999712,-0.023993,-0.000000,0.023992,0.999682,0.007705,-0.000185,-0.007703,0.999970
78.740157,78.732213,-0.963834,0.021302,0.999683,-0.025171,-0.000000,0.025170,0.999646,0.008673,-0.000218,-0.008671,0.999962
82.020997,82.011963,-1.048402,0.023844,0.999652,-0.026370,-0.000000,0.026369,0.999605,0.009708,-0.000256,-0.009705,0.999953
