DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000
1.000000,1.000000,-0.000500,0.000001,1.000000,-0.001000,0.000000,0.001000,1.000000,0.000001,-0.000000,-0.000001,1.000000
2.000000,1.999999,-0.002000,0.000004,0.999998,-0.002000,0.000000,0.002000,0.999998,0.000006,-0.000000,-0.000006,1.000000
3.000000,2.999995,-0.004500,0.000014,0.999995,-0.003000,0.000000,0.003000,0.999995,0.000019,-0.000000,-0.000019,1.000000
4.000000,3.999989,-0.008001,0.000034,0.999992,-0.004001,0.000000,0.004001,0.999992,0.000045,-0.000000,-0.000045,1.000000
5.000000,4.999979,-0.012502,0.000065,0.999987,-0.005002,0.000000,0.005002,0.999987,0.000087,-0.000000,-0.000087,1.000000
6.000000,5.999964,-0.018006,0.000113,0.999982,-0.006004,0.000000,0.006004,0.999982,0.000151,-0.000001,-0.000151,1.000000
7.000000,6.999943,-0.024513,0.000179,0.999975,-0.007008,0.000000,0.007008,0.999975,0.000239,-0.000002,-0.000239,1.000000
8.000000,7.999914,-0.032025,0.000266,0.999968,-0.008015,0.000000,0.008015,0.999968,0.000356,-0.000003,-0.000355,1.000000
9.000000,8.999878,-0.040545,0.000378,0.999959,-0.009024,0.000000,0.009024,0.999959,0.000504,-0.000005,-0.000504,1.000000
10.000000,9.999833,-0.050076,0.000516,0.999950,-0.010036,0.000000,0.010036,0.999949,0.000689,-0.000007,-0.000689,1.000000
11.000000,10.999777,-0.060622,0.000684,0.999939,-0.011053,0.000000,0.011053,0.999938,0.000914,-0.000010,-0.000914,1.000000
12.000000,11.999710,-0.072188,0.000884,0.999927,-0.012076,0.000000,0.012076,0.999926,0.001181,-0.000014,-0.001181,0.999999
13.000000,12.999631,-0.084779,0.001118,0.999914,-0.013104,0.000000,0.013104,0.999913,0.001494,-0.000020,-0.001494,0.999999
14.000000,13.999538,-0.098404,0.001390,0.999900,-0.014140,0.000000,0.014140,0.999898,0.001856,-0.000026,-0.001856,0.999998
15.000000,14.999430,-0.113069,0.001699,0.999885,-0.015185,0.000000,0.015185,0.999882,0.002270,-0.000034,-0.002270,0.999997
16.000000,15.999307,-0.128783,0.002050,0.999868,-0.016239,0.000000,0.016239,0.999864,0.002738,-0.000044,-0.002738,0.999996
17.000000,16.999166,-0.145557,0.002443,0.999850,-0.017304,0.000000,0.017304,0.999845,0.003263,-0.000056,-0.003262,0.999995
18.000000,17.999007,-0.163403,0.002879,0.999831,-0.018380,0.000000,0.018380,0.999824,0.003846,-0.000071,-0.003846,0.999993
19.000000,18.998828,-0.182332,0.003362,0.999810,-0.019471,0.000000,0.019471,0.999800,0.004491,-0.000087,-0.004490,0.999990
20.000000,19.998627,-0.202359,0.003891,0.999788,-0.020576,0.000000,0.020575,0.999775,0.005198,-0.000107,-0.005196,0.999986
21.000000,20.998403,-0.223500,0.004468,0.999765,-0.021697,0.000000,0.021696,0.999747,0.005968,-0.000130,-0.005967,0.999982
22.000000,21.998155,-0.245770,0.005093,0.999739,-0.022835,0.000000,0.022835,0.999716,0.006804,-0.000155,-0.006802,0.999977
23.000000,22.997881,-0.269190,0.005768,0.999712,-0.023993,0.000000,0.023992,0.999682,0.007705,-0.000185,-0.007703,0.999970
24.000000,23.997579,-0.293777,0.006493,0.999683,-0.025171,0.000000,0.025170,0.999646,0.008673,-0.000218,-0.008671,0.999962
25.000000,24.997246,-0.319553,0.007268,0.999652,-0.026370,0.000000,0.026369,0.999605,0.009708,-0.000256,-0.009705,0.999953
26.000000,25.996882,-0.346541,0.008093,0.999619,-0.027593,0.000000,0.027592,0.999561,0.010811,-0.000298,-0.010807,0.999942
27.000000,26.996484,-0.374764,0.008968,0.999584,-0.028841,0.000000,0.028839,0.999512,0.011980,-0.000346,-0.011975,0.999928
28.000000,27.996049,-0.404249,0.009893,0.999546,-0.030115,0.000000,0.030112,0.999459,0.013216,-0.000398,-0.013210,0.999913
29.000000,28.995575,-0.435022,0.010868,0.999506,-0.031416,0.000000,0.031413,0.999401,0.014517,-0.000456,-0.014510,0.999895
30.000000,29.995060,-0.467111,0.011891,0.999464,-0.032747,0.000000,0.032743,0.999338,0.015884,-0.000520,-0.015875,0.999874
31.000000,30.994501,-0.500547,0.012962,0.999418,-0.034108,0.000000,0.034103,0.999268,0.017314,-0.000591,-0.017304,0.999850
32.000000,31.993895,-0.535360,0.014079,0.999370,-0.035501,0.000000,0.035495,0.999193,0.018807,-0.000668,-0.018795,0.999823
33.000000,32.993238,-0.571582,0.015243,0.999318,-0.036927,0.000000,0.036919,0.999111,0.020361,-0.000752,-0.020347,0.999793
34.000000,33.992528,-0.609249,0.016450,0.999263,-0.038388,0.000000,0.038378,0.999022,0.021973,-0.000844,-0.021957,0.999759
35.000000,34.991762,-0.648394,0.017699,0.999204,-0.039884,0.000000,0.039873,0.998925,0.023642,-0.000943,-0.023623,0.999720
36.000000,35.990935,-0.689054,0.018990,0.999142,-0.041417,0.000000,0.041404,0.998820,0.025365,-0.001051,-0.025343,0.999678
37.000000,36.990043,-0.731267,0.020318,0.999076,-0.042989,0.000000,0.042973,0.998708,0.027140,-0.001167,-0.027115,0.999632
38.000000,37.989083,-0.775072,0.021684,0.999005,-0.044599,0.000000,0.044580,0.998586,0.028963,-0.001292,-0.028934,0.999580
39.000000,38.988050,-0.820507,0.023084,0.998930,-0.046250,0.000000,0.046228,0.998455,0.030833,-0.001426,-0.030800,0.999525
40.000000,39.986940,-0.867613,0.024516,0.998850,-0.047942,0.000000,0.047916,0.998315,0.032745,-0.001570,-0.032707,0.999464
41.000000,40.985748,-0.916433,0.025978,0.998765,-0.049676,0.000000,0.049646,0.998164,0.034696,-0.001724,-0.034653,0.999398
42.000000,41.984468,-0.967009,0.027466,0.998675,-0.051453,0.000000,0.051418,0.998003,0.036683,-0.001888,-0.036634,0.999327
43.000000,42.983095,-1.019383,0.028979,0.998580,-0.053273,0.000000,0.053233,0.997832,0.038702,-0.002062,-0.038647,0.999251
44.000000,43.981624,-1.073600,0.030513,0.998479,-0.055137,0.000000,0.055092,0.997649,0.040750,-0.002247,-0.040688,0.999169
45.000000,44.980049,-1.129704,0.032065,0.998372,-0.057047,0.000000,0.056995,0.997456,0.042822,-0.002444,-0.042753,0.999083
46.000000,45.978363,-1.187740,0.033634,0.998258,-0.059002,0.000000,0.058942,0.997250,0.044915,-0.002651,-0.044837,0.998991
47.000000,46.976561,-1.247753,0.035214,0.998138,-0.061002,0.000000,0.060934,0.997033,0.047024,-0.002869,-0.046937,0.998894
48.000000,47.974634,-1.309790,0.036804,0.998010,-0.063048,0.000000,0.062972,0.996805,0.049146,-0.003099,-0.049048,0.998792
49.000000,48.972577,-1.373896,0.038401,0.997876,-0.065140,0.000000,0.065055,0.996563,0.051276,-0.003341,-0.051167,0.998685
50.000000,49.970382,-1.440118,0.040000,0.997734,-0.067279,0.000000,0.067183,0.996310,0.053410,-0.003594,-0.053288,0.998573
51.000000,50.968041,-1.508502,0.041599,0.997584,-0.069464,0.000000,0.069357,0.996044,0.055543,-0.003859,-0.055409,0.998456
52.000000,51.965546,-1.579093,0.043196,0.997427,-0.071695,0.000000,0.071576,0.995766,0.057672,-0.004136,-0.057524,0.998336
53.000000,52.962889,-1.651939,0.044786,0.997260,-0.073972,0.000000,0.073840,0.995476,0.059793,-0.004424,-0.059629,0.998211
54.000000,53.960061,-1.727084,0.046366,0.997085,-0.076295,0.000000,0.076149,0.995173,0.061900,-0.004724,-0.061720,0.998082
55.000000,54.957054,-1.804575,0.047935,0.996901,-0.078663,0.000000,0.078502,0.994858,0.063991,-0.005035,-0.063792,0.997950
56.000000,55.953858,-1.884457,0.049487,0.996708,-0.081076,0.000000,0.080899,0.994531,0.066060,-0.005357,-0.065843,0.997816
57.000000,56.950464,-1.966774,0.051021,0.996505,-0.083534,0.000000,0.083340,0.994191,0.068105,-0.005690,-0.067867,0.997678
58.000000,57.946862,-2.051570,0.052534,0.996292,-0.086035,0.000000,0.085824,0.993840,0.070121,-0.006034,-0.069861,0.997538
59.000000,58.943042,-2.138889,0.054022,0.996069,-0.088580,0.000000,0.088349,0.993476,0.072104,-0.006388,-0.071821,0.997397
60.000000,59.938994,-2.228773,0.055484,0.995836,-0.091167,0.000000,0.090916,0.993101,0.074052,-0.006752,-0.073743,0.997254
61.000000,60.934707,-2.321265,0.056916,0.995592,-0.093795,0.000000,0.093524,0.992715,0.075959,-0.007126,-0.075624,0.997111
62.000000,61.930171,-2.416405,0.058316,0.995337,-0.096464,0.000000,0.096171,0.992318,0.077824,-0.007508,-0.077461,0.996967
63.000000,62.925374,-2.514233,0.059682,0.995070,-0.099172,0.000000,0.098857,0.991909,0.079643,-0.007899,-0.079250,0.996823
