DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262465,0.999994,-0.003333,0.000000,0.003314,0.994289,-0.106666,0.000356,0.106665,0.994295
6.561667,6.561618,-0.021872,0.262453,0.999978,-0.006667,0.000000,0.006629,0.994273,-0.106661,0.000711,0.106659,0.994295
9.842500,9.842336,-0.049211,0.262420,0.999950,-0.010000,0.000000,0.009943,0.994247,-0.106648,0.001066,0.106642,0.994297
13.123333,13.122944,-0.087485,0.262356,0.999911,-0.013332,0.000000,0.013256,0.994211,-0.106622,0.001421,0.106613,0.994300
16.404167,16.403407,-0.136690,0.262252,0.999861,-0.016664,0.000000,0.016569,0.994166,-0.106580,0.001776,0.106565,0.994304
19.685000,19.683688,-0.196824,0.262096,0.999800,-0.019994,0.000000,0.019881,0.994112,-0.106517,0.002130,0.106495,0.994311
22.965833,22.963750,-0.267880,0.261880,0.999728,-0.023323,0.000000,0.023190,0.994050,-0.106429,0.002482,0.106400,0.994320
26.246667,26.243558,-0.349853,0.261594,0.999645,-0.026649,0.000000,0.026498,0.993980,-0.106313,0.002833,0.106275,0.994333
29.527500,29.523075,-0.442732,0.261228,0.999551,-0.029972,0.000000,0.029802,0.993902,-0.106165,0.003182,0.106117,0.994349
32.808333,32.802265,-0.546506,0.260773,0.999446,-0.033291,0.000000,0.033103,0.993817,-0.105981,0.003528,0.105922,0.994368
36.089167,36.081093,-0.661160,0.260222,0.999330,-0.036605,0.000000,0.036400,0.993725,-0.105758,0.003871,0.105687,0.994392
39.370000,39.359523,-0.786677,0.259566,0.999203,-0.039913,0.000000,0.039691,0.993628,-0.105492,0.004210,0.105408,0.994420
42.650833,42.637520,-0.923037,0.258797,0.999066,-0.043215,0.000000,0.042975,0.993524,-0.105181,0.004545,0.105083,0.994453
45.931667,45.915048,-1.070216,0.257908,0.998918,-0.046509,0.000000,0.046253,0.993415,-0.104821,0.004875,0.104707,0.994491
49.212500,49.192075,-1.228185,0.256892,0.998760,-0.049794,0.000000,0.049522,0.993301,-0.104409,0.005199,0.104280,0.994534
52.493333,52.468565,-1.396915,0.255742,0.998591,-0.053069,0.000000,0.052781,0.993182,-0.103944,0.005516,0.103797,0.994583
55.774167,55.744485,-1.576369,0.254453,0.998412,-0.056332,0.000000,0.056030,0.993058,-0.103422,0.005826,0.103258,0.994638
59.055000,59.019803,-1.766508,0.253020,0.998223,-0.059583,0.000000,0.059267,0.992931,-0.102841,0.006127,0.102659,0.994698
62.335833,62.294485,-1.967288,0.251437,0.998025,-0.062820,0.000000,0.062491,0.992799,-0.102200,0.006420,0.101999,0.994764
65.616667,65.568501,-2.178662,0.249702,0.997817,-0.066041,0.000000,0.065700,0.992664,-0.101497,0.006702,0.101276,0.994836
68.897500,68.841820,-2.400576,0.247809,0.997600,-0.069246,0.000000,0.068894,0.992526,-0.100731,0.006975,0.100489,0.994914
72.178333,72.114410,-2.632972,0.245757,0.997373,-0.072433,0.000000,0.072070,0.992384,-0.099899,0.007235,0.099637,0.994998
75.459167,75.386244,-2.875790,0.243543,0.997138,-0.075599,0.000000,0.075228,0.992240,-0.099002,0.007484,0.098719,0.995087
78.740000,78.657293,-3.128962,0.241165,0.996895,-0.078745,0.000000,0.078366,0.992092,-0.098039,0.007719,0.097734,0.995183
82.020833,81.927531,-3.392416,0.238623,0.996643,-0.081868,0.000000,0.081482,0.991943,-0.097009,0.007941,0.096683,0.995284
85.301667,85.196929,-3.666076,0.235916,0.996384,-0.084967,0.000000,0.084576,0.991790,-0.095911,0.008149,0.095565,0.995390
88.582500,88.465465,-3.949860,0.233044,0.996117,-0.088041,0.000000,0.087645,0.991636,-0.094748,0.008341,0.094380,0.995501
91.863333,91.733113,-4.243683,0.230009,0.995843,-0.091088,0.000000,0.090688,0.991479,-0.093517,0.008517,0.093128,0.995618
95.144167,94.999852,-4.547454,0.226812,0.995562,-0.094106,0.000000,0.093705,0.991320,-0.092221,0.008678,0.091812,0.995739
98.425000,98.265660,-4.861076,0.223455,0.995275,-0.097094,0.000000,0.096692,0.991158,-0.090860,0.008821,0.090431,0.995864
101.705833,101.530517,-5.184450,0.219941,0.994982,-0.100051,0.000000,0.099650,0.990995,-0.089435,0.008947,0.088986,0.995993
104.986667,104.794403,-5.517471,0.216275,0.994684,-0.102975,0.000000,0.102576,0.990830,-0.087948,0.009055,0.087480,0.996125
108.267500,108.057303,-5.860029,0.212459,0.994380,-0.105866,0.000000,0.105470,0.990662,-0.086400,0.009146,0.085915,0.996261
111.548333,111.319199,-6.212012,0.208498,0.994072,-0.108721,0.000000,0.108329,0.990492,-0.084793,0.009218,0.084291,0.996399
114.829167,114.580078,-6.573300,0.204398,0.993760,-0.111540,0.000000,0.111153,0.990320,-0.083130,0.009271,0.082611,0.996539
118.110000,117.839926,-6.943773,0.200165,0.993444,-0.114320,0.000000,0.113941,0.990146,-0.081412,0.009306,0.080879,0.996681
121.390833,121.098732,-7.323305,0.195805,0.993125,-0.117062,0.000000,0.116691,0.989970,-0.079643,0.009322,0.079095,0.996823
124.671667,124.356486,-7.711767,0.191325,0.992802,-0.119765,0.000000,0.119401,0.989791,-0.077824,0.009319,0.077264,0.996967
127.952500,127.613178,-8.109025,0.186732,0.992478,-0.122426,0.000000,0.122072,0.989610,-0.075959,0.009298,0.075388,0.997111
131.233333,130.868803,-8.514945,0.182033,0.992151,-0.125045,0.000000,0.124702,0.989427,-0.074052,0.009259,0.073471,0.997254
134.514167,134.123353,-8.929388,0.177238,0.991823,-0.127621,0.000000,0.127289,0.989241,-0.072104,0.009201,0.071515,0.997397
137.795000,137.376825,-9.352211,0.172355,0.991494,-0.130154,0.000000,0.129834,0.989053,-0.070121,0.009126,0.069525,0.997538
141.075833,140.629216,-9.783272,0.167392,0.991164,-0.132643,0.000000,0.132335,0.988863,-0.068105,0.009033,0.067504,0.997678
144.356667,143.880525,-10.222423,0.162359,0.990834,-0.135087,0.000000,0.134792,0.988669,-0.066060,0.008923,0.065455,0.997816
147.637500,147.130751,-10.669517,0.157265,0.990504,-0.137485,0.000000,0.137204,0.988474,-0.063991,0.008797,0.063383,0.997950
150.918333,150.379896,-11.124404,0.152120,0.990174,-0.139838,0.000000,0.139570,0.988276,-0.061900,0.008655,0.061292,0.998082
154.199167,153.627961,-11.586933,0.146935,0.989846,-0.142144,0.000000,0.141890,0.988075,-0.059793,0.008498,0.059186,0.998211
157.480000,156.874952,-12.056951,0.141718,0.989519,-0.144404,0.000000,0.144163,0.987872,-0.057672,0.008327,0.057068,0.998336
160.760833,160.120872,-12.534306,0.136481,0.989193,-0.146616,0.000000,0.146390,0.987666,-0.055543,0.008143,0.054943,0.998456
164.041667,163.365727,-13.018844,0.131233,0.988870,-0.148782,0.000000,0.148570,0.987459,-0.053410,0.007946,0.052815,0.998573
167.322500,166.609525,-13.510411,0.125986,0.988549,-0.150901,0.000000,0.150703,0.987248,-0.051276,0.007737,0.050689,0.998685
170.603333,169.852273,-14.008854,0.120748,0.988230,-0.152974,0.000000,0.152789,0.987036,-0.049146,0.007517,0.048568,0.998792
173.884167,173.093981,-14.514020,0.115532,0.987915,-0.155000,0.000000,0.154828,0.986822,-0.047024,0.007288,0.046456,0.998894
177.165000,176.334659,-15.025756,0.110346,0.987602,-0.156979,0.000000,0.156820,0.986605,-0.044915,0.007050,0.044358,0.998991
180.445833,179.574316,-15.543910,0.105201,0.987293,-0.158912,0.000000,0.158766,0.986387,-0.042822,0.006804,0.042278,0.999083
