DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,-0.001667,0.079999,0.999994,-0.003333,0.000000,0.003314,0.994289,-0.106666,0.000356,0.106665,0.994295
2.000000,1.999985,-0.006667,0.079996,0.999978,-0.006667,0.000000,0.006629,0.994273,-0.106661,0.000711,0.106659,0.994295
3.000000,2.999950,-0.015000,0.079986,0.999950,-0.010000,0.000000,0.009943,0.994247,-0.106648,0.001066,0.106642,0.994297
4.000000,3.999881,-0.026665,0.079966,0.999911,-0.013332,0.000000,0.013256,0.994211,-0.106622,0.001421,0.106613,0.994300
5.000000,4.999769,-0.041662,0.079935,0.999861,-0.016663,0.000000,0.016568,0.994166,-0.106580,0.001776,0.106565,0.994304
6.000000,5.999600,-0.059990,0.079887,0.999800,-0.019992,0.000000,0.019878,0.994112,-0.106517,0.002129,0.106495,0.994311
7.000000,6.999365,-0.081645,0.079821,0.999728,-0.023319,0.000000,0.023186,0.994050,-0.106429,0.002482,0.106400,0.994320
8.000000,7.999053,-0.106625,0.079734,0.999645,-0.026642,0.000000,0.026491,0.993980,-0.106313,0.002832,0.106275,0.994333
9.000000,8.998652,-0.134926,0.079622,0.999551,-0.029961,0.000000,0.029792,0.993902,-0.106165,0.003181,0.106117,0.994349
10.000000,9.998151,-0.166543,0.079484,0.999446,-0.033275,0.000000,0.033087,0.993818,-0.105981,0.003526,0.105922,0.994368
11.000000,10.997541,-0.201470,0.079316,0.999331,-0.036581,0.000000,0.036376,0.993726,-0.105758,0.003869,0.105687,0.994392
12.000000,11.996809,-0.239699,0.079116,0.999204,-0.039880,0.000000,0.039657,0.993629,-0.105492,0.004207,0.105408,0.994420
13.000000,12.995946,-0.281222,0.078882,0.999068,-0.043169,0.000000,0.042930,0.993526,-0.105181,0.004540,0.105083,0.994453
14.000000,13.994941,-0.326029,0.078610,0.998921,-0.046448,0.000000,0.046192,0.993418,-0.104821,0.004868,0.104708,0.994491
15.000000,14.993785,-0.374107,0.078301,0.998764,-0.049713,0.000000,0.049442,0.993305,-0.104409,0.005190,0.104280,0.994534
16.000000,15.992466,-0.425444,0.077950,0.998596,-0.052965,0.000000,0.052678,0.993187,-0.103944,0.005505,0.103798,0.994583
17.000000,16.990974,-0.480024,0.077557,0.998420,-0.056200,0.000000,0.055899,0.993066,-0.103422,0.005812,0.103258,0.994638
18.000000,17.989302,-0.537830,0.077121,0.998233,-0.059418,0.000000,0.059103,0.992940,-0.102841,0.006110,0.102660,0.994698
19.000000,18.987438,-0.598844,0.076638,0.998038,-0.062616,0.000000,0.062288,0.992812,-0.102200,0.006399,0.102000,0.994764
20.000000,19.985375,-0.663045,0.076109,0.997833,-0.065792,0.000000,0.065452,0.992680,-0.101497,0.006677,0.101277,0.994836
21.000000,20.983103,-0.730410,0.075532,0.997620,-0.068945,0.000000,0.068594,0.992546,-0.100731,0.006944,0.100491,0.994914
22.000000,21.980614,-0.800914,0.074907,0.997399,-0.072072,0.000000,0.071711,0.992410,-0.099899,0.007199,0.099640,0.994998
23.000000,22.977900,-0.874531,0.074232,0.997171,-0.075171,0.000000,0.074802,0.992272,-0.099002,0.007441,0.098722,0.995087
24.000000,23.974954,-0.951233,0.073507,0.996934,-0.078241,0.000000,0.077864,0.992132,-0.098039,0.007670,0.097738,0.995183
25.000000,24.971768,-1.030987,0.072732,0.996691,-0.081278,0.000000,0.080895,0.991991,-0.097009,0.007884,0.096688,0.995284
26.000000,25.968336,-1.113762,0.071907,0.996442,-0.084282,0.000000,0.083893,0.991848,-0.095911,0.008083,0.095570,0.995390
27.000000,26.964651,-1.199522,0.071032,0.996186,-0.087250,0.000000,0.086857,0.991705,-0.094748,0.008266,0.094386,0.995501
28.000000,27.960709,-1.288231,0.070107,0.995926,-0.090179,0.000000,0.089784,0.991561,-0.093517,0.008432,0.093136,0.995618
29.000000,28.956503,-1.379848,0.069132,0.995660,-0.093068,0.000000,0.092672,0.991417,-0.092221,0.008582,0.091821,0.995739
30.000000,29.952028,-1.474333,0.068109,0.995389,-0.095915,0.000000,0.095519,0.991272,-0.090860,0.008714,0.090441,0.995864
31.000000,30.947282,-1.571643,0.067038,0.995115,-0.098718,0.000000,0.098323,0.991128,-0.089435,0.008828,0.088998,0.995993
32.000000,31.942260,-1.671733,0.065921,0.994838,-0.101475,0.000000,0.101082,0.990983,-0.087948,0.008924,0.087494,0.996125
33.000000,32.936960,-1.774554,0.064757,0.994558,-0.104184,0.000000,0.103794,0.990839,-0.086400,0.009000,0.085930,0.996261
34.000000,33.931378,-1.880060,0.063550,0.994276,-0.106842,0.000000,0.106457,0.990695,-0.084793,0.009058,0.084308,0.996399
35.000000,34.925514,-1.988197,0.062301,0.993992,-0.109449,0.000000,0.109071,0.990552,-0.083130,0.009097,0.082631,0.996539
36.000000,35.919366,-2.098915,0.061010,0.993708,-0.112003,0.000000,0.111631,0.990409,-0.081412,0.009117,0.080900,0.996681
37.000000,36.912932,-2.212159,0.059682,0.993423,-0.114502,0.000000,0.114138,0.990267,-0.079643,0.009118,0.079119,0.996823
38.000000,37.906215,-2.327873,0.058316,0.993139,-0.116944,0.000000,0.116589,0.990126,-0.077824,0.009100,0.077290,0.996967
39.000000,38.899213,-2.446000,0.056916,0.992855,-0.119328,0.000000,0.118984,0.989986,-0.075959,0.009063,0.075417,0.997111
40.000000,39.891928,-2.566482,0.055484,0.992573,-0.121653,0.000000,0.121319,0.989847,-0.074052,0.009008,0.073502,0.997254
41.000000,40.884362,-2.689258,0.054022,0.992292,-0.123918,0.000000,0.123595,0.989710,-0.072104,0.008934,0.071549,0.997397
42.000000,41.876518,-2.814268,0.052534,0.992015,-0.126121,0.000000,0.125810,0.989573,-0.070121,0.008843,0.069561,0.997538
43.000000,42.868397,-2.941449,0.051021,0.991740,-0.128261,0.000000,0.127963,0.989438,-0.068105,0.008734,0.067543,0.997678
44.000000,43.860004,-3.070738,0.049487,0.991470,-0.130337,0.000000,0.130053,0.989304,-0.066060,0.008609,0.065497,0.997816
45.000000,44.851342,-3.202072,0.047935,0.991203,-0.132350,0.000000,0.132079,0.989172,-0.063991,0.008468,0.063428,0.997950
46.000000,45.842416,-3.335385,0.046366,0.990941,-0.134297,0.000000,0.134039,0.989041,-0.061900,0.008312,0.061340,0.998082
47.000000,46.833230,-3.470613,0.044786,0.990684,-0.136179,0.000000,0.135935,0.988912,-0.059793,0.008142,0.059236,0.998211
48.000000,47.823790,-3.607689,0.043196,0.990433,-0.137994,0.000000,0.137765,0.988784,-0.057672,0.007958,0.057121,0.998336
49.000000,48.814102,-3.746548,0.041599,0.990188,-0.139744,0.000000,0.139528,0.988659,-0.055543,0.007761,0.054998,0.998456
50.000000,49.804172,-3.887123,0.040000,0.989949,-0.141427,0.000000,0.141225,0.988536,-0.053410,0.007553,0.052873,0.998573
51.000000,50.794007,-4.029349,0.038401,0.989716,-0.143044,0.000000,0.142856,0.988414,-0.051276,0.007334,0.050749,0.998685
52.000000,51.783612,-4.173157,0.036804,0.989491,-0.144594,0.000000,0.144420,0.988295,-0.049146,0.007105,0.048630,0.998792
