DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000
3.280833,3.280833,-0.000000,0.000002,1.000000,0.000000,0.000000,-0.000000,1.000000,0.000001,-0.000000,-0.000001,1.000000
6.561667,6.561667,-0.000000,0.000014,1.000000,-0.000000,0.000000,0.000000,1.000000,0.000006,-0.000000,-0.000006,1.000000
9.842500,9.842500,-0.000001,0.000047,1.000000,-0.000000,0.000000,0.000000,1.000000,0.000019,-0.000000,-0.000019,1.000000
13.123333,13.123333,-0.000004,0.000110,1.000000,-0.000001,0.000000,0.000001,1.000000,0.000045,-0.000000,-0.000045,1.000000
16.404167,16.404167,-0.000011,0.000215,1.000000,-0.000003,0.000000,0.000003,1.000000,0.000087,-0.000000,-0.000087,1.000000
19.685000,19.685000,-0.000028,0.000370,1.000000,-0.000007,0.000000,0.000007,1.000000,0.000151,-0.000000,-0.000151,1.000000
22.965833,22.965833,-0.000060,0.000587,1.000000,-0.000012,0.000000,0.000012,1.000000,0.000239,-0.000000,-0.000239,1.000000
26.246667,26.246667,-0.000117,0.000873,1.000000,-0.000021,0.000000,0.000021,1.000000,0.000356,-0.000000,-0.000356,1.000000
29.527500,29.527500,-0.000211,0.001239,1.000000,-0.000034,0.000000,0.000034,1.000000,0.000504,-0.000000,-0.000504,1.000000
32.808333,32.808333,-0.000356,0.001693,1.000000,-0.000053,0.000000,0.000053,1.000000,0.000689,-0.000000,-0.000689,1.000000
36.089167,36.089167,-0.000573,0.002244,1.000000,-0.000077,0.000000,0.000077,1.000000,0.000914,-0.000000,-0.000914,1.000000
39.370000,39.370000,-0.000883,0.002901,1.000000,-0.000109,0.000000,0.000109,0.999999,0.001181,-0.000000,-0.001181,0.999999
42.650833,42.650833,-0.001315,0.003670,1.000000,-0.000151,0.000000,0.000151,0.999999,0.001494,-0.000000,-0.001494,0.999999
