DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000
3.280833,3.280833,0.001640,0.000002,0.999999,0.001000,-0.000000,-0.001000,0.999999,-0.000001,-0.000000,0.000001,1.000000
6.561667,6.561662,0.006562,0.000014,0.999998,0.002000,-0.000000,-0.002000,0.999998,-0.000006,-0.000000,0.000006,1.000000
9.842500,9.842485,0.014764,0.000047,0.999995,0.003000,-0.000000,-0.003000,0.999995,-0.000019,-0.000000,0.000019,1.000000
13.123333,13.123298,0.026249,0.000110,0.999992,0.004001,-0.000000,-0.004001,0.999992,-0.000045,-0.000000,0.000045,1.000000
16.404167,16.404098,0.041018,0.000215,0.999987,0.005003,-0.000000,-0.005003,0.999987,-0.000087,-0.000000,0.000087,1.000000
19.685000,19.684882,0.059074,0.000370,0.999982,0.006005,-0.000000,-0.006005,0.999982,-0.000151,-0.000001,0.000151,1.000000
22.965833,22.965645,0.080422,0.000587,0.999975,0.007010,-0.000000,-0.007010,0.999975,-0.000239,-0.000002,0.000239,1.000000
26.246667,26.246386,0.105068,0.000873,0.999968,0.008016,-0.000000,-0.008016,0.999968,-0.000356,-0.000003,0.000355,1.000000
29.527500,29.527100,0.133020,0.001239,0.999959,0.009026,-0.000000,-0.009026,0.999959,-0.000504,-0.000005,0.000504,1.000000
32.808333,32.807784,0.164290,0.001693,0.999950,0.010039,-0.000000,-0.010039,0.999949,-0.000689,-0.000007,0.000689,1.000000
36.089167,36.088435,0.198889,0.002244,0.999939,0.011057,-0.000000,-0.011057,0.999938,-0.000914,-0.000010,0.000914,1.000000
39.370000,39.369049,0.236835,0.002901,0.999927,0.012080,-0.000000,-0.012080,0.999926,-0.001181,-0.000014,0.001181,0.999999
42.650833,42.649622,0.278147,0.003670,0.999914,0.013109,-0.000000,-0.013109,0.999913,-0.001494,-0.000020,0.001494,0.999999
45.931667,45.930151,0.322846,0.004559,0.999900,0.014146,-0.000000,-0.014146,0.999898,-0.001856,-0.000026,0.001856,0.999998
49.212500,49.210631,0.370959,0.005575,0.999885,0.015191,-0.000000,-0.015191,0.999882,-0.002270,-0.000034,0.002270,0.999997
52.493333,52.491059,0.422516,0.006725,0.999868,0.016246,-0.000000,-0.016246,0.999864,-0.002738,-0.000044,0.002738,0.999996
55.774167,55.771431,0.477549,0.008013,0.999850,0.017312,-0.000000,-0.017312,0.999845,-0.003263,-0.000056,0.003262,0.999995
59.055000,59.051741,0.536097,0.009447,0.999831,0.018390,-0.000000,-0.018390,0.999823,-0.003846,-0.000071,0.003846,0.999993
62.335833,62.331987,0.598200,0.011029,0.999810,0.019481,-0.000000,-0.019481,0.999800,-0.004491,-0.000087,0.004490,0.999990
65.616667,65.612162,0.663906,0.012765,0.999788,0.020587,-0.000000,-0.020586,0.999775,-0.005198,-0.000107,0.005196,0.999986
68.897500,68.892262,0.733265,0.014658,0.999764,0.021709,-0.000000,-0.021708,0.999747,-0.005968,-0.000130,0.005967,0.999982
72.178333,72.172281,0.806332,0.016710,0.999739,0.022848,-0.000000,-0.022848,0.999716,-0.006804,-0.000155,0.006802,0.999977
75.459167,75.452214,0.883166,0.018924,0.999712,0.024007,-0.000000,-0.024006,0.999682,-0.007705,-0.000185,0.007703,0.999970
78.740000,78.732056,0.963832,0.021302,0.999683,0.025186,-0.000000,-0.025185,0.999645,-0.008673,-0.000218,0.008671,0.999962
82.020833,82.011799,1.048400,0.023844,0.999652,0.026386,-0.000000,-0.026385,0.999605,-0.009708,-0.000256,0.009705,0.999953
85.301667,85.291437,1.136943,0.026551,0.999619,0.027610,-0.000000,-0.027609,0.999560,-0.010811,-0.000298,0.010807,0.999942
88.582500,88.570963,1.229540,0.029423,0.999583,0.028859,-0.000000,-0.028857,0.999512,-0.011980,-0.000346,0.011975,0.999928
91.863333,91.850370,1.326274,0.032458,0.999546,0.030134,-0.000000,-0.030131,0.999459,-0.013216,-0.000398,0.013210,0.999913
95.144167,95.129649,1.427235,0.035655,0.999506,0.031436,-0.000000,-0.031433,0.999400,-0.014517,-0.000456,0.014510,0.999895
98.425000,98.408793,1.532515,0.039012,0.999463,0.032768,-0.000000,-0.032764,0.999337,-0.015884,-0.000520,0.015875,0.999874
101.705833,101.687791,1.642211,0.042525,0.999417,0.034130,-0.000000,-0.034125,0.999268,-0.017314,-0.000591,0.017304,0.999850
104.986667,104.966636,1.756426,0.046192,0.999369,0.035524,-0.000000,-0.035517,0.999192,-0.018807,-0.000668,0.018795,0.999823
108.267500,108.245316,1.875267,0.050008,0.999317,0.036951,-0.000000,-0.036943,0.999110,-0.020361,-0.000752,0.020347,0.999793
111.548333,111.523820,1.998844,0.053969,0.999262,0.038412,-0.000000,-0.038403,0.999021,-0.021973,-0.000844,0.021957,0.999759
114.829167,114.802139,2.127273,0.058068,0.999203,0.039909,-0.000000,-0.039898,0.998924,-0.023642,-0.000943,0.023623,0.999720
118.110000,118.080259,2.260673,0.062301,0.999141,0.041443,-0.000000,-0.041430,0.998819,-0.025365,-0.001051,0.025343,0.999678
121.390833,121.358167,2.399166,0.066662,0.999074,0.043016,-0.000000,-0.043000,0.998706,-0.027140,-0.001167,0.027115,0.999632
124.671667,124.635851,2.542881,0.071142,0.999004,0.044627,-0.000000,-0.044608,0.998585,-0.028963,-0.001292,0.028934,0.999580
127.952500,127.913296,2.691946,0.075735,0.998929,0.046278,-0.000000,-0.046256,0.998454,-0.030833,-0.001426,0.030800,0.999525
131.233333,131.190486,2.846495,0.080433,0.998849,0.047971,-0.000000,-0.047945,0.998313,-0.032745,-0.001570,0.032707,0.999464
134.514167,134.467407,3.006665,0.085228,0.998764,0.049705,-0.000000,-0.049675,0.998163,-0.034696,-0.001724,0.034653,0.999398
137.795000,137.744041,3.172594,0.090112,0.998674,0.051483,-0.000000,-0.051448,0.998002,-0.036683,-0.001888,0.036634,0.999327
141.075833,141.020372,3.344425,0.095075,0.998578,0.053303,-0.000000,-0.053263,0.997830,-0.038702,-0.002062,0.038647,0.999251
144.356667,144.296379,3.522301,0.100108,0.998477,0.055168,-0.000000,-0.055123,0.997648,-0.040750,-0.002247,0.040688,0.999169
147.637500,147.572044,3.706369,0.105201,0.998370,0.057078,-0.000000,-0.057026,0.997454,-0.042822,-0.002444,0.042753,0.999083
150.918333,150.847347,3.896776,0.110346,0.998256,0.059033,-0.000000,-0.058973,0.997249,-0.044915,-0.002651,0.044837,0.998991
154.199167,154.122267,4.093670,0.115532,0.998136,0.061033,-0.000000,-0.060966,0.997032,-0.047024,-0.002869,0.046937,0.998894
157.480000,157.396780,4.297203,0.120748,0.998008,0.063080,-0.000000,-0.063004,0.996802,-0.049146,-0.003099,0.049048,0.998792
160.760833,160.670864,4.507525,0.125986,0.997874,0.065172,-0.000000,-0.065087,0.996561,-0.051276,-0.003341,0.051167,0.998685
164.041667,163.944495,4.724788,0.131233,0.997732,0.067311,-0.000000,-0.067215,0.996308,-0.053410,-0.003594,0.053288,0.998573
167.322500,167.217648,4.949143,0.136481,0.997582,0.069496,-0.000000,-0.069388,0.996042,-0.055543,-0.003859,0.055409,0.998456
170.603333,170.490296,5.180742,0.141718,0.997424,0.071727,-0.000000,-0.071607,0.995764,-0.057672,-0.004136,0.057524,0.998336
173.884167,173.762412,5.419736,0.146935,0.997258,0.074004,-0.000000,-0.073871,0.995474,-0.059793,-0.004424,0.059629,0.998211
177.165000,177.033968,5.666276,0.152120,0.997083,0.076326,-0.000000,-0.076180,0.995171,-0.061900,-0.004724,0.061720,0.998082
180.445833,180.304935,5.920511,0.157265,0.996899,0.078694,-0.000000,-0.078533,0.994856,-0.063991,-0.005035,0.063792,0.997950
183.726667,183.575284,6.182589,0.162359,0.996705,0.081107,-0.000000,-0.080930,0.994528,-0.066060,-0.005357,0.065843,0.997816
187.007500,186.844981,6.452656,0.167392,0.996502,0.083564,-0.000000,-0.083370,0.994189,-0.068105,-0.005690,0.067867,0.997678
190.288333,190.113997,6.730859,0.172355,0.996289,0.086065,-0.000000,-0.085853,0.993837,-0.070121,-0.006034,0.069861,0.997538
