DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.080000,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
1.000000,0.999998,0.001667,0.079999,0.999994,0.003333,0.000000,-0.003314,0.994289,-0.106666,-0.000356,0.106665,0.994295
2.000000,1.999985,0.006667,0.079996,0.999978,0.006666,0.000000,-0.006628,0.994273,-0.106661,-0.000711,0.106659,0.994295
3.000000,2.999950,0.015000,0.079986,0.999950,0.009999,0.000000,-0.009942,0.994247,-0.106648,-0.001066,0.106642,0.994297
4.000000,3.999881,0.026665,0.079966,0.999911,0.013332,0.000000,-0.013256,0.994211,-0.106622,-0.001421,0.106613,0.994300
5.000000,4.999769,0.041663,0.079935,0.999861,0.016663,0.000000,-0.016568,0.994166,-0.106580,-0.001776,0.106565,0.994304
6.000000,5.999600,0.059992,0.079887,0.999800,0.019993,0.000000,-0.019879,0.994112,-0.106517,-0.002130,0.106495,0.994311
7.000000,6.999365,0.081650,0.079821,0.999728,0.023321,0.000000,-0.023189,0.994050,-0.106429,-0.002482,0.106400,0.994320
8.000000,7.999052,0.106635,0.079734,0.999645,0.026647,0.000000,-0.026496,0.993980,-0.106313,-0.002833,0.106275,0.994333
9.000000,8.998651,0.134945,0.079622,0.999551,0.029969,0.000000,-0.029800,0.993902,-0.106165,-0.003182,0.106117,0.994349
10.000000,9.998150,0.166575,0.079484,0.999446,0.033288,0.000000,-0.033100,0.993817,-0.105981,-0.003528,0.105922,0.994368
11.000000,10.997539,0.201522,0.079316,0.999330,0.036601,0.000000,-0.036396,0.993726,-0.105758,-0.003871,0.105687,0.994392
12.000000,11.996807,0.239780,0.079116,0.999203,0.039909,0.000000,-0.039686,0.993628,-0.105492,-0.004210,0.105408,0.994420
13.000000,12.995942,0.281342,0.078882,0.999066,0.043210,0.000000,-0.042970,0.993524,-0.105181,-0.004545,0.105083,0.994453
14.000000,13.994935,0.326202,0.078610,0.998918,0.046503,0.000000,-0.046247,0.993415,-0.104821,-0.004875,0.104707,0.994491
15.000000,14.993774,0.374352,0.078301,0.998760,0.049787,0.000000,-0.049515,0.993301,-0.104409,-0.005199,0.104280,0.994534
16.000000,15.992451,0.425781,0.077950,0.998591,0.053061,0.000000,-0.052774,0.993182,-0.103944,-0.005516,0.103797,0.994583
17.000000,16.990953,0.480478,0.077557,0.998413,0.056324,0.000000,-0.056022,0.993059,-0.103422,-0.005826,0.103258,0.994638
18.000000,17.989272,0.538433,0.077121,0.998224,0.059574,0.000000,-0.059258,0.992931,-0.102841,-0.006127,0.102659,0.994698
19.000000,18.987397,0.599631,0.076638,0.998026,0.062810,0.000000,-0.062481,0.992800,-0.102200,-0.006420,0.101999,0.994764
20.000000,19.985319,0.664057,0.076109,0.997818,0.066030,0.000000,-0.065689,0.992665,-0.101497,-0.006702,0.101276,0.994836
21.000000,20.983029,0.731697,0.075532,0.997600,0.069234,0.000000,-0.068882,0.992526,-0.100731,-0.006975,0.100489,0.994914
22.000000,21.980516,0.802532,0.074907,0.997374,0.072420,0.000000,-0.072057,0.992385,-0.099899,-0.007235,0.099637,0.994998
23.000000,22.977773,0.876543,0.074232,0.997139,0.075585,0.000000,-0.075214,0.992241,-0.099002,-0.007484,0.098719,0.995087
24.000000,23.974791,0.953709,0.073507,0.996896,0.078730,0.000000,-0.078351,0.992094,-0.098039,-0.007719,0.097734,0.995183
25.000000,24.971561,1.034010,0.072732,0.996644,0.081852,0.000000,-0.081466,0.991944,-0.097009,-0.007941,0.096683,0.995284
26.000000,25.968076,1.117422,0.071907,0.996385,0.084951,0.000000,-0.084559,0.991792,-0.095911,-0.008149,0.095565,0.995390
27.000000,26.964328,1.203920,0.071032,0.996118,0.088023,0.000000,-0.087627,0.991637,-0.094748,-0.008341,0.094380,0.995501
28.000000,27.960309,1.293477,0.070107,0.995845,0.091069,0.000000,-0.090670,0.991480,-0.093517,-0.008517,0.093128,0.995618
29.000000,28.956013,1.386067,0.069132,0.995564,0.094086,0.000000,-0.093685,0.991322,-0.092221,-0.008678,0.091812,0.995739
30.000000,29.951433,1.481659,0.068109,0.995277,0.097073,0.000000,-0.096672,0.991160,-0.090860,-0.008821,0.090431,0.995864
31.000000,30.946563,1.580224,0.067038,0.994984,0.100029,0.000000,-0.099628,0.990997,-0.089435,-0.008947,0.088986,0.995993
32.000000,31.941398,1.681729,0.065921,0.994686,0.102953,0.000000,-0.102554,0.990832,-0.087948,-0.009055,0.087480,0.996125
33.000000,32.935932,1.786141,0.064757,0.994383,0.105842,0.000000,-0.105446,0.990664,-0.086400,-0.009146,0.085915,0.996261
34.000000,33.930160,1.893425,0.063550,0.994075,0.108697,0.000000,-0.108305,0.990495,-0.084793,-0.009218,0.084291,0.996399
35.000000,34.924078,2.003546,0.062301,0.993763,0.111514,0.000000,-0.111128,0.990323,-0.083130,-0.009271,0.082611,0.996539
36.000000,35.917681,2.116466,0.061010,0.993447,0.114294,0.000000,-0.113915,0.990149,-0.081412,-0.009306,0.080879,0.996681
37.000000,36.910967,2.232148,0.059682,0.993128,0.117036,0.000000,-0.116664,0.989973,-0.079643,-0.009322,0.079095,0.996823
38.000000,37.903933,2.350551,0.058316,0.992806,0.119737,0.000000,-0.119374,0.989795,-0.077824,-0.009319,0.077264,0.996967
39.000000,38.896575,2.471636,0.056916,0.992481,0.122398,0.000000,-0.122044,0.989614,-0.075959,-0.009298,0.075388,0.997111
40.000000,39.888891,2.595360,0.055484,0.992155,0.125016,0.000000,-0.124673,0.989431,-0.074052,-0.009259,0.073471,0.997254
41.000000,40.880880,2.721683,0.054022,0.991827,0.127592,0.000000,-0.127260,0.989245,-0.072104,-0.009201,0.071515,0.997397
42.000000,41.872540,2.850560,0.052534,0.991498,0.130125,0.000000,-0.129804,0.989057,-0.070121,-0.009126,0.069525,0.997538
43.000000,42.863871,2.981947,0.051021,0.991168,0.132613,0.000000,-0.132305,0.988867,-0.068105,-0.009033,0.067504,0.997678
44.000000,43.854872,3.115801,0.049487,0.990838,0.135056,0.000000,-0.134761,0.988674,-0.066060,-0.008923,0.065455,0.997816
45.000000,44.845543,3.252075,0.047935,0.990508,0.137454,0.000000,-0.137173,0.988478,-0.063991,-0.008797,0.063383,0.997950
46.000000,45.835884,3.390725,0.046366,0.990179,0.139807,0.000000,-0.139538,0.988280,-0.061900,-0.008655,0.061292,0.998082
47.000000,46.825896,3.531704,0.044786,0.989851,0.142113,0.000000,-0.141858,0.988079,-0.059793,-0.008498,0.059186,0.998211
48.000000,47.815581,3.674966,0.043196,0.989523,0.144372,0.000000,-0.144132,0.987877,-0.057672,-0.008327,0.057068,0.998336
49.000000,48.804939,3.820464,0.041599,0.989198,0.146585,0.000000,-0.146358,0.987671,-0.055543,-0.008143,0.054943,0.998456
50.000000,49.793973,3.968151,0.040000,0.988875,0.148751,0.000000,-0.148538,0.987463,-0.053410,-0.007946,0.052815,0.998573
51.000000,50.782685,4.117981,0.038401,0.988554,0.150870,0.000000,-0.150671,0.987253,-0.051276,-0.007737,0.050689,0.998685
52.000000,51.771076,4.269907,0.036804,0.988235,0.152942,0.000000,-0.152757,0.987041,-0.049146,-0.007517,0.048568,0.998792
