DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,1.000000
1.000000,1.000000,0.000000,0.000001,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,0.000001,1.000000
2.000000,2.000000,0.000000,0.000004,1.000000,0.000000,-0.000000,-0.000000,1.000000,-0.000006,-0.000000,0.000006,1.000000
3.000000,3.000000,0.000000,0.000014,1.000000,0.000001,-0.000000,-0.000001,1.000000,-0.000019,-0.000000,0.000019,1.000000
4.000000,4.000000,0.000001,0.000034,1.000000,0.000002,-0.000000,-0.000002,1.000000,-0.000045,-0.000000,0.000045,1.000000
5.000000,5.000000,0.000003,0.000065,1.000000,0.000004,-0.000000,-0.000004,1.000000,-0.000087,-0.000000,0.000087,1.000000
6.000000,6.000000,0.000008,0.000113,1.000000,0.000008,-0.000000,-0.000008,1.000000,-0.000151,-0.000000,0.000151,1.000000
7.000000,7.000000,0.000018,0.000179,1.000000,0.000014,-0.000000,-0.000014,1.000000,-0.000239,-0.000000,0.000239,1.000000
8.000000,8.000000,0.000036,0.000266,1.000000,0.000023,-0.000000,-0.000023,1.000000,-0.000356,-0.000000,0.000356,1.000000
9.000000,9.000000,0.000064,0.000378,1.000000,0.000037,-0.000000,-0.000037,1.000000,-0.000504,-0.000000,0.000504,1.000000
10.000000,10.000000,0.000109,0.000516,1.000000,0.000056,-0.000000,-0.000056,1.000000,-0.000689,-0.000000,0.000689,1.000000
11.000000,11.000000,0.000175,0.000684,1.000000,0.000081,-0.000000,-0.000081,1.000000,-0.000914,-0.000000,0.000914,1.000000
12.000000,12.000000,0.000269,0.000884,1.000000,0.000114,-0.000000,-0.000114,0.999999,-0.001181,-0.000000,0.001181,0.999999
13.000000,13.000000,0.000401,0.001118,1.000000,0.000156,-0.000000,-0.000156,0.999999,-0.001494,-0.000000,0.001494,0.999999
14.000000,14.000000,0.000579,0.001390,1.000000,0.000208,-0.000000,-0.000208,0.999998,-0.001856,-0.000000,0.001856,0.999998
15.000000,15.000000,0.000815,0.001699,1.000000,0.000273,-0.000000,-0.000273,0.999997,-0.002270,-0.000001,0.002270,0.999997
16.000000,16.000000,0.001123,0.002050,1.000000,0.000351,-0.000000,-0.000351,0.999996,-0.002738,-0.000001,0.002738,0.999996
17.000000,17.000000,0.001515,0.002443,1.000000,0.000445,-0.000000,-0.000445,0.999995,-0.003263,-0.000001,0.003263,0.999995
18.000000,18.000000,0.002010,0.002879,1.000000,0.000556,-0.000000,-0.000556,0.999992,-0.003846,-0.000002,0.003846,0.999993
19.000000,18.999999,0.002625,0.003362,1.000000,0.000687,-0.000000,-0.000687,0.999990,-0.004491,-0.000003,0.004491,0.999990
20.000000,19.999999,0.003380,0.003891,1.000000,0.000838,-0.000000,-0.000838,0.999986,-0.005198,-0.000004,0.005198,0.999986
